time,bar_i,type,side,pnl,balance
2024-05-10 06:30:00,670,partial,BUY,88.01388487686413,10088.013884876864
2024-05-10 08:15:00,677,final,BUY,-0.5500000000009095,10087.463884876863
2024-05-23 13:30:00,1526,partial,SELL,92.10659920587888,10179.570484082742
2024-05-23 16:30:00,1538,final,SELL,69.29994940440862,10248.87043348715
2024-07-03 09:30:00,4158,partial,BUY,95.27212864340287,10344.142562130553
2024-07-03 09:30:00,4158,final,BUY,-0.8800000000014552,10343.262562130552
2024-07-08 19:00:00,4458,final,SELL,-105.1240290427793,10238.138533087773
2024-07-25 06:45:00,5609,final,SELL,-101.33335715440606,10136.805175933367
2024-08-08 11:00:00,6546,final,BUY,-100.30870502430567,10036.496470909062
2024-08-28 08:45:00,7825,final,SELL,-105.27685808171134,9931.21961282735
2024-10-31 09:30:00,12051,partial,SELL,89.30251372700954,10020.522126554359
2024-10-31 09:45:00,12052,final,SELL,61.1630775411456,10081.685204095504
2024-10-31 11:00:00,12057,final,SELL,-101.32522003584187,9980.359984059662
2024-11-07 08:15:00,12502,final,SELL,-102.45831786742507,9877.901666192236
2024-11-11 10:30:00,12695,partial,SELL,87.782670364933,9965.68433655717
2024-11-11 13:15:00,12706,final,SELL,66.05700277370103,10031.74133933087
2024-11-25 13:15:00,13626,partial,SELL,84.14974880838396,10115.891088139255
2024-11-25 18:30:00,13643,final,SELL,63.222311606288606,10179.113399745544
2024-12-12 10:30:00,14792,partial,SELL,96.3429840983194,10275.456383843863
2024-12-12 12:45:00,14801,final,SELL,-0.4400000000007276,10275.016383843862
2025-01-07 10:00:00,16249,final,BUY,-106.11621537970775,10168.900168464153
2025-01-22 01:30:00,17217,final,BUY,-106.15800095522582,10062.742167508928
2025-01-30 09:45:00,17802,partial,BUY,92.99298128189581,10155.735148790824
2025-01-30 09:45:00,17802,final,BUY,-0.8800000000014552,10154.855148790823
2025-01-30 10:45:00,17806,partial,BUY,95.44101273439219,10250.296161525215
2025-01-30 12:00:00,17811,final,BUY,-0.7700000000012734,10249.526161525215
2025-02-10 11:15:00,18452,final,BUY,-106.40223552068632,10143.123926004528
2025-02-10 13:15:00,18460,final,SELL,-102.00390118860201,10041.120024815926
2025-03-27 08:00:00,21469,final,BUY,-103.59863338444946,9937.521391431475
2025-03-28 03:45:00,21544,final,SELL,-100.87725009927188,9836.644141332203
2025-04-16 07:45:00,22748,partial,BUY,95.67763189642535,9932.321773228628
2025-04-16 09:15:00,22754,final,BUY,-0.33000000000054563,9931.991773228629
2025-04-25 13:45:00,23324,final,SELL,-99.4331859762527,9832.558587252375
2025-05-01 08:30:00,23671,final,SELL,-92.08651248369311,9740.472074768682
2025-05-05 20:45:00,23900,final,BUY,-94.20191957910036,9646.270155189583
2025-05-14 09:30:00,24503,final,SELL,-97.49278647733489,9548.777368712248
2025-05-15 21:15:00,24638,partial,SELL,87.35530374586928,9636.132672458118
2025-05-15 22:45:00,24644,final,SELL,65.68147780940018,9701.814150267517
2025-06-03 18:00:00,25811,final,SELL,-98.0359921795076,9603.77815808801
2025-06-24 04:15:00,27130,final,SELL,-98.35064717479835,9505.42751091321
2025-06-24 09:30:00,27151,partial,SELL,88.8896399867186,9594.31715089993
2025-06-24 09:30:00,27151,final,SELL,-0.33000000000054563,9593.98715089993
2025-06-27 09:45:00,27428,final,SELL,-95.30700848046362,9498.680142419465
2025-07-01 05:45:00,27596,partial,BUY,84.69157344977195,9583.371715869238
2025-07-01 07:00:00,27601,final,BUY,63.79368008733282,9647.16539595657
2025-07-01 09:15:00,27610,final,BUY,-96.06768671729601,9551.097709239275
2025-07-21 13:00:00,28897,final,BUY,-95.80031263717578,9455.2973966021
2025-07-25 14:00:00,29269,final,SELL,-92.99262439999244,9362.304772202107
2025-07-30 19:45:00,29564,final,SELL,-95.45814774453956,9266.846624457568
2025-08-31 23:15:00,31602,final,BUY,-93.47004522340926,9173.376579234158
2025-09-24 15:45:00,33222,final,SELL,-97.08978006245312,9076.286799171705
2025-10-08 06:30:00,34105,final,BUY,-92.50562676915993,8983.781172402545
2025-10-16 21:15:00,34712,final,BUY,-97.52966168177794,8886.251510720767
2025-12-22 11:00:00,38952,partial,BUY,84.44282310884519,8970.694333829613
2025-12-22 16:15:00,38973,final,BUY,50.775693865306394,9021.470027694919
2025-12-29 10:00:00,39303,partial,SELL,99.26256707642851,9120.732594771347
2025-12-29 10:00:00,39303,final,SELL,49.6862835382139,9170.418878309561
2025-12-29 22:15:00,39348,final,SELL,-102.2081102973227,9068.210768012239
2026-01-11 21:00:00,40079,final,BUY,-98.93591676899432,8969.274851243244
2026-01-20 10:15:00,40674,final,BUY,-91.11105488211791,8878.163796361127
2026-02-18 13:30:00,42609,final,BUY,-89.91199672336937,8788.251799637757
2026-03-18 07:30:00,44425,partial,SELL,77.0436959451488,8865.295495582906
2026-03-18 07:30:00,44425,final,SELL,57.89277195886178,8923.188267541767
2026-03-18 08:00:00,44427,partial,SELL,64.93508940938983,8988.123356951157
2026-03-18 08:00:00,44427,final,SELL,-0.2200000000003638,8987.903356951156
2026-03-18 09:00:00,44431,final,SELL,-98.32794743428876,8889.575409516867
2026-03-18 15:00:00,44455,partial,SELL,94.01997794234404,8983.59538745921
2026-03-18 15:15:00,44456,final,SELL,47.06498897117166,9030.660376430382
2026-03-18 17:00:00,44459,final,SELL,-96.44050930879735,8934.219867121585
2026-03-19 02:30:00,44497,partial,SELL,98.23344695642783,9032.453314078013
2026-03-19 02:45:00,44498,final,SELL,49.171723478214005,9081.625037556227
2026-03-19 05:15:00,44508,partial,SELL,74.70685551372378,9156.33189306995
2026-03-19 06:30:00,44513,final,SELL,56.08514163529384,9212.417034705244
2026-03-19 07:45:00,44518,partial,SELL,88.71112501843425,9301.128159723678
2026-03-19 07:45:00,44518,final,SELL,66.58834376382714,9367.716503487505
2026-03-19 08:15:00,44520,partial,SELL,96.03842731239536,9463.7549307999
2026-03-19 08:15:00,44520,final,SELL,-0.1100000000001819,9463.6449307999
2026-03-19 08:45:00,44522,final,SELL,-77.15323368658494,9386.491697113313
2026-03-22 19:00:00,44651,partial,SELL,51.244978180680334,9437.736675293994
2026-03-22 19:15:00,44652,final,SELL,76.92246727102014,9514.659142565015
2026-03-22 19:45:00,44654,partial,SELL,52.53050685783768,9567.189649422853
2026-03-22 19:45:00,44654,final,SELL,78.85076028675616,9646.040409709609
2026-03-22 20:15:00,44656,final,SELL,-89.93562256757389,9556.104787142034
2026-03-23 02:15:00,44680,partial,SELL,69.79870107815753,9625.903488220192
2026-03-23 02:30:00,44681,final,SELL,-0.1100000000001819,9625.793488220192
2026-05-06 09:45:00,47554,final,SELL,-97.4335834213873,9528.359904798805
2026-05-15 02:15:00,48168,final,SELL,-92.37921648789124,9435.980688310914
