fold,phase,candidate,train_start,train_end,test_start,test_end,sigma_min,sigma_max,eligible_bars,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,dsr_trials,recovery_factor,mean_cashflow,std_cashflow
1,train,base_no_layers,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,0.0,0.0033058032107786124,6694,10000.0,10606.832016131371,606.8320161313713,6.068320161313712,174,250,44.252873563218394,55.74712643678161,1.0597961587771019,3.487540322594129,139.67761645943588,-104.62210774479573,1.3350678883295959,178.65322400279564,-119.10744819556385,7,6,-1252.4343166650342,-11.881539056597196,2364,0.9296104575047949,0.005976750323032614,9.256735199681781,0.23135713406840386,-0.7343847670183477,5,0.48452202886554224,2.4273280645255135,89.39278804016202
1,train,london_late_s050_sig20_95_t96,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,0.0008099741966007711,0.0018915377238066012,1548,10000.0,10383.773180309956,383.77318030995593,3.8377318030995644,98,141,44.89795918367347,55.10204081632652,1.0695941298859208,3.9160528603057934,134.05047155690025,-102.11939941099338,1.3126837048599937,167.02115523020473,-112.07417577055503,5,6,-1187.9977702692886,-11.047338577248127,5696,0.6930943768555564,0.004456116007862539,0.8509039350777857,0.209549585344461,-0.8079850808313714,5,0.32304200387763726,2.7217956050352323,87.07036524182138
1,train,london_late_s055_sig20_90_t96,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,0.0008099741966007711,0.0016415546837819336,1236,10000.0,10561.641887370453,561.6418873704533,5.616418873704543,95,138,46.31578947368421,53.68421052631579,1.1055201440178244,5.912019867057525,133.73284960542162,-104.36477441702131,1.281398348747933,175.14023916500636,-112.07417577055503,5,6,-736.631633076182,-6.990233585755099,2784,0.9692983809662428,0.006231916137330135,5.774890373126997,0.25757139431243886,-0.6508508235745676,5,0.7624460614391898,4.0698687490613406,87.66652188822282
1,train,no_ny_s050_sig20_95_t96,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,0.0008099741966007711,0.0018915377238066012,2096,10000.0,10468.137074995539,468.13707499553857,4.6813707499553825,113,162,45.13274336283185,54.86725663716814,1.0754823693995315,4.142805973411849,130.78581173147452,-100.03127940822033,1.3074491549562932,175.14023916500636,-112.96358944530402,5,7,-1245.005211128453,-11.911824154710102,3690,0.8108226401318827,0.005213027066560716,1.1951640887873558,0.22384615149140502,-0.7592679210580513,5,0.37601214100238706,2.8897350308366594,85.60138410317947
1,train,london_late_s050_sig10_95_t96,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,0.000710541948367845,0.0018915377238066012,1710,10000.0,10748.33619037639,748.3361903763907,7.483361903763908,112,162,45.535714285714285,54.46428571428571,1.1197999790079687,6.681573128360676,137.154570871583,-102.40240859138254,1.3393686023428646,175.52725530759068,-113.75513986876558,6,6,-1327.4639694670568,-12.274275609973936,4194,1.1684702152284483,0.007512452855861505,1.6597940452978783,0.2925095573046326,-0.5460681174849622,5,0.5637337114896074,4.619359199854293,87.51804132857215
1,test,london_late_s055_sig20_90_t96,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,0.0007235133878050918,0.0013906796469155336,1062,10000.0,12691.631444681352,2691.631444681352,26.916314446813526,75,118,57.333333333333336,42.66666666666667,1.7143686860657217,35.888419262418026,150.22041377557403,-117.74519836463531,1.2758092547465836,196.76530338883455,-133.00830496138863,7,3,-384.0109275424111,-3.0826412127866525,1086,4.681662208752267,0.030099840091725054,31.009127170720348,0.9057650119458016,1.3151188092093264,5,7.009257423759333,22.81043597187586,92.84514008029402
2,train,base_no_layers,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,0.0004045497840582845,0.002704016264623399,5616,10000.0,10959.58805665389,959.5880566538908,9.595880566538906,140,207,47.85714285714286,52.142857142857146,1.1279018600574897,6.854200404670742,126.30032954329282,-102.77443866776319,1.228907996779056,171.30629962663457,-116.18172258790491,5,8,-1327.4435588108663,-11.86351314503271,2147,1.7628909850409253,0.011334166025407785,17.00208297162883,0.33045135656136737,-0.43866717758201035,5,0.7228842614698412,4.635691094946397,85.34956432473453
2,train,london_late_s050_sig20_95_t96,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,0.0007235133878050918,0.0015403229527415436,1318,10000.0,12523.749936581824,2523.749936581824,25.237499365818252,79,123,55.69620253164557,44.303797468354425,1.6169081899705209,31.946201728883807,150.33443491558816,-116.88471999154451,1.2861769692947325,194.06434789143648,-129.32788113556308,7,4,-506.98605237489573,-4.08458348785533,977,4.405135244663832,0.028321963553654524,30.816207327639685,0.8653802407727393,1.1048155562078965,5,4.977947469678343,20.518292167331875,93.3720306480166
2,train,london_late_s055_sig20_90_t96,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,0.0007235133878050918,0.0013906796469155336,1062,10000.0,12691.631444681352,2691.631444681352,26.916314446813526,75,118,57.333333333333336,42.66666666666667,1.7143686860657217,35.888419262418026,150.22041377557403,-117.74519836463531,1.2758092547465836,196.76530338883455,-133.00830496138863,7,3,-384.0109275424111,-3.0826412127866525,1086,4.681662208752267,0.030099840091725054,31.009127170720348,0.9057650119458016,1.3151188092093264,5,7.009257423759333,22.81043597187586,92.84514008029402
2,train,no_ny_s050_sig20_95_t96,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,0.0007235133878050918,0.0015403229527415436,1822,10000.0,12393.192565753377,2393.1925657533775,23.93192565753377,95,146,53.68421052631579,46.31578947368421,1.4848082288636593,25.191500692140917,143.7169037128246,-112.19021644546974,1.281011020980412,189.94328089326453,-127.6581294814564,5,5,-593.2624541175937,-5.612466990459187,2008,3.968663808285978,0.02551575502049332,33.37185766740285,0.7890354184827866,0.8030788471121059,5,4.033952509792588,16.391729902420455,91.13698900795426
2,train,london_late_s050_sig10_95_t96,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,0.000645845158292864,0.0015403229527415436,1459,10000.0,11350.977250192314,1350.9772501923144,13.509772501923134,92,138,50.0,50.0,1.2625003090508116,14.684535328177327,141.25111286252124,-111.88204220616657,1.2625003090508116,185.37201516103295,-120.172233456693,7,6,-816.9095572716906,-6.846646126494263,1986,2.4317322586043306,0.015634351404730507,20.001209354880377,0.5078293057909046,0.019626419197524038,5,1.653765999144752,9.789690218784889,92.20954587974045
2,test,london_late_s055_sig20_90_t96,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,0.0009935351183927882,0.0024043666405980445,951,10000.0,9944.15164383458,-55.84835616541932,-0.5584835616541883,65,92,43.07692307692308,56.92307692307692,0.9848250165384057,-0.8592054794680247,129.44438274125153,-99.46732629514767,1.3013759147114647,165.0336980662555,-109.25762715839574,5,5,-1264.1053287167924,-12.15040606660223,5278,-0.02383330772948784,-0.00015323163430572468,-0.06605099140702254,0.11417007086558412,-1.2046456087605948,5,-0.04418014456288355,-0.6070473496241494,85.32122412056763
3,train,base_no_layers,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,0.0005745722206809466,0.004662628327490888,5271,10000.0,8909.268222859515,-1090.731777140485,-10.907317771404845,142,199,40.140845070422536,59.859154929577464,0.859473760103706,-7.681209698172347,117.03568639819123,-91.31489296279263,1.2816713966458775,157.39893410317654,-107.46112874113713,8,8,-2448.0887319615176,-23.39601375826525,4627,-1.7707633612958478,-0.011384779943253475,-7.374239862495174,0.02476794924995735,-1.9639499319137863,5,-0.44554421696412216,-5.481064206736045,78.39508985254183
3,train,london_late_s050_sig20_95_t96,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,0.0009935351183927882,0.0028039105318766115,1206,10000.0,10238.142518436985,238.14251843698548,2.3814251843698564,69,99,44.927536231884055,55.072463768115945,1.062644650877494,3.4513408469128346,130.31047128722042,-100.03900240702228,1.3025966688175734,165.0336980662555,-109.27324606540425,5,5,-1221.4493217590425,-11.740402411097833,5166,0.5782783346571835,0.003717928510337628,1.7104723641548003,0.18364251375336793,-0.9015705755414168,5,0.19496717071653039,2.4054799842119747,85.00548732858111
3,train,london_late_s055_sig20_90_t96,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,0.0009935351183927882,0.0024043666405980445,951,10000.0,9944.15164383458,-55.84835616541932,-0.5584835616541883,65,92,43.07692307692308,56.92307692307692,0.9848250165384057,-0.8592054794680247,129.44438274125153,-99.46732629514767,1.3013759147114647,165.0336980662555,-109.25762715839574,5,5,-1264.1053287167924,-12.15040606660223,5278,-0.02383330772948784,-0.00015323163430572468,-0.06605099140702254,0.11417007086558412,-1.2046456087605948,5,-0.04418014456288355,-0.6070473496241494,85.32122412056763
3,train,no_ny_s050_sig20_95_t96,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,0.0009935351183927882,0.0028039105318766115,1775,10000.0,10642.427800824144,642.4278008241436,6.424278008241435,90,131,46.666666666666664,53.333333333333336,1.1313246876313234,7.138086675823827,131.76981132686782,-101.9146723938397,1.2929425001500838,168.87607762098747,-112.46185277028509,7,5,-1309.5295099133236,-12.470632246461918,4410,1.2717840012664061,0.008176688825983325,4.762315047924837,0.28455884014732563,-0.569351416439869,5,0.4905790942173309,4.904029013924765,85.99986750642911
3,train,london_late_s050_sig10_95_t96,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,0.0008337295826189825,0.0028039105318766115,1332,10000.0,10506.408394172304,506.4083941723038,5.064083941723041,76,110,46.05263157894737,53.94736842105263,1.1214233384235768,6.663268344372466,133.62886278027156,-101.72199519846822,1.31366733929619,168.87607762098747,-112.46185277028509,5,7,-1073.399144005265,-10.317364522501089,4473,1.071107447760264,0.006886477806614795,3.8801553967323437,0.2558731371252866,-0.6561209990317678,5,0.4717801360290817,4.603712674293705,86.24579248031232
3,test,no_ny_s050_sig20_95_t96,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,0.000805156780781201,0.0017119839284819047,1682,10000.0,11933.264589426573,1933.2645894265734,19.33264589426573,82,125,52.4390243902439,47.5609756097561,1.4773269775578748,23.576397432031428,139.15008910320182,-103.85100620541282,1.339901212203654,184.57694965995196,-118.12064729798296,5,5,-781.6815450748109,-7.240842165044419,2817,3.424586064172832,0.022017712580640142,14.319808855872122,0.7185351610283144,0.5784954358682424,5,2.473212527029214,15.466116715412616,85.78007576097575
4,train,base_no_layers,2025-06-01,2025-09-30 23:59:59.999999999,2025-10-01,2026-01-31 23:59:59.999999999,0.00047825722937301337,0.0023768866920626614,5498,10000.0,9893.817145181281,-106.18285481871862,-1.0618285481871825,127,181,42.51968503937008,57.48031496062992,0.9851814436016648,-0.8360854710135291,130.7287063098737,-98.15798624043697,1.331819358942991,164.5288558079531,-107.482805223357,4,7,-1215.0391856675542,-11.670009207245656,4866,-0.032243689350848606,-0.00020730455341554034,-0.17250072556926238,0.11369531009432671,-1.2071078290703618,5,-0.08739047766626616,-0.5866456067332521,84.15311382405716
4,train,london_late_s050_sig20_95_t96,2025-06-01,2025-09-30 23:59:59.999999999,2025-10-01,2026-01-31 23:59:59.999999999,0.000805156780781201,0.0017119839284819047,1122,10000.0,10910.453287185068,910.4532871850679,9.104532871850669,73,108,47.94520547945205,52.054794520547944,1.2377979235340408,12.471962838151633,135.40394437237336,-100.75486225915786,1.343894888408387,166.0639095515666,-109.5282715882131,3,5,-637.4314096523703,-6.173564003574406,3325,1.7660774703307365,0.011354652915192068,6.5897947119992715,0.3933728775365462,-0.27053882108181665,5,1.42831569545905,8.430123029491382,85.01282736586477
4,train,london_late_s055_sig20_90_t96,2025-06-01,2025-09-30 23:59:59.999999999,2025-10-01,2026-01-31 23:59:59.999999999,0.000805156780781201,0.001554152167964166,895,10000.0,10980.420868623647,980.420868623647,9.80420868623646,67,100,49.25373134328358,50.74626865671642,1.2812543100366056,14.633147292890248,135.34267621511654,-102.52610136691762,1.320080198219533,167.59920361287755,-114.12505913357882,3,5,-560.039384111722,-5.492239570312054,2783,1.9641065726526017,0.012627842660119137,8.772160437275952,0.4381539660470911,-0.1556512417055525,5,1.7506284315677043,9.804208686236466,85.55579790212116
4,train,no_ny_s050_sig20_95_t96,2025-06-01,2025-09-30 23:59:59.999999999,2025-10-01,2026-01-31 23:59:59.999999999,0.000805156780781201,0.0017119839284819047,1682,10000.0,11933.264589426573,1933.2645894265734,19.33264589426573,82,125,52.4390243902439,47.5609756097561,1.4773269775578748,23.576397432031428,139.15008910320182,-103.85100620541282,1.339901212203654,184.57694965995196,-118.12064729798296,5,5,-781.6815450748109,-7.240842165044419,2817,3.424586064172832,0.022017712580640142,14.319808855872122,0.7185351610283144,0.5784954358682424,5,2.473212527029214,15.466116715412616,85.78007576097575
4,train,london_late_s050_sig10_95_t96,2025-06-01,2025-09-30 23:59:59.999999999,2025-10-01,2026-01-31 23:59:59.999999999,0.0007160692342997975,0.0017119839284819047,1278,10000.0,10876.330983332191,876.330983332191,8.76330983332192,81,119,46.913580246913575,53.086419753086425,1.2001244488102452,10.818901028792512,138.2963457040647,-101.83558496330849,1.3580355604958037,167.59920361287755,-109.5282715882131,3,5,-599.1510780104363,-5.902448778205551,2629,1.6314556043070343,0.010489127710791852,7.397784381575794,0.3629893592481884,-0.3504797050605885,5,1.4626210575171936,7.364125910354565,86.3740897506435
