time,bar_i,type,side,pnl,balance
2021-01-06 14:15:00,264,final,SELL,-97.49611650408042,9902.50388349592
2021-01-08 12:30:00,441,partial,SELL,93.64331431421923,9996.147197810138
2021-01-08 13:15:00,444,final,SELL,57.33264141686868,10053.479839227006
2021-01-10 18:00:00,459,final,SELL,-95.06334358757384,9958.416495639432
2021-01-11 00:30:00,485,final,SELL,-105.53770348316722,9852.878792156265
2021-01-11 09:15:00,520,final,BUY,-103.5812364016681,9749.297555754598
2021-01-15 10:45:00,894,partial,SELL,90.77937298452142,9840.07692873912
2021-01-15 10:45:00,894,final,SELL,0.0,9840.07692873912
2021-01-15 11:30:00,897,final,SELL,-95.91552085344301,9744.161407885676
2021-01-17 18:30:00,921,partial,SELL,151.2,9895.361407885677
2021-01-17 18:30:00,921,final,SELL,59.74602882643695,9955.107436712115
2021-01-17 20:00:00,927,final,SELL,-100.1212533053847,9854.98618340673
2021-01-20 06:15:00,1136,final,BUY,-98.65983488663915,9756.326348520091
2021-01-20 07:45:00,1142,partial,SELL,107.99599999999982,9864.32234852009
2021-01-20 07:45:00,1142,final,SELL,0.0,9864.32234852009
2021-01-22 06:15:00,1320,partial,SELL,90.32152671503972,9954.64387523513
2021-01-22 07:00:00,1323,final,SELL,0.0,9954.64387523513
2021-01-22 08:00:00,1327,partial,SELL,93.96657763891143,10048.610452874042
2021-01-22 09:45:00,1334,final,SELL,0.0,10048.610452874042
2021-01-28 11:45:00,1710,final,BUY,-101.03161470568831,9947.578838168352
2021-01-29 08:30:00,1789,partial,BUY,115.66800000000079,10063.246838168354
2021-01-29 09:00:00,1791,final,BUY,56.08652752852322,10119.333365696877
2021-01-29 09:30:00,1793,final,BUY,-101.69411565858695,10017.63925003829
2021-01-29 12:30:00,1805,final,BUY,-96.4333629095745,9921.205887128715
2021-02-04 00:30:00,2125,partial,SELL,92.90348947390203,10014.109376602617
2021-02-04 01:30:00,2129,final,SELL,0.0,10014.109376602617
2021-02-04 04:00:00,2139,partial,SELL,157.85840000000172,10171.967776602618
2021-02-04 04:00:00,2139,final,SELL,0.0,10171.967776602618
2021-02-04 08:45:00,2158,partial,SELL,100.2392999999994,10272.207076602617
2021-02-04 09:00:00,2159,final,SELL,57.074999742296306,10329.282076344913
2021-02-05 03:00:00,2227,final,SELL,-106.69518335765498,10222.586892987258
2021-02-08 10:30:00,2349,partial,BUY,99.69120000000044,10322.278092987259
2021-02-08 15:45:00,2370,final,BUY,0.0,10322.278092987259
2021-02-09 04:45:00,2418,partial,BUY,98.63764629715352,10420.915739284412
2021-02-09 08:00:00,2431,final,BUY,0.0,10420.915739284412
2021-02-12 03:00:00,2687,partial,SELL,101.97599999999892,10522.89173928441
2021-02-12 05:30:00,2697,final,SELL,0.0,10522.89173928441
2021-02-12 09:00:00,2711,final,SELL,-105.47770820897131,10417.41403107544
2021-02-16 10:00:00,2883,final,SELL,-103.81272620131858,10313.60130487412
2021-02-16 18:00:00,2911,partial,SELL,107.02999999999973,10420.63130487412
2021-02-17 08:15:00,2968,final,SELL,60.69330382338784,10481.324608697507
2021-02-17 19:45:00,3010,final,SELL,-107.40141933787639,10373.92318935963
2021-02-25 09:30:00,3525,final,SELL,-103.1644017827889,10270.75878757684
2021-02-25 11:45:00,3534,final,SELL,-103.57944460271595,10167.179342974125
2021-02-28 18:00:00,3647,final,SELL,-98.5072623592996,10068.672080614826
2021-03-01 07:30:00,3701,partial,SELL,126.74899999999963,10195.421080614826
2021-03-01 07:30:00,3701,final,SELL,63.23129816386245,10258.652378778688
2021-03-01 08:30:00,3705,partial,SELL,98.54863173073605,10357.201010509425
2021-03-01 08:45:00,3706,final,SELL,0.0,10357.201010509425
2021-03-01 20:15:00,3748,partial,SELL,98.67200000000193,10455.873010509427
2021-03-01 20:15:00,3748,final,SELL,64.5075227177199,10520.380533227148
2021-03-02 01:45:00,3770,final,SELL,-103.98986941089561,10416.390663816252
2021-03-09 03:45:00,4238,partial,BUY,112.74829999999886,10529.13896381625
2021-03-09 05:00:00,4243,final,BUY,62.218705158429884,10591.35766897468
2021-03-09 07:15:00,4252,final,BUY,-107.44388926820443,10483.913779706476
2021-03-09 09:00:00,4259,partial,BUY,113.10319999999872,10597.016979706475
2021-03-10 01:00:00,4319,final,BUY,0.0,10597.016979706475
2021-03-11 03:15:00,4420,partial,BUY,108.92699999999786,10705.943979706473
2021-03-11 07:00:00,4435,final,BUY,0.0,10705.943979706473
2021-03-12 04:45:00,4518,partial,SELL,99.05893275987067,10805.002912466343
2021-03-12 07:15:00,4528,final,SELL,0.0,10805.002912466343
2021-03-12 11:45:00,4546,partial,BUY,100.30755623327295,10905.310468699616
2021-03-12 13:45:00,4554,final,BUY,67.87729369168846,10973.187762391304
2021-03-14 20:15:00,4580,partial,BUY,115.37820000000193,11088.565962391305
2021-03-15 00:00:00,4595,final,BUY,0.0,11088.565962391305
2021-03-15 04:00:00,4611,final,SELL,-113.00362642697064,10975.562335964334
2021-03-18 11:00:00,4915,final,SELL,-106.89994381388372,10868.66239215045
2021-03-30 07:00:00,5627,partial,SELL,100.07932436461495,10968.741716515065
2021-03-30 07:30:00,5629,final,SELL,65.26912458561766,11034.010841100684
2021-03-30 08:30:00,5633,partial,SELL,149.40800000000323,11183.418841100687
2021-03-30 09:45:00,5638,final,SELL,0.0,11183.418841100687
2021-03-31 09:45:00,5730,final,SELL,-113.3869126000477,11070.031928500639
2021-03-31 12:45:00,5742,partial,BUY,105.27999999999973,11175.311928500638
2021-04-01 02:30:00,5793,final,BUY,65.94152829273253,11241.25345679337
2021-04-01 16:45:00,5850,partial,BUY,105.5231177387193,11346.77657453209
2021-04-05 00:00:00,5875,final,BUY,0.0,11346.77657453209
2021-04-06 22:00:00,6051,final,BUY,-115.49700616709082,11231.279568365
2021-04-07 02:15:00,6068,final,SELL,-113.48108524541203,11117.798483119588
2021-04-08 08:00:00,6183,final,BUY,-112.48939186983988,11005.309091249748
2021-04-08 09:00:00,6187,partial,BUY,101.82009788346096,11107.12918913321
2021-04-08 09:30:00,6189,final,BUY,66.11694667757094,11173.246135810781
2021-04-09 01:30:00,6249,final,BUY,-113.91493597853331,11059.331199832248
2021-04-09 07:15:00,6272,final,SELL,-110.1999558885009,10949.131243943746
2021-04-09 09:00:00,6279,partial,SELL,104.6639999999984,11053.795243943745
2021-04-09 09:00:00,6279,final,SELL,0.0,11053.795243943745
2021-04-09 09:45:00,6282,final,SELL,-112.57969818247966,10941.215545761264
2021-04-15 08:15:00,6644,partial,BUY,101.01688485692478,11042.232430618189
2021-04-15 08:30:00,6645,final,BUY,0.0,11042.232430618189
2021-04-16 06:00:00,6727,partial,BUY,103.60699999999949,11145.839430618189
2021-04-16 06:45:00,6730,final,BUY,68.62884350513878,11214.468274123328
2021-04-16 09:00:00,6739,final,BUY,-110.16270268681274,11104.305571436515
2021-04-21 03:15:00,6992,final,BUY,-110.95716891578262,10993.348402520733
2021-04-22 05:30:00,7093,final,BUY,-110.78389432489348,10882.56450819584
2021-04-23 09:00:00,7199,final,BUY,-109.42665882148368,10773.137849374356
2021-05-03 08:15:00,7324,partial,BUY,164.22000000000216,10937.357849374359
2021-05-03 08:15:00,7324,final,BUY,63.9323865941924,11001.290235968552
2021-05-03 09:30:00,7329,partial,BUY,104.39027398769917,11105.680509956252
2021-05-03 09:45:00,7330,final,BUY,67.10803327780559,11172.788543234057
2021-05-03 21:00:00,7371,final,BUY,-111.84635153747924,11060.942191696578
2021-05-06 07:00:00,7595,final,BUY,-109.90041835615646,10951.041773340423
2021-05-07 08:30:00,7693,partial,BUY,225.07660000000098,11176.118373340423
2021-05-07 08:30:00,7693,final,BUY,62.73055585734073,11238.848929197764
2021-05-16 21:15:00,8200,partial,BUY,105.20257980164178,11344.051508999406
2021-05-17 01:00:00,8215,final,BUY,66.79528876294535,11410.846797762351
