segment,start_time,end_time,trades,return_pct_on_initial,win_rate_pct,profit_factor,expectancy,max_drawdown_pct,max_consecutive_wins,max_consecutive_losses,sharpe_trade,gross_profit,gross_loss,net_pnl
0,2024-05-24 00:15:00,2025-09-30 02:45:00,8,6.5577443118404615,62.5,2.504563415106619,81.97180389800577,-1.779620231434782,3,1,1.10629454537329,1091.631387826565,-435.85695664251904,655.7744311840462
1,2024-05-20 01:45:00,2026-03-23 02:30:00,14,4.846026403890611,42.857142857142854,1.3975927321642536,34.61447431350437,-3.7271312249684914,3,4,0.5636264208398923,1703.4444380023585,-1218.8417976132973,484.6026403890611
2,2024-07-05 02:15:00,2026-05-15 05:45:00,22,19.853636912140928,63.63636363636363,2.5013300898052013,90.24380414609514,-3.945486673565615,3,2,1.919942938460787,3307.7668753610897,-1322.403184146996,1985.363691214093
3,2024-05-06 03:45:00,2026-04-14 06:30:00,27,17.013213242235825,59.25925925925925,1.878567528134329,63.01190089716972,-4.098333393306119,4,2,1.492895352366964,3637.7932170972035,-1936.471892873621,1701.3213242235825
4,2024-05-15 04:45:00,2026-05-01 02:15:00,21,3.7330206214408994,47.61904761904761,1.1940203857306515,17.776288673528093,-8.758296374390147,5,5,0.3440596420657137,2297.3373161628415,-1924.0352540187514,373.30206214409
5,2024-05-14 05:15:00,2026-05-06 08:00:00,13,-9.64864513191485,23.076923076923077,0.31312973692052953,-74.22034716857577,-11.033301290660976,2,8,-1.9824530932247895,439.8614810096219,-1404.725994201107,-964.864513191485
6,2024-06-14 06:00:00,2025-11-26 07:15:00,15,-2.330054591251048,40.0,0.8029375508156014,-15.53369727500699,-5.824416591833798,2,3,-0.39355350595537847,949.3885489138039,-1182.3940080389089,-233.00545912510484
7,2024-06-14 07:45:00,2026-03-19 08:15:00,22,14.259368628420932,59.09090909090909,2.101851446646641,64.81531194736787,-4.30806730417527,7,5,1.6126244650605366,2720.064911756282,-1294.1280489141886,1425.9368628420932
8,2024-05-13 08:15:00,2026-05-06 09:45:00,25,-12.901081914223301,32.0,0.5042664839007327,-51.604327656893204,-13.71514767523307,2,8,-1.5918740264692728,1312.3145811464597,-2602.4227725687897,-1290.10819142233
9,2024-05-06 09:45:00,2026-05-11 12:30:00,61,19.45998268485961,55.73770491803278,1.4605194035577598,31.901610958786247,-7.363438861865963,5,5,1.4054858109225623,6171.657933316756,-4225.659664830795,1945.998268485961
10,2024-05-09 10:15:00,2026-05-06 12:00:00,51,7.67220971227628,47.05882352941176,1.1768568233770038,15.043548455443688,-8.348655349734038,3,4,0.5356420021344691,5105.311843707847,-4338.09087248022,767.2209712276281
11,2024-05-15 11:15:00,2026-05-29 11:30:00,34,26.51632321390997,64.70588235294117,2.3208802973277263,77.98918592326463,-5.503666994616954,8,3,2.288027035894386,4659.105918169992,-2007.4735967789943,2651.6323213909973
12,2024-06-10 12:30:00,2026-05-29 10:45:00,22,5.060303684985644,40.909090909090914,1.280663877815105,23.001380386298386,-7.99454196620048,4,4,0.5160684841418317,2309.006841416559,-1802.9764729179942,506.0303684985645
13,2024-06-03 13:15:00,2026-04-29 04:00:00,13,-2.606380129632558,38.46153846153847,0.8053583028407751,-20.049077920250447,-8.49292508896022,2,5,-0.3488410478319921,1078.4276485431956,-1339.0656615064513,-260.6380129632558
14,2024-06-11 14:30:00,2026-03-22 19:15:00,12,11.874219923523096,58.333333333333336,2.6709756689369892,98.9518326960258,-3.122993594838182,3,3,1.4715248930389486,1898.0379602722387,-710.6159679199291,1187.4219923523096
15,2024-07-31 15:45:00,2026-03-18 19:00:00,13,-1.3540749404097188,30.76923076923077,0.9061801882494714,-10.415961080074759,-6.508728551542362,2,4,-0.151160077413608,1307.8643641570275,-1443.2718581979993,-135.40749404097187
16,2025-03-03 16:30:00,2025-10-21 01:00:00,4,-1.6384554190198,25.0,0.6799689624825195,-40.961385475495,-1.917387594432178,1,2,-0.3144815499169238,348.1221196503172,-511.96766155229716,-163.84554190198
18,2024-12-23 18:30:00,2026-04-08 05:30:00,14,-8.51247254811469,35.714285714285715,0.543949915301548,-60.803375343676365,-9.491323880348702,2,4,-1.0630887943476572,1015.3180268819402,-1866.5652816934094,-851.2472548114691
19,2024-10-23 19:15:00,2026-05-11 21:30:00,17,-10.129166719314133,29.411764705882355,0.5633914386135669,-59.58333364302432,-11.646554704237456,2,7,-1.113016605336574,1307.0485360684863,-2319.9652079998996,-1012.9166719314134
20,2024-05-19 20:45:00,2026-05-06 01:45:00,24,15.122640941218613,54.166666666666664,1.773697158651377,63.01100392174422,-6.114324029147335,6,4,1.2830064971436967,3466.8584431018585,-1954.594348979997,1512.2640941218613
21,2024-05-09 21:30:00,2026-05-20 22:15:00,26,8.79936009523926,50.0,1.4197237784922219,33.843692673997154,-7.2006567652509235,3,3,0.8191207214331632,2976.4005288440585,-2096.4645193201327,879.936009523926
22,2024-12-05 22:15:00,2026-01-02 08:30:00,10,13.606116568863133,70.0,4.137480500561549,136.06116568863132,-1.7765001635291322,6,2,2.158560188711715,1794.2754379497462,-433.6637810634329,1360.6116568863133
23,2024-07-30 23:30:00,2026-01-21 02:00:00,11,9.051164903530962,63.63636363636363,2.30852942322396,82.28331730482692,-3.649786979681391,5,2,1.2871628130168482,1596.8216016704002,-691.7051113173038,905.1164903530962
