time,type,side,pnl,balance
2024-05-09 15:48:52.004,partial,BUY,116.31994247884411,10116.319942478844
2024-05-09 21:02:01.072,final,BUY,83.08567319917347,10199.405615678017
2024-05-10 02:44:16.243,partial,BUY,116.91314850178651,10316.318764179803
2024-05-10 05:10:13.963,final,BUY,68.32586600753892,10384.644630187342
2024-05-10 08:28:05.941,final,BUY,-102.39715206438814,10282.247478122954
2024-05-13 07:36:31.465,final,SELL,-101.45964724524994,10180.787830877704
2024-05-15 05:38:32.387,final,BUY,-101.85422984696197,10078.933601030742
2024-05-15 06:48:13.417,final,BUY,-100.8236848716265,9978.109916159116
2024-05-17 09:36:58.906,final,BUY,-101.37772591130123,9876.732190247814
2024-05-17 16:32:53.101,partial,BUY,114.07053084284036,9990.802721090655
2024-05-19 21:00:03.169,final,BUY,69.8391005160247,10060.64182160668
2024-05-20 01:46:54.340,partial,BUY,113.44247064729733,10174.084292253976
2024-05-20 02:38:02.709,final,BUY,0.0,10174.084292253976
2024-05-23 05:16:11.189,final,SELL,-98.32281882075085,10075.761473433226
2024-05-23 16:31:10.901,partial,SELL,118.82850702930664,10194.589980462531
2024-05-24 09:29:44.318,final,SELL,0.0,10194.589980462531
2024-05-27 21:14:35.054,final,BUY,-103.03278056210866,10091.557199900422
2024-05-29 20:37:02.635,partial,SELL,120.66928364243459,10212.226483542858
2024-05-29 22:41:17.157,final,SELL,73.87915325047015,10286.105636793327
2024-06-04 04:02:52.986,partial,SELL,121.31047295539337,10407.41610974872
2024-06-04 04:41:03.504,final,SELL,77.98530404275425,10485.401413791475
2024-06-04 06:18:50.095,final,SELL,-103.01321534760746,10382.388198443867
2024-06-04 08:30:00.374,final,SELL,-104.803916862842,10277.584281581025
2024-06-04 11:14:30.512,final,SELL,-101.47468495732028,10176.109596623704
2024-06-05 10:06:32.725,final,BUY,-103.18282266873666,10072.926773954969
2024-06-05 21:14:11.637,partial,BUY,119.01234819175215,10191.939122146721
2024-06-05 21:26:06.139,final,BUY,68.00705610957266,10259.946178256294
2024-06-06 04:36:52.794,final,BUY,-105.71893028367505,10154.227247972618
2024-06-07 00:33:06.813,partial,BUY,116.8269173456356,10271.054165318254
2024-06-07 02:19:33.784,final,BUY,0.0,10271.054165318254
2024-06-07 15:59:51.420,partial,SELL,120.93401152124252,10391.988176839495
2024-06-10 12:27:29.219,final,SELL,0.0,10391.988176839495
2024-06-10 21:02:44.357,final,BUY,-103.50733540629335,10288.480841433202
2024-06-14 05:23:28.298,final,BUY,-101.67036470202856,10186.810476731174
2024-06-14 06:52:18.443,partial,BUY,120.81435723517056,10307.624833966345
2024-06-14 07:46:59.474,final,BUY,73.96797381745,10381.592807783796
2024-06-14 09:31:58.184,final,BUY,-107.03866481744035,10274.554142966355
2024-06-20 04:04:55.357,final,BUY,-104.74922785345188,10169.804915112903
2024-06-21 04:16:10.162,partial,BUY,117.6691781711847,10287.474093284089
2024-06-21 09:25:31.047,final,BUY,0.0,10287.474093284089
2024-06-21 13:28:48.535,partial,SELL,124.03246336574958,10411.506556649838
2024-06-24 03:41:28.845,final,SELL,0.0,10411.506556649838
2024-06-26 11:14:01.445,final,SELL,-103.03447410263334,10308.472082547205
2024-06-27 07:41:16.567,partial,BUY,120.88167368404532,10429.35375623125
2024-06-27 08:07:25.019,final,BUY,80.38929038101742,10509.743046612268
2024-06-27 08:40:01.640,partial,BUY,120.79597722835788,10630.539023840625
2024-06-27 10:01:06.814,final,BUY,73.95672075205584,10704.495744592681
2024-06-27 21:07:29.855,final,BUY,-104.6500538739374,10599.845690718743
2024-06-28 01:50:38.648,final,SELL,-106.4551558885978,10493.390534830145
