time,bar_i,type,side,pnl,balance
2024-05-09 15:45:00,615,partial,BUY,121.10280000000311,10121.102800000002
2024-05-09 21:00:00,632,final,BUY,83.07187102951866,10204.174671029521
2024-05-10 02:30:00,654,partial,BUY,120.42800000000251,10324.602671029523
2024-05-10 05:00:00,664,final,BUY,68.31278642191819,10392.915457451441
2024-05-10 08:30:00,678,final,BUY,-102.38333494614562,10290.532122505296
2024-05-13 07:30:00,766,final,SELL,-101.45964724524994,10189.072475260045
2024-05-15 05:30:00,942,final,BUY,-101.83619992835702,10087.236275331688
2024-05-15 06:45:00,947,final,BUY,-100.8079451624558,9986.428330169232
2024-05-17 09:30:00,1142,final,BUY,-101.36591369357346,9885.06241647566
2024-05-17 16:30:00,1170,partial,BUY,114.05315432676227,9999.115570802422
2024-05-19 20:45:00,1183,final,BUY,69.82846183271067,10068.944032635132
2024-05-20 01:45:00,1203,partial,BUY,117.88699999999959,10186.831032635131
2024-05-20 02:30:00,1206,final,BUY,0.0,10186.831032635131
2024-05-23 05:15:00,1493,final,SELL,-98.32281882075085,10088.50821381438
2024-05-23 16:15:00,1537,partial,SELL,118.82850702931044,10207.33672084369
2024-05-24 09:15:00,1601,final,SELL,0.0,10207.33672084369
2024-05-27 21:00:00,1726,final,BUY,-103.01629122331451,10104.320429620377
2024-05-29 08:45:00,1865,partial,SELL,120.66825354664365,10224.988683167021
2024-05-29 08:45:00,1865,final,SELL,0.0,10224.988683167021
2024-05-29 22:30:00,1916,partial,SELL,116.23660019773232,10341.225283364753
2024-05-30 01:45:00,1929,final,SELL,77.83700906098603,10419.062292425739
2024-06-04 04:00:00,2214,partial,SELL,167.4400000000005,10586.50229242574
2024-06-04 04:30:00,2216,final,SELL,77.98364266359295,10664.485935089331
2024-06-04 06:15:00,2223,final,SELL,-107.13374396151177,10557.352191127819
2024-06-04 08:30:00,2232,final,SELL,-104.8052668152777,10452.54692431254
2024-06-04 11:15:00,2243,final,SELL,-101.47293581222768,10351.073988500313
2024-06-05 10:00:00,2330,final,BUY,-103.16532976047847,10247.908658739834
2024-06-05 21:00:00,2370,partial,BUY,149.72999999999752,10397.638658739832
2024-06-05 21:15:00,2371,final,BUY,67.99518966009236,10465.633848399924
2024-06-06 05:30:00,2404,final,BUY,-105.70370186675247,10359.930146533172
2024-06-07 00:30:00,2476,partial,BUY,128.43039999999598,10488.360546533168
2024-06-07 02:15:00,2483,final,BUY,0.0,10488.360546533168
2024-06-07 15:45:00,2537,partial,SELL,120.93610329399758,10609.296649827165
2024-06-10 12:15:00,2615,final,SELL,0.0,10609.296649827165
2024-06-10 21:00:00,2646,final,BUY,-103.48821278686728,10505.808437040298
2024-06-14 05:15:00,2955,final,BUY,-106.27433614902884,10399.53410089127
2024-06-14 06:45:00,2961,partial,BUY,120.7935631598757,10520.327664051145
2024-06-14 07:45:00,2965,final,BUY,73.95524275094431,10594.28290680209
2024-06-14 09:30:00,2972,final,BUY,-107.02396930548186,10487.258937496606
2024-06-20 04:00:00,3308,final,BUY,-104.73280277997401,10382.526134716632
2024-06-21 01:45:00,3391,partial,BUY,124.57079850359231,10507.096933220224
2024-06-21 03:15:00,3397,final,BUY,0.0,10507.096933220224
2024-06-21 08:45:00,3419,final,BUY,-106.16509207185345,10400.931841148371
2024-06-21 13:15:00,3437,partial,SELL,129.55600000000248,10530.487841148373
2024-06-24 03:30:00,3490,final,SELL,0.0,10530.487841148373
2024-06-26 11:15:00,3705,final,SELL,-103.03447410263334,10427.45336704574
2024-06-27 07:30:00,3782,partial,BUY,120.86179634661906,10548.315163392359
2024-06-27 08:00:00,3784,final,BUY,80.37607146203527,10628.691234854394
2024-06-27 08:30:00,3786,partial,BUY,125.04535116741636,10753.73658602181
2024-06-27 08:30:00,3786,final,BUY,0.0,10753.73658602181
2024-06-27 10:00:00,3792,partial,BUY,126.90013358741452,10880.636719609225
2024-06-27 10:15:00,3793,final,BUY,0.0,10880.636719609225
2024-06-27 14:45:00,3811,final,BUY,-108.56358200484372,10772.073137604382
2024-06-28 01:45:00,3851,final,SELL,-105.51948304403595,10666.553654560346
2024-07-03 03:30:00,4134,final,BUY,-107.70589419181398,10558.847760368531
2024-07-03 04:45:00,4139,final,BUY,-104.02092625456088,10454.82683411397
2024-07-03 07:15:00,4149,final,BUY,-105.59866009062262,10349.228174023348
2024-07-03 09:30:00,4158,partial,BUY,131.78969999999916,10481.017874023348
2024-07-03 09:30:00,4158,final,BUY,0.0,10481.017874023348
2024-07-03 10:15:00,4161,partial,BUY,124.94802183989677,10605.965895863244
2024-07-03 12:45:00,4171,final,BUY,0.0,10605.965895863244
2024-07-05 09:30:00,4332,partial,BUY,165.8475000000055,10771.81339586325
2024-07-05 09:30:00,4332,final,BUY,0.0,10771.81339586325
2024-07-07 20:00:00,4370,final,BUY,-110.32459665548005,10661.48879920777
2024-07-08 08:15:00,4419,final,SELL,-108.30643299356097,10553.182366214209
2024-07-08 19:00:00,4458,final,SELL,-107.69260813470555,10445.489758079504
2024-07-10 08:15:00,4603,partial,BUY,120.54046956296256,10566.030227642466
2024-07-10 09:45:00,4609,final,BUY,78.61334971497081,10644.643577357438
2024-07-10 10:15:00,4611,final,BUY,-107.08862718287129,10537.554950174566
2024-07-10 13:15:00,4623,final,BUY,-104.32099235497571,10433.23395781959
2024-07-15 11:00:00,4890,partial,BUY,122.56020000000399,10555.794157819593
2024-07-15 12:30:00,4896,final,BUY,71.65304354325144,10627.447201362844
2024-07-16 08:30:00,4972,final,BUY,-108.18886225132611,10519.258339111517
2024-07-16 11:00:00,4982,partial,BUY,133.1820000000014,10652.440339111517
2024-07-16 11:15:00,4983,final,BUY,72.7604974684491,10725.200836579967
2024-07-16 21:15:00,5019,partial,BUY,121.49317980453156,10846.694016384497
2024-07-17 02:00:00,5038,final,BUY,0.0,10846.694016384497
2024-07-18 20:00:00,5198,partial,SELL,124.86419179184122,10971.558208176339
2024-07-18 21:00:00,5202,final,SELL,71.35096673819498,11042.909174914534
2024-07-19 06:00:00,5238,partial,SELL,127.30900000000216,11170.218174914537
2024-07-19 08:30:00,5248,final,SELL,82.62243439439953,11252.840609308936
2024-07-21 19:45:00,5289,final,SELL,-114.35298955671898,11138.487619752217
2024-07-23 22:15:00,5483,partial,BUY,133.77979999999843,11272.267419752216
2024-07-23 23:15:00,5487,final,BUY,87.99583087026896,11360.263250622485
2024-07-25 10:00:00,5622,partial,SELL,144.77540000000135,11505.038650622486
2024-07-25 13:15:00,5635,final,SELL,83.84337199440051,11588.882022616886
2024-07-28 18:00:00,5742,partial,BUY,156.2274000000043,11745.10942261689
2024-07-28 18:15:00,5743,final,BUY,80.95645064833661,11826.065873265226
2024-07-29 13:30:00,5820,final,SELL,-116.10103902012135,11709.964834245106
2024-07-30 23:15:00,5947,partial,BUY,156.47800000000188,11866.442834245106
2024-07-31 00:45:00,5953,final,BUY,85.92303438307317,11952.36586862818
2024-07-31 14:30:00,6008,partial,BUY,155.65200000000453,12108.017868628183
2024-07-31 15:15:00,6011,final,BUY,85.88835889340316,12193.906227521587
2024-07-31 22:45:00,6037,final,BUY,-122.47656498399012,12071.429662537597
2024-08-05 08:30:00,6260,partial,SELL,140.36127688232295,12211.79093941992
2024-08-05 09:00:00,6262,final,SELL,0.0,12211.79093941992
2024-08-05 11:00:00,6270,final,SELL,-129.33070907949514,12082.460230340424
2024-08-08 09:00:00,6538,final,BUY,-119.12394952573777,11963.336280814687
2024-08-08 10:15:00,6543,partial,BUY,142.29600000000426,12105.63228081469
2024-08-08 10:45:00,6545,final,BUY,0.0,12105.63228081469
2024-08-08 13:15:00,6555,partial,BUY,141.01490306325385,12246.647183877945
2024-08-09 06:30:00,6620,final,BUY,83.937442299557,12330.584626177502
2024-08-12 11:00:00,6730,partial,BUY,177.44999999999774,12508.0346261775
2024-08-12 12:00:00,6734,final,BUY,100.5396970574111,12608.57432323491
2024-08-12 18:30:00,6756,partial,BUY,146.80343643711947,12755.37775967203
2024-08-12 21:15:00,6767,final,BUY,0.0,12755.37775967203
2024-08-15 08:30:00,6996,final,BUY,-124.2806505789058,12631.097109093123
2024-08-16 08:00:00,7086,partial,BUY,142.84900000000104,12773.946109093124
2024-08-16 08:45:00,7089,final,BUY,90.94822026506016,12864.894329358183
2024-08-16 14:30:00,7112,partial,BUY,183.3874000000019,13048.281729358185
2024-08-16 15:45:00,7117,final,BUY,91.71320121370991,13139.994930571895
2024-08-18 21:00:00,7134,final,BUY,-126.39789141156005,13013.597039160335
2024-08-22 10:00:00,7462,partial,SELL,157.51399999999646,13171.11103916033
2024-08-22 10:00:00,7462,final,SELL,0.0,13171.11103916033
2024-08-22 19:45:00,7497,final,SELL,-130.7072783337344,13040.403760826597
2024-08-23 10:00:00,7554,partial,BUY,341.5230000000031,13381.9267608266
2024-08-23 10:00:00,7554,final,BUY,0.0,13381.9267608266
2024-08-28 08:30:00,7824,partial,SELL,154.16474667761895,13536.09150750422
2024-08-28 09:00:00,7826,final,SELL,0.0,13536.09150750422
2024-08-28 20:00:00,7866,final,SELL,-135.31297667364015,13400.77853083058
2024-09-02 04:45:00,8085,final,SELL,-134.79730725486343,13265.981223575716
2024-09-04 05:30:00,8262,final,SELL,-131.6153923691718,13134.365831206545
2024-09-05 04:15:00,8349,partial,BUY,188.2579999999965,13322.623831206542
2024-09-05 04:30:00,8350,final,BUY,97.06759817292095,13419.691429379462
2024-09-05 08:30:00,8366,partial,BUY,158.85375613218093,13578.545185511643
2024-09-05 09:00:00,8368,final,BUY,0.0,13578.545185511643
2024-09-06 16:45:00,8491,final,SELL,-139.32838054054085,13439.216804971102
2024-09-11 03:45:00,8715,final,BUY,-133.39982028404938,13305.816984687051
2024-09-11 06:15:00,8725,final,BUY,-133.68212364034844,13172.134861046703
2024-09-12 09:45:00,8831,partial,BUY,157.4809142457943,13329.615775292497
2024-09-12 14:30:00,8850,final,BUY,101.23773058658207,13430.85350587908
2024-09-13 03:45:00,8899,partial,BUY,154.0367473832464,13584.890253262327
2024-09-13 09:15:00,8921,final,BUY,88.0209985047095,13672.911251767036
2024-09-15 23:00:00,8972,partial,BUY,161.4340385682506,13834.345290335286
2024-09-16 06:45:00,9003,final,BUY,0.0,13834.345290335286
2024-09-17 19:00:00,9140,final,SELL,-141.19752372351923,13693.147766611768
2024-09-20 02:45:00,9355,partial,BUY,175.9408000000032,13869.088566611772
2024-09-20 04:30:00,9362,final,BUY,110.15552302184233,13979.244089633614
2024-09-20 05:45:00,9367,final,BUY,-141.20577079027908,13838.038318843335
2024-09-20 09:30:00,9382,final,BUY,-138.6553909370332,13699.382927906303
2024-09-20 12:00:00,9392,partial,BUY,158.5416002661349,13857.924528172438
