date,rows,start,end,spread_median,spread_p95,spread_max
2026-06-22,533150,2026-06-22 01:00:01.564000,2026-06-22 23:58:58.956000,2.5,2.75,16.5
2026-06-23,645009,2026-06-23 01:00:01.298000,2026-06-23 23:58:58.453000,2.5,2.5,14.5
2026-06-24,641177,2026-06-24 01:00:01.331000,2026-06-24 23:58:59.077000,2.5,2.75,14.5
2026-06-25,562755,2026-06-25 01:00:01.387000,2026-06-25 23:58:59.046000,2.5,2.75,15.75
2026-06-26,628258,2026-06-26 01:00:01.364000,2026-06-26 23:58:59.407000,2.5,3.25,16.75
2026-06-29,581790,2026-06-29 01:00:01.393000,2026-06-29 23:58:58.826000,2.5,3.5,14.75
2026-06-30,508099,2026-06-30 01:00:01.196000,2026-06-30 23:58:58.423000,2.5,2.5,16.0
2026-07-01,513044,2026-07-01 01:00:01.510000,2026-07-01 23:58:59.106000,2.5,2.5,13.25
2026-07-02,629565,2026-07-02 01:00:01.608000,2026-07-02 23:58:59.015000,2.5,2.75,15.5
2026-07-03,227723,2026-07-03 01:00:01.602000,2026-07-03 19:58:59.315000,2.5,3.25,8.5
2026-07-06,522467,2026-07-06 01:00:01.699000,2026-07-06 23:58:59.050000,2.5,2.75,12.0
2026-07-07,547013,2026-07-07 01:00:01.373000,2026-07-07 23:58:56.498000,2.5,2.5,8.75
2026-07-08,625853,2026-07-08 01:00:01.777000,2026-07-08 23:58:59.111000,2.5,3.0,11.5
2026-07-09,534208,2026-07-09 01:00:01.489000,2026-07-09 23:58:59.085000,2.5,2.75,13.75
2026-07-10,114495,2026-07-10 01:00:01.460000,2026-07-10 08:11:41.725000,2.5,2.5,6.75
