window_ny,days,direction,median_pf,min_pf,median_return,min_return,worst_dd,total_trades,median_dsr,fold_pfs,score
all,all,long,0.6691397613373845,0.4549617842144589,-2.5193597042306726,-5.60742019478705,-5.607420194787046,97,0.002436722193823051,0.455|0.823|0.874|0.515,0.8951726871046897
03_17,mon_thu,both,0.9125974034259736,0.2569784370788393,-0.9780602693346852,-7.898384244834888,-7.898384244834888,89,0.007871729570139539,0.257|1.052|0.820|1.005,0.7924180563804472
03_13,mon_thu,both,0.9125974034259736,0.2569784370788393,-0.9780602693346852,-7.898384244834888,-7.898384244834888,89,0.007871729570139539,0.257|1.052|0.820|1.005,0.7924180563804472
all,mon_thu,both,0.6585207023283911,0.3743027803882844,-4.05358483971387,-8.495389591798485,-8.495389591798483,142,0.0008030472685579935,0.374|1.437|0.724|0.593,0.7375865560192938
03_17,all,both,0.6721552216397879,0.3067387240636106,-4.129771506390679,-8.643718356658558,-8.643718356658555,112,0.0011820678742113285,0.307|0.728|0.616|1.020,0.6785210935145773
03_13,all,both,0.6721552216397879,0.3067387240636106,-4.129771506390679,-8.643718356658558,-8.643718356658555,112,0.0011820678742113285,0.307|0.728|0.616|1.020,0.6785210935145773
all,mon_thu,short,0.9059052821729155,0.3435966170923709,-1.4210278735373616,-4.5547070346950935,-5.778817379398613,67,0.009885701552093217,0.344|1.507|0.494|1.318,0.6679042394583733
00_12,mon_thu,both,0.671371523112179,0.28261701571665115,-3.098583936865124,-8.642654837476726,-8.64265483747673,105,0.0009924109881608858,0.283|1.036|0.699|0.644,0.663921536533509
all,all,both,0.6385159304453746,0.3880948850169887,-6.321341056264385,-9.992998895056825,-10.705487531829364,176,0.0009330725236988049,0.388|1.020|0.557|0.720,0.6424193934495782
17_03,all,long,1.0334202038820728,0.3992813601180907,0.05759246877036217,-2.3894858812559483,-3.357705479199318,41,0.013794685908985456,1.095|1.784|0.972|0.399,0.6273052614936845
00_12,all,both,0.6470343102926317,0.3071895165713332,-5.324696010255048,-10.30016893768596,-10.300168937685958,134,0.0012323169204125648,0.307|0.743|0.551|0.851,0.5922182620149181
all,mon_thu,long,0.7138239781299487,0.3641032107185815,-1.965685146750329,-5.895522259305286,-5.895522259305289,75,0.006202806938807263,0.364|1.189|0.998|0.430,0.5826452309896297
03_17,mon_thu,short,0.9253000163794944,0.36913451313992784,-0.3965916863899799,-2.5273718371690124,-3.2263956396670173,46,0.010704014277705325,0.369|1.103|0.748|2.307,0.547817546321053
03_13,mon_thu,short,0.9253000163794944,0.36913451313992784,-0.3965916863899799,-2.5273718371690124,-3.2263956396670173,46,0.010704014277705325,0.369|1.103|0.748|2.307,0.547817546321053
all,all,short,0.728509116249165,0.277966543810617,-2.138286600944367,-8.470283628501186,-8.873460909353534,79,0.009877820522010522,0.278|1.113|0.344|1.849,0.4688645308741344
00_12,mon_thu,short,0.8771634737658123,0.32043042429234914,-1.1624793582187376,-3.5885010782867766,-5.778817379398613,54,0.01210795986911062,0.320|1.201|0.553|2.307,0.46302617506783794
17_03,all,both,0.545938778817905,0.47437635045443716,-2.125765750393099,-4.157083344351231,-5.535262156317733,66,0.001184687864864618,0.611|4.402|0.481|0.474,0.42523654465185223
17_03,mon_thu,long,1.1442264558873267,0.1947130698405596,0.2915150234279462,-3.2031996715704003,-3.596093861980789,32,0.017488350967315318,0.996|1.580|1.292|0.195,0.42146953029620526
00_12,all,long,0.5267481553575266,0.3455905751886074,-2.3650403708103562,-5.898667393557311,-5.898667393557316,69,0.0003367435130554235,0.346|0.494|0.816|0.560,0.29979565373392203
03_13,all,short,0.6559199997340215,0.33902790675794336,-2.189128420651909,-4.259477327335793,-5.033110270218053,56,0.002916096469723106,0.339|0.838|0.474|3.698,0.29464653347284886
03_17,all,short,0.6559199997340215,0.33902790675794336,-2.189128420651909,-4.259477327335793,-5.033110270218053,56,0.002916096469723106,0.339|0.838|0.474|3.698,0.29464653347284886
17_03,mon_thu,both,0.6577986996179614,0.30977254366250145,-1.6850737762451995,-3.4121179249846145,-4.914084283552857,55,0.002096740175153728,0.730|4.198|0.586|0.310,0.26371732504645584
00_12,all,short,0.6581944648407518,0.2560739800059954,-2.6787416548983307,-6.549590200610078,-7.91243066001728,65,0.00432812867261683,0.256|0.912|0.404|3.698,0.23097373423176898
03_17,all,long,0.5559734107851643,0.3031808043540549,-1.5502658637033595,-5.456500136635956,-5.45650013663595,56,0.0008670157089385981,0.303|0.500|0.808|0.612,0.15212995554489472
03_13,all,long,0.5559734107851643,0.3031808043540549,-1.5502658637033595,-5.456500136635956,-5.45650013663595,56,0.0008670157089385981,0.303|0.500|0.808|0.612,0.15212995554489472
03_17,mon_thu,long,0.7780772075910842,0.18650304751707988,-0.724395763171265,-5.720109387776229,-5.720109387776229,43,0.004867542017406712,0.187|0.817|0.893|0.739,0.10270652424664584
03_13,mon_thu,long,0.7780772075910842,0.18650304751707988,-0.724395763171265,-5.720109387776229,-5.720109387776229,43,0.004867542017406712,0.187|0.817|0.893|0.739,0.10270652424664584
00_12,mon_thu,long,0.5571059994510525,0.2414851454610027,-1.7169296546454105,-6.230934547443779,-6.230934547443776,51,0.0011247779354137933,0.241|0.650|0.893|0.464,0.006718767529370839
17_03,mon_thu,short,0.4903018807469835,0.20959531487464647,-0.5630111879870114,-3.116285927072293,-3.8241204436262244,23,0.005041445613738086,0.253|inf|0.210|0.728,-0.34344824044427924
17_03,all,short,0.44822046888330813,0.13523327546791986,-1.0538301335528855,-4.070773398555083,-4.771634408938253,25,0.0045475025941192895,0.135|inf|0.169|0.728,-0.46932408873362463
07_17,all,both,0.0,0.0,-1.123243098380472,-3.0898806356657205,-3.0898806356657222,10,5.474723541721203e-06,0.000|0.000|0.468|0.000,-1.1839277551090681
07_17,mon_thu,both,0.0,0.0,-1.066907151026164,-2.0567937252567337,-2.056793725256739,7,1.4328481108442514e-05,0.000|0.000|6.262|0.000,-1.1883700175717422
07_17,all,long,0.0,0.0,-1.066907151026164,-2.0567937252567337,-2.056793725256739,5,1.4328481108442514e-05,0.000|0.000|0.000|0.000,-1.2123700175717422
08_17,all,both,0.0,0.0,-1.066907151026164,-2.0567937252567337,-2.056793725256739,5,1.4328481108442514e-05,0.000|0.000|0.000|0.000,-1.2123700175717422
08_17,mon_thu,both,0.0,0.0,-1.066907151026164,-2.0567937252567337,-2.056793725256739,5,1.4328481108442514e-05,0.000|0.000|0.000|0.000,-1.2123700175717422
09_16,all,both,0.0,0.0,-1.066907151026164,-2.0567937252567337,-2.056793725256739,5,1.4328481108442514e-05,0.000|0.000|0.000|0.000,-1.2123700175717422
09_16,mon_thu,both,0.0,0.0,-1.066907151026164,-2.0567937252567337,-2.056793725256739,5,1.4328481108442514e-05,0.000|0.000|0.000|0.000,-1.2123700175717422
07_17,all,short,0.0,0.0,-0.07379000748622411,-1.0330869104089868,-1.171096506931928,5,,0.000|0.000|0.875|0.000,
07_17,mon_thu,long,0.0,0.0,-1.066907151026164,-2.0567937252567337,-2.056793725256739,4,,0.000|0.000|0.000|0.000,
07_17,mon_thu,short,0.0,0.0,0.0,0.0,-0.45331368625832835,3,,0.000|0.000|6.262|0.000,
08_17,all,long,0.0,0.0,-1.066907151026164,-2.0567937252567337,-2.056793725256739,4,,0.000|0.000|0.000|0.000,
08_17,all,short,0.0,0.0,0.0,-0.1650999999999847,-0.45729999999999565,1,,0.000|0.000|0.000|0.000,
08_17,mon_thu,long,0.0,0.0,-1.066907151026164,-2.0567937252567337,-2.056793725256739,4,,0.000|0.000|0.000|0.000,
08_17,mon_thu,short,0.0,0.0,0.0,-0.1650999999999847,-0.45729999999999565,1,,0.000|0.000|0.000|0.000,
09_16,all,long,0.0,0.0,-1.066907151026164,-2.0567937252567337,-2.056793725256739,4,,0.000|0.000|0.000|0.000,
09_16,all,short,0.0,0.0,0.0,-0.1650999999999847,-0.45729999999999565,1,,0.000|0.000|0.000|0.000,
09_16,mon_thu,long,0.0,0.0,-1.066907151026164,-2.0567937252567337,-2.056793725256739,4,,0.000|0.000|0.000|0.000,
09_16,mon_thu,short,0.0,0.0,0.0,-0.1650999999999847,-0.45729999999999565,1,,0.000|0.000|0.000|0.000,
