model,check,passed,value,required
MEAN_REVERSION,tick_bid_ask_backtest,False,False,True
MEAN_REVERSION,closed_trades,False,119,200
MEAN_REVERSION,profit_factor,False,0.9499774111761967,1.2
MEAN_REVERSION,daily_sharpe,False,-0.11492360454900996,1.0
MEAN_REVERSION,deflated_sharpe_probability,False,0.006879694767216273,0.8
MEAN_REVERSION,max_drawdown_pct,True,-7.9201223874732705,-15.0
MEAN_REVERSION,bootstrap_pf_p05,False,0.6542627997951023,1.0
MEAN_REVERSION,minimum_quarter_profit_factor,False,0.36211450730391875,0.9
MEAN_REVERSION,winner_concentration,True,18.10277073146434,40.0
MEAN_REVERSION,is_median_profit_factor,False,0.6772013118585392,1.05
MEAN_REVERSION,nested_min_fold_profit_factor,False,,1.0
MEAN_REVERSION,nested_walk_forward_complete,False,False,True
MEAN_REVERSION,virgin_holdout,False,False,True
MEAN_REVERSION,python_mt5_signal_parity,False,False,True
MEAN_REVERSION,mt5_every_tick_parity,False,False,True
MEAN_REVERSION,paper_forward_closed_trades,False,0,60
MEAN_REVERSION,paper_forward_profit_factor,False,0.0,1.1
TREND_FOLLOW,tick_bid_ask_backtest,True,True,True
TREND_FOLLOW,closed_trades,False,150,200
TREND_FOLLOW,profit_factor,False,1.1545867021011722,1.2
TREND_FOLLOW,daily_sharpe,False,0.520976899017183,1.0
TREND_FOLLOW,deflated_sharpe_probability,False,0.06301541216035915,0.8
TREND_FOLLOW,max_drawdown_pct,True,-6.343385296283167,-15.0
TREND_FOLLOW,bootstrap_pf_p05,False,0.8755058030305084,1.0
TREND_FOLLOW,minimum_quarter_profit_factor,False,0.5277335714416292,0.9
TREND_FOLLOW,winner_concentration,True,7.731528752624879,40.0
TREND_FOLLOW,is_median_profit_factor,False,0.990573450309147,1.05
TREND_FOLLOW,nested_min_fold_profit_factor,False,0.9249059864755732,1.0
TREND_FOLLOW,nested_walk_forward_complete,True,True,True
TREND_FOLLOW,virgin_holdout,False,False,True
TREND_FOLLOW,python_mt5_signal_parity,False,False,True
TREND_FOLLOW,mt5_every_tick_parity,False,False,True
TREND_FOLLOW,paper_forward_closed_trades,False,2,60
TREND_FOLLOW,paper_forward_profit_factor,False,0.0,1.1
