entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance
2021-06-24 07:15:00,2021-06-28 15:45:00,35,247,BUY,14355.039,14526.664305909297,TP,0.09,212,True,239.6954282730128,0.02396954282730128,10239.695428273013
2021-06-28 16:00:00,2021-06-29 04:00:00,248,289,BUY,14521.489,14477.094889531774,SL,0.12,41,False,-107.2658651237408,-0.010726586512374079,10132.429563149271
2021-06-29 07:15:00,2021-06-29 20:15:00,302,347,BUY,14504.117,14603.65818775032,TP,0.15,45,True,231.2961047507448,0.02312961047507448,10363.725667900017
2021-06-29 20:30:00,2021-06-30 04:15:00,348,379,BUY,14604.119,14571.43040833861,SL,0.16,31,False,-105.56349331644829,-0.01055634933164483,10258.16217458357
2021-06-30 07:45:00,2021-06-30 09:30:00,393,400,BUY,14572.367,14549.045467681119,SL,0.22,7,False,-103.93474220307863,-0.010393474220307862,10154.22743238049
2021-06-30 11:15:00,2021-06-30 12:15:00,407,411,BUY,14567.829,14541.971020384395,SL,0.2,4,False,-104.63191846241826,-0.010463191846241825,10049.595513918071
2021-06-30 15:45:00,2021-07-01 06:15:00,425,476,BUY,14567.119,14532.969974357666,SL,0.15,51,False,-103.34707692700468,-0.010334707692700468,9946.248436991067
2021-07-01 14:00:00,2021-07-02 08:30:00,507,574,BUY,14525.369,14635.571485239037,TP,0.14,67,True,234.191968509945,0.0234191968509945,10180.44040550101
2021-07-05 07:15:00,2021-07-05 12:45:00,658,680,BUY,14713.039,14696.489756599674,SL,0.31,22,False,-104.4653090820231,-0.01044653090820231,10075.975096418988
2021-07-05 18:30:00,2021-07-05 21:30:00,683,695,BUY,14712.997,14697.10114973655,SL,0.32,12,False,-103.65344168607146,-0.010365344168607146,9972.321654732916
2021-07-06 07:15:00,2021-07-06 10:00:00,734,745,BUY,14731.409,14780.188798553023,TP,0.31,11,True,228.8843798176377,0.02288843798176377,10201.206034550552
2021-07-06 10:15:00,2021-07-06 10:30:00,746,747,BUY,14793.659,14773.889778663006,SL,0.26,1,False,-104.35995095236737,-0.010435995095236737,10096.846083598186
2021-07-06 10:45:00,2021-07-06 11:00:00,748,749,BUY,14756.387,14729.556961211403,SL,0.19,1,False,-103.09414739667031,-0.01030941473966703,9993.751936201515
2021-07-06 14:00:00,2021-07-07 09:15:00,761,831,BUY,14744.287,14883.533046940065,TP,0.11,70,True,231.3634115667765,0.02313634115667765,10225.115347768291
2021-07-07 09:30:00,2021-07-07 09:45:00,832,833,BUY,14879.467,14851.29454601675,SL,0.18,1,False,-102.50083433970111,-0.010250083433970112,10122.61451342859
2021-07-07 14:30:00,2021-07-08 03:00:00,852,895,BUY,14823.129,14768.02871830779,SL,0.09,43,False,-99.7205070459781,-0.00997205070459781,10022.894006382612
2021-07-08 10:15:00,2021-07-08 11:00:00,924,927,BUY,14639.539,14584.682537438786,SL,0.09,3,False,-99.28163261018584,-0.009928163261018584,9923.612373772427
2021-07-08 11:30:00,2021-07-12 04:45:00,929,1080,BUY,14655.299,14849.496667988667,TP,0.08,151,True,232.51720158639972,0.023251720158639973,10156.129575358827
2021-07-12 07:15:00,2021-07-12 10:00:00,1090,1101,BUY,14848.839,14819.542605288165,SL,0.17,11,False,-100.62774202023932,-0.010062774202023932,10055.501833338589
2021-07-12 14:30:00,2021-07-13 08:30:00,1119,1184,BUY,14866.147,14866.047,SL,0.16,65,True,139.5091247397859,0.01395091247397859,10195.010958078376
2021-07-13 08:45:00,2021-07-13 09:00:00,1185,1186,BUY,14864.037,14845.596634856945,SL,0.28,1,False,-104.94604480110692,-0.010494604480110692,10090.064913277269
2021-07-13 10:15:00,2021-07-13 13:15:00,1191,1203,BUY,14941.669,14892.751144032156,SL,0.1,12,False,-98.43571193568788,-0.009843571193568788,9991.62920134158
2021-07-14 07:15:00,2021-07-14 11:45:00,1268,1286,BUY,14928.949,14888.667972633935,SL,0.12,18,False,-97.3944656785566,-0.00973944656785566,9894.234735663023
