entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance
2021-06-24 07:15:00,2021-06-28 10:00:00,35,224,BUY,14355.039,14474.192684659234,TP,0.1,189,True,182.05564981082534,0.018205564981082535,10182.055649810825
2021-06-28 10:15:00,2021-06-29 14:00:00,225,329,BUY,14480.897,14565.252530971164,TP,0.15,104,True,195.86290559937845,0.019586290559937845,10377.918555410204
2021-06-29 14:15:00,2021-06-30 05:30:00,330,384,BUY,14568.999,14537.721492236025,SL,0.17,54,False,-107.36352639751306,-0.010736352639751305,10270.55502901269
2021-06-30 07:45:00,2021-06-30 09:30:00,393,400,BUY,14572.367,14552.9157230676,SL,0.27,7,False,-106.65689543496549,-0.010665689543496549,10163.898133577724
2021-06-30 11:15:00,2021-06-30 11:45:00,407,409,BUY,14567.829,14546.264016986996,SL,0.24,2,False,-104.95191846242,-0.010495191846242,10058.946215115304
2021-06-30 15:45:00,2021-07-01 05:45:00,425,474,BUY,14567.119,14538.644811964721,SL,0.18,49,False,-103.58707692700598,-0.010358707692700598,9955.359138188298
2021-07-01 14:00:00,2021-07-02 07:30:00,507,570,BUY,14525.369,14601.867948082665,TP,0.16,63,True,187.66407193723848,0.01876640719372385,10143.023210125537
2021-07-05 07:15:00,2021-07-05 12:45:00,658,680,BUY,14713.039,14699.231297166394,SL,0.37,22,False,-104.3970009686883,-0.01043970009686883,10038.626209156848
2021-07-05 18:30:00,2021-07-05 21:30:00,683,695,BUY,14712.997,14699.733791447126,SL,0.38,12,False,-103.08038500183508,-0.010308038500183508,9935.545824155013
2021-07-06 07:15:00,2021-07-06 09:30:00,734,743,BUY,14731.409,14765.25330455071,TP,0.37,9,True,189.39105912068706,0.018939105912068706,10124.9368832757
2021-07-06 09:45:00,2021-07-06 10:30:00,744,747,BUY,14757.937,14757.837,SL,0.32,3,True,113.49128424601848,0.011349128424601848,10238.428167521719
2021-07-06 10:45:00,2021-07-06 11:00:00,748,749,BUY,14756.387,14734.01196767617,SL,0.23,1,False,-104.30514868962244,-0.010430514868962244,10134.123018832097
2021-07-06 14:00:00,2021-07-07 03:45:00,761,809,BUY,14744.287,14840.955088152823,TP,0.13,48,True,192.496176305642,0.019249617630564198,10326.619195137739
2021-07-07 07:15:00,2021-07-07 09:30:00,823,832,BUY,14873.149,14849.611085933055,SL,0.22,9,False,-104.88682189455676,-0.010488682189455676,10221.732373243181
2021-07-07 09:45:00,2021-07-07 10:00:00,833,834,BUY,14861.479,14838.010396461268,SL,0.22,1,False,-104.58185557041753,-0.010458185557041753,10117.150517672764
2021-07-07 14:30:00,2021-07-08 02:30:00,852,893,BUY,14823.129,14777.195431923159,SL,0.11,41,False,-101.71384976905188,-0.010171384976905187,10015.436667903712
2021-07-08 10:15:00,2021-07-08 10:45:00,924,926,BUY,14639.539,14593.808614532321,SL,0.11,2,False,-101.26684802889446,-0.010126684802889446,9914.169819874818
2021-07-08 11:30:00,2021-07-08 22:00:00,929,964,BUY,14655.299,14655.199,SL,0.09,35,True,107.22314888259329,0.010722314888259329,10021.392968757413
2021-07-12 07:15:00,2021-07-12 09:30:00,1090,1099,BUY,14848.839,14848.739,SL,0.21,9,True,119.97164463263891,0.011997164463263892,10141.364613390053
2021-07-12 09:45:00,2021-07-12 10:00:00,1100,1101,BUY,14863.939,14840.182194164183,SL,0.21,1,False,-101.03858451043321,-0.010103858451043321,10040.32602887962
2021-07-12 14:30:00,2021-07-13 05:45:00,1119,1173,BUY,14866.147,14932.708517395731,TP,0.19,54,True,194.0204510274785,0.019402045102747848,10234.346479907097
2021-07-13 07:15:00,2021-07-13 08:30:00,1179,1184,BUY,14934.727,14918.971893473628,SL,0.33,5,False,-105.96370307405786,-0.010596370307405786,10128.38277683304
2021-07-13 08:45:00,2021-07-13 09:00:00,1185,1186,BUY,14864.037,14848.653362380788,SL,0.33,1,False,-103.51200828679984,-0.010351200828679984,10024.87076854624
2021-07-13 10:15:00,2021-07-13 13:15:00,1191,1203,BUY,14941.669,14900.88745336013,SL,0.12,12,False,-98.59571193568729,-0.00985957119356873,9926.275056610551
2021-07-14 07:15:00,2021-07-14 11:15:00,1268,1284,BUY,14928.949,14928.849,SL,0.15,16,True,110.41396490573571,0.011041396490573572,10036.689021516288
2021-07-14 11:30:00,2021-07-14 11:45:00,1285,1286,BUY,14927.079,14888.863981674409,SL,0.13,1,False,-100.13904764653606,-0.010013904764653605,9936.54997386975
2021-07-14 13:00:00,2021-07-14 15:45:00,1291,1302,BUY,14941.609,14893.710764014148,SL,0.1,11,False,-96.39647197170561,-0.00963964719717056,9840.153501898045
2021-07-15 18:00:00,2021-07-16 11:45:00,1393,1464,BUY,14783.457,14714.286320579702,SL,0.07,71,False,-97.25895118841758,-0.009725895118841758,9742.894550709627
2021-07-19 12:00:00,2021-07-19 12:30:00,1554,1556,BUY,14543.269,14487.182689229645,SL,0.09,2,False,-101.4953593866396,-0.01014953593866396,9641.399191322987
2021-07-19 18:00:00,2021-07-20 09:30:00,1571,1633,BUY,14598.539,14525.330044807775,SL,0.07,62,False,-102.91253726911559,-0.010291253726911559,9538.486654053871
2021-07-20 11:00:00,2021-07-20 15:00:00,1639,1655,BUY,14663.037,14779.411849676162,TP,0.1,16,True,177.7947695034505,0.01777947695034505,9716.28142355732
2021-07-20 15:15:00,2021-07-20 15:45:00,1656,1658,BUY,14786.577,14735.569711370534,SL,0.1,2,False,-102.61457725893123,-0.010261457725893123,9613.666846298389
2021-07-20 16:00:00,2021-07-21 07:45:00,1659,1715,BUY,14728.327,14676.7037821927,SL,0.09,56,False,-93.4617920531377,-0.00934617920531377,9520.20505424525
2021-07-21 10:00:00,2021-07-21 16:00:00,1724,1748,BUY,14765.569,14844.591176640644,TP,0.15,24,True,183.41841216150317,0.018341841216150317,9703.623466406754
2021-07-21 18:00:00,2021-07-22 16:00:00,1749,1837,BUY,14847.949,14944.978694109239,TP,0.12,88,True,180.34876233724472,0.018034876233724472,9883.972228743998
2021-07-22 18:00:00,2021-07-23 09:30:00,1838,1900,BUY,14989.619,14954.978015452944,SL,0.14,62,False,-97.83475673175985,-0.009783475673175985,9786.137472012239
2021-07-26 08:00:00,2021-07-26 08:30:00,1983,1985,BUY,15093.349,15066.28188607221,SL,0.18,2,False,-98.52161014004129,-0.00985216101400413,9687.615861872197
2021-07-26 10:00:00,2021-07-27 03:00:00,1991,2052,BUY,15109.899,15082.815169542899,SL,0.18,61,False,-98.58178964556254,-0.009858178964556253,9589.034072226634
2021-07-27 07:15:00,2021-07-27 09:15:00,2069,2077,BUY,15134.169,15108.710947796548,SL,0.19,8,False,-97.88059837311799,-0.0097880598373118,9491.153473853516
2021-07-27 15:15:00,2021-07-28 09:30:00,2101,2167,BUY,14920.569,14920.469,SL,0.07,66,True,111.07446613305082,0.011107446613305082,9602.227939986567
2021-07-28 09:45:00,2021-07-28 10:00:00,2168,2169,BUY,14920.617,15019.214724261472,TP,0.12,1,True,183.275751954749,0.018327575195474902,9785.503691941316
