entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance
2022-02-28 11:00:00,2022-02-28 12:45:00,64,71,BUY,14225.449,14080.02059293438,SL,0.03,7,False,-87.43704423937277,-0.008743704423937277,9912.562955760628
2022-03-03 09:15:00,2022-03-03 09:30:00,324,325,BUY,14393.409,14360.368896036623,SL,0.15,1,False,-100.02031189012851,-0.01000203118901285,9812.5426438705
2022-03-07 09:45:00,2022-03-07 10:00:00,504,505,BUY,13760.759,13716.720722347529,SL,0.11,1,False,-97.54421083543653,-0.009754421083543654,9714.998433035063
2022-03-09 09:45:00,2022-03-09 10:00:00,682,683,BUY,13553.339,13553.239,SL,0.09,1,True,90.17477375098801,0.0090174773750988,9805.173206786052
2022-03-09 10:30:00,2022-03-09 12:30:00,685,693,BUY,13631.167,13750.25543878885,TP,0.08,8,True,142.3861265466224,0.014238612654662239,9947.559333332674
2022-03-09 13:00:00,2022-03-09 13:45:00,695,698,BUY,13726.459,13664.70104637161,SL,0.08,3,False,-99.29272580542428,-0.009929272580542428,9848.26660752725
2022-03-09 15:30:00,2022-03-09 15:45:00,705,706,BUY,13773.769,13711.675446805395,SL,0.08,1,False,-99.8296851113683,-0.00998296851113683,9748.436922415882
2022-03-10 14:15:00,2022-03-10 15:00:00,789,792,BUY,13565.439,13565.339,SL,0.1,3,True,92.47232867840975,0.009247232867840975,9840.909251094292
2022-03-15 10:00:00,2022-03-15 10:30:00,1043,1045,BUY,13292.237,13389.20581427988,TP,0.1,2,True,148.03884856248408,0.014803884856248407,9988.948099656776
2022-03-15 10:45:00,2022-03-15 11:00:00,1046,1047,BUY,13377.569,13327.903148465399,SL,0.1,1,False,-99.93170306920146,-0.009993170306920146,9889.016396587574
2022-03-15 14:15:00,2022-03-16 00:15:00,1060,1093,BUY,13389.919,13499.982931215565,TP,0.09,33,True,153.5095037017921,0.01535095037017921,10042.525900289367
2022-03-16 09:30:00,2022-03-16 11:15:00,1130,1137,BUY,13824.319,13786.800341435697,SL,0.13,7,False,-98.32851226718601,-0.0098328512267186,9944.197388022181
2022-03-16 14:15:00,2022-03-16 14:45:00,1149,1151,BUY,13782.809,13945.415866488946,TP,0.06,2,True,151.3797420563502,0.015137974205635021,10095.577130078533
2022-03-16 17:00:00,2022-03-17 04:15:00,1153,1198,BUY,13986.069,13898.246245673741,SL,0.06,45,False,-105.74730519150995,-0.010574730519150996,9989.829824887023
2022-03-22 09:45:00,2022-03-22 11:00:00,1487,1492,BUY,14618.639,14618.538999999999,SL,0.13,5,True,91.33683994395716,0.009133683994395715,10081.16666483098
2022-03-22 13:15:00,2022-03-22 13:30:00,1501,1502,BUY,14636.629,14593.06928125096,SL,0.12,1,False,-105.26332499769661,-0.01052633249976966,9975.903339833283
2022-03-22 14:30:00,2022-03-23 04:30:00,1506,1555,BUY,14644.769,14600.703758170863,SL,0.11,49,False,-97.60353202410239,-0.009760353202410239,9878.29980780918
2022-03-24 10:45:00,2022-03-24 11:00:00,1669,1670,BUY,14661.679,14622.139402714785,SL,0.13,1,False,-103.5829529415584,-0.01035829529415584,9774.716854867622
2022-03-24 14:45:00,2022-03-24 23:45:00,1685,1714,BUY,14723.979,14805.488940753079,TP,0.12,29,True,151.37855607241335,0.015137855607241334,9926.095410940034
2022-03-28 15:15:00,2022-03-29 02:45:00,1857,1896,BUY,14936.589,15034.581157577248,TP,0.1,39,True,149.60797495177977,0.014960797495177976,10075.703385891813
2022-03-29 08:15:00,2022-03-29 08:30:00,1918,1919,BUY,15091.139,15145.775305833438,TP,0.18,1,True,148.1725692780713,0.01481725692780713,10223.875955169886
2022-03-29 08:45:00,2022-03-29 09:30:00,1920,1923,BUY,15127.537,15190.240513535922,TP,0.16,3,True,153.63533338860458,0.015363533338860457,10377.511288558491
2022-03-29 14:15:00,2022-03-30 03:00:00,1942,1986,BUY,15185.049,15184.949,SL,0.11,44,True,99.48368355560036,0.009948368355560037,10476.994972114093
2022-04-04 10:15:00,2022-04-04 11:45:00,2282,2288,BUY,15031.759,15110.988519081817,TP,0.13,6,True,157.6190381636344,0.01576190381636344,10634.614010277726
2022-04-04 15:00:00,2022-04-05 05:45:00,2301,2353,BUY,15125.429,15125.329,SL,0.12,52,True,90.66314999007997,0.009066314999007997,10725.277160267808
2022-04-06 14:00:00,2022-04-06 14:15:00,2475,2476,BUY,14514.057,14472.627425851622,SL,0.13,1,False,-108.49689278578379,-0.010849689278578378,10616.780267482023
2022-04-07 15:30:00,2022-04-07 20:30:00,2570,2583,BUY,14570.839,14519.318699408022,SL,0.1,13,False,-103.640601183955,-0.0103640601183955,10513.139666298068
2022-04-13 13:00:00,2022-04-13 13:45:00,2916,2919,BUY,14184.259,14137.843446533176,SL,0.11,3,False,-102.77421762701357,-0.010277421762701357,10410.365448671055
2022-04-13 15:45:00,2022-04-14 06:30:00,2927,2979,BUY,14250.339,14202.759353751253,SL,0.11,52,False,-105.33522174724325,-0.010533522174724325,10305.030226923811
2022-04-18 10:45:00,2022-04-18 11:00:00,3085,3086,BUY,13978.969,13942.880493296394,SL,0.14,1,False,-101.88781877009447,-0.010188781877009447,10203.142408153717
2022-04-19 12:00:00,2022-04-19 13:15:00,3179,3184,BUY,14173.319,14124.416721142037,SL,0.1,5,False,-98.4045577159246,-0.00984045577159246,10104.737850437792
2022-04-19 15:30:00,2022-04-19 16:00:00,3193,3195,BUY,14216.879,14165.722870734222,SL,0.1,2,False,-102.91225853155775,-0.010291225853155775,10001.825591906234
2022-04-28 13:00:00,2022-04-28 14:30:00,3806,3812,BUY,13357.069,13474.003686139044,TP,0.09,6,True,163.12856059466225,0.016312856059466224,10164.954152500897
2022-04-28 15:00:00,2022-04-28 15:45:00,3814,3817,BUY,13496.477,13435.199868326255,SL,0.08,3,False,-98.52341067799252,-0.009852341067799251,10066.430741822905
2022-05-04 15:30:00,2022-05-05 04:30:00,4172,4217,BUY,13467.359,13399.959298093452,SL,0.07,45,False,-94.77958266916751,-0.00947795826691675,9971.651159153738
2022-05-05 10:45:00,2022-05-05 11:00:00,4242,4243,SELL,12989.749,12989.849,SL,0.1,1,True,90.08110856808707,0.009008110856808707,10061.732267721825
2022-05-05 18:15:00,2022-05-05 21:00:00,4265,4276,BUY,12887.809,12817.919715298127,SL,0.07,11,False,-98.26499858262136,-0.009826499858262136,9963.467269139204
2022-05-10 08:30:00,2022-05-10 09:00:00,4500,4502,BUY,12388.979,12476.727352972053,TP,0.11,2,True,145.5339216200906,0.01455339216200906,10109.001190759294
2022-05-10 09:15:00,2022-05-10 09:30:00,4503,4504,BUY,12499.347,12459.411953258545,SL,0.13,1,False,-104.6111215277834,-0.01046111215277834,10004.390069231511
2022-05-10 09:45:00,2022-05-10 10:00:00,4505,4506,BUY,12401.367,12480.759922314315,TP,0.13,1,True,157.94584462862977,0.015794584462862978,10162.33591386014
2022-05-10 10:15:00,2022-05-10 10:30:00,4507,4508,BUY,12467.189,12420.146226933604,SL,0.11,1,False,-104.15410074607112,-0.010415410074607112,10058.18181311407
2022-05-10 14:15:00,2022-05-10 14:30:00,4523,4524,BUY,12503.367,12441.006931779662,SL,0.08,1,False,-100.25610915254046,-0.010025610915254045,9957.92570396153
2022-05-17 10:00:00,2022-05-17 10:15:00,4951,4952,BUY,12443.349,12412.857591183287,SL,0.16,1,False,-98.53250821348279,-0.009853250821348278,9859.393195748047
2022-05-17 12:00:00,2022-05-17 14:00:00,4959,4967,BUY,12463.379,12426.280428144099,SL,0.13,8,False,-97.2362868253459,-0.00972362868253459,9762.156908922701
2022-05-17 15:15:00,2022-05-17 21:30:00,4972,4990,BUY,12549.947,12507.647484768939,SL,0.12,18,False,-102.2388365545473,-0.01022388365545473,9659.918072368155
2022-05-19 07:15:00,2022-05-19 08:15:00,5118,5122,BUY,11792.769,11792.669,SL,0.12,4,True,87.22953872864571,0.00872295387286457,9747.147611096801
2022-05-23 07:15:00,2022-05-23 07:45:00,5296,5298,BUY,11964.127,11901.53968322419,SL,0.08,2,False,-100.61970684129746,-0.010061970684129746,9646.527904255505
2022-05-26 10:30:00,2022-05-26 12:00:00,5576,5582,BUY,12152.289,12259.948444377513,TP,0.09,6,True,150.14322212851744,0.015014322212851743,9796.671126384023
2022-05-26 12:30:00,2022-05-26 15:15:00,5584,5595,BUY,12302.049,12248.314098969113,SL,0.09,11,False,-97.26282185559852,-0.009726282185559851,9699.408304528424
2022-06-01 10:15:00,2022-06-01 10:30:00,5918,5919,BUY,12691.919,12657.633253626384,SL,0.14,1,False,-96.84008984612579,-0.00968400898461258,9602.568214682298
2022-06-02 14:00:00,2022-06-03 03:30:00,6022,6069,BUY,12830.537,12830.437,SL,0.09,47,True,88.7247310656128,0.00887247310656128,9691.292945747911
2022-06-06 08:30:00,2022-06-06 09:30:00,6178,6182,BUY,12734.157,12708.794329227818,SL,0.19,4,False,-97.5181489342895,-0.00975181489342895,9593.774796813621
2022-06-06 10:30:00,2022-06-06 11:00:00,6186,6188,BUY,12779.769,12753.774005584506,SL,0.19,2,False,-99.92097877887777,-0.009992097877887776,9493.853818034742
2022-06-15 07:45:00,2022-06-15 09:30:00,6798,6805,BUY,11429.417,11429.317,SL,0.12,7,True,81.76102987189921,0.008176102987189921,9575.614847906641
2022-06-15 10:00:00,2022-06-15 10:15:00,6807,6808,BUY,11481.549,11481.449,SL,0.14,1,True,90.60527370182332,0.009060527370182331,9666.220121608465
2022-06-15 12:30:00,2022-06-15 12:45:00,6817,6818,BUY,11530.797,11494.396150507178,SL,0.13,1,False,-95.42220868133744,-0.009542220868133744,9570.797912927128
2022-06-16 08:30:00,2022-06-16 09:30:00,6890,6894,BUY,11340.959,11279.102316422843,SL,0.08,4,False,-99.45069372345286,-0.009945069372345286,9471.347219203675
2022-06-16 18:15:00,2022-06-17 09:00:00,6922,6981,BUY,11161.919,11161.819,SL,0.07,59,True,91.78497745388349,0.009178497745388349,9563.13219665756
2022-06-21 10:15:00,2022-06-21 11:45:00,7151,7157,BUY,11609.549,11573.017381862777,SL,0.13,6,False,-95.76220715678144,-0.009576220715678145,9467.369989500778
2022-06-22 07:30:00,2022-06-22 07:45:00,7229,7230,BUY,11387.369,11359.582442013889,SL,0.17,1,False,-95.49429715278013,-0.009549429715278014,9371.875692347998
2022-06-22 09:45:00,2022-06-22 10:00:00,7238,7239,BUY,11484.469,11545.581971321122,TP,0.15,1,True,141.63026641595718,0.014163026641595718,9513.505958763955
2022-06-22 10:15:00,2022-06-22 10:30:00,7240,7241,BUY,11593.429,11667.633961084397,TP,0.13,1,True,147.5699221687947,0.014756992216879471,9661.07588093275
2022-06-22 10:45:00,2022-06-22 11:00:00,7242,7243,BUY,11684.167,11641.938581434726,SL,0.11,1,False,-93.56252084360145,-0.009356252084360145,9567.51336008915
2022-06-22 14:30:00,2022-06-22 15:15:00,7257,7260,BUY,11634.497,11588.329829169415,SL,0.1,3,False,-92.93434166116785,-0.009293434166116785,9474.579018427981
2022-06-23 11:00:00,2022-06-23 11:30:00,7332,7334,BUY,11686.417,11640.653271103192,SL,0.1,2,False,-92.1274577936143,-0.00921274577936143,9382.451560634367
2022-06-30 09:00:00,2022-06-30 09:30:00,7769,7771,BUY,11478.957,11440.866375308446,SL,0.12,2,False,-92.13749925973127,-0.009213749925973127,9290.314061374635
2022-07-04 19:15:00,2022-07-04 19:45:00,7968,7970,BUY,11692.987,11666.42537424837,SL,0.18,2,False,-96.70185270586269,-0.00967018527058627,9193.612208668772
2022-07-07 12:15:00,2022-07-07 22:45:00,8214,8249,BUY,12054.327,12054.226999999999,SL,0.11,35,True,88.34523574694269,0.00883452357469427,9281.957444415715
2022-07-18 10:15:00,2022-07-18 10:45:00,8829,8831,BUY,12097.377,12074.417995645697,SL,0.2,2,False,-93.03601741721214,-0.009303601741721214,9188.921426998502
2022-07-18 12:00:00,2022-07-18 12:45:00,8836,8839,BUY,12152.829,12127.278870461214,SL,0.18,3,False,-93.06046633962876,-0.009306046633962875,9095.860960658874
2022-07-19 09:30:00,2022-07-19 09:45:00,8915,8916,BUY,12031.557,12005.04832186838,SL,0.17,1,False,-91.14950564750936,-0.009114950564750935,9004.711455011366
2022-07-19 10:15:00,2022-07-19 10:45:00,8918,8920,BUY,12019.579,12082.24587532125,TP,0.14,2,True,132.78266735199884,0.013278266735199884,9137.494122363363
2022-07-19 11:00:00,2022-07-19 13:30:00,8921,8931,BUY,12115.399,12181.970399082677,TP,0.14,10,True,141.1123180430406,0.014111231804304061,9278.606440406404
2022-07-19 14:00:00,2022-07-19 18:00:00,8933,8942,BUY,12223.339,12297.161196081024,TP,0.13,9,True,146.80439216204823,0.014680439216204823,9425.410832568452
2022-07-19 18:15:00,2022-07-20 03:30:00,8943,8980,BUY,12292.359,12254.507424598887,SL,0.12,37,False,-91.56378096267173,-0.009156378096267173,9333.84705160578
2022-07-20 11:15:00,2022-07-20 12:30:00,9011,9016,BUY,12422.969,12422.868999999999,SL,0.13,5,True,87.03540654252275,0.008703540654252275,9420.882458148304
2022-07-21 12:30:00,2022-07-21 13:30:00,9105,9109,BUY,12580.049,12539.446401932375,SL,0.12,4,False,-98.16623536230209,-0.00981662353623021,9322.716222786003
2022-07-26 18:15:00,2022-07-26 18:30:00,9388,9389,BUY,12265.209,12235.760505840113,SL,0.16,1,False,-95.19518131164018,-0.009519518131164018,9227.521041474363
2022-07-27 10:15:00,2022-07-27 13:00:00,9452,9463,BUY,12392.199,12392.099,SL,0.15,11,True,81.88985271135935,0.008188985271135936,9309.410894185723
