direction,session,volatility,median_pf,min_pf,median_return,min_return,worst_dd,total_trades,median_dsr,fold_pfs,score
buy,ny,high,inf,0.561379177190771,0.7174564577603126,-4.190550284756078,-7.959983777162617,26,0.05403019476501317,inf|0.561|1.071|inf,inf
buy,london,high,1.6719447810520058,1.0502077477676455,2.0517402583385413,0.0519834834000088,-3.264731098589996,32,0.18107436713752417,1.050|2.212|4.905|1.132,1.8409428718728416
both,london,high,1.6288813342829018,1.0502077477676455,2.0517402583385413,0.0519834834000088,-2.8313640817342307,35,0.18107436713752417,1.050|2.126|4.905|1.132,1.82588043560941
both,london,all,1.4758833748651523,0.8964763138004715,3.611832500365031,-2.4002581902909825,-9.195193672475392,114,0.14883290328584037,1.072|1.880|2.175|0.896,1.7323887841521806
buy,london,all,1.5312728565269564,0.8466123623823311,4.106908646582941,-3.556383538851149,-10.297180645722717,109,0.1562899891590561,1.167|1.896|2.175|0.847,1.6862968838352463
both,all,all,0.9621839979281565,0.8631526164659535,-0.9286855809430061,-3.279022382390573,-8.61253817410491,174,0.012075443322721039,0.863|0.957|1.219|0.968,1.4300887020260769
buy,all,all,0.9301894232790966,0.9268931795835893,-1.5519566656838402,-1.859323777380728,-9.560255258077525,166,0.009366387798088991,0.933|0.928|1.219|0.927,1.3866286560231396
buy,all,high,1.4443180891199128,0.6579495040846645,2.0234145810093196,-1.7314651790487967,-4.963728100354886,61,0.0625378461975826,0.658|1.165|1.724|2.144,1.2910974652435405
both,all,high,1.142468957498001,0.560261834220051,1.729632895862998,-2.6140821003660664,-5.28910599076563,66,0.03909557055406293,0.560|1.181|1.724|1.104,0.8991730550645257
both,ny,all,1.1333635026014433,0.5103840794971369,1.169283872031146,-5.145132019816812,-8.367139284586205,67,0.032858183936417464,2.184|0.510|1.134|1.133,0.745997879068589
buy,ny,all,1.1362799707201883,0.5103840794971369,1.128615570869873,-5.145132019816812,-8.367139284586205,65,0.03281197921068708,2.184|0.510|1.134|1.139,0.7384984232305754
both,london,low,0.9792541126599424,0.582645119180885,-0.2471353424381484,-2.5431080395562633,-9.33135423085838,80,0.015679579982107852,1.074|0.583|1.621|0.885,0.682623167487116
buy,london,low,1.0057252866302784,0.582645119180885,0.24794080377975036,-3.6992333881164297,-10.433341204105705,78,0.02212982137567439,1.179|0.583|1.621|0.833,0.6722755420009247
both,ny,high,1.1455731058488017,0.561379177190771,0.2581258536940023,-4.190550284756078,-7.959983777162617,27,0.022573224941197494,inf|0.561|1.071|1.220,0.6102486732498735
both,all,low,0.9664384832292255,0.26138715883814573,-0.5391685173384453,-5.124632047717748,-8.593416906696849,110,0.013395407209072164,1.026|0.261|0.966|0.967,0.5173105311348958
buy,all,low,0.9196629702830579,0.26138715883814573,-1.6693460026269757,-5.124632047717748,-9.829355285477112,107,0.00935751035141899,1.073|0.261|0.966|0.873,0.40634751260090424
both,ny,low,1.146855674724787,0.0,0.7870436232358169,-1.0413618927935242,-3.5654531602980857,40,0.02861508804194453,1.862|0.000|1.187|1.107,0.2534855337565918
buy,ny,low,1.0950267753866114,0.0,0.30207099753534195,-1.0413618927935242,-4.006835775521753,39,0.02196113771681662,1.862|0.000|1.187|1.003,0.17723463963967545
buy,asia,high,0.8775845733367938,0.2730157013927177,-1.107219270929466,-2.927310249498083,-4.022158290551313,15,0.012947492465402817,0.273|0.498|1.257|inf,0.0964528317967579
both,asia,high,0.8775845733367938,0.22393131580546366,-1.107219270929466,-3.8099271708153526,-4.855882861922759,16,0.012947492465402817,0.224|0.498|1.257|inf,0.02735670906836063
buy,asia,all,0.5361084808621936,0.2767649543953762,-3.5488622578647435,-6.368044043704413,-7.8634380113648,35,0.0025042496620873364,0.460|0.277|0.612|2.116,-0.28301747772960406
both,asia,all,0.5200930384167137,0.2767649543953762,-3.5488622578647435,-7.2506609650216935,-7.979252293913179,36,0.002476251477870937,0.428|0.277|0.612|2.116,-0.2975129482883787
both,asia,low,0.34457186426184305,0.0,-1.7197958712964534,-3.9832222526926864,-3.983222252692685,21,0.0015266956785122097,0.689|0.000|0.000|1.163,-0.6868174228961996
buy,asia,low,0.34457186426184305,0.0,-1.7197958712964534,-3.9832222526926864,-3.983222252692685,21,0.0015266956785122097,0.689|0.000|0.000|1.163,-0.6868174228961996
sell,all,all,0.7349629296615726,0.0,0.21766482470084725,-2.064238968273735,-2.1063332449783827,8,,0.000|1.470|0.000|2.210,
sell,all,low,0.0,0.0,0.0,-0.9609678166271451,-1.1422958605893645,3,,0.000|0.000|0.000|inf,
sell,all,high,0.0,0.0,-0.5114465098471743,-1.1032711516465898,-1.9872287331480714,5,,0.000|1.470|0.000|0.000,
sell,london,all,0.7349629296615726,0.0,0.21766482470084725,-0.9609678166271451,-1.1422958605893645,5,,0.000|1.470|0.000|inf,
sell,london,low,0.0,0.0,0.0,-0.9609678166271451,-1.1422958605893645,2,,0.000|0.000|0.000|inf,
sell,london,high,0.0,0.0,0.0,0.0,-1.0796453686159124,3,,0.000|1.470|0.000|0.000,
sell,ny,all,0.0,0.0,0.0,0.0,-1.3470220050432375,2,,0.000|0.000|0.000|1.080,
sell,ny,low,0.0,0.0,0.0,0.0,0.0,1,,0.000|0.000|0.000|inf,
sell,ny,high,0.0,0.0,0.0,-1.0228930196943486,-1.361845283509751,1,,0.000|0.000|0.000|0.000,
sell,asia,all,0.0,0.0,0.0,-1.1032711516465898,-1.9872287331480714,1,,0.000|0.000|0.000|0.000,
sell,asia,low,0.0,0.0,0.0,0.0,0.0,0,,0.000|0.000|0.000|0.000,
sell,asia,high,0.0,0.0,0.0,-1.1032711516465898,-1.9872287331480714,1,,0.000|0.000|0.000|0.000,
