direction,window_ny,days,volatility,median_pf,min_pf,median_return,min_return,worst_dd,total_trades,median_dsr,fold_pfs,score
buy,03_13,mon_thu,high,2.147417820490239,1.1315199105786502,2.0598255651393615,0.14284984926526967,-2.8423574835682874,29,0.06587887654287977,2.155|2.140|2.453|1.132,2.3754410375218105
buy,07_17,mon_thu,high,2.5909809092908507,0.726379943049641,1.5033414839978665,-1.8344156867922679,-5.417171580814913,22,0.0854821326427532,inf|0.726|2.182|inf,2.250975546284574
both,03_17,mon_thu,all,1.371500934822465,0.9678693934828823,3.7121540476847015,-0.604942485373372,-7.131872313383475,110,0.05304444804578183,1.328|1.415|1.450|0.968,2.1731445889898464
buy,00_12,mon_thu,high,1.9538647341403155,1.0730702180765928,2.667575801760824,0.1519334014083329,-3.865290793912172,33,0.07512955791827908,1.073|1.763|3.033|2.144,2.148677898000807
buy,03_17,mon_thu,all,1.4298227951347906,0.8965215466550813,3.6867370796267007,-1.8424044362560954,-7.689266557047353,103,0.05931756189118652,1.504|1.409|1.450|0.897,2.1443972282529553
buy,03_13,all,high,1.8232913050536135,1.1315199105786502,2.111382664605843,0.14284984926526967,-4.258171755302201,39,0.062487889968995194,2.155|1.670|1.977|1.132,2.1286774676130555
buy,00_12,all,high,1.833957848498714,1.0730702180765928,2.7191329012273058,0.1519334014083329,-4.953014977931308,43,0.07242962197338737,1.073|1.524|2.354|2.144,2.1161148706443176
buy,03_17,mon_thu,high,1.8265478913849158,1.1315199105786502,2.5998174389589512,0.14284984926526967,-3.60471687871359,34,0.05165443678851466,2.155|1.498|3.045|1.132,2.094255357349451
buy,03_17,all,high,1.6575546097852056,1.1315199105786502,2.298382091899176,0.14284984926526967,-4.893680954666867,46,0.06744715446071245,2.155|1.486|1.829|1.132,2.030737343534984
buy,08_17,mon_thu,high,2.5909809092908507,0.5570709399692065,1.1959774928301359,-2.5406495464859624,-6.226419095945875,18,0.06302771766950566,inf|0.557|2.182|inf,2.0018245948438835
both,00_12,mon_thu,all,1.187460285827124,0.9907567040390757,2.082281368724248,-0.18827060087822645,-7.115677213104206,116,0.027602027252896885,1.088|1.287|1.353|0.991,1.9910898926108953
both,03_13,mon_thu,all,1.2445631025537234,0.9061541603727795,2.4139630455697114,-1.7668927424633885,-7.616523188465097,102,0.03254784827187949,1.277|1.810|1.212|0.906,1.9528707673826236
both,03_17,all,all,1.2545401216018628,0.9181814473702475,3.1133532939798925,-2.0386354401754625,-8.850504785276888,140,0.03950313372294408,1.189|1.405|1.320|0.918,1.9462405850981916
buy,00_12,mon_thu,all,1.2176158104308916,0.9315957572024186,2.396676463565761,-1.306386335713583,-8.146217295388212,109,0.029378252034370715,1.168|1.268|1.353|0.932,1.9346674638141959
buy,03_17,all,all,1.2972837062632137,0.8628883628689917,3.5610786102502456,-3.2760973910581748,-10.030019577042575,133,0.04526471380199944,1.274|1.409|1.320|0.863,1.9039352106838305
buy,03_13,mon_thu,all,1.311148690087357,0.8364199463301774,2.98959050284493,-2.9124963393076353,-8.72012794832086,95,0.04293199284246614,1.410|1.843|1.212|0.836,1.864447101564851
both,03_13,all,all,1.2551436223392538,0.8596804110148586,2.882228751890059,-3.3603471003059937,-10.11032408918444,127,0.0360548662358475,1.234|1.535|1.276|0.860,1.8475475714446494
both,00_12,all,all,1.1779906655755892,0.9238232530089167,2.4648343042511622,-1.9413582988807687,-9.637694244674707,143,0.029759369514174246,1.110|1.246|1.268|0.924,1.8432833081896112
both,03_13,mon_thu,high,2.104483411246629,0.5827279227288998,2.0598255651393615,-0.8800431704290679,-2.8990325486318134,33,0.06587887654287977,2.155|2.054|2.453|0.583,1.8300143884765434
buy,03_13,all,all,1.3033919066579807,0.799587475624336,3.3299540681604123,-4.594440831637203,-11.193598615135365,120,0.04310232898350886,1.331|1.566|1.276|0.800,1.809091430306561
buy,00_12,all,all,1.2013222699242005,0.873430637486644,2.9043456743143237,-3.084162365945553,-10.716478971085133,136,0.033096005223575434,1.172|1.231|1.268|0.873,1.788921196066149
buy,07_17,all,high,2.0354929828150397,0.7414105587198948,0.7681882979536092,-2.4705440335707873,-6.057605839529772,29,0.05694609468277703,inf|0.741|1.071|inf,1.762246468265133
both,07_17,mon_thu,all,1.5110447110386875,0.8421344464666843,2.957363112360456,-1.0748393787664234,-4.661019733276203,55,0.08291020883960798,5.164|0.842|1.374|1.648,1.7195042383986117
both,00_12,mon_thu,high,1.4146066265704218,1.0730702180765928,2.1561292919136443,0.1519334014083329,-3.865290793912172,37,0.06189297853901188,1.073|1.725|3.033|1.104,1.6496580094565882
both,00_12,all,high,1.3121505472725583,1.0730702180765928,2.207686391380126,0.1519334014083329,-4.696128673684012,47,0.05920512246249121,1.073|1.520|2.354|1.104,1.64225479354493
both,03_13,all,high,1.8141596786187835,0.5827279227288998,2.111382664605843,-0.8800431704290679,-3.824804738446436,43,0.062487889968995194,2.155|1.651|1.977|0.583,1.6317548638341477
buy,08_17,mon_thu,all,1.9244520163613648,0.5570709399692065,3.2053502418245894,-2.5406495464859624,-6.226419095945875,40,0.11916140438451718,3.603|0.557|1.700|2.149,1.6306161667473444
both,all,mon_thu,all,0.9619997117561331,0.8759620401283763,-0.5411723508285393,-2.713485522920178,-7.1252461741205115,139,0.008858551710714872,0.876|0.881|1.459|1.043,1.6205643534947516
