utc_hour,observations,median,p95,maximum
0,0,2.5,3.0,3.75
1,60,2.5,3.25,3.75
2,60,2.5,3.0124999999999993,3.25
3,60,2.5,3.0,3.25
4,60,2.5,3.0,3.25
5,60,2.5,3.0,3.25
6,60,2.5,2.75,3.0
7,60,2.5,2.7624999999999993,3.0
8,56,2.5,3.0,3.25
9,56,2.5,2.75,3.0
10,56,2.5,3.0,3.0
11,56,2.5,3.0,3.25
12,56,2.5,2.8125,3.0
13,56,2.5,2.8125,3.0
14,56,2.5,2.5,3.0
15,56,2.5,2.5,2.5
16,56,2.5,2.75,2.75
17,56,2.5,2.5,2.75
18,56,2.5,2.5,2.5
19,56,2.5,2.5,2.5
20,52,2.5,2.5,2.5
21,52,2.5,2.5,2.5
22,52,2.5,2.5,2.5
23,52,2.5,2.612499999999999,3.0
