side,horizon,events,mean_gross_price,mean_cost_price,mean_net_price,mean_gross_return,mean_net_return,median_net_return,net_return_mad,bootstrap_ci_low,bootstrap_ci_high,bootstrap_probability_positive
LONG,1,5259,0.39938087088800517,3.0034227039361094,-2.6040418330481043,2.4165055313824975e-05,-0.00012855474544916506,-0.0001076622751876455,0.0013628969205750352,-0.00018890976681496156,-6.613456484428003e-05,0.0
LONG,2,5259,0.49806807377828594,3.0034227039361094,-2.505354630157824,3.3420846937003014e-05,-0.00011929895382598706,-7.3921123237142e-05,0.001957681225746392,-0.00022973973507665153,-6.963571060025011e-06,0.018
LONG,4,5259,1.3256934778474996,3.0034227039361094,-1.67772922608861,8.359564693969534e-05,-6.912415382329468e-05,1.6870464010605837e-05,0.002718451734693289,-0.00027294811183769944,0.0001411134053731802,0.2565
LONG,8,5259,4.00309640616086,3.0034227039361094,0.9996737022247498,0.00021669736840711465,6.397756764412459e-05,0.00016522076409752816,0.00368554727467792,-0.0003390806788220411,0.00041652362898816767,0.623
LONG,16,5259,7.072593078532021,3.0034227039361094,4.069170374595911,0.00036704603826241813,0.00021432623749942817,0.0003799112057333797,0.0052196394008615955,-0.0004137904421032186,0.0007952776092579573,0.746
SHORT,1,5349,-1.3614694335389725,3.0029444756029164,-4.364413909141889,-7.580330245102587e-05,-0.0002314730643966808,-0.00021630836159142023,0.0009992641927879316,-0.0002907255606193916,-0.00017478997872689538,0.0
SHORT,2,5349,-2.685690222471484,3.0029444756029164,-5.6886346980744005,-0.00014602907650469073,-0.0003016988384503457,-0.0002626206652716628,0.0014019305351973485,-0.0004176916811704485,-0.00019951929773436673,0.0
SHORT,4,5349,-5.558555991774155,3.0029444756029164,-8.561500467377071,-0.00030422678799568313,-0.000459896549941338,-0.0003765438826858914,0.0020370381756389584,-0.0006741097008622754,-0.00026250713724505596,0.0
SHORT,8,5349,-10.078347728547385,3.0029444756029164,-13.081292204150301,-0.000548120654945514,-0.000703790416891169,-0.0005970708415484668,0.002884765858263861,-0.0010519650317249792,-0.00038317585063692416,0.0
SHORT,16,5349,-14.149399887829501,3.0029444756029164,-17.152344363432416,-0.0007588897097374893,-0.0009145594716831443,-0.0010582890902124055,0.003928757115078714,-0.0014284667205602666,-0.0003824120359448927,0.0
