fold_id,session,shock_z_threshold
0,ASIA,-1.5
0,EUROPE,-1.969884568459165
0,US,-3.320066145610387
0,ROLLOVER,-2.1852546162029056
1,ASIA,-1.5
1,EUROPE,-1.9444255327940316
1,US,-3.4439509834618662
1,ROLLOVER,-1.9019637831823526
2,ASIA,-1.5
2,EUROPE,-1.940148438319602
2,US,-3.4474714092711682
2,ROLLOVER,-1.9303514038835974
3,ASIA,-1.5
3,EUROPE,-1.9598415074989728
3,US,-3.5038985330210015
3,ROLLOVER,-1.8735589300862723
4,ASIA,-1.5
4,EUROPE,-1.945850369379294
4,US,-3.516848018311536
4,ROLLOVER,-1.9879458824179965
5,ASIA,-1.5
5,EUROPE,-1.977377877551098
5,US,-3.5209710732919737
5,ROLLOVER,-2.1092492974584336
6,ASIA,-1.5
6,EUROPE,-1.9427946731154724
6,US,-3.55137736942615
6,ROLLOVER,-2.000768037463276
