entry_time,exit_time,net_pnl,return_pct,pnl,entry_i,exit_i,side,units,entry_reference,entry_price,exit_reference,exit_price,stop_reference,bars_held,exit_reason,reference_pnl,price_pnl,spread_slippage_cost,commission_cost,costs,cash_after,fold_id,candidate_id
2023-01-03 08:15:00+00:00,2023-01-03 11:45:00+00:00,12.578000000002215,0.012578000000002216,12.578000000002215,37,51,1,0.19,10980.389,10981.739,10986.699,10985.349,10936.3268125,14,signal_exit,23.978000000004975,13.718000000002215,10.26000000000276,1.1400000000000001,11.40000000000276,100012.578,0,TREND_01_MOM_LONG
2023-01-04 01:30:00+00:00,2023-01-04 01:45:00+00:00,22.63040000000023,0.0226275539062699,22.63040000000023,99,100,1,0.26,10888.567,10889.917,10895.919,10894.569,10814.2298125,1,signal_exit,38.23040000000402,24.19040000000023,14.040000000003786,1.56,15.600000000003787,100035.20839999999,0,TREND_01_MOM_LONG
2023-01-04 02:00:00+00:00,2023-01-04 03:45:00+00:00,-96.64919999999977,-0.09661518333978877,-96.64919999999977,101,108,1,0.27,10893.527,10894.877,10878.629,10877.279,10829.06309375,7,signal_exit,-80.44919999999584,-95.02919999999976,14.58000000000392,1.62,16.20000000000392,99938.55919999999,0,TREND_01_MOM_LONG
2023-01-04 04:15:00+00:00,2023-01-04 04:30:00+00:00,-40.067999999994505,-0.04009263323459491,-40.067999999994505,110,111,1,0.27,10886.817,10888.167,10882.397,10881.047,10839.54028125,1,signal_exit,-23.867999999990573,-38.4479999999945,14.580000000003928,1.62,16.20000000000393,99898.49119999999,0,TREND_01_MOM_LONG
2023-01-04 04:45:00+00:00,2023-01-04 05:15:00+00:00,17.819999999992145,0.01783810724860292,17.819999999992145,112,114,1,0.27,10890.799,10892.149000000001,10897.099,10895.749,10846.516031250001,2,signal_exit,34.019999999996074,19.439999999992143,14.580000000003931,1.62,16.200000000003932,99916.31119999998,0,TREND_01_MOM_LONG
2023-01-04 07:00:00+00:00,2023-01-04 07:15:00+00:00,-23.20920000000762,-0.023228639769887365,-23.20920000000762,121,122,1,0.27,10898.367,10899.717,10897.069,10895.719,10871.0248125,1,signal_exit,-7.009200000003695,-21.589200000007622,14.580000000003928,1.62,16.20000000000393,99893.10199999997,0,TREND_01_MOM_LONG
2023-01-04 07:45:00+00:00,2023-01-04 10:45:00+00:00,-46.07279999999985,-0.04612210360631294,-46.07279999999985,124,136,1,0.27,10899.409,10900.759,10893.877,10892.527,10873.6643125,12,signal_exit,-29.87279999999592,-44.45279999999985,14.580000000003928,1.62,16.20000000000393,99847.02919999998,0,TREND_01_MOM_LONG
2023-01-04 11:00:00+00:00,2023-01-04 12:45:00+00:00,1.1988000000045576,0.001200636623452546,1.1988000000045576,137,144,1,0.27,10910.817,10912.167,10914.039,10912.689,10873.56715625,7,signal_exit,17.39880000000849,2.8188000000045577,14.580000000003931,1.62,16.200000000003932,99848.22799999999,0,TREND_01_MOM_LONG
2023-01-04 13:15:00+00:00,2023-01-04 14:30:00+00:00,-259.36537500001066,-0.2597596173664801,-259.36537500001066,146,151,1,0.27,10927.247,10928.597,10882.216374999998,10880.866374999998,10882.216374999998,5,atr_stop,-243.16537500000672,-257.74537500001065,14.580000000003935,1.62,16.200000000003936,99588.86262499998,0,TREND_01_MOM_LONG
2023-01-04 16:45:00+00:00,2023-01-04 18:00:00+00:00,-347.81440000000856,-0.3492502985094802,-347.81440000000856,160,165,1,0.29,10975.727,10977.077000000001,10918.759,10917.409,10889.269031250002,5,signal_exit,-330.4144000000043,-346.07440000000855,15.660000000004231,1.7399999999999998,17.40000000000423,99241.04822499998,0,TREND_01_MOM_LONG
