entry_time,exit_time,net_pnl,return_pct,pnl,entry_i,exit_i,side,units,entry_reference,entry_price,exit_reference,exit_price,stop_reference,bars_held,exit_reason,reference_pnl,price_pnl,spread_slippage_cost,commission_cost,costs,cash_after,fold_id,candidate_id
2023-01-06 20:00:00+00:00,2023-01-10 13:00:00+00:00,-116.69760000000299,-0.11669760000000298,-116.69760000000299,351,501,1,0.24,11060.409,11061.759,11039.097,11037.747,10695.81975,150,signal_exit,-102.29759999999952,-115.257600000003,12.960000000003475,1.44,14.400000000003475,99883.3024,0,TREND_09_SLOW_LONG
2023-01-10 19:00:00+00:00,2023-01-12 15:00:00+00:00,637.0719999999966,0.6378163163335663,637.0719999999966,525,687,1,0.29,11169.269,11170.619,11282.109,11280.759,10843.34375,162,signal_exit,654.4720000000009,638.8119999999966,15.660000000004288,1.7399999999999998,17.400000000004287,100520.3744,0,TREND_09_SLOW_LONG
2023-01-13 20:00:00+00:00,2023-01-16 10:00:00+00:00,-365.45520000000084,-0.3635633096090029,-365.45520000000084,796,845,1,0.33,11497.999,11499.349,11445.627,11444.277,11119.040874999999,49,signal_exit,-345.655199999996,-363.4752000000008,17.820000000004825,1.98,19.800000000004825,100154.91919999999,0,TREND_09_SLOW_LONG
2023-01-17 19:00:00+00:00,2023-01-18 18:00:00+00:00,-1024.3280000000107,-1.0227435738373707,-1024.3280000000107,957,1042,1,0.38,11577.419,11578.769,11445.639,11444.288999999999,11376.269937500001,85,signal_exit,-1001.528000000005,-1022.0480000000107,20.520000000005666,2.2800000000000002,22.800000000005667,99130.59119999998,0,TREND_09_SLOW_LONG
2023-01-20 18:00:00+00:00,2023-01-25 04:00:00+00:00,2720.5667999999982,2.7444270906355683,2720.5667999999982,1216,1427,1,0.47000000000000003,11471.587,11472.937,11764.009,11762.659,11206.047999999999,211,signal_exit,2748.766800000005,2723.386799999998,25.38000000000693,2.8200000000000003,28.20000000000693,101851.15799999998,0,TREND_09_SLOW_LONG
2023-01-26 00:00:00+00:00,2023-01-30 09:00:00+00:00,1377.5100000000054,1.3524735771781855,1377.5100000000054,1500,1714,1,0.37,11847.229,11848.579,12036.379,12035.029,11524.99375,214,signal_exit,1399.710000000011,1379.7300000000052,19.980000000005703,2.2199999999999998,22.2000000000057,103228.66799999999,0,TREND_09_SLOW_LONG
2023-02-01 07:00:00+00:00,2023-02-01 15:00:00+00:00,292.8239999999835,0.2836653864408901,292.8239999999835,1884,1916,1,0.42,12057.699,12059.049,12095.559,12094.208999999999,11814.174,32,signal_exit,318.02399999998966,295.3439999999835,22.680000000006146,2.52,25.200000000006145,103521.49199999998,0,TREND_09_SLOW_LONG
2023-02-01 20:00:00+00:00,2023-02-06 01:00:00+00:00,1644.3759999999932,1.5884392392644355,1644.3759999999932,1936,2127,1,0.34,12288.579,12289.929,12533.399,12532.048999999999,11985.271875,191,signal_exit,1664.7759999999982,1646.4159999999931,18.36000000000513,2.04,20.40000000000513,105165.86799999997,0,TREND_09_SLOW_LONG
2023-02-07 21:00:00+00:00,2023-02-08 15:00:00+00:00,-275.81160000000403,-0.2622634180131563,-275.81160000000403,2296,2361,1,0.19,12725.379,12726.729000000001,12655.797,12654.447,12313.489125,65,signal_exit,-264.4116000000013,-274.67160000000405,10.260000000002776,1.1400000000000001,11.400000000002777,104890.05639999996,0,TREND_09_SLOW_LONG
2023-02-09 11:00:00+00:00,2023-02-09 19:00:00+00:00,-1114.0896000000018,-1.062149872197039,-1114.0896000000018,2434,2466,1,0.26,12672.497,12673.847,12461.249,12459.899,12412.655374999998,32,signal_exit,-1098.4895999999978,-1112.529600000002,14.040000000004056,1.56,15.600000000004057,103775.96679999995,0,TREND_09_SLOW_LONG
2023-02-13 17:00:00+00:00,2023-02-14 16:00:00+00:00,-246.97120000000845,-0.23798496666957436,-246.97120000000845,2636,2721,1,0.28,12488.849,12490.199,12447.747,12446.396999999999,12176.5835,85,signal_exit,-230.17120000000438,-245.29120000000844,15.120000000004069,1.6800000000000002,16.80000000000407,103528.99559999995,0,TREND_09_SLOW_LONG
2023-02-14 20:00:00+00:00,2023-02-15 07:00:00+00:00,-663.5616000000066,-0.6409427582624079,-663.5616000000066,2737,2774,1,0.39,12576.709,12578.059000000001,12494.637,12493.287,12190.048375,37,signal_exit,-640.161600000001,-661.2216000000067,21.06000000000563,2.34,23.40000000000563,102865.43399999995,0,TREND_09_SLOW_LONG
2023-02-16 19:00:00+00:00,2023-02-17 05:00:00+00:00,-1937.240000000003,-1.88327597004063,-1937.240000000003,2911,2944,1,0.38,12624.589,12625.939,12372.689,12371.339,12319.144374999998,33,signal_exit,-1914.4399999999973,-1934.9600000000028,20.52000000000544,2.2800000000000002,22.80000000000544,100928.19399999994,0,TREND_09_SLOW_LONG
2023-03-03 20:00:00+00:00,2023-03-07 20:00:00+00:00,-1032.3192000000067,-1.0228253960434557,-1032.3192000000067,3642,3767,1,0.33,12284.659,12286.009,12131.247,12129.896999999999,12013.859875,125,signal_exit,-1012.519200000002,-1030.3392000000067,17.82000000000471,1.98,19.80000000000471,99895.87479999993,0,TREND_09_SLOW_LONG
2023-03-09 17:00:00+00:00,2023-03-10 00:00:00+00:00,-1998.2952000000107,-2.0003780976949934,-1998.2952000000107,3887,3900,1,0.33,12274.109,12275.459,11974.337,11972.987,12008.376499999998,13,catastrophe_stop,-1978.4952000000058,-1996.3152000000107,17.82000000000494,1.98,19.80000000000494,97897.57959999991,0,TREND_09_SLOW_LONG
2023-03-14 16:00:00+00:00,2023-03-15 18:00:00+00:00,-199.72800000000626,-0.20401730136340004,-199.72800000000626,4085,4146,1,0.24,12196.289,12197.639000000001,12157.679,12156.329,11711.095625000002,61,signal_exit,-185.3280000000028,-198.28800000000626,12.960000000003475,1.44,14.400000000003475,97697.8515999999,0,TREND_09_SLOW_LONG
2023-03-21 08:00:00+00:00,2023-03-22 22:00:00+00:00,-128.4780000000047,-0.13150545062753952,-128.4780000000047,4384,4480,1,0.23,12593.949,12595.299,12569.019,12567.669,12270.0975,96,signal_exit,-114.67800000000135,-127.09800000000469,12.420000000003341,1.3800000000000001,13.800000000003342,97569.3735999999,0,TREND_09_SLOW_LONG
2023-03-27 01:00:00+00:00,2023-03-27 20:00:00+00:00,-482.8199999999962,-0.49484790378934707,-482.8199999999962,4614,4670,1,0.26,12824.899,12826.249,12735.049,12733.699,12497.928999999998,56,signal_exit,-467.21999999999247,-481.25999999999624,14.040000000003772,1.56,15.600000000003773,97086.55359999991,0,TREND_09_SLOW_LONG
2023-03-30 00:00:00+00:00,2023-04-04 23:00:00+00:00,1473.1307999999947,1.5173376182136884,1473.1307999999947,4804,5062,1,0.27,12832.457,12833.807,13108.259,13106.909,12623.333375,258,signal_exit,1489.3307999999986,1474.7507999999946,14.58000000000402,1.62,16.20000000000402,98559.68439999991,0,TREND_09_SLOW_LONG
2023-04-10 08:00:00+00:00,2023-04-11 15:00:00+00:00,-12.080000000007566,-0.012256532753272063,-12.080000000007566,5252,5336,1,0.4,12996.329,12997.679,12997.819,12996.469,12805.565374999998,84,signal_exit,11.919999999998254,-9.680000000007567,21.60000000000582,2.4000000000000004,24.00000000000582,98547.60439999991,0,TREND_09_SLOW_LONG
2023-04-14 01:00:00+00:00,2023-04-14 20:00:00+00:00,-142.7840000000131,-0.1448883520501014,-142.7840000000131,5482,5538,1,0.32,13087.029,13088.379,13067.719,13066.368999999999,12813.59175,56,signal_exit,-123.5840000000084,-140.86400000001308,17.280000000004677,1.92,19.200000000004678,98404.8203999999,0,TREND_09_SLOW_LONG
2023-04-18 11:00:00+00:00,2023-04-19 03:00:00+00:00,-668.9920000000088,-0.6798366149957523,-668.9920000000088,5651,5684,1,0.32,13172.797,13174.147,13071.267,13069.917,12941.71075,33,signal_exit,-649.7920000000042,-667.0720000000088,17.28000000000452,1.92,19.200000000004522,97735.82839999988,0,TREND_09_SLOW_LONG
2023-04-27 20:00:00+00:00,2023-05-02 17:00:00+00:00,-759.7640000000144,-0.777364874721843,-759.7640000000144,6128,6318,1,0.34,13158.369,13159.719000000001,13049.639,13048.288999999999,12908.615249999999,190,signal_exit,-739.3640000000095,-757.7240000000145,18.360000000005016,2.04,20.400000000005015,96976.06439999986,0,TREND_09_SLOW_LONG
2023-05-08 01:00:00+00:00,2023-05-09 23:00:00+00:00,-333.43200000000155,-0.34382917275822344,-333.43200000000155,6521,6645,1,0.36,13236.219,13237.569,13192.909,13191.559,12995.750624999999,124,signal_exit,-311.83199999999636,-331.2720000000016,19.440000000005227,2.16,21.600000000005227,96642.63239999986,0,TREND_09_SLOW_LONG
2023-05-10 18:00:00+00:00,2023-05-12 20:00:00+00:00,82.57919999999935,0.08544800358728584,82.57919999999935,6701,6838,1,0.33,13270.787,13272.137,13286.299,13284.949,13098.29825,137,signal_exit,102.37920000000413,84.55919999999934,17.820000000004796,1.98,19.800000000004797,96725.21159999985,0,TREND_09_SLOW_LONG
2023-05-15 20:00:00+00:00,2023-05-23 20:00:00+00:00,2378.8799999999997,2.45942082798194,2378.8799999999997,6902,7288,1,0.4,13391.409,13392.759,13691.769,13690.419,13208.076000000001,386,signal_exit,2402.8800000000047,2381.2799999999993,21.600000000005366,2.4000000000000004,24.000000000005365,99104.09159999985,0,TREND_09_SLOW_LONG
2023-05-25 17:00:00+00:00,2023-05-31 04:00:00+00:00,2614.1879999999974,2.6378204550335647,2614.1879999999974,7412,7626,1,0.3,13904.109,13905.459,14342.807,14341.457,13645.091625000001,214,signal_exit,2632.188000000002,2615.9879999999976,16.200000000004366,1.7999999999999998,18.000000000004366,101718.27959999986,0,TREND_09_SLOW_LONG
2023-06-01 21:00:00+00:00,2023-06-06 16:00:00+00:00,671.9551999999971,0.6606041732542222,671.9551999999971,7739,7924,1,0.28,14440.877,14442.227,14563.869,14562.519,14196.645499999999,185,signal_exit,688.7552000000011,673.6351999999972,15.12000000000387,1.6800000000000002,16.80000000000387,102390.23479999986,0,TREND_09_SLOW_LONG
2023-06-09 18:00:00+00:00,2023-06-19 16:00:00+00:00,3733.415999999986,3.646261781987818,3733.415999999986,8125,8506,1,0.36,14539.289,14540.639000000001,15060.819,15059.469,14292.0670625,381,signal_exit,3755.0159999999914,3735.575999999986,19.44000000000551,2.16,21.60000000000551,106123.65079999984,0,TREND_09_SLOW_LONG
2023-06-29 02:00:00+00:00,2023-06-29 19:00:00+00:00,-617.8855999999997,-0.5822317601610447,-617.8855999999997,8968,9020,1,0.29,15007.749,15009.099,14904.217,14902.867,14747.387625,52,signal_exit,-600.4855999999955,-616.1455999999997,15.660000000004175,1.7399999999999998,17.400000000004173,105505.76519999985,0,TREND_09_SLOW_LONG
2023-06-30 12:00:00+00:00,2023-06-30 20:45:00+00:00,943.8383999999955,0.8945846686300293,943.8383999999955,9069,9088,1,0.31,15015.797,15017.147,15171.029,15169.679,14778.194000000001,19,end_of_test,962.4383999999999,945.6983999999954,16.740000000004443,1.8599999999999999,18.600000000004442,106449.60359999986,0,TREND_09_SLOW_LONG
