candidate_id,cpcv_splits,eligible_splits,median_test_pf,positive_split_fraction,minimum_split_trades,training_trades,complexity,error
TREND_12_STOP_CONTROL,28,28,1.2528897752149368,0.75,49,209,2,
TREND_11_ULTRASLOW_LONG,28,28,1.2567373757714877,0.7142857142857143,35,155,2,
TREND_09_SLOW_LONG,28,28,1.1996434282230042,0.6785714285714286,49,209,2,
TREND_10_MEDIUM_LONG,28,28,1.0119891644430155,0.5,61,276,2,
TREND_01_MOM_LONG,28,28,0.9025224287601642,0.07142857142857142,672,2936,1,
TREND_02_MOM_SHORT,28,28,0.7531335717738623,0.07142857142857142,572,2628,1,
TREND_03_LONG_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_04_LONG_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_05_LONG_T10,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_06_LONG_T30,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_07_SHORT_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_08_SHORT_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
