entry_time,exit_time,net_pnl,return_pct,pnl,entry_i,exit_i,side,units,entry_reference,entry_price,exit_reference,exit_price,stop_reference,bars_held,exit_reason,reference_pnl,price_pnl,spread_slippage_cost,commission_cost,costs,cash_after,fold_id,candidate_id
2023-01-06 20:00:00+00:00,2023-01-10 13:00:00+00:00,-121.97759999999602,-0.12197759999999602,-121.97759999999602,351,501,1,0.24,11060.409,11062.309,11039.097,11037.197,10878.114375,150,signal_exit,-102.29759999999952,-120.53759999999602,18.2399999999965,1.44,19.6799999999965,99878.0224,0,TREND_12_STOP_CONTROL
2023-01-10 19:00:00+00:00,2023-01-12 15:00:00+00:00,630.692000000005,0.6314622424882984,630.692000000005,525,687,1,0.29,11169.269,11171.169,11282.109,11280.209,11006.306375,162,signal_exit,654.4720000000009,632.432000000005,22.03999999999587,1.7399999999999998,23.77999999999587,100508.71440000001,0,TREND_12_STOP_CONTROL
2023-01-13 20:00:00+00:00,2023-01-16 10:00:00+00:00,-372.7151999999912,-0.37082874079622213,-372.7151999999912,796,845,1,0.33,11497.999,11499.899,11445.627,11443.727,11308.5199375,49,signal_exit,-345.655199999996,-370.7351999999912,25.07999999999521,1.98,27.05999999999521,100135.99920000002,0,TREND_12_STOP_CONTROL
2023-01-17 19:00:00+00:00,2023-01-18 18:00:00+00:00,-1032.6879999999996,-1.0312854600246497,-1032.6879999999996,957,1042,1,0.38,11577.419,11579.319,11445.639,11443.739,11476.84446875,85,catastrophe_stop,-1001.528000000005,-1030.4079999999994,28.879999999994425,2.2800000000000002,31.159999999994426,99103.31120000003,0,TREND_12_STOP_CONTROL
2023-01-20 18:00:00+00:00,2023-01-25 04:00:00+00:00,2710.226800000012,2.734748987882467,2710.226800000012,1216,1427,1,0.47000000000000003,11471.587,11473.487,11764.009,11762.109,11338.8175,211,signal_exit,2748.766800000005,2713.046800000012,35.71999999999298,2.8200000000000003,38.53999999999298,101813.53800000003,0,TREND_12_STOP_CONTROL
2023-01-26 00:00:00+00:00,2023-01-30 09:00:00+00:00,1369.3700000000163,1.344978307305278,1369.3700000000163,1500,1714,1,0.37,11847.229,11849.128999999999,12036.379,12034.479000000001,11686.111375,214,signal_exit,1399.710000000011,1371.590000000016,28.11999999999489,2.2199999999999998,30.339999999994888,103182.90800000004,0,TREND_12_STOP_CONTROL
2023-02-01 07:00:00+00:00,2023-02-01 15:00:00+00:00,283.58399999999574,0.2748362160911337,283.58399999999574,1884,1916,1,0.42,12057.699,12059.599,12095.559,12093.659,11935.936500000002,32,signal_exit,318.02399999998966,286.1039999999957,31.919999999993934,2.52,34.43999999999394,103466.49200000004,0,TREND_12_STOP_CONTROL
2023-02-01 20:00:00+00:00,2023-02-06 01:00:00+00:00,1636.8960000000031,1.5820542171276115,1636.8960000000031,1936,2127,1,0.34,12288.579,12290.479,12533.399,12531.499,12136.9254375,191,signal_exit,1664.7759999999982,1638.936000000003,25.839999999995143,2.04,27.879999999995142,105103.38800000004,0,TREND_12_STOP_CONTROL
2023-02-07 21:00:00+00:00,2023-02-08 15:00:00+00:00,-279.9915999999985,-0.2663963601249452,-279.9915999999985,2296,2361,1,0.19,12725.379,12727.279,12655.797,12653.897,12519.4340625,65,signal_exit,-264.4116000000013,-278.85159999999854,14.43999999999727,1.1400000000000001,15.57999999999727,104823.39640000003,0,TREND_12_STOP_CONTROL
2023-02-09 11:00:00+00:00,2023-02-09 17:00:00+00:00,-712.3895999999921,-0.6796093472124817,-712.3895999999921,2434,2458,1,0.26,12672.497,12674.396999999999,12539.599,12537.699,12542.576187499999,24,catastrophe_stop,-691.0695999999961,-710.8295999999922,19.759999999996126,1.56,21.319999999996124,104111.00680000003,0,TREND_12_STOP_CONTROL
