time,bar_i,type,side,pnl,balance
2024-05-27 00:00:00,1656,partial,SELL,15.698990181525588,10015.698990181525
2024-05-27 00:15:00,1657,final,SELL,24.14756354847414,10039.84655373
2024-05-31 09:45:00,2053,partial,SELL,16.13787056507921,10055.984424295078
2024-05-31 09:45:00,2053,final,SELL,-0.5500000000009095,10055.434424295077
2024-06-05 21:30:00,2372,final,SELL,-99.51862908093133,9955.915795214147
2024-06-12 09:00:00,2786,final,SELL,-100.48466058472334,9855.431134629423
2024-07-12 09:00:00,4790,partial,BUY,19.183829905814274,9874.614964535238
2024-07-12 09:15:00,4791,final,BUY,57.27500000000165,9931.88996453524
2024-07-28 21:15:00,5755,partial,SELL,5.535779140853046,9937.425743676093
2024-07-28 21:15:00,5755,final,SELL,-0.4400000000007276,9936.985743676092
2024-08-21 10:00:00,7370,partial,BUY,19.32807216010384,9956.313815836196
2024-08-21 10:00:00,7370,final,BUY,-0.4400000000007276,9955.873815836196
2024-09-09 02:30:00,8526,partial,BUY,15.883826845594362,9971.75764268179
2024-09-09 02:30:00,8526,final,BUY,-0.7700000000012734,9970.98764268179
2024-09-24 23:15:00,9617,partial,SELL,18.66723695869383,9989.654879640484
2024-09-24 23:30:00,9618,final,SELL,36.34432075909695,10025.999200399581
2024-10-14 03:15:00,10826,partial,SELL,18.10325400688016,10044.102454406462
2024-10-14 04:00:00,10829,final,SELL,31.502735813337225,10075.6051902198
2024-11-04 22:00:00,12277,partial,BUY,24.284492320278,10099.889682540077
2024-11-04 22:30:00,12279,final,BUY,35.811354217607644,10135.701036757684
2024-11-12 23:45:00,12836,partial,SELL,3.069172076575924,10138.77020883426
2024-11-12 23:45:00,12836,final,SELL,-0.5500000000009095,10138.220208834258
2024-11-18 20:30:00,13191,partial,SELL,19.819167784925938,10158.039376619185
2024-11-18 21:00:00,13193,final,SELL,-0.7700000000012734,10157.269376619184
2024-11-27 01:00:00,13761,partial,SELL,18.666042801819184,10175.935419421003
2024-11-27 01:45:00,13764,final,SELL,-0.5500000000009095,10175.385419421002
2024-11-27 04:30:00,13775,partial,SELL,16.48304779118349,10191.868467212185
2024-11-27 06:00:00,13781,final,SELL,33.78234619031646,10225.650813402503
2024-11-27 22:15:00,13842,partial,BUY,9.058183666279273,10234.708997068781
2024-11-27 22:15:00,13842,final,BUY,-0.5500000000009095,10234.15899706878
2024-11-29 02:30:00,13941,final,SELL,-27.887650873250127,10206.27134619553
2024-12-13 07:00:00,14870,final,BUY,-106.2947240662766,10099.976622129254
2025-01-19 20:30:00,17023,partial,BUY,12.666441773140614,10112.643063902395
2025-01-19 20:30:00,17023,final,BUY,-0.5500000000009095,10112.093063902394
2025-01-23 05:15:00,17324,partial,BUY,20.046676438054092,10132.139740340448
2025-01-23 05:45:00,17326,final,BUY,36.48797741205148,10168.627717752499
2025-03-05 09:30:00,19999,partial,BUY,17.249012818400224,10185.876730570899
2025-03-05 09:45:00,20000,final,BUY,42.945,10228.821730570899
2025-03-06 19:30:00,20127,partial,BUY,22.57433535238648,10251.396065923285
2025-03-06 20:30:00,20131,final,BUY,27.10499277647552,10278.501058699761
2025-04-24 19:15:00,23250,partial,SELL,17.40630753134508,10295.907366231106
2025-04-24 19:45:00,23252,final,SELL,45.92781617715611,10341.835182408262
2025-04-25 01:45:00,23276,final,BUY,-114.93387359466054,10226.901308813602
2025-04-30 08:15:00,23578,final,BUY,-2.7707009082280276,10224.130607905374
2025-05-12 03:45:00,24296,final,BUY,-91.06231558952021,10133.068292315853
2025-05-20 10:15:00,24874,final,SELL,-97.62373752245752,10035.444554793396
2025-07-10 21:00:00,28281,partial,SELL,21.162985969783914,10056.60754076318
2025-07-10 21:15:00,28282,final,SELL,51.0843392701142,10107.691880033293
2025-07-17 09:15:00,28698,partial,BUY,18.521383144672036,10126.213263177966
2025-07-17 10:00:00,28701,final,BUY,30.44695080785261,10156.660213985819
2025-08-21 07:30:00,30991,partial,BUY,16.013184013363297,10172.673397999182
2025-08-21 07:30:00,30991,final,BUY,-0.5500000000009095,10172.123397999181
2025-09-05 10:30:00,32005,partial,SELL,14.565829266009024,10186.68922726519
2025-09-05 10:30:00,32005,final,SELL,-0.33000000000054563,10186.35922726519
2025-10-13 20:15:00,34432,partial,SELL,16.2103895395602,10202.569616804749
2025-10-13 20:30:00,34433,final,SELL,-0.2200000000003638,10202.349616804748
2025-10-14 00:00:00,34447,final,SELL,-104.84519378498793,10097.50442301976
