entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,initial_lot,final_lot,pnl,reason,bars_held,partial_done,balance,tick_status,tick_entry_time,tick_exit_time,tick_entry_price,tick_exit_price,tick_pnl,tick_reason,tick_cashflows
2024-05-26 23:00:00,2024-05-27 00:15:00,1652,1657,SELL,2345.96,2341.070487290305,0.11,0.05,39.84655372999973,TP,5,True,10039.84655373,FORCED_EXIT,2024-05-26 23:00:00.140,2024-05-27 00:15:06.001,2346.035,2343.452,28.892999999996245,FORCED_EXIT,2
2024-05-31 08:45:00,2024-05-31 09:45:00,2049,2053,SELL,2352.413,2352.463,0.11,0.05,15.5878705650783,BE_AFTER_PARTIAL,4,True,10055.434424295076,OK,2024-05-31 08:45:00.061,2024-05-31 09:54:43.919,2352.488,2346.665,45.98699999999948,TP,2
2024-06-05 21:15:00,2024-06-05 21:30:00,2371,2372,SELL,2363.489,2371.084279160072,0.13,0.13,-99.51862908093132,SL,1,False,9955.915795214149,OK,2024-06-05 21:15:00.141,2024-06-05 21:31:01.975,2363.564,2371.125,-99.07300000000194,SL,1
2024-06-12 08:45:00,2024-06-12 09:00:00,2785,2786,SELL,2329.3,2340.404962287192,0.09,0.09,-100.48466058472334,SL,1,False,9855.431134629423,OK,2024-06-12 08:45:00.075,2024-06-12 09:10:00.366,2329.375,2340.446,-100.17899999999922,SL,1
2024-07-12 08:45:00,2024-07-12 09:15:00,4789,4791,BUY,2392.42,2403.935,0.09,0.05,76.45882990581592,TP,2,True,9931.88996453524,OK,2024-07-12 08:45:00.016,2024-07-12 09:08:43.325,2392.715,2402.255,67.63999999999939,TP,2
2024-07-28 18:15:00,2024-07-28 21:15:00,5743,5755,SELL,2396.923,2396.9730000000004,0.08,0.04,5.095779140852319,BE_AFTER_PARTIAL,12,True,9936.985743676092,FORCED_EXIT,2024-07-28 18:15:00.117,2024-07-28 21:15:00.383,2396.998,2397.855,-7.335999999999768,FORCED_EXIT,1
2024-08-21 09:45:00,2024-08-21 10:00:00,7369,7370,BUY,2498.63,2498.5799999999995,0.08,0.04,18.888072160103118,BE_AFTER_PARTIAL,1,True,9955.873815836196,FORCED_EXIT,2024-08-21 09:45:00.068,2024-08-21 10:00:00.072,2498.986,2502.864,34.948000000001706,FORCED_EXIT,2
2024-09-09 01:45:00,2024-09-09 02:30:00,8523,8526,BUY,2490.74,2490.69,0.14,0.07,15.113826845593088,BE_AFTER_PARTIAL,3,True,9970.98764268179,FORCED_EXIT,2024-09-09 01:45:00.104,2024-09-09 02:30:00.150,2491.096,2486.255,-19.313000000000862,FORCED_EXIT,2
2024-09-24 23:00:00,2024-09-24 23:30:00,9616,9618,SELL,2669.88,2660.733919810226,0.08,0.04,55.01155771779078,TP,2,True,10025.99920039958,OK,2024-09-24 23:00:00.098,2024-09-24 23:24:05.653,2669.955,2660.285,59.640000000000796,TP,2
2024-10-14 02:30:00,2024-10-14 04:00:00,10823,10829,SELL,2665.389,2659.0284528373327,0.1,0.05,49.60598982021739,TP,6,True,10075.6051902198,FORCED_EXIT,2024-10-14 02:30:00.079,2024-10-14 04:00:00.021,2665.464,2660.695,42.23999999999878,FORCED_EXIT,2
