z_entry_long,z_entry_short,mr_sl_atr_mult,median_dsr_probability,median_return_pct,worst_drawdown_pct,median_profit_factor,min_fold_trades,robust_score
3.0,3.0,3.5,0.08022724780624942,0.7766555359954685,-5.082679024598623,1.8842558278022057,11,0.562580408043211
2.25,3.25,3.5,0.09879700189219981,3.295780126268111,-7.017951794872326,1.465064766111842,45,0.5617298102923615
3.0,3.0,3.0,0.052523014267051436,1.2149976382816674,-4.713014442707918,1.57065453053937,11,0.5411079184363285
2.25,3.25,3.0,0.08727501920046682,3.4669268582115498,-5.950993126553974,1.4111401618301573,45,0.5033294839799697
2.25,3.0,3.5,0.07460503229428261,2.6805675490510272,-6.2023195901397346,1.3397499399046313,48,0.4101490497387255
2.75,3.25,3.0,0.03403828761365268,0.9174282337202744,-3.123984211110052,1.3545510538847694,12,0.38214370278007453
2.75,3.0,3.0,0.042779535684854514,0.6964395628954512,-3.755553340626644,1.347103238618813,15,0.3780694032294889
3.0,2.75,3.0,0.03438472375951973,1.1288017096498737,-5.606773427053274,1.312883450291448,17,0.33052232401220005
2.25,2.75,3.5,0.06342311093353728,2.422145146144161,-6.240740294607592,1.2697510436744364,54,0.32619190459637726
2.25,3.0,3.0,0.0500003859990633,2.4951934165878487,-6.048016251522641,1.237871020819675,48,0.28258325972700366
3.0,3.0,2.5,0.030800856927321537,0.29487671882805766,-4.251478827443365,1.2677751810803395,11,0.28026741105872477
3.0,2.75,3.5,0.02538086352440458,0.6276614575470241,-4.806638213647264,1.214829242081089,17,0.2224535291127274
2.75,3.0,3.5,0.028262784425591943,-0.04567326710466779,-4.210829444266614,1.205484948053209,15,0.21223685258642122
2.25,2.75,3.0,0.04100654990760921,2.0082584915213086,-5.783563970054536,1.1712214465395934,54,0.20339276151214297
2.75,3.25,3.5,0.0201489028461872,0.3541210351635571,-3.341251059160128,1.1531508626353193,12,0.16013472053734143
2.5,3.0,3.0,0.03083875897943852,0.8052773983143136,-3.571274026757556,1.1371868718855414,28,0.15822203471433524
2.5,3.25,3.0,0.02215769969693794,0.6560884984678106,-3.429193328368723,1.137580419016544,25,0.14915303705631636
2.25,3.25,2.5,0.029516999401394527,1.5829653534909949,-7.855596595921442,1.136643561136443,45,0.14271223109314018
2.5,3.0,3.5,0.02231294055119644,0.7001369360735143,-3.461042533249047,1.1110410694770243,28,0.12305016672271063
2.25,3.0,2.5,0.030160105253541097,1.466812755942748,-7.665825992135873,1.114278520629787,48,0.12077762348207616
2.75,2.75,3.0,0.01848265730980666,0.4708813407835688,-4.683026404469061,1.0907141589462288,21,0.09049049764152586
