entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance
2024-05-10 03:00:00,2024-05-10 08:45:00,656,679,BUY,2368.48,2362.3465533038498,SL,0.16,23,False,-99.09514713840413,-0.009909514713840413,9900.904852861597
2024-05-23 11:00:00,2024-05-24 09:30:00,1516,1602,SELL,2345.7000000000003,2345.7500000000005,SL,0.11,86,True,115.02324900735114,0.011502324900735115,10015.928101868949
2024-07-03 09:00:00,2024-07-03 09:30:00,4156,4158,BUY,2350.45,2350.3999999999996,SL,0.26,2,True,112.43725760402907,0.011243725760402907,10128.365359472979
2024-07-08 12:00:00,2024-07-08 19:00:00,4434,4458,SELL,2355.3100000000004,2360.2559061448947,SL,0.21,24,False,-105.1240290427793,-0.010512402904277929,10023.241330430199
2024-07-25 03:30:00,2024-07-25 06:45:00,5596,5609,SELL,2373.4300000000003,2381.1648736272623,SL,0.13,13,False,-101.33335715440606,-0.010133335715440606,9921.907973275793
2024-08-08 10:45:00,2024-08-08 11:00:00,6545,6546,BUY,2418.979,2412.7697059359807,SL,0.16,1,False,-100.30870502430567,-0.010030870502430567,9821.599268251488
2024-08-28 08:30:00,2024-08-28 08:45:00,7824,7825,SELL,2495.98,2500.497254699205,SL,0.22,1,False,-100.6996033825065,-0.010069960338250649,9720.89966486898
2024-10-31 09:15:00,2024-10-31 09:45:00,12050,12052,SELL,2752.4500000000003,2737.071730614714,TP,0.16,2,True,188.5219890851941,0.01885219890851941,9909.421653954176
2024-10-31 10:00:00,2024-10-31 11:00:00,12053,12057,SELL,2734.51,2741.687515716846,SL,0.14,4,False,-101.32522003584187,-0.010132522003584186,9808.096433918334
2024-11-06 09:00:00,2024-11-07 08:15:00,12413,12502,SELL,2663.9700000000003,2680.9863863112378,SL,0.06,89,False,-102.45831786742507,-0.010245831786742507,9705.638116050908
2024-11-11 09:30:00,2024-11-12 00:30:00,12691,12747,SELL,2627.9100000000003,2607.179686633219,TP,0.12,56,True,192.6295914232899,0.01926295914232899,9898.267707474199
2024-11-25 10:00:00,2024-11-26 08:00:00,13613,13697,SELL,2641.1200000000003,2641.1700000000005,SL,0.06,84,True,105.0771860104784,0.01050771860104784,10003.344893484677
2024-12-12 10:00:00,2024-12-13 05:45:00,14790,14865,SELL,2686.219,2665.991294979516,TP,0.12,75,True,187.93858019118244,0.018793858019118245,10191.28347367586
2025-01-07 08:45:00,2025-01-07 10:00:00,16244,16249,BUY,2661.04,2655.2046547011273,SL,0.18,5,False,-106.11621537970775,-0.010611621537970775,10085.167258296151
2025-01-22 01:15:00,2025-01-22 01:30:00,17216,17217,BUY,2752.1499999999996,2747.9636799617906,SL,0.24,1,False,-101.91168091701677,-0.010191168091701676,9983.255577379134
2025-01-30 09:15:00,2025-01-30 10:45:00,17800,17806,BUY,2783.6699999999996,2793.003188942292,TP,0.27,6,True,190.9492381407107,0.01909492381407107,10174.204815519844
2025-01-30 11:15:00,2025-01-30 12:00:00,17808,17811,BUY,2793.74,2789.2191720300416,SL,0.23,3,False,-105.3590433090384,-0.01053590433090384,10068.845772210807
2025-02-10 10:15:00,2025-02-10 11:15:00,18448,18452,BUY,2909.8529999999996,2904.312882341016,SL,0.18,4,False,-100.80211786170281,-0.01008021178617028,9968.043654349103
2025-02-10 12:00:00,2025-02-10 13:15:00,18455,18460,SELL,2900.8,2906.406883399367,SL,0.18,5,False,-102.00390118860201,-0.010200390118860201,9866.039753160501
2025-03-27 05:45:00,2025-03-27 08:00:00,21460,21469,BUY,3052.33,3046.6345203675305,SL,0.17,9,False,-97.84315375198004,-0.009784315375198005,9768.19659940852
2025-03-28 03:30:00,2025-03-28 03:45:00,21543,21544,SELL,3065.88,3071.424291672182,SL,0.18,1,False,-100.87725009927188,-0.010087725009927188,9667.319349309248
2025-04-16 04:30:00,2025-04-16 11:45:00,22735,22764,BUY,3299.5099999999998,3325.2941871151133,TP,0.09,29,True,179.8493098057947,0.017984930980579468,9847.168659115041
2025-04-25 09:45:00,2025-04-25 13:45:00,23308,23324,SELL,3278.36,3294.872197662709,SL,0.06,16,False,-99.4331859762527,-0.00994331859762527,9747.735473138788
2025-05-01 08:15:00,2025-05-01 08:30:00,23670,23671,SELL,3206.42,3221.7077520806156,SL,0.06,1,False,-92.08651248369311,-0.009208651248369311,9655.648960655095
2025-05-05 15:45:00,2025-05-05 20:45:00,23884,23900,BUY,3334.424,3322.7087600526124,SL,0.08,16,False,-94.20191957910036,-0.009420191957910036,9561.447041075995
2025-05-14 09:15:00,2025-05-14 09:30:00,24502,24503,SELL,3179.1400000000003,3191.266598309667,SL,0.08,1,False,-97.49278647733489,-0.009749278647733488,9463.95425459866
