time,bar_i,type,side,pnl,balance
2024-05-08 08:00:00,477,final,BUY,-548.1291002770377,9451.870899722962
2024-05-10 08:45:00,658,final,BUY,-309.5780713239583,9142.292828399004
2024-05-15 15:15:00,951,final,BUY,1058.3447866558345,10200.637615054839
2024-05-23 09:30:00,1462,final,BUY,-468.79756169382745,9731.840053361011
2024-05-23 13:30:00,1478,final,SELL,1201.1707443798152,10933.010797740826
2024-05-27 18:15:00,1655,final,BUY,-237.61364357676942,10695.397154164057
2024-06-03 10:30:00,2076,final,BUY,-357.3728525252591,10338.024301638798
2024-06-05 10:30:00,2254,final,BUY,629.0421671101285,10967.066468748926
2024-06-05 15:00:00,2272,final,BUY,842.3566138896058,11809.423082638532
2024-06-06 09:45:00,2340,final,BUY,-484.9933285321095,11324.429754106422
2024-06-12 15:30:00,2719,final,BUY,-691.9889146793139,10632.440839427109
2024-06-18 11:00:00,3057,final,BUY,-486.26342864736216,10146.177410779746
2024-06-19 23:45:00,3177,final,BUY,261.53751313508116,10407.714923914828
2024-06-20 03:15:00,3191,final,BUY,311.96601819661737,10719.680942111445
2024-06-20 04:00:00,3194,final,BUY,-198.06283155550776,10521.618110555937
2024-06-28 09:00:00,3748,final,BUY,-276.67360412637214,10244.944506429565
2024-07-03 12:45:00,4030,final,BUY,-488.220614676975,9756.72389175259
2024-07-08 19:00:00,4290,final,BUY,945.2019324772483,10701.925824229838
2024-07-10 09:30:00,4437,final,BUY,-265.58394265171955,10436.341881578119
2024-07-15 11:45:00,4713,final,BUY,-506.57429696475447,9929.767584613364
2024-07-31 13:30:00,5772,final,BUY,-748.5297388364779,9181.237845776886
2024-07-31 15:15:00,5779,final,BUY,-850.7599379317617,8330.477907845125
2024-08-05 05:30:00,6006,final,BUY,-1902.1053608955117,6428.372546949613
2024-08-09 04:30:00,6358,final,BUY,2717.562499299638,9145.935046249251
2024-08-13 12:45:00,6568,final,BUY,1477.9611943271448,10623.896240576396
2024-08-14 10:00:00,6646,final,BUY,-756.7185357624476,9867.177704813948
2024-08-23 10:00:00,7269,final,BUY,1026.3035810446675,10893.481285858616
2024-08-29 10:15:00,7626,final,BUY,-765.8476270436222,10127.633658814993
2024-08-29 13:45:00,7640,final,BUY,-889.402372997356,9238.231285817637
2024-09-04 10:30:00,7970,final,BUY,1749.232984741575,10987.464270559212
2024-09-09 10:15:00,8236,final,BUY,-472.64759275640245,10514.81667780281
2024-09-09 10:45:00,8238,final,BUY,-470.2951205200953,10044.521557282715
2024-09-19 18:45:00,8974,final,BUY,-767.3102447741986,9277.211312508516
2024-09-26 10:00:00,9391,final,BUY,-587.1445294353908,8690.066783073125
2024-10-04 09:45:00,9924,final,BUY,-696.3315300442265,7993.735253028899
2024-10-10 08:30:00,10272,final,BUY,-464.28503830764384,7529.450214721255
2024-10-14 09:45:00,10455,final,BUY,587.0804979437527,8116.530712665008
2024-10-16 09:45:00,10633,final,SELL,1717.0045251607735,9833.535237825781
2024-10-17 09:45:00,10722,final,BUY,-515.777040256944,9317.758197568837
2024-10-25 11:45:00,11231,final,BUY,-596.2883144106673,8721.46988315817
2024-10-29 18:00:00,11406,final,BUY,872.5299286595329,9593.999811817703
2024-10-31 08:30:00,11553,final,BUY,-502.2516382825052,9091.748173535198
2024-11-05 14:45:00,11841,final,BUY,-643.035198562502,8448.712974972696
2024-11-06 00:00:00,11871,final,BUY,-774.5217989173398,7674.191176055356
2024-11-06 13:00:00,11923,final,BUY,1832.4782805143332,9506.669456569689
2024-11-07 14:45:00,12019,final,BUY,987.6185909252673,10494.288047494956
2024-11-08 05:30:00,12067,final,BUY,-557.9013988212683,9936.386648673688
2024-11-18 11:00:00,12607,final,BUY,1543.4939209871666,11479.880569660854
2024-12-02 10:45:00,13471,final,BUY,-439.5770308664214,11040.303538794433
2024-12-02 14:00:00,13484,final,BUY,-505.9530675532369,10534.350471241196
2024-12-04 10:30:00,13648,final,BUY,732.8220506445359,11267.172521885732
2024-12-04 11:30:00,13652,final,BUY,-292.44361974906496,10974.728902136667
2024-12-05 14:00:00,13751,final,BUY,-343.49601059358974,10631.232891543077
2024-12-11 10:00:00,14091,final,BUY,743.8712587183181,11375.104150261395
2024-12-11 10:45:00,14094,final,BUY,-481.2871853548131,10893.816964906582
2024-12-12 08:00:00,14172,final,BUY,-574.0922314405179,10319.724733466064
2024-12-16 11:45:00,14365,final,BUY,726.6551353122486,11046.379868778313
2024-12-17 02:45:00,14418,final,BUY,-443.27699687364657,10603.102871904666
2024-12-20 15:30:00,14736,final,BUY,-1216.0698426573072,9387.033029247359
2024-12-24 12:45:00,14903,final,BUY,885.4680135755917,10272.50104282295
2024-12-26 03:15:00,14942,final,BUY,-543.7572368380643,9728.743805984886
2025-01-06 09:30:00,15501,final,BUY,1296.075862842954,11024.81966882784
2025-01-06 12:30:00,15513,final,BUY,-644.181026478509,10380.638642349331
2025-01-17 09:15:00,16274,final,BUY,1201.5661097640987,11582.20475211343
2025-01-17 09:45:00,16276,final,BUY,-584.7799233889964,10997.424828724434
2025-01-20 08:45:00,16357,final,BUY,1721.7070168775901,12719.131845602024
2025-01-27 07:15:00,16783,final,SELL,-1275.9998211622587,11443.132024439765
2025-01-28 10:15:00,16884,final,BUY,3062.3022416129606,14505.434266052725
2025-01-31 13:15:00,17163,final,BUY,-534.819854090747,13970.614411961978
2025-02-10 18:15:00,17710,final,BUY,-853.7717147728836,13116.842697189095
2025-03-11 12:15:00,19553,final,BUY,-1228.2156683543872,11888.627028834708
2025-03-12 08:45:00,19628,final,BUY,-789.0619090428663,11099.565119791841
2025-03-14 10:00:00,19811,final,BUY,1236.1704483401627,12335.735568132004
2025-04-10 13:00:00,21506,final,SELL,-2512.9574390154085,9822.778129116596
2025-04-22 02:45:00,22088,final,BUY,1928.5240065856487,11751.302135702244
2025-04-22 12:00:00,22125,final,BUY,1736.0655815719294,13487.367717274174
2025-04-25 06:30:00,22370,final,BUY,-1090.9287307043996,12396.438986569774
2025-05-02 09:30:00,22827,final,BUY,-764.2931396485073,11632.145846921267
2025-05-15 04:45:00,23609,final,BUY,-818.1616121173283,10813.984234803938
2025-06-03 14:00:00,24786,final,BUY,-636.9358052474126,10177.048429556526
2025-06-06 10:15:00,25038,final,BUY,-604.7384306574168,9572.309998899109
2025-06-16 18:30:00,25598,final,BUY,-584.2076135614116,8988.102385337697
