time,bar_i,type,side,pnl,balance
2020-01-09 09:30:00,506,final,BUY,768.0173453775751,10768.017345377575
2020-01-09 12:15:00,517,final,BUY,-165.4876879997937,10602.529657377781
2020-01-10 08:15:00,590,final,BUY,-146.8755881271136,10455.654069250668
2020-01-13 18:15:00,712,final,BUY,295.2913575563434,10750.945426807011
2020-01-13 22:45:00,730,final,BUY,-168.30426200645888,10582.641164800552
2020-01-17 09:15:00,1039,final,BUY,252.6748029267583,10835.31596772731
2020-01-22 15:15:00,1317,final,BUY,-201.74472428252557,10633.571243444785
2020-01-24 09:30:00,1472,final,BUY,-182.56353590169968,10451.007707543085
2020-01-29 09:45:00,1740,final,BUY,-302.3978417019498,10148.609865841136
2020-02-04 14:00:00,2113,final,BUY,523.3989221052252,10672.00878794636
2020-02-05 03:30:00,2160,final,BUY,483.6583852039621,11155.667173150323
2020-02-05 04:45:00,2165,final,BUY,501.08490427261137,11656.752077422934
2020-02-05 06:30:00,2172,final,BUY,-276.8652021470007,11379.886875275934
2020-02-12 15:00:00,2651,final,BUY,-189.44162474541372,11190.44525053052
2020-02-19 21:30:00,3102,final,BUY,-181.6069437877741,11008.838306742746
2020-02-28 09:00:00,3682,final,BUY,-938.2308632746663,10070.60744346808
2020-03-16 08:45:00,4558,final,BUY,-2220.4854070561128,7850.122036411967
2020-04-06 23:30:00,5863,final,BUY,-631.4921525945284,7218.629883817439
2020-04-07 03:45:00,5880,final,BUY,1265.7682163601203,8484.39810017756
2020-04-07 10:00:00,5905,final,BUY,-669.145085985856,7815.253014191703
2020-04-14 09:45:00,6260,final,BUY,1117.6775712067865,8932.93058539849
2020-04-14 13:45:00,6276,final,BUY,919.759970185096,9852.690555583586
2020-04-14 22:30:00,6304,final,BUY,-454.9015021813102,9397.789053402275
2020-04-16 12:15:00,6448,final,BUY,-532.7160755342993,8865.072977867976
2020-04-22 16:00:00,6819,final,BUY,-447.7531087002899,8417.319869167686
2020-04-27 00:30:00,7024,final,BUY,1040.7450950830935,9458.06496425078
2020-04-27 03:00:00,7034,final,BUY,-438.1001100875619,9019.964854163218
2020-05-18 09:30:00,8395,final,BUY,-395.88488451037847,8624.07996965284
2020-05-18 23:00:00,8442,final,BUY,-335.9454450528029,8288.134524600036
2020-05-20 12:45:00,8586,final,BUY,-349.5384228081821,7938.596101791854
2020-05-25 23:30:00,8876,final,BUY,612.7360257903092,8551.332127582164
2020-05-26 08:00:00,8910,final,BUY,-222.55459062082085,8328.777536961343
2020-06-15 22:45:00,10208,final,BUY,1290.7883904969276,9619.56592745827
2020-06-16 02:00:00,10221,final,BUY,-620.3855431793636,8999.180384278907
