entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance
2024-05-10 05:30:00,2024-05-10 07:45:00,666,675,BUY,28.695,28.545728890588144,SL,0.77,9,False,-119.55875424712926,-0.011955875424712926,9880.44124575287
2024-05-17 14:45:00,2024-05-19 21:00:00,1163,1184,BUY,31.377000000000002,32.04659515471238,TP,0.3,21,True,151.50688558384599,0.015150688558384598,10031.948131336716
2024-05-19 21:30:00,2024-05-20 07:15:00,1186,1225,BUY,31.939,31.49742862706261,SL,0.23,39,False,-102.9414157755995,-0.01029414157755995,9929.006715561116
2024-05-27 10:15:00,2024-05-28 02:00:00,1697,1746,BUY,31.545,31.535,SL,0.47,49,True,85.06528426828734,0.008506528426828735,10014.071999829404
2024-06-20 01:45:00,2024-06-20 04:00:00,3299,3308,BUY,30.365000000000002,30.16167487929519,SL,0.53,9,False,-110.94231397354984,-0.011094231397354984,9903.129685855854
2024-06-28 09:30:00,2024-06-28 09:45:00,3882,3883,BUY,29.428,29.27803753068725,SL,0.76,1,False,-118.53147667769062,-0.011853147667769062,9784.598209178164
2024-07-03 08:45:00,2024-07-03 09:00:00,4155,4156,BUY,30.506,30.326858544083585,SL,0.61,1,False,-112.93628810901332,-0.011293628810901332,9671.661921069152
2024-08-08 10:45:00,2024-08-09 01:30:00,6545,6600,BUY,27.429000000000002,27.419,SL,0.48,55,True,87.33853195632872,0.008733853195632873,9759.000453025481
2024-08-15 08:15:00,2024-08-15 08:30:00,6995,6996,BUY,28.363000000000003,28.192602786150317,SL,0.61,1,False,-107.60230044830837,-0.010760230044830838,9651.398152577172
2024-08-15 08:45:00,2024-08-15 09:00:00,6997,6998,BUY,28.289,28.11588666569357,SL,0.6,1,False,-107.4680005838593,-0.010746800058385929,9543.930151993312
2024-09-12 11:30:00,2024-09-13 04:45:00,8838,8903,BUY,29.649,30.088925439941317,TP,0.43,65,True,141.59539518063445,0.014159539518063445,9685.525547173947
2024-09-13 10:00:00,2024-09-13 16:45:00,8924,8951,BUY,30.633000000000003,30.40723577309607,SL,0.46,27,False,-106.61154437580952,-0.010661154437580951,9578.914002798138
2024-10-18 14:45:00,2024-10-20 18:00:00,11220,11229,BUY,33.485,33.99282473823012,TP,0.38,9,True,144.089174086735,0.0144089174086735,9723.003176884873
2024-11-18 09:00:00,2024-11-18 09:30:00,13077,13079,BUY,30.916,30.906,SL,0.75,2,True,80.56776550417338,0.008056776550417338,9803.570942389046
2025-03-25 08:45:00,2025-03-25 09:15:00,21216,21218,BUY,33.714999999999996,33.59690336881592,SL,0.98,2,False,-121.61469856039196,-0.012161469856039196,9681.956243828654
2025-04-16 04:30:00,2025-04-16 04:45:00,22663,22664,BUY,32.951,32.80528640483903,SL,0.74,1,False,-112.26806041911783,-0.011226806041911784,9569.688183409537
2025-06-02 10:30:00,2025-06-02 15:30:00,25621,25641,BUY,34.254,34.69848076573722,TP,0.43,20,True,143.0986526932852,0.014309865269328521,9712.786836102821
2025-07-21 10:30:00,2025-07-22 00:30:00,28815,28867,BUY,38.878,38.70717522789835,SL,0.61,52,False,-107.86311098200854,-0.010786311098200854,9604.923725120812
2025-08-31 22:15:00,2025-09-01 04:15:00,31526,31550,BUY,40.193,40.67826885968671,TP,0.4,24,True,145.48245030392602,0.014548245030392601,9750.406175424738
2025-09-19 11:30:00,2025-09-21 20:45:00,32857,32890,BUY,42.711999999999996,43.14425826367084,TP,0.44,33,True,141.853615435851,0.0141853615435851,9892.25979086059
2025-09-21 23:30:00,2025-09-22 03:15:00,32901,32916,BUY,43.492,43.482,SL,0.52,15,True,84.82870830722943,0.008482870830722944,9977.08849916782
2025-09-26 14:00:00,2025-09-26 15:00:00,33327,33331,BUY,46.601,46.284760862469895,SL,0.33,4,False,-106.33891538493438,-0.010633891538493439,9870.749583782885
2025-10-28 21:15:00,2025-10-28 21:30:00,35380,35381,BUY,47.407,47.10838406175342,SL,0.35,1,False,-106.61557838630199,-0.010661557838630199,9764.134005396583
2025-11-12 23:15:00,2025-11-13 05:45:00,36396,36422,BUY,54.207,53.72417423723971,SL,0.21,26,False,-102.65341017966139,-0.01026534101796614,9661.480595216923
2025-11-30 21:15:00,2025-11-30 22:00:00,37473,37476,BUY,57.663,56.98868737658238,SL,0.15,3,False,-102.04689351264304,-0.010204689351264304,9559.43370170428
2026-01-11 18:45:00,2026-01-11 19:30:00,40026,40029,BUY,81.626,83.4584977817132,TP,0.1,3,True,139.65816326467862,0.013965816326467862,9699.09186496896
2026-01-11 20:00:00,2026-01-12 08:00:00,40031,40079,BUY,83.223,85.28233437634098,TP,0.09,48,True,143.41340634386825,0.014341340634386825,9842.505271312826
2026-01-25 19:30:00,2026-01-25 20:00:00,40939,40941,BUY,106.01100000000001,106.001,SL,0.07,2,True,87.94909603737354,0.008794909603737354,9930.4543673502
2026-01-25 22:00:00,2026-01-26 00:15:00,40949,40958,BUY,108.93400000000001,107.36524766926377,SL,0.06,9,False,-94.48513984417472,-0.009448513984417473,9835.969227506024
