time,bar_i,type,side,pnl,balance
2024-05-06 09:30:00,314,partial,BUY,87.30406097281444,10087.304060972814
2024-05-06 20:15:00,353,final,BUY,58.93291820160965,10146.236979174424
2024-05-09 19:00:00,624,partial,BUY,88.13470640083635,10234.371685575261
2024-05-10 02:00:00,652,final,BUY,58.44845820594803,10292.82014378121
2024-05-10 05:00:00,664,partial,BUY,91.7355735209165,10384.555717302126
2024-05-10 07:00:00,672,final,BUY,-4.480000000000438,10380.075717302127
2024-05-15 06:45:00,947,final,BUY,-123.7485588583524,10256.327158443773
2024-05-17 13:15:00,1157,partial,BUY,93.84404160507778,10350.171200048851
2024-05-17 14:15:00,1161,final,BUY,58.22913653643592,10408.400336585288
2024-05-19 21:00:00,1184,partial,BUY,96.12261045790379,10504.522947043191
2024-05-19 21:00:00,1184,final,BUY,65.04174030526885,10569.56468734846
2024-05-19 22:15:00,1189,partial,BUY,97.33998701872235,10666.904674367182
2024-05-20 02:15:00,1205,final,BUY,-1.4400000000001407,10665.464674367182
2024-05-27 11:30:00,1702,partial,BUY,95.313564084605,10760.778238451787
2024-05-27 12:45:00,1707,final,BUY,62.43844516038668,10823.216683612174
2024-05-28 02:00:00,1746,final,BUY,-125.788064965583,10697.42861864659
2024-06-06 08:30:00,2416,final,BUY,-118.16732807083338,10579.261290575758
2024-06-07 04:00:00,2490,final,BUY,-111.65687264070012,10467.604417935057
2024-06-19 21:45:00,3283,partial,BUY,91.73004467624573,10559.334462611303
2024-06-19 21:45:00,3283,final,BUY,60.727077743829895,10620.061540355133
2024-06-20 03:45:00,3307,final,BUY,-116.63196241662631,10503.429577938507
2024-06-21 02:30:00,3394,final,BUY,-114.32512032549585,10389.104457613012
2024-06-23 22:00:00,3468,final,BUY,-119.20836339421896,10269.896094218793
2024-06-28 09:30:00,3882,final,BUY,-120.55184212089459,10149.344252097899
2024-07-03 05:00:00,4140,final,BUY,-124.58724736778002,10024.75700473012
2024-07-03 09:00:00,4156,final,BUY,-112.53077504571772,9912.226229684402
2024-07-30 21:45:00,5941,partial,BUY,90.98026862545728,10003.206498309859
2024-07-30 23:15:00,5947,final,BUY,60.82344954232083,10064.02994785218
2024-08-05 09:00:00,6262,final,SELL,-106.70693104492118,9957.323016807259
2024-08-08 21:15:00,6583,partial,BUY,89.36221640464237,10046.685233211902
2024-08-08 21:30:00,6584,final,BUY,59.87970635085352,10106.564939562755
2024-08-12 09:00:00,6722,final,BUY,-118.73253805537895,9987.832401507376
2024-08-15 08:15:00,6995,partial,BUY,85.74420480282726,10073.576606310204
2024-08-15 08:30:00,6996,final,BUY,-3.6800000000003594,10069.896606310203
2024-08-15 09:00:00,6998,final,BUY,-116.98438951329054,9952.912216796913
2024-09-05 09:30:00,8370,partial,BUY,91.25485171794949,10044.167068514862
2024-09-05 10:15:00,8373,final,BUY,60.141710819800004,10104.308779334662
2024-09-05 11:15:00,8377,final,BUY,-116.21842444670885,9988.090354887954
2024-09-11 08:30:00,8734,final,BUY,-116.89028264508569,9871.20007224287
2024-09-12 12:45:00,8843,partial,BUY,86.06146496091677,9957.261537203785
2024-09-12 15:45:00,8855,final,BUY,59.1117725395624,10016.373309743347
2024-09-13 10:00:00,8924,final,BUY,-112.9455817785215,9903.427727964825
2024-09-13 13:15:00,8937,final,BUY,-109.69853503338835,9793.729192931436
2024-09-24 12:15:00,9577,partial,BUY,90.33652110314206,9884.065714034577
2024-09-24 12:30:00,9578,final,BUY,57.030944132985894,9941.096658167564
2024-09-24 21:45:00,9611,final,BUY,-110.32244470994775,9830.774213457616
2024-09-26 08:00:00,9744,final,BUY,-116.84435085426554,9713.92986260335
2024-10-18 14:15:00,11218,partial,BUY,88.27982638264622,9802.209688985997
2024-10-18 14:30:00,11219,final,BUY,56.37489148915374,9858.58458047515
2024-10-20 18:00:00,11229,partial,BUY,89.6545353421835,9948.239115817334
2024-10-20 18:00:00,11229,final,BUY,58.172886126844396,10006.412001944178
2024-10-20 20:15:00,11238,final,BUY,-109.34217183404539,9897.069830110133
2024-10-21 10:30:00,11295,final,BUY,-107.4731554443587,9789.596674665774
2024-10-28 21:45:00,11768,final,BUY,-107.54744261407683,9682.049232051697
2024-11-07 20:00:00,12473,final,BUY,-106.45497825397972,9575.594253797717
2024-11-18 09:30:00,13079,partial,BUY,87.39994366005726,9662.994197457774
2024-11-18 09:30:00,13079,final,BUY,-4.640000000000453,9658.354197457773
2024-11-18 13:15:00,13094,final,BUY,-113.25760454917865,9545.096592908594
