date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,BND,78.6,78.73,78.54,78.6799,48.3374482751,48.4173957087,48.3005494597,48.3865851977,1098100,1098100,0.0,1.0,tiingo_historical_seed,
2010-01-05,BND,78.89,79.0,78.79,78.91,48.5157925499,48.5834403783,48.4542945241,48.5280921551,814600,814600,0.0,1.0,tiingo_historical_seed,
2010-01-06,BND,78.97,78.98,78.7,78.88,48.5649909706,48.5711407732,48.3989463009,48.5096427474,981300,981300,0.0,1.0,tiingo_historical_seed,
2010-01-07,BND,78.72,78.87,78.72,78.82,48.4112459061,48.5034929448,48.4112459061,48.4727439319,661700,661700,0.0,1.0,tiingo_historical_seed,
2010-01-08,BND,78.88,78.96,78.7644,78.9,48.5096427474,48.558841168,48.4385510295,48.5219423525,1270000,1270000,0.0,1.0,tiingo_historical_seed,
2010-01-11,BND,78.92,78.96,78.83,78.93,48.5342419577,48.558841168,48.4788937345,48.5403917603,2237100,2237100,0.0,1.0,tiingo_historical_seed,
2010-01-12,BND,79.11,79.23,79.08,79.23,48.6510882067,48.7248858376,48.6326387989,48.7248858376,702100,702100,0.0,1.0,tiingo_historical_seed,
2010-01-13,BND,79.15,79.24,78.98,79.05,48.675687417,48.7310356402,48.5711407732,48.6141893912,460500,460500,0.0,1.0,tiingo_historical_seed,
2010-01-14,BND,79.18,79.28,79.1325,79.24,48.6941368247,48.7556348505,48.6649252625,48.7310356402,777700,777700,0.0,1.0,tiingo_historical_seed,
2010-01-15,BND,79.35,79.4273,79.27,79.29,48.7986834686,48.8462214425,48.749485048,48.7617846531,745300,745300,0.0,1.0,tiingo_historical_seed,
2010-01-19,BND,79.34,79.39,79.23,79.25,48.792533666,48.8232826789,48.7248858376,48.7371854428,782000,782000,0.0,1.0,tiingo_historical_seed,
2010-01-20,BND,79.43,79.47,79.37,79.44,48.8478818892,48.8724810996,48.8109830738,48.8540316918,417300,417300,0.0,1.0,tiingo_historical_seed,
2010-01-21,BND,79.49,79.62,79.43,79.5299,48.8847807047,48.9647281382,48.8478818892,48.909318417,647300,647300,0.0,1.0,tiingo_historical_seed,
2010-01-22,BND,79.6,79.66,79.5,79.5,48.9524285331,48.9893273486,48.8909305073,48.8909305073,403200,403200,0.0,1.0,tiingo_historical_seed,
2010-01-25,BND,79.58,79.58,79.35,79.39,48.9401289279,48.9401289279,48.7986834686,48.8232826789,692900,692900,0.0,1.0,tiingo_historical_seed,
