date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2013-06-04,BNDX,50.6,50.6,50.24,50.3,35.7437556541,35.7437556541,35.4894522542,35.5318361542,44300,44300,0.0,1.0,tiingo_historical_seed,
2013-06-05,BNDX,50.4,50.4,50.3,50.36,35.6024759875,35.6024759875,35.5318361542,35.5742200541,62500,62500,0.0,1.0,tiingo_historical_seed,
2013-06-06,BNDX,50.34,50.35,50.27,50.29,35.5600920875,35.5671560708,35.5106442042,35.5247721708,106800,106800,0.0,1.0,tiingo_historical_seed,
2013-06-07,BNDX,50.33,50.33,50.185,50.185,35.5530281042,35.5530281042,35.4506003459,35.4506003459,70800,70800,0.0,1.0,tiingo_historical_seed,
2013-06-10,BNDX,50.26,50.26,49.7999,49.826,35.5035802208,35.5035802208,35.1785663478,35.1970033443,128800,128800,0.0,1.0,tiingo_historical_seed,
2013-06-11,BNDX,50.1,50.1,49.8,49.82,35.3905564875,35.3905564875,35.1786369876,35.1927649543,50800,50800,0.0,1.0,tiingo_historical_seed,
2013-06-12,BNDX,50.0,50.2,49.885,50.02,35.3199166542,35.4611963209,35.2386808459,35.3340446209,196200,196200,0.0,1.0,tiingo_historical_seed,
2013-06-13,BNDX,50.01,50.04,49.85,49.85,35.3269806376,35.3481725876,35.2139569043,35.2139569043,105400,105400,0.0,1.0,tiingo_historical_seed,
2013-06-14,BNDX,50.13,50.13,49.97,49.97,35.4117484375,35.4117484375,35.2987247042,35.2987247042,99900,99900,0.0,1.0,tiingo_historical_seed,
2013-06-17,BNDX,50.1,50.1,49.9,50.01,35.3905564875,35.3905564875,35.2492768209,35.3269806376,99400,99400,0.0,1.0,tiingo_historical_seed,
2013-06-18,BNDX,50.05,50.05,49.84,49.93,35.3552365709,35.3552365709,35.2068929209,35.2704687709,138400,138400,0.0,1.0,tiingo_historical_seed,
2013-06-19,BNDX,50.11,50.11,49.7,49.81,35.3976204709,35.3976204709,35.1079971543,35.1857009709,86100,86100,0.0,1.0,tiingo_historical_seed,
