date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,DBC,25.17,25.24,25.072,25.24,21.2931857565,21.3524039926,21.2102802259,21.3524039926,2046900,2046900,0.0,1.0,tiingo_historical_seed,
2010-01-05,DBC,25.27,25.325,25.115,25.27,21.3777832366,21.4243118507,21.2466571424,21.3777832366,2335400,2335400,0.0,1.0,tiingo_historical_seed,
2010-01-06,DBC,25.4,25.73,25.3,25.72,21.4877599608,21.7669316454,21.4031624807,21.7584718974,2262600,2262600,0.0,1.0,tiingo_historical_seed,
2010-01-07,DBC,25.63,25.65,25.4,25.4,21.6823341652,21.6992536612,21.4877599608,21.4877599608,1604100,1604100,0.0,1.0,tiingo_historical_seed,
2010-01-08,DBC,25.34,25.48,25.2301,25.38,21.4370014727,21.555437945,21.344028842,21.4708404648,1565300,1565300,0.0,1.0,tiingo_historical_seed,
2010-01-11,DBC,25.57,25.59,25.2628,25.3,21.6315756771,21.6484951731,21.3716922181,21.4031624807,1493800,1493800,0.0,1.0,tiingo_historical_seed,
2010-01-12,DBC,25.0502,25.11,24.62,24.76,21.1918379752,21.2424272684,20.8278996156,20.9463360878,3256300,3256300,0.0,1.0,tiingo_historical_seed,
2010-01-13,DBC,24.63,24.81,24.33,24.78,20.8363593636,20.9886348279,20.5825669231,20.9632555838,3565200,3565200,0.0,1.0,tiingo_historical_seed,
2010-01-14,DBC,24.82,24.86,24.55,24.65,20.9970945759,21.030933568,20.7686813795,20.8532788596,1622200,1622200,0.0,1.0,tiingo_historical_seed,
2010-01-15,DBC,24.59,24.61,24.3,24.37,20.8025203715,20.8194398676,20.5571876791,20.6164059152,1427200,1427200,0.0,1.0,tiingo_historical_seed,
2010-01-19,DBC,24.18,24.53,24.1,24.53,20.4556707029,20.7517618834,20.3879927187,20.7517618834,2316500,2316500,0.0,1.0,tiingo_historical_seed,
2010-01-20,DBC,24.21,24.22,23.94,24.07,20.4810499469,20.4895096949,20.2526367505,20.3626134747,1848500,1848500,0.0,1.0,tiingo_historical_seed,
2010-01-21,DBC,24.14,24.23,23.72,23.77,20.4218317108,20.497969443,20.0665222941,20.1088210342,2452400,2452400,0.0,1.0,tiingo_historical_seed,
2010-01-22,DBC,23.63,23.71,23.36,23.52,19.990384562,20.0580625461,19.7619713656,19.8973273338,3609600,3609600,0.0,1.0,tiingo_historical_seed,
2010-01-25,DBC,23.49,23.68,23.48,23.63,19.8719480898,20.0326833021,19.8634883418,19.990384562,1718100,1718100,0.0,1.0,tiingo_historical_seed,
2010-01-26,DBC,23.27,23.55,23.25,23.37,19.6858336334,19.9227065779,19.6689141374,19.7704311136,1403100,1403100,0.0,1.0,tiingo_historical_seed,
2010-01-27,DBC,23.24,23.35,22.86,23.03,19.6604543894,19.7535116175,19.3389839648,19.482799681,2082100,2082100,0.0,1.0,tiingo_historical_seed,
2010-01-28,DBC,23.07,23.11,22.75,22.95,19.5166386731,19.5504776652,19.2459267366,19.4151216969,1344900,1344900,0.0,1.0,tiingo_historical_seed,
2010-01-29,DBC,23.03,23.12,22.66,22.69,19.482799681,19.5589374132,19.1697890044,19.1951682485,2810100,2810100,0.0,1.0,tiingo_historical_seed,
2010-02-01,DBC,22.83,23.24,22.75,23.24,19.3136047207,19.6604543894,19.2459267366,19.6604543894,2807600,2807600,0.0,1.0,tiingo_historical_seed,
2010-02-02,DBC,23.31,23.77,23.26,23.74,19.7196726255,20.1088210342,19.6773738854,20.0834417902,13788100,13788100,0.0,1.0,tiingo_historical_seed,
2010-02-03,DBC,23.65,23.77,23.43,23.45,20.007304058,20.1088210342,19.8211896017,19.8381090977,4795500,4795500,0.0,1.0,tiingo_historical_seed,
2010-02-04,DBC,23.2,23.23,22.61,22.67,19.6266153973,19.6519946413,19.1274902644,19.1782487524,4453900,4453900,0.0,1.0,tiingo_historical_seed,
2010-02-05,DBC,22.6,22.6801,21.83,22.38,19.1190305163,19.1867930979,18.4676299191,18.93291606,11514400,11514400,0.0,1.0,tiingo_historical_seed,
2010-02-08,DBC,22.38,22.57,22.25,22.39,18.93291606,19.0936512723,18.8229393358,18.941375808,1608100,1608100,0.0,1.0,tiingo_historical_seed,
2010-02-09,DBC,22.57,22.93,22.48,22.79,19.0936512723,19.3982022009,19.0175135401,19.2797657286,2047300,2047300,0.0,1.0,tiingo_historical_seed,
2010-02-10,DBC,23.06,23.06,22.52,22.88,19.5081789251,19.5081789251,19.0513525322,19.3559034608,1842300,1842300,0.0,1.0,tiingo_historical_seed,
2010-02-11,DBC,22.92,23.24,22.76,23.15,19.3897424528,19.6604543894,19.2543864846,19.5843166572,1727000,1727000,0.0,1.0,tiingo_historical_seed,
2010-02-12,DBC,22.9,23.02,22.72,23.02,19.3728229568,19.474339933,19.2205474925,19.474339933,1374300,1374300,0.0,1.0,tiingo_historical_seed,
2010-02-16,DBC,23.39,23.736,23.375,23.72,19.7873506096,20.080057891,19.7746609876,20.0665222941,1398600,1398600,0.0,1.0,tiingo_historical_seed,
2010-02-17,DBC,23.7,23.74,23.48,23.6,20.0496027981,20.0834417902,19.8634883418,19.9650053179,1526800,1526800,0.0,1.0,tiingo_historical_seed,
2010-02-18,DBC,23.69,23.84,23.59,23.81,20.0411430501,20.1680392703,19.9565455699,20.1426600263,1311900,1311900,0.0,1.0,tiingo_historical_seed,
2010-02-19,DBC,23.67,24.0,23.6,23.95,20.0242235541,20.3033952386,19.9650053179,20.2610964985,1729200,1729200,0.0,1.0,tiingo_historical_seed,
2010-02-22,DBC,23.95,23.98,23.74,23.82,20.2610964985,20.2864757426,20.0834417902,20.1511197743,1796300,1796300,0.0,1.0,tiingo_historical_seed,
2010-02-23,DBC,23.61,23.67,23.39,23.43,19.973465066,20.0242235541,19.7873506096,19.8211896017,1833000,1833000,0.0,1.0,tiingo_historical_seed,
2010-02-24,DBC,23.47,23.675,23.36,23.62,19.8550285937,20.0284534281,19.7619713656,19.981924814,1581200,1581200,0.0,1.0,tiingo_historical_seed,
