date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,EWJ,9.87,9.99,9.87,9.99,29.2724062072,29.6283017234,29.2724062072,29.6283017234,5928175,23712700,0.0,1.0,tiingo_historical_seed,
2010-01-05,EWJ,10.03,10.09,9.99,10.05,29.7469335621,29.9248813202,29.6283017234,29.8062494815,7801450,31205800,0.0,1.0,tiingo_historical_seed,
2010-01-06,EWJ,10.02,10.12,10.02,10.09,29.7172756025,30.0138551993,29.7172756025,29.9248813202,9715575,38862300,0.0,1.0,tiingo_historical_seed,
2010-01-07,EWJ,9.99,10.03,9.97,10.0,29.6283017234,29.7469335621,29.568985804,29.6579596831,8008575,32034300,0.0,1.0,tiingo_historical_seed,
2010-01-08,EWJ,10.11,10.14,10.06,10.12,29.9841972396,30.0731711187,29.8359074412,30.0138551993,4221025,16884100,0.0,1.0,tiingo_historical_seed,
2010-01-11,EWJ,10.18,10.21,10.145,10.21,30.1918029574,30.2807768364,30.0880000985,30.2807768364,5207850,20831400,0.0,1.0,tiingo_historical_seed,
2010-01-12,EWJ,10.28,10.32,10.25,10.28,30.4883825542,30.607014393,30.3994086752,30.4883825542,7622100,30488400,0.0,1.0,tiingo_historical_seed,
2010-01-13,EWJ,10.25,10.35,10.24,10.34,30.3994086752,30.695988272,30.3697507155,30.6663303123,8881400,35525600,0.0,1.0,tiingo_historical_seed,
2010-01-14,EWJ,10.41,10.51,10.41,10.49,30.8739360301,31.1705156269,30.8739360301,31.1111997076,6478200,25912800,0.0,1.0,tiingo_historical_seed,
2010-01-15,EWJ,10.5,10.52,10.36,10.47,31.1408576672,31.2001735866,30.7256462317,31.0518837882,9396400,37585600,0.0,1.0,tiingo_historical_seed,
2010-01-19,EWJ,10.39,10.49,10.38,10.46,30.8146201107,31.1111997076,30.7849621511,31.0222258285,4339950,17359800,0.0,1.0,tiingo_historical_seed,
2010-01-20,EWJ,10.24,10.25,10.14,10.23,30.3697507155,30.3994086752,30.0731711187,30.3400927558,8363125,33452500,0.0,1.0,tiingo_historical_seed,
2010-01-21,EWJ,10.34,10.36,10.22,10.28,30.6663303123,30.7256462317,30.3104347961,30.4883825542,14103825,56415300,0.0,1.0,tiingo_historical_seed,
2010-01-22,EWJ,10.27,10.32,10.16,10.17,30.4587245945,30.607014393,30.132487038,30.1621449977,7058500,28234000,0.0,1.0,tiingo_historical_seed,
2010-01-25,EWJ,10.28,10.29,10.21,10.25,30.4883825542,30.5180405139,30.2807768364,30.3994086752,4211075,16844300,0.0,1.0,tiingo_historical_seed,
2010-01-26,EWJ,10.14,10.23,10.11,10.14,30.0731711187,30.3400927558,29.9841972396,30.0731711187,6857050,27428200,0.0,1.0,tiingo_historical_seed,
2010-01-27,EWJ,10.06,10.11,10.0,10.08,29.8359074412,29.9841972396,29.6579596831,29.8952233606,7203225,28812900,0.0,1.0,tiingo_historical_seed,
2010-01-28,EWJ,10.07,10.08,9.93,9.98,29.8655654009,29.8952233606,29.4503539653,29.5986437637,10078700,40314800,0.0,1.0,tiingo_historical_seed,
2010-01-29,EWJ,9.92,9.98,9.83,9.84,29.4206960056,29.5986437637,29.1537743685,29.1834323282,9333825,37335300,0.0,1.0,tiingo_historical_seed,
2010-02-01,EWJ,9.94,9.96,9.9,9.94,29.480011925,29.5393278444,29.3613800863,29.480011925,8146550,32586200,0.0,1.0,tiingo_historical_seed,
2010-02-02,EWJ,10.04,10.13,10.02,10.13,29.7765915218,30.043513159,29.7172756025,30.043513159,10421550,41686200,0.0,1.0,tiingo_historical_seed,
2010-02-03,EWJ,10.04,10.07,9.97,10.03,29.7765915218,29.8655654009,29.568985804,29.7469335621,8389425,33557700,0.0,1.0,tiingo_historical_seed,
2010-02-04,EWJ,9.85,9.87,9.77,9.84,29.2130902878,29.2724062072,28.9758266104,29.1834323282,11501650,46006600,0.0,1.0,tiingo_historical_seed,
