date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,GLD,109.82,110.14,109.31,109.8,109.82,110.14,109.31,109.8,16224100,16224100,0.0,1.0,tiingo_historical_seed,
2010-01-05,GLD,109.88,110.39,109.26,109.7,109.88,110.39,109.26,109.7,14213100,14213100,0.0,1.0,tiingo_historical_seed,
2010-01-06,GLD,110.71,111.77,110.4086,111.51,110.71,111.77,110.4086,111.51,24981900,24981900,0.0,1.0,tiingo_historical_seed,
2010-01-07,GLD,111.07,111.29,110.62,110.82,111.07,111.29,110.62,110.82,13609800,13609800,0.0,1.0,tiingo_historical_seed,
2010-01-08,GLD,111.52,111.58,110.26,111.37,111.52,111.58,110.26,111.37,15894600,15894600,0.0,1.0,tiingo_historical_seed,
2010-01-11,GLD,113.34,113.59,112.52,112.85,113.34,113.59,112.52,112.85,17253000,17253000,0.0,1.0,tiingo_historical_seed,
2010-01-12,GLD,112.38,113.05,110.14,110.49,112.38,113.05,110.14,110.49,29182600,29182600,0.0,1.0,tiingo_historical_seed,
2010-01-13,GLD,110.92,111.57,109.57,111.54,110.92,111.57,109.57,111.54,20014000,20014000,0.0,1.0,tiingo_historical_seed,
2010-01-14,GLD,111.51,112.37,110.79,112.03,111.51,112.37,110.79,112.03,18305300,18305300,0.0,1.0,tiingo_historical_seed,
2010-01-15,GLD,111.35,112.01,110.38,110.86,111.35,112.01,110.38,110.86,18002700,18002700,0.0,1.0,tiingo_historical_seed,
2010-01-19,GLD,110.95,111.75,110.83,111.52,110.95,111.75,110.83,111.52,10468200,10468200,0.0,1.0,tiingo_historical_seed,
2010-01-20,GLD,109.97,110.05,108.46,108.94,109.97,110.05,108.46,108.94,17535000,17535000,0.0,1.0,tiingo_historical_seed,
2010-01-21,GLD,108.48,108.78,106.61,107.37,108.48,108.78,106.61,107.37,25748400,25748400,0.0,1.0,tiingo_historical_seed,
2010-01-22,GLD,106.93,107.68,106.01,107.17,106.93,107.68,106.01,107.17,24210100,24210100,0.0,1.0,tiingo_historical_seed,
2010-01-25,GLD,107.44,107.72,107.07,107.48,107.44,107.72,107.07,107.48,13200500,13200500,0.0,1.0,tiingo_historical_seed,
2010-01-26,GLD,106.87,107.99,106.75,107.56,106.87,107.99,106.75,107.56,12297100,12297100,0.0,1.0,tiingo_historical_seed,
2010-01-27,GLD,107.53,108.8,106.16,106.528,107.53,108.8,106.16,106.528,19005100,19005100,0.0,1.0,tiingo_historical_seed,
2010-01-28,GLD,107.18,107.23,105.18,106.48,107.18,107.23,105.18,106.48,16793900,16793900,0.0,1.0,tiingo_historical_seed,
2010-01-29,GLD,105.88,106.3,105.27,105.96,105.88,106.3,105.27,105.96,20278800,20278800,0.0,1.0,tiingo_historical_seed,
2010-02-01,GLD,106.64,108.48,106.37,108.35,106.64,108.48,106.37,108.35,14901900,14901900,0.0,1.0,tiingo_historical_seed,
2010-02-02,GLD,109.16,109.6,108.61,109.13,109.16,109.6,108.61,109.13,14292200,14292200,0.0,1.0,tiingo_historical_seed,
2010-02-03,GLD,109.1,109.54,108.4305,108.7,109.1,109.54,108.4305,108.7,13393200,13393200,0.0,1.0,tiingo_historical_seed,
2010-02-04,GLD,106.79,106.8,103.75,104.37,106.79,106.8,103.75,104.37,39991900,39991900,0.0,1.0,tiingo_historical_seed,
2010-02-05,GLD,103.76,104.68,102.28,104.68,103.76,104.68,102.28,104.68,32656700,32656700,0.0,1.0,tiingo_historical_seed,
2010-02-08,GLD,104.41,105.14,104.0,104.04,104.41,105.14,104.0,104.04,17176600,17176600,0.0,1.0,tiingo_historical_seed,
2010-02-09,GLD,105.18,106.15,104.87,105.41,105.18,106.15,104.87,105.41,25959200,25959200,0.0,1.0,tiingo_historical_seed,
2010-02-10,GLD,105.13,105.5,104.11,105.12,105.13,105.5,104.11,105.12,16215200,16215200,0.0,1.0,tiingo_historical_seed,
2010-02-11,GLD,105.58,107.56,105.27,107.13,105.58,107.56,105.27,107.13,19350100,19350100,0.0,1.0,tiingo_historical_seed,
2010-02-12,GLD,106.08,107.1,105.57,107.04,106.08,107.1,105.57,107.04,14464200,14464200,0.0,1.0,tiingo_historical_seed,
2010-02-16,GLD,109.45,109.87,109.1,109.62,109.45,109.87,109.1,109.62,20895700,20895700,0.0,1.0,tiingo_historical_seed,
2010-02-17,GLD,109.66,110.01,108.87,109.25,109.66,110.01,108.87,109.25,19593400,19593400,0.0,1.0,tiingo_historical_seed,
2010-02-18,GLD,109.61,110.11,109.19,109.98,109.61,110.11,109.19,109.98,19177400,19177400,0.0,1.0,tiingo_historical_seed,
2010-02-19,GLD,109.3,110.39,108.81,109.47,109.3,110.39,108.81,109.47,21928700,21928700,0.0,1.0,tiingo_historical_seed,
2010-02-22,GLD,109.86,109.97,108.66,109.07,109.86,109.97,108.66,109.07,10742800,10742800,0.0,1.0,tiingo_historical_seed,
2010-02-23,GLD,108.84,108.91,107.65,107.89,108.84,108.91,107.65,107.89,13629600,13629600,0.0,1.0,tiingo_historical_seed,
2010-02-24,GLD,107.33,108.16,107.1,107.36,107.33,108.16,107.1,107.36,17207400,17207400,0.0,1.0,tiingo_historical_seed,
2010-02-25,GLD,106.7,108.7,106.6,108.31,106.7,108.7,106.6,108.31,23400400,23400400,0.0,1.0,tiingo_historical_seed,
2010-02-26,GLD,108.89,109.6,108.41,109.43,108.89,109.6,108.41,109.43,13033900,13033900,0.0,1.0,tiingo_historical_seed,
2010-03-01,GLD,109.48,109.9,108.97,109.43,109.48,109.9,108.97,109.43,12830900,12830900,0.0,1.0,tiingo_historical_seed,
2010-03-02,GLD,109.86,111.45,109.86,111.02,109.86,111.45,109.86,111.02,20102200,20102200,0.0,1.0,tiingo_historical_seed,
2010-03-03,GLD,111.46,112.18,111.1763,111.63,111.46,112.18,111.1763,111.63,16222100,16222100,0.0,1.0,tiingo_historical_seed,
2010-03-04,GLD,111.25,111.37,110.22,110.83,111.25,111.37,110.22,110.83,12944800,12944800,0.0,1.0,tiingo_historical_seed,
2010-03-05,GLD,111.13,111.75,110.8,110.81,111.13,111.75,110.8,110.81,11091400,11091400,0.0,1.0,tiingo_historical_seed,
2010-03-08,GLD,111.22,111.3,109.52,109.88,111.22,111.3,109.52,109.88,12753800,12753800,0.0,1.0,tiingo_historical_seed,
2010-03-09,GLD,109.16,110.16,109.04,109.718,109.16,110.16,109.04,109.718,12650800,12650800,0.0,1.0,tiingo_historical_seed,
2010-03-10,GLD,109.94,110.5,108.02,108.47,109.94,110.5,108.02,108.47,21982100,21982100,0.0,1.0,tiingo_historical_seed,
2010-03-11,GLD,108.28,108.65,107.86,108.6,108.28,108.65,107.86,108.6,9513300,9513300,0.0,1.0,tiingo_historical_seed,
2010-03-12,GLD,108.56,108.77,107.45,107.95,108.56,108.77,107.45,107.95,11849000,11849000,0.0,1.0,tiingo_historical_seed,
2010-03-15,GLD,108.16,108.56,107.82,108.36,108.16,108.56,107.82,108.36,7698600,7698600,0.0,1.0,tiingo_historical_seed,
2010-03-16,GLD,110.02,110.57,109.7,110.4,110.02,110.57,109.7,110.4,17749300,17749300,0.0,1.0,tiingo_historical_seed,
2010-03-17,GLD,110.18,110.46,109.55,109.59,110.18,110.46,109.55,109.59,13784300,13784300,0.0,1.0,tiingo_historical_seed,
2010-03-18,GLD,110.1,110.61,109.5,110.34,110.1,110.61,109.5,110.34,13848400,13848400,0.0,1.0,tiingo_historical_seed,
2010-03-19,GLD,110.26,110.29,107.85,108.28,110.26,110.29,107.85,108.28,24329100,24329100,0.0,1.0,tiingo_historical_seed,
2010-03-22,GLD,107.31,108.0,106.95,107.75,107.31,108.0,106.95,107.75,11579400,11579400,0.0,1.0,tiingo_historical_seed,
2010-03-23,GLD,107.5,108.5,107.34,108.32,107.5,108.5,107.34,108.32,11274400,11274400,0.0,1.0,tiingo_historical_seed,
2010-03-24,GLD,106.94,107.07,106.24,106.3,106.94,107.07,106.24,106.3,14236700,14236700,0.0,1.0,tiingo_historical_seed,
2010-03-25,GLD,107.0,107.25,106.48,106.78,107.0,107.25,106.48,106.78,16866700,16866700,0.0,1.0,tiingo_historical_seed,
2010-03-26,GLD,107.16,108.7,106.82,108.59,107.16,108.7,106.82,108.59,17433600,17433600,0.0,1.0,tiingo_historical_seed,
2010-03-29,GLD,108.87,109.17,108.4,108.75,108.87,109.17,108.4,108.75,11527000,11527000,0.0,1.0,tiingo_historical_seed,
2010-03-30,GLD,108.57,108.6615,107.87,107.97,108.57,108.6615,107.87,107.97,9817700,9817700,0.0,1.0,tiingo_historical_seed,
2010-03-31,GLD,109.44,109.5,108.85,108.95,109.44,109.5,108.85,108.95,14006800,14006800,0.0,1.0,tiingo_historical_seed,
2010-04-01,GLD,109.97,110.47,109.92,110.26,109.97,110.47,109.92,110.26,11370500,11370500,0.0,1.0,tiingo_historical_seed,
2010-04-05,GLD,110.56,110.9837,110.27,110.89,110.56,110.9837,110.27,110.89,8207900,8207900,0.0,1.0,tiingo_historical_seed,
2010-04-06,GLD,110.89,111.51,110.83,111.03,110.89,111.51,110.83,111.03,10322300,10322300,0.0,1.0,tiingo_historical_seed,
2010-04-07,GLD,111.85,112.93,111.77,112.49,111.85,112.93,111.77,112.49,19139500,19139500,0.0,1.0,tiingo_historical_seed,
2010-04-08,GLD,112.47,112.98,112.13,112.65,112.47,112.98,112.13,112.65,12445400,12445400,0.0,1.0,tiingo_historical_seed,
2010-04-09,GLD,113.09,114.07,112.74,113.64,113.09,114.07,112.74,113.64,16427800,16427800,0.0,1.0,tiingo_historical_seed,
2010-04-12,GLD,113.64,114.13,112.98,113.01,113.64,114.13,112.98,113.01,11118900,11118900,0.0,1.0,tiingo_historical_seed,
2010-04-13,GLD,113.12,113.16,112.06,112.69,113.12,113.16,112.06,112.69,11261100,11261100,0.0,1.0,tiingo_historical_seed,
2010-04-14,GLD,113.23,113.66,112.78,113.03,113.23,113.66,112.78,113.03,10572100,10572100,0.0,1.0,tiingo_historical_seed,
2010-04-15,GLD,112.9,113.71,112.85,113.65,112.9,113.71,112.85,113.65,10952100,10952100,0.0,1.0,tiingo_historical_seed,
2010-04-16,GLD,112.5,113.07,110.54,111.24,112.5,113.07,110.54,111.24,24572600,24572600,0.0,1.0,tiingo_historical_seed,
2010-04-19,GLD,110.8801,111.36,110.67,111.15,110.8801,111.36,110.67,111.15,7993700,7993700,0.0,1.0,tiingo_historical_seed,
2010-04-20,GLD,111.73,112.21,111.33,111.46,111.73,112.21,111.33,111.46,7019800,7019800,0.0,1.0,tiingo_historical_seed,
2010-04-21,GLD,111.82,112.64,111.48,112.31,111.82,112.64,111.48,112.31,6842900,6842900,0.0,1.0,tiingo_historical_seed,
2010-04-22,GLD,111.79,112.01,110.76,111.84,111.79,112.01,110.76,111.84,9598900,9598900,0.0,1.0,tiingo_historical_seed,
2010-04-23,GLD,111.26,113.3,111.09,113.19,111.26,113.3,111.09,113.19,12505800,12505800,0.0,1.0,tiingo_historical_seed,
2010-04-26,GLD,112.88,113.2,112.63,112.75,112.88,113.2,112.63,112.75,8335400,8335400,0.0,1.0,tiingo_historical_seed,
2010-04-27,GLD,112.43,114.82,112.34,114.63,112.43,114.82,112.34,114.63,25057100,25057100,0.0,1.0,tiingo_historical_seed,
2010-04-28,GLD,114.63,114.99,113.63,114.31,114.63,114.99,113.63,114.31,26891900,26891900,0.0,1.0,tiingo_historical_seed,
2010-04-29,GLD,113.85,114.52,113.84,114.28,113.85,114.52,113.84,114.28,10374300,10374300,0.0,1.0,tiingo_historical_seed,
2010-04-30,GLD,115.26,115.7,115.21,115.36,115.26,115.7,115.21,115.36,13403100,13403100,0.0,1.0,tiingo_historical_seed,
2010-05-03,GLD,115.91,116.28,115.53,115.73,115.91,116.28,115.53,115.73,13570800,13570800,0.0,1.0,tiingo_historical_seed,
2010-05-04,GLD,116.39,116.43,114.17,114.87,116.39,116.43,114.17,114.87,21512100,21512100,0.0,1.0,tiingo_historical_seed,
2010-05-05,GLD,113.58,115.24,113.312,115.09,113.58,115.24,113.312,115.09,21616700,21616700,0.0,1.0,tiingo_historical_seed,
2010-05-06,GLD,115.62,118.62,115.57,118.486,115.62,118.62,115.57,118.486,50546300,50546300,0.0,1.0,tiingo_historical_seed,
2010-05-07,GLD,117.64,118.88,116.74,118.27,117.64,118.88,116.74,118.27,34272700,34272700,0.0,1.0,tiingo_historical_seed,
2010-05-10,GLD,117.5,117.9,116.8101,117.57,117.5,117.9,116.8101,117.57,28433800,28433800,0.0,1.0,tiingo_historical_seed,
2010-05-11,GLD,119.46,120.87,118.97,120.656,119.46,120.87,118.97,120.656,36731800,36731800,0.0,1.0,tiingo_historical_seed,
2010-05-12,GLD,121.28,122.235,120.7685,121.4,121.28,122.235,120.7685,121.4,32703600,32703600,0.0,1.0,tiingo_historical_seed,
2010-05-13,GLD,121.29,121.71,120.1,120.56,121.29,121.71,120.1,120.56,22340400,22340400,0.0,1.0,tiingo_historical_seed,
2010-05-14,GLD,121.88,122.02,119.12,120.37,121.88,122.02,119.12,120.37,34643200,34643200,0.0,1.0,tiingo_historical_seed,
2010-05-17,GLD,120.55,121.12,119.29,119.36,120.55,121.12,119.29,119.36,27898000,27898000,0.0,1.0,tiingo_historical_seed,
2010-05-18,GLD,118.86,120.32,118.5,119.49,118.86,120.32,118.5,119.49,26595300,26595300,0.0,1.0,tiingo_historical_seed,
2010-05-19,GLD,118.19,118.43,116.08,116.63,118.19,118.43,116.08,116.63,34412400,34412400,0.0,1.0,tiingo_historical_seed,
2010-05-20,GLD,116.14,116.95,115.18,115.84,116.14,116.95,115.18,115.84,28908200,28908200,0.0,1.0,tiingo_historical_seed,
2010-05-21,GLD,115.05,116.24,114.51,115.22,115.05,116.24,114.51,115.22,20098300,20098300,0.0,1.0,tiingo_historical_seed,
2010-05-24,GLD,116.34,117.17,116.04,116.84,116.34,117.17,116.04,116.84,14300500,14300500,0.0,1.0,tiingo_historical_seed,
2010-05-25,GLD,117.16,117.52,116.82,117.36,117.16,117.52,116.82,117.36,21232700,21232700,0.0,1.0,tiingo_historical_seed,
2010-05-26,GLD,118.58,119.08,118.32,118.47,118.58,119.08,118.32,118.47,13153500,13153500,0.0,1.0,tiingo_historical_seed,
2010-05-27,GLD,118.16,119.038,118.14,118.69,118.16,119.038,118.14,118.69,10418500,10418500,0.0,1.0,tiingo_historical_seed,
2010-05-28,GLD,118.48,118.9,117.63,118.881,118.48,118.9,117.63,118.881,11579400,11579400,0.0,1.0,tiingo_historical_seed,
2010-06-01,GLD,119.88,120.25,119.63,119.91,119.88,120.25,119.63,119.91,12207800,12207800,0.0,1.0,tiingo_historical_seed,
2010-06-02,GLD,119.35,119.88,118.72,119.78,119.35,119.88,118.72,119.78,10339300,10339300,0.0,1.0,tiingo_historical_seed,
2010-06-03,GLD,119.16,119.39,117.48,117.96,119.16,119.39,117.48,117.96,13855200,13855200,0.0,1.0,tiingo_historical_seed,
2010-06-04,GLD,117.96,119.39,117.05,119.19,117.96,119.39,117.05,119.19,16532500,16532500,0.0,1.0,tiingo_historical_seed,
2010-06-07,GLD,118.73,121.8,118.62,121.49,118.73,121.8,118.62,121.49,20238600,20238600,0.0,1.0,tiingo_historical_seed,
2010-06-08,GLD,121.61,122.45,120.66,121.0025,121.61,122.45,120.66,121.0025,23404800,23404800,0.0,1.0,tiingo_historical_seed,
2010-06-09,GLD,120.48,120.99,119.51,120.56,120.48,120.99,119.51,120.56,12884600,12884600,0.0,1.0,tiingo_historical_seed,
2010-06-10,GLD,119.36,120.04,118.83,118.975,119.36,120.04,118.83,118.975,13687900,13687900,0.0,1.0,tiingo_historical_seed,
2010-06-11,GLD,119.88,120.41,119.33,120.01,119.88,120.41,119.33,120.01,7829400,7829400,0.0,1.0,tiingo_historical_seed,
2010-06-14,GLD,119.63,120.26,118.96,119.6,119.63,120.26,118.96,119.6,11002800,11002800,0.0,1.0,tiingo_historical_seed,
2010-06-15,GLD,119.71,121.03,119.48,120.99,119.71,121.03,119.48,120.99,15073000,15073000,0.0,1.0,tiingo_historical_seed,
2010-06-16,GLD,120.68,120.89,120.04,120.33,120.68,120.89,120.04,120.33,10500500,10500500,0.0,1.0,tiingo_historical_seed,
2010-06-17,GLD,121.6398,122.41,121.49,121.9,121.6398,122.41,121.49,121.9,19792200,19792200,0.0,1.0,tiingo_historical_seed,
2010-06-18,GLD,123.04,123.5,122.81,122.83,123.04,123.5,122.81,122.83,19429900,19429900,0.0,1.0,tiingo_historical_seed,
2010-06-21,GLD,123.09,123.11,120.36,120.39,123.09,123.11,120.36,120.39,20041700,20041700,0.0,1.0,tiingo_historical_seed,
2010-06-22,GLD,121.16,121.59,120.87,121.45,121.16,121.59,120.87,121.45,12940900,12940900,0.0,1.0,tiingo_historical_seed,
2010-06-23,GLD,120.89,121.02,119.77,120.95,120.89,121.02,119.77,120.95,14120400,14120400,0.0,1.0,tiingo_historical_seed,
2010-06-24,GLD,120.76,122.1601,120.67,121.3,120.76,122.1601,120.67,121.3,13137700,13137700,0.0,1.0,tiingo_historical_seed,
2010-06-25,GLD,122.75,123.13,122.49,122.76,122.75,123.13,122.49,122.76,9986700,9986700,0.0,1.0,tiingo_historical_seed,
2010-06-28,GLD,122.79,123.56,120.81,121.09,122.79,123.56,120.81,121.09,19650700,19650700,0.0,1.0,tiingo_historical_seed,
2010-06-29,GLD,121.05,121.82,119.03,121.27,121.05,121.82,119.03,121.27,17334700,17334700,0.0,1.0,tiingo_historical_seed,
