date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,IAU,109.89,110.19,109.41,109.89,21.978,22.038,21.882,21.978,1185000,237000,0.0,1.0,tiingo_historical_seed,
2010-01-05,IAU,109.94,110.42,109.3534,109.769,21.988,22.084,21.87068,21.9538,936000,187200,0.0,1.0,tiingo_historical_seed,
2010-01-06,IAU,110.78,111.84,110.55,111.63,22.156,22.368,22.11,22.326,1091000,218200,0.0,1.0,tiingo_historical_seed,
2010-01-07,IAU,111.15,111.32,110.76,110.91,22.23,22.264,22.152,22.182,811500,162300,0.0,1.0,tiingo_historical_seed,
2010-01-08,IAU,111.53,111.6299,110.39,111.45,22.306,22.32598,22.078,22.29,737000,147400,0.0,1.0,tiingo_historical_seed,
2010-01-11,IAU,113.38,113.63,112.64,112.99,22.676,22.726,22.528,22.598,951000,190200,0.0,1.0,tiingo_historical_seed,
2010-01-12,IAU,112.47,113.1,110.23,110.56,22.494,22.62,22.046,22.112,1911000,382200,0.0,1.0,tiingo_historical_seed,
2010-01-13,IAU,110.99,111.65,109.68,111.63,22.198,22.33,21.936,22.326,1580500,316100,0.0,1.0,tiingo_historical_seed,
2010-01-14,IAU,111.62,112.41,110.96,112.13,22.324,22.482,22.192,22.426,929000,185800,0.0,1.0,tiingo_historical_seed,
2010-01-15,IAU,111.44,111.44,110.5,110.97,22.288,22.288,22.1,22.194,1162500,232500,0.0,1.0,tiingo_historical_seed,
2010-01-19,IAU,111.05,111.8099,110.95,111.67,22.21,22.36198,22.19,22.334,972000,194400,0.0,1.0,tiingo_historical_seed,
2010-01-20,IAU,110.04,110.13,108.58,109.01,22.008,22.026,21.716,21.802,1515000,303000,0.0,1.0,tiingo_historical_seed,
2010-01-21,IAU,108.61,108.83,106.7,107.46,21.722,21.766,21.34,21.492,1700500,340100,0.0,1.0,tiingo_historical_seed,
2010-01-22,IAU,107.07,107.75,106.1,107.22,21.414,21.55,21.22,21.444,1843000,368600,0.0,1.0,tiingo_historical_seed,
2010-01-25,IAU,107.48,107.78,107.15,107.56,21.496,21.556,21.43,21.512,1236500,247300,0.0,1.0,tiingo_historical_seed,
2010-01-26,IAU,106.91,108.048,106.84,107.63,21.382,21.6096,21.368,21.526,923000,184600,0.0,1.0,tiingo_historical_seed,
2010-01-27,IAU,107.62,107.85,106.23,106.61,21.524,21.57,21.246,21.322,1935000,387000,0.0,1.0,tiingo_historical_seed,
2010-01-28,IAU,107.22,107.29,105.27,106.53,21.444,21.458,21.054,21.306,1351500,270300,0.0,1.0,tiingo_historical_seed,
2010-01-29,IAU,105.91,106.34,105.34,106.02,21.182,21.268,21.068,21.204,2484000,496800,0.0,1.0,tiingo_historical_seed,
2010-02-01,IAU,106.61,108.52,106.44,108.4,21.322,21.704,21.288,21.68,1488000,297600,0.0,1.0,tiingo_historical_seed,
2010-02-02,IAU,109.23,109.71,108.69,109.18,21.846,21.942,21.738,21.836,782000,156400,0.0,1.0,tiingo_historical_seed,
2010-02-03,IAU,109.2,109.58,108.51,108.72,21.84,21.916,21.702,21.744,844500,168900,0.0,1.0,tiingo_historical_seed,
2010-02-04,IAU,106.88,106.88,103.82,104.45,21.376,21.376,20.764,20.89,3657500,731500,0.0,1.0,tiingo_historical_seed,
2010-02-05,IAU,103.76,104.72,102.33,104.64,20.752,20.944,20.466,20.928,5968000,1193600,0.0,1.0,tiingo_historical_seed,
2010-02-08,IAU,104.45,105.18,104.06,104.1,20.89,21.036,20.812,20.82,3432500,686500,0.0,1.0,tiingo_historical_seed,
2010-02-09,IAU,105.28,106.18,104.942,105.47,21.056,21.236,20.9884,21.094,1800500,360100,0.0,1.0,tiingo_historical_seed,
2010-02-10,IAU,105.17,105.55,104.18,105.15,21.034,21.11,20.836,21.03,1126000,225200,0.0,1.0,tiingo_historical_seed,
2010-02-11,IAU,105.65,107.608,105.34,107.21,21.13,21.5216,21.068,21.442,1196500,239300,0.0,1.0,tiingo_historical_seed,
2010-02-12,IAU,106.15,107.15,105.64,107.11,21.23,21.43,21.128,21.422,727000,145400,0.0,1.0,tiingo_historical_seed,
2010-02-16,IAU,109.53,109.9,109.22,109.68,21.906,21.98,21.844,21.936,1435000,287000,0.0,1.0,tiingo_historical_seed,
2010-02-17,IAU,109.77,110.08,108.96,109.33,21.954,22.016,21.792,21.866,1210000,242000,0.0,1.0,tiingo_historical_seed,
2010-02-18,IAU,109.71,110.17,109.2607,110.05,21.942,22.034,21.85214,22.01,673500,134700,0.0,1.0,tiingo_historical_seed,
2010-02-19,IAU,109.42,110.39,108.95,109.56,21.884,22.078,21.79,21.912,810500,162100,0.0,1.0,tiingo_historical_seed,
2010-02-22,IAU,109.97,110.03,108.76,109.17,21.994,22.006,21.752,21.834,862500,172500,0.0,1.0,tiingo_historical_seed,
2010-02-23,IAU,108.88,108.93,107.74,107.96,21.776,21.786,21.548,21.592,701000,140200,0.0,1.0,tiingo_historical_seed,
2010-02-24,IAU,107.38,108.23,107.2299,107.42,21.476,21.646,21.44598,21.484,974000,194800,0.0,1.0,tiingo_historical_seed,
2010-02-25,IAU,106.76,108.75,106.76,108.34,21.352,21.75,21.352,21.668,862000,172400,0.0,1.0,tiingo_historical_seed,
2010-02-26,IAU,108.95,109.67,108.57,109.46,21.79,21.934,21.714,21.892,504000,100800,0.0,1.0,tiingo_historical_seed,
2010-03-01,IAU,109.57,109.9,109.06,109.48,21.914,21.98,21.812,21.896,663000,132600,0.0,1.0,tiingo_historical_seed,
2010-03-02,IAU,109.96,111.51,109.9,111.1,21.992,22.302,21.98,22.22,645500,129100,0.0,1.0,tiingo_historical_seed,
2010-03-03,IAU,111.58,112.24,111.29,111.68,22.316,22.448,22.258,22.336,573500,114700,0.0,1.0,tiingo_historical_seed,
2010-03-04,IAU,111.28,111.4,110.32,110.95,22.256,22.28,22.064,22.19,614500,122900,0.0,1.0,tiingo_historical_seed,
2010-03-05,IAU,111.23,111.77,110.9,110.9,22.246,22.354,22.18,22.18,357000,71400,0.0,1.0,tiingo_historical_seed,
2010-03-08,IAU,111.3,111.37,109.6,109.96,22.26,22.274,21.92,21.992,684000,136800,0.0,1.0,tiingo_historical_seed,
2010-03-09,IAU,109.24,110.18,109.16,109.79,21.848,22.036,21.832,21.958,504000,100800,0.0,1.0,tiingo_historical_seed,
2010-03-10,IAU,109.97,110.48,108.13,108.5,21.994,22.096,21.626,21.7,619000,123800,0.0,1.0,tiingo_historical_seed,
2010-03-11,IAU,108.36,108.71,107.9206,108.64,21.672,21.742,21.58412,21.728,1034000,206800,0.0,1.0,tiingo_historical_seed,
2010-03-12,IAU,108.63,108.82,107.59,108.05,21.726,21.764,21.518,21.61,638500,127700,0.0,1.0,tiingo_historical_seed,
2010-03-15,IAU,108.23,108.54,107.93,108.46,21.646,21.708,21.586,21.692,378000,75600,0.0,1.0,tiingo_historical_seed,
2010-03-16,IAU,110.04,110.62,109.8384,110.44,22.008,22.124,21.96768,22.088,804000,160800,0.0,1.0,tiingo_historical_seed,
2010-03-17,IAU,110.26,110.47,109.62,109.64,22.052,22.094,21.924,21.928,463000,92600,0.0,1.0,tiingo_historical_seed,
2010-03-18,IAU,110.18,110.63,109.62,110.38,22.036,22.126,21.924,22.076,377000,75400,0.0,1.0,tiingo_historical_seed,
2010-03-19,IAU,110.34,110.34,107.95,108.36,22.068,22.068,21.59,21.672,1146500,229300,0.0,1.0,tiingo_historical_seed,
2010-03-22,IAU,107.34,108.05,107.01,107.81,21.468,21.61,21.402,21.562,495500,99100,0.0,1.0,tiingo_historical_seed,
2010-03-23,IAU,107.6,108.55,107.42,108.38,21.52,21.71,21.484,21.676,541500,108300,0.0,1.0,tiingo_historical_seed,
2010-03-24,IAU,106.99,107.12,106.3201,106.42,21.398,21.424,21.26402,21.284,552500,110500,0.0,1.0,tiingo_historical_seed,
2010-03-25,IAU,107.1,107.31,106.58,106.84,21.42,21.462,21.316,21.368,549500,109900,0.0,1.0,tiingo_historical_seed,
2010-03-26,IAU,107.21,108.75,106.9,108.65,21.442,21.75,21.38,21.73,770000,154000,0.0,1.0,tiingo_historical_seed,
2010-03-29,IAU,108.95,109.22,108.49,108.83,21.79,21.844,21.698,21.766,653500,130700,0.0,1.0,tiingo_historical_seed,
2010-03-30,IAU,108.65,108.67,107.98,108.04,21.73,21.734,21.596,21.608,614500,122900,0.0,1.0,tiingo_historical_seed,
2010-03-31,IAU,109.54,109.56,108.94,109.03,21.908,21.912,21.788,21.806,750500,150100,0.0,1.0,tiingo_historical_seed,
2010-04-01,IAU,110.01,110.54,110.01,110.33,22.002,22.108,22.002,22.066,889000,177800,0.0,1.0,tiingo_historical_seed,
