date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2012-10-24,IEFA,47.61,47.63,47.54,47.54,31.8616026722,31.8749870883,31.8147572156,31.8147572156,1800,1800,0.0,1.0,tiingo_historical_seed,
2012-10-25,IEFA,47.54,47.54,47.54,47.54,31.8147572156,31.8147572156,31.8147572156,31.8147572156,0,0,0.0,1.0,tiingo_historical_seed,
2012-10-26,IEFA,47.6,47.87,47.6,47.8448,31.8549104641,32.0356000823,31.8549104641,32.0187357179,8400,8400,0.0,1.0,tiingo_historical_seed,
2012-10-31,IEFA,47.95,47.95,47.703,47.75,32.0891377469,32.0891377469,31.9238402073,31.9552935853,13900,13900,0.0,1.0,tiingo_historical_seed,
2012-11-01,IEFA,48.15,48.3,48.0681,48.17,32.2229819085,32.3233650297,32.1681727243,32.2363663247,1900,1900,0.0,1.0,tiingo_historical_seed,
2012-11-02,IEFA,48.25,48.25,47.75,47.8,32.2899039893,32.2899039893,31.9552935853,31.9887546257,2800,2800,0.0,1.0,tiingo_historical_seed,
2012-11-05,IEFA,47.6805,47.7,47.642,47.66,31.9087827391,31.9218325449,31.883017738,31.8950637126,13100,13100,0.0,1.0,tiingo_historical_seed,
2012-11-06,IEFA,47.95,47.95,47.95,47.95,32.0891377469,32.0891377469,32.0891377469,32.0891377469,100,100,0.0,1.0,tiingo_historical_seed,
2012-11-07,IEFA,47.15,47.52,47.15,47.457,31.5537611005,31.8013727994,31.5537611005,31.7592118885,13500,13500,0.0,1.0,tiingo_historical_seed,
2012-11-08,IEFA,47.16,47.17,47.0,47.08,31.5604533085,31.5671455166,31.4533779792,31.5069156439,55300,55300,0.0,1.0,tiingo_historical_seed,
2012-11-09,IEFA,46.59,47.0408,46.59,46.88,31.1789974479,31.4806821882,31.1789974479,31.3730714823,4700,4700,0.0,1.0,tiingo_historical_seed,
2012-11-12,IEFA,46.8,46.94,46.78,46.876,31.3195338176,31.4132247308,31.3061494015,31.370394599,25100,25100,0.0,1.0,tiingo_historical_seed,
2012-11-13,IEFA,46.88,46.88,46.88,46.88,31.3730714823,31.3730714823,31.3730714823,31.3730714823,0,0,0.0,1.0,tiingo_historical_seed,
2012-11-14,IEFA,46.53,46.57,46.53,46.55,31.1388441994,31.1656130318,31.1388441994,31.1522286156,2100,2100,0.0,1.0,tiingo_historical_seed,
2012-11-15,IEFA,46.3,46.464,46.28,46.28,30.9849234136,31.0946756261,30.9715389974,30.9715389974,3100,3100,0.0,1.0,tiingo_historical_seed,
2012-11-16,IEFA,46.19,46.3345,45.94,46.3345,30.9113091247,31.0080115315,30.7440039227,31.0080115315,2600,2600,0.0,1.0,tiingo_historical_seed,
2012-11-19,IEFA,47.14,47.25,47.14,47.19,31.5470688924,31.6206831813,31.5470688924,31.5805299328,800,800,0.0,1.0,tiingo_historical_seed,
2012-11-20,IEFA,47.05,47.29,47.05,47.29,31.4868390196,31.6474520136,31.4868390196,31.6474520136,15300,15300,0.0,1.0,tiingo_historical_seed,
2012-11-21,IEFA,47.38,47.4785,47.3799,47.47,31.7076818863,31.7736001359,31.7076149642,31.767911759,8500,8500,0.0,1.0,tiingo_historical_seed,
2012-11-23,IEFA,48.32,48.32,48.27,48.28,32.3367494459,32.3367494459,32.3032884055,32.3099806136,1300,1300,0.0,1.0,tiingo_historical_seed,
2012-11-26,IEFA,48.17,48.31,48.1199,48.31,32.2363663247,32.3300572378,32.2028383622,32.3300572378,700,700,0.0,1.0,tiingo_historical_seed,
2012-11-27,IEFA,48.14,48.36,48.12,48.18,32.2162897004,32.3635182782,32.2029052843,32.2430585328,77500,77500,0.0,1.0,tiingo_historical_seed,
2012-11-28,IEFA,48.1299,48.448,48.1299,48.448,32.2095305703,32.4224097093,32.2095305703,32.4224097093,4500,4500,0.0,1.0,tiingo_historical_seed,
2012-11-29,IEFA,48.77,48.87,48.62,48.87,32.6378988095,32.7048208903,32.5375156883,32.7048208903,4400,4400,0.0,1.0,tiingo_historical_seed,
2012-11-30,IEFA,49.0,49.0,48.86,48.97,32.7918195954,32.7918195954,32.6981286822,32.7717429711,3900,3900,0.0,1.0,tiingo_historical_seed,
2012-12-03,IEFA,49.0,49.0,48.83,48.83,32.7918195954,32.7918195954,32.678052058,32.678052058,200,200,0.0,1.0,tiingo_historical_seed,
2012-12-04,IEFA,49.05,49.15,49.05,49.1353,32.8252806358,32.8922027166,32.8252806358,32.8823651707,1900,1900,0.0,1.0,tiingo_historical_seed,
2012-12-05,IEFA,49.3799,49.3799,49.3125,49.3125,33.0460565804,33.0460565804,33.0009510979,33.0009510979,400,400,0.0,1.0,tiingo_historical_seed,
2012-12-06,IEFA,49.36,49.36,49.2375,49.28,33.0327390863,33.0327390863,32.9507595373,32.9792014216,2600,2600,0.0,1.0,tiingo_historical_seed,
2012-12-07,IEFA,49.17,49.29,49.17,49.29,32.9055871328,32.9858936297,32.9055871328,32.9858936297,1000,1000,0.0,1.0,tiingo_historical_seed,
2012-12-10,IEFA,49.23,49.39,49.23,49.39,32.9457403812,33.0528157105,32.9457403812,33.0528157105,3100,3100,0.0,1.0,tiingo_historical_seed,
2012-12-11,IEFA,49.67,49.7,49.63,49.65,33.2401975368,33.260274161,33.2134287045,33.2268131206,2200,2200,0.0,1.0,tiingo_historical_seed,
2012-12-12,IEFA,49.8,50.06,49.74,49.86,33.3271962418,33.5011936519,33.2870429934,33.3673494903,23200,23200,0.0,1.0,tiingo_historical_seed,
2012-12-13,IEFA,49.8,49.8,49.52,49.61,33.3271962418,33.3271962418,33.1398144156,33.2000442883,7700,7700,0.0,1.0,tiingo_historical_seed,
2012-12-14,IEFA,49.73,49.97,49.73,49.85,33.2803507853,33.4409637792,33.2803507853,33.3606572822,2000,2000,0.0,1.0,tiingo_historical_seed,
2012-12-17,IEFA,49.91,50.058,49.836,49.93,33.4008105307,33.4998552103,33.3512881909,33.4141949469,4600,4600,0.0,1.0,tiingo_historical_seed,
2012-12-18,IEFA,50.3799,50.43,49.8495,50.43,33.8293444018,33.8629857975,33.4731887867,33.8629857975,4461200,4461200,0.170617,1.0,tiingo_historical_seed,
2012-12-19,IEFA,50.71,50.74,50.54,50.66,34.0510015822,34.0711461306,33.9368491415,34.017427335,4400,4400,0.0,1.0,tiingo_historical_seed,
2012-12-20,IEFA,50.9,50.92,50.79,50.85,34.1785837219,34.1920134208,34.1047203779,34.1450094746,1800,1800,0.0,1.0,tiingo_historical_seed,
2012-12-21,IEFA,50.4,50.54,50.25,50.4,33.8428412492,33.9368491415,33.7421185074,33.8428412492,5900,5900,0.0,1.0,tiingo_historical_seed,
2012-12-24,IEFA,50.64,50.64,50.38,50.38,34.0039976361,34.0039976361,33.8294115503,33.8294115503,9000,9000,0.0,1.0,tiingo_historical_seed,
2012-12-26,IEFA,50.64,50.64,50.22,50.35,34.0039976361,34.0039976361,33.721973959,33.8092670019,9900,9900,0.0,1.0,tiingo_historical_seed,
2012-12-27,IEFA,50.76,50.76,50.3,50.64,34.0845758295,34.0845758295,33.7756927546,34.0039976361,36500,36500,0.0,1.0,tiingo_historical_seed,
2012-12-28,IEFA,50.2,50.35,50.1,50.12,33.7085442601,33.8092670019,33.6413957655,33.6548254644,41600,41600,0.0,1.0,tiingo_historical_seed,
2012-12-31,IEFA,50.46,51.058,50.46,50.85,33.8831303459,34.2846783433,33.8831303459,34.1450094746,22100,22100,0.0,1.0,tiingo_historical_seed,
2013-01-02,IEFA,51.66,51.86,51.37,51.6499,34.6889122804,34.8232092695,34.4941816462,34.6821302824,24700,24700,0.0,1.0,tiingo_historical_seed,
2013-01-03,IEFA,51.39,51.5599,51.12,51.12,34.5076113451,34.6216966374,34.3263104099,34.3263104099,9800,9800,0.0,1.0,tiingo_historical_seed,
