date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,IWM,63.29,64.04,63.27,63.98,50.6663505698,51.2667576313,50.6503397148,51.2187250664,42863900,42863900,0.0,1.0,tiingo_historical_seed,
2010-01-05,IWM,63.88,64.18,63.49,63.76,51.1386707915,51.3788336162,50.8264591195,51.0426056617,55523100,55523100,0.0,1.0,tiingo_historical_seed,
2010-01-06,IWM,63.76,64.1,63.54,63.7,51.0426056617,51.3147901963,50.866486257,50.9945730968,59708600,59708600,0.0,1.0,tiingo_historical_seed,
2010-01-07,IWM,63.74,64.218,63.14,64.17,51.0265948067,51.4092542406,50.5462691574,51.3708281887,56123500,56123500,0.0,1.0,tiingo_historical_seed,
2010-01-08,IWM,63.94,64.52,63.8,64.52,51.1867033565,51.6510181507,51.0746273716,51.6510181507,48811500,48811500,0.0,1.0,tiingo_historical_seed,
2010-01-11,IWM,64.78,64.88,64.01,64.26,51.8591592654,51.9392135403,51.2427413489,51.4428770361,51638900,51638900,0.0,1.0,tiingo_historical_seed,
2010-01-12,IWM,63.86,64.16,63.26,63.56,51.1226599366,51.3628227612,50.6423342873,50.8824971119,45854900,45854900,0.0,1.0,tiingo_historical_seed,
2010-01-13,IWM,63.78,64.51,63.23,64.38,51.0586165167,51.6430127233,50.6183180048,51.5389421659,39501900,39501900,0.0,1.0,tiingo_historical_seed,
2010-01-14,IWM,64.14,64.82,64.02,64.62,51.3468119062,51.8911809754,51.2507467764,51.7310724256,41859800,41859800,0.0,1.0,tiingo_historical_seed,
2010-01-15,IWM,64.65,64.8001,63.27,63.68,51.7550887081,51.8752501747,50.6503397148,50.9785622418,68725100,68725100,0.0,1.0,tiingo_historical_seed,
2010-01-19,IWM,63.92,64.87,63.92,64.85,51.1706925015,51.9312081128,51.1706925015,51.9151972578,46839000,46839000,0.0,1.0,tiingo_historical_seed,
2010-01-20,IWM,64.39,64.4,63.19,63.91,51.5469475934,51.5549530209,50.5862962949,51.162687074,62485000,62485000,0.0,1.0,tiingo_historical_seed,
2010-01-21,IWM,63.96,64.48,62.64,62.8575,51.2027142114,51.6189964408,50.1459977831,50.3201158309,98323100,98323100,0.0,1.0,tiingo_historical_seed,
2010-01-22,IWM,62.76,63.06,61.18,61.73,50.2420629129,50.4822257375,48.9772053698,49.4175038817,83757000,83757000,0.0,1.0,tiingo_historical_seed,
2010-01-25,IWM,62.08,62.15,61.33,61.8,49.6976938437,49.7537318362,49.0972867822,49.4735418741,62298700,62298700,0.0,1.0,tiingo_historical_seed,
2010-01-26,IWM,61.57,62.0299,61.14,61.19,49.2894170419,49.657586652,48.9451836599,48.9852107973,58213200,58213200,0.0,1.0,tiingo_historical_seed,
2010-01-27,IWM,60.92,61.935,60.71,61.84,48.7690642552,49.5816151452,48.6009502779,49.505563584,72565800,72565800,0.0,1.0,tiingo_historical_seed,
2010-01-28,IWM,61.96,61.99,60.22,60.78,49.6016287139,49.6256449964,48.208684331,48.6569882703,93814200,93814200,0.0,1.0,tiingo_historical_seed,
2010-01-29,IWM,61.03,61.69,59.97,60.11,48.8571239575,49.3854821717,48.0085486438,48.1206246287,79325600,79325600,0.0,1.0,tiingo_historical_seed,
2010-02-01,IWM,60.39,60.94,60.16,60.82,48.3447765983,48.7850751101,48.1606517661,48.6890099803,60731800,60731800,0.0,1.0,tiingo_historical_seed,
2010-02-02,IWM,60.82,61.56,60.62,61.49,48.6890099803,49.2814116144,48.5289014305,49.225373622,71047700,71047700,0.0,1.0,tiingo_historical_seed,
2010-02-03,IWM,61.2,61.63,60.59,61.08,48.9932162248,49.3374496068,48.5048851481,48.897151095,50241000,50241000,0.0,1.0,tiingo_historical_seed,
2010-02-04,IWM,60.66,60.68,58.99,59.04,48.5609231405,48.5769339955,47.22401675,47.2640438875,99167300,99167300,0.0,1.0,tiingo_historical_seed,
2010-02-05,IWM,59.17,59.33,58.0,59.27,47.3681144448,47.4962012846,46.4314794288,47.4481687197,106752200,106752200,0.0,1.0,tiingo_historical_seed,
2010-02-08,IWM,59.08,59.6,58.62,58.68,47.2960655974,47.7123478268,46.927815933,46.9758484979,61579200,61579200,0.0,1.0,tiingo_historical_seed,
2010-02-09,IWM,59.38,59.9286,58.75,59.49,47.5362284221,47.975406174,47.0318864903,47.6242881244,91986700,91986700,0.0,1.0,tiingo_historical_seed,
2010-02-10,IWM,59.31,59.78,58.69,59.63,47.4801904296,47.8564455216,46.9838539254,47.7363641093,55715500,55715500,0.0,1.0,tiingo_historical_seed,
2010-02-11,IWM,59.46,60.62,59.0,60.578,47.600271842,48.5289014305,47.2320221775,48.4952786351,51969700,51969700,0.0,1.0,tiingo_historical_seed,
2010-02-12,IWM,60.0,61.0974,59.81,61.02,48.0325649263,48.9110805388,47.880461804,48.84911853,65909800,65909800,0.0,1.0,tiingo_historical_seed,
2010-02-16,IWM,61.66,62.11,61.08,62.05,49.3614658893,49.7217101262,48.897151095,49.6736775613,50057600,50057600,0.0,1.0,tiingo_historical_seed,
2010-02-17,IWM,62.33,62.61,61.99,62.47,49.8978295309,50.1219815006,49.6256449964,50.0099055158,50459400,50459400,0.0,1.0,tiingo_historical_seed,
2010-02-18,IWM,62.47,63.0,62.25,62.98,50.0099055158,50.4341931726,49.833786111,50.4181823176,43072800,43072800,0.0,1.0,tiingo_historical_seed,
2010-02-19,IWM,62.74,63.38,62.61,63.06,50.2260520579,50.7383994171,50.1219815006,50.4822257375,56840800,56840800,0.0,1.0,tiingo_historical_seed,
2010-02-22,IWM,63.42,63.45,63.02,63.25,50.7704211271,50.7944374096,50.4502040276,50.6343288598,45344900,45344900,0.0,1.0,tiingo_historical_seed,
2010-02-23,IWM,63.16,63.25,62.33,62.51,50.5622800124,50.6343288598,49.8978295309,50.0419272257,58965400,58965400,0.0,1.0,tiingo_historical_seed,
2010-02-24,IWM,62.74,63.35,62.55,63.04,50.2260520579,50.7143831347,50.0739489357,50.4662148826,50476000,50476000,0.0,1.0,tiingo_historical_seed,
2010-02-25,IWM,62.18,63.12,61.98,63.06,49.7777481186,50.5302583025,49.6176395689,50.4822257375,51949700,51949700,0.0,1.0,tiingo_historical_seed,
2010-02-26,IWM,63.16,63.21,62.46,62.8,50.5622800124,50.6023071499,50.0019000883,50.2740846229,60093900,60093900,0.0,1.0,tiingo_historical_seed,
2010-03-01,IWM,63.26,64.32,63.26,64.26,50.6423342873,51.490909601,50.6423342873,51.4428770361,70967800,70967800,0.0,1.0,tiingo_historical_seed,
2010-03-02,IWM,64.5,65.15,64.4,64.75,51.6350072958,52.1553600825,51.5549530209,51.835142983,55605300,55605300,0.0,1.0,tiingo_historical_seed,
2010-03-03,IWM,65.07,65.49,64.78,65.12,52.0913166626,52.4275446171,51.8591592654,52.1313438,56207500,56207500,0.0,1.0,tiingo_historical_seed,
2010-03-04,IWM,65.14,65.37,64.87,65.29,52.147354655,52.3314794872,51.9312081128,52.2674360673,47174200,47174200,0.0,1.0,tiingo_historical_seed,
2010-03-05,IWM,65.71,66.72,65.5,66.62,52.6036640218,53.412212198,52.4355500445,53.3321579232,52293900,52293900,0.0,1.0,tiingo_historical_seed,
2010-03-08,IWM,66.64,66.93,66.515,66.74,53.3481687781,53.5803261753,53.2481009345,53.428223053,46046400,46046400,0.0,1.0,tiingo_historical_seed,
2010-03-09,IWM,66.55,67.49,66.53,66.98,53.2761199308,54.0286301146,53.2601090758,53.6203533127,70685800,70685800,0.0,1.0,tiingo_historical_seed,
2010-03-10,IWM,67.04,67.9,67.01,67.55,53.6683858777,54.3568526416,53.6443695952,54.0766626795,73655200,73655200,0.0,1.0,tiingo_historical_seed,
2010-03-11,IWM,67.14,67.86,66.9,67.75,53.7484401525,54.3248309316,53.5563098928,54.2367712293,59964100,59964100,0.0,1.0,tiingo_historical_seed,
2010-03-12,IWM,68.1,68.13,67.26,67.72,54.5169611913,54.5409774738,53.8445052824,54.2127549468,61862000,61862000,0.0,1.0,tiingo_historical_seed,
2010-03-15,IWM,67.6803,67.81,67.0,67.49,54.1809733997,54.2848037942,53.6363641677,54.0286301146,49862700,49862700,0.0,1.0,tiingo_historical_seed,
2010-03-16,IWM,67.83,68.1,67.34,68.07,54.3008146492,54.5169611913,53.9085487023,54.4929449089,52874400,52874400,0.0,1.0,tiingo_historical_seed,
2010-03-17,IWM,68.22,68.88,68.2,68.47,54.6130263212,55.1413845354,54.5970154662,54.8131620084,53589100,53589100,0.0,1.0,tiingo_historical_seed,
2010-03-18,IWM,68.44,68.78,68.14,68.26,54.7891457259,55.0613302605,54.5489829013,54.6450480312,71527500,71527500,0.0,1.0,tiingo_historical_seed,
2010-03-19,IWM,68.5,68.51,67.16,67.4075,54.8371782909,54.8451837183,53.7644510075,53.9625853378,80546500,80546500,0.0,1.0,tiingo_historical_seed,
2010-03-22,IWM,66.93,68.51,66.78,68.36,53.5803261753,54.8451837183,53.460244763,54.725102306,56679400,56679400,0.0,1.0,tiingo_historical_seed,
2010-03-23,IWM,68.42,69.25,68.11,69.05,54.773134871,55.4375853524,54.5249666188,55.2774768027,61187700,61187700,0.0,1.0,tiingo_historical_seed,
2010-03-24,IWM,68.68,68.9737,68.25,68.27,55.1196464698,55.3553575963,54.7745467612,54.7905979105,59664500,59664500,0.171814,1.0,tiingo_historical_seed,
2010-03-25,IWM,68.87,69.36,67.79,67.838,55.2721323875,55.6653855437,54.4053703289,54.443893087,66977000,66977000,0.0,1.0,tiingo_historical_seed,
2010-03-26,IWM,68.12,68.57,67.56,67.81,54.6702142912,55.031365149,54.2207821127,54.4214214781,58114700,58114700,0.0,1.0,tiingo_historical_seed,
2010-03-29,IWM,68.11,68.4,67.81,68.18,54.6621887166,54.8949303805,54.4214214781,54.7183677389,38646400,38646400,0.0,1.0,tiingo_historical_seed,
2010-03-30,IWM,68.29,68.735,67.87,68.39,54.8066490597,55.1637871302,54.4695749258,54.8869048059,35773100,35773100,0.0,1.0,tiingo_historical_seed,
2010-03-31,IWM,68.13,68.81,67.79,67.8025,54.6782398658,55.2239789398,54.4053703289,54.4154022971,59821600,59821600,0.0,1.0,tiingo_historical_seed,
2010-04-01,IWM,68.33,68.69,67.39,68.43,54.8387513582,55.1276720444,54.0843473442,54.9190071044,58838700,58838700,0.0,1.0,tiingo_historical_seed,
2010-04-05,IWM,68.61,69.76,68.44,69.71,55.0634674475,55.9864085284,54.927032679,55.9462806553,52020600,52020600,0.0,1.0,tiingo_historical_seed,
2010-04-06,IWM,69.47,70.29,69.33,70.12,55.7536668645,56.4117639831,55.6413088199,56.2753292146,50203600,50203600,0.0,1.0,tiingo_historical_seed,
2010-04-07,IWM,70.04,70.31,69.45,69.898,56.2111246177,56.4278151324,55.7376157153,56.0971614581,71418200,71418200,0.0,1.0,tiingo_historical_seed,
2010-04-08,IWM,69.7,70.2,69.16,69.83,55.9382550807,56.3395338116,55.5048740514,56.0425875507,54603600,54603600,0.0,1.0,tiingo_historical_seed,
2010-04-09,IWM,69.94,70.26,69.5,70.25,56.1308688715,56.3876872593,55.7777435884,56.3796616847,53070100,53070100,0.0,1.0,tiingo_historical_seed,
2010-04-12,IWM,70.28,70.68,70.12,70.54,56.4037384085,56.7247613932,56.2753292146,56.6124033485,49301000,49301000,0.0,1.0,tiingo_historical_seed,
2010-04-13,IWM,70.39,70.74,69.94,70.7,56.4920197293,56.7729148409,56.1308688715,56.7408125424,42151000,42151000,0.0,1.0,tiingo_historical_seed,
2010-04-14,IWM,71.11,72.21,70.99,72.21,57.0698611017,57.9526743096,56.9735542063,57.9526743096,62041600,62041600,0.0,1.0,tiingo_historical_seed,
2010-04-15,IWM,72.18,72.58,72.09,72.43,57.9285975857,58.2496205704,57.8563674142,58.1292369512,55141800,55141800,0.0,1.0,tiingo_historical_seed,
2010-04-16,IWM,72.24,72.47,70.94,71.4575,57.9767510334,58.1613392496,56.9334263332,57.3487498197,93241600,93241600,0.0,1.0,tiingo_historical_seed,
2010-04-19,IWM,71.06,71.77,69.78,71.11,57.0297332286,57.5995490264,56.0024596776,57.0698611017,85284600,85284600,0.0,1.0,tiingo_historical_seed,
2010-04-20,IWM,71.49,72.13,71.18,72.08,57.3748329372,57.8884697127,57.126040124,57.8483418396,50736600,50736600,0.0,1.0,tiingo_historical_seed,
2010-04-21,IWM,72.2,72.72,71.92,72.58,57.944648735,58.3619786151,57.7199326457,58.2496205704,60382500,60382500,0.0,1.0,tiingo_historical_seed,
2010-04-22,IWM,71.8401,73.49,71.46,73.35,57.6558083045,58.9799478606,57.3507562133,58.8675898159,79289500,79289500,0.0,1.0,tiingo_historical_seed,
2010-04-23,IWM,73.49,74.21,72.64,74.13,58.9799478606,59.557789233,58.2977740181,59.4935846361,66271100,66271100,0.0,1.0,tiingo_historical_seed,
