date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2013-04-18,MTUM,50.92,50.92,50.92,50.92,43.5732326659,43.5732326659,43.5732326659,43.5732326659,400,400,0.0,1.0,tiingo_historical_seed,
2013-04-19,MTUM,51.54,51.54,51.54,51.54,44.1037787039,44.1037787039,44.1037787039,44.1037787039,0,0,0.0,1.0,tiingo_historical_seed,
2013-04-22,MTUM,50.92,50.92,50.92,50.92,43.5732326659,43.5732326659,43.5732326659,43.5732326659,0,0,0.0,1.0,tiingo_historical_seed,
2013-04-23,MTUM,52.22,52.22,52.2199,52.2199,44.6856679068,44.6856679068,44.6855823349,44.6855823349,600,600,0.0,1.0,tiingo_historical_seed,
2013-04-24,MTUM,51.7,51.7,51.56,51.56,44.2406938105,44.2406938105,44.1208930922,44.1208930922,1100,1100,0.0,1.0,tiingo_historical_seed,
2013-04-25,MTUM,51.81,51.81,51.81,51.81,44.3348229462,44.3348229462,44.3348229462,44.3348229462,400,400,0.0,1.0,tiingo_historical_seed,
2013-04-26,MTUM,51.77,51.77,51.77,51.77,44.3005941696,44.3005941696,44.3005941696,44.3005941696,100,100,0.0,1.0,tiingo_historical_seed,
2013-04-29,MTUM,51.85,52.2,51.85,52.07,44.3690517229,44.6685535185,44.3690517229,44.5573099944,4800,4800,0.0,1.0,tiingo_historical_seed,
2013-04-30,MTUM,51.62,51.93,51.62,51.84,44.1722362572,44.4375092762,44.1722362572,44.3604945287,1400,1400,0.0,1.0,tiingo_historical_seed,
2013-05-01,MTUM,51.8,51.8,51.8,51.8,44.3262657521,44.3262657521,44.3262657521,44.3262657521,100,100,0.0,1.0,tiingo_historical_seed,
2013-05-02,MTUM,51.82,52.04,51.82,52.03,44.3433801404,44.5316384119,44.3433801404,44.5230812178,2500,2500,0.0,1.0,tiingo_historical_seed,
2013-05-03,MTUM,52.65,52.73,52.6,52.62,45.0536272557,45.122084809,45.0108412849,45.0279556732,1000,1000,0.0,1.0,tiingo_historical_seed,
2013-05-06,MTUM,53.06,53.06,52.4999,52.54,45.4044722163,45.4044722163,44.9251837714,44.95949812,19500,19500,0.0,1.0,tiingo_historical_seed,
2013-05-07,MTUM,52.59,52.59,52.55,52.56,45.0022840908,45.0022840908,44.9680553141,44.9766125083,1500,1500,0.0,1.0,tiingo_historical_seed,
2013-05-08,MTUM,52.74,52.819,52.74,52.819,45.1306420032,45.198243837,45.1306420032,45.198243837,1600,1600,0.0,1.0,tiingo_historical_seed,
2013-05-09,MTUM,52.86,52.91,52.771,52.83,45.2333283331,45.2761143039,45.1571693051,45.2076567506,4700,4700,0.0,1.0,tiingo_historical_seed,
2013-05-10,MTUM,53.49,53.49,52.95,52.95,45.7724315652,45.7724315652,45.3103430805,45.3103430805,700,700,0.0,1.0,tiingo_historical_seed,
2013-05-13,MTUM,53.19,53.2,53.0943,53.0943,45.5157157404,45.5242729346,45.4338233923,45.4338233923,4200,4200,0.0,1.0,tiingo_historical_seed,
2013-05-14,MTUM,53.32,53.56,53.3199,53.554,45.6269592645,45.8323319243,45.6268736925,45.8271976078,2200,2200,0.0,1.0,tiingo_historical_seed,
2013-05-15,MTUM,53.74,54.029,53.71,53.73,45.9863614192,46.2336643305,45.9606898368,45.9778042251,3400,3400,0.0,1.0,tiingo_historical_seed,
2013-05-16,MTUM,53.58,53.62,53.5,53.5,45.8494463127,45.8836750893,45.7809887594,45.7809887594,5700,5700,0.0,1.0,tiingo_historical_seed,
2013-05-17,MTUM,53.6,53.6,53.37,53.39,45.866560701,45.866560701,45.6697452353,45.6868596236,2800,2800,0.0,1.0,tiingo_historical_seed,
2013-05-20,MTUM,53.4,53.4,53.3,53.3199,45.6954168178,45.6954168178,45.6098448762,45.6268736925,4300,4300,0.0,1.0,tiingo_historical_seed,
2013-05-21,MTUM,53.54,53.5499,53.54,53.5499,45.815217536,45.8236891582,45.815217536,45.8236891582,600,600,0.0,1.0,tiingo_historical_seed,
2013-05-22,MTUM,53.88,53.88,53.2632,53.2632,46.1061621375,46.1061621375,45.5783544017,45.5783544017,1900,1900,0.0,1.0,tiingo_historical_seed,
2013-05-23,MTUM,52.67,53.137,52.67,53.137,45.070741644,45.4703626114,45.070741644,45.4703626114,700,700,0.0,1.0,tiingo_historical_seed,
2013-05-24,MTUM,53.18,53.18,53.13,53.17,45.5071585462,45.5071585462,45.4643725754,45.4986013521,1200,1200,0.0,1.0,tiingo_historical_seed,
2013-05-28,MTUM,53.81,53.86,53.26,53.409,46.0462617784,46.0890477492,45.5756160995,45.7031182925,4000,4000,0.0,1.0,tiingo_historical_seed,
2013-05-29,MTUM,53.0,53.0,52.618,52.69,45.3531290513,45.3531290513,45.0262442344,45.0878560324,2500,2500,0.0,1.0,tiingo_historical_seed,
2013-05-30,MTUM,52.89,52.92,52.73,52.73,45.2589999156,45.2846714981,45.122084809,45.122084809,13000,13000,0.0,1.0,tiingo_historical_seed,
2013-05-31,MTUM,52.53,52.54,52.0,52.0,44.9509409258,44.95949812,44.4974096353,44.4974096353,2400,2400,0.0,1.0,tiingo_historical_seed,
2013-06-03,MTUM,51.5,51.71,51.44,51.71,44.0695499273,44.2492510046,44.0182067623,44.2492510046,2100,2100,0.0,1.0,tiingo_historical_seed,
2013-06-04,MTUM,51.64,51.68,51.275,51.68,44.1893506455,44.2235794221,43.8770130586,44.2235794221,8400,8400,0.0,1.0,tiingo_historical_seed,
2013-06-05,MTUM,51.26,51.27,50.81,50.97,43.8641772674,43.8727344616,43.4791035302,43.6160186367,5400,5400,0.0,1.0,tiingo_historical_seed,
2013-06-06,MTUM,50.66,51.35,50.66,51.35,43.3507456178,43.9411920148,43.3507456178,43.9411920148,9900,9900,0.0,1.0,tiingo_historical_seed,
2013-06-07,MTUM,52.01,52.21,51.91,52.21,44.5059668294,44.6771107127,44.4203948878,44.6771107127,1300,1300,0.0,1.0,tiingo_historical_seed,
2013-06-10,MTUM,53.0,53.0,52.0,52.11,45.3531290513,45.3531290513,44.4974096353,44.5915387711,8500,8500,0.0,1.0,tiingo_historical_seed,
2013-06-11,MTUM,51.59,52.13,51.59,51.87,44.1465646747,44.6086531594,44.1465646747,44.3861661112,14500,14500,0.0,1.0,tiingo_historical_seed,
2013-06-12,MTUM,52.14,52.14,51.3001,51.33,44.6172103535,44.6172103535,43.898491616,43.9240776265,3400,3400,0.0,1.0,tiingo_historical_seed,
2013-06-13,MTUM,51.02,51.98,51.02,51.98,43.6588046075,44.480295247,43.6588046075,44.480295247,2100,2100,0.0,1.0,tiingo_historical_seed,
