date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,QQQ,46.32,46.485,46.27,46.42,40.2123302406,40.355573645,40.1689231484,40.2991444251,62822800,62822800,0.0,1.0,tiingo_historical_seed,
2010-01-05,QQQ,46.38,46.5,46.16,46.42,40.2644187513,40.3685957726,40.0734275455,40.2991444251,62935600,62935600,0.0,1.0,tiingo_historical_seed,
2010-01-06,QQQ,46.39,46.55,46.07,46.14,40.2731001697,40.4120028648,39.9952947795,40.0560647086,96033000,96033000,0.0,1.0,tiingo_historical_seed,
2010-01-07,QQQ,46.2,46.27,45.92,46.17,40.1081532192,40.1689231484,39.8650735028,40.0821089639,77094100,77094100,0.0,1.0,tiingo_historical_seed,
2010-01-08,QQQ,46.04,46.55,45.93,46.55,39.9692505241,40.4120028648,39.8737549212,40.4120028648,88886600,88886600,0.0,1.0,tiingo_historical_seed,
2010-01-11,QQQ,46.6,46.64,46.12,46.36,40.4554099571,40.4901356309,40.0387018717,40.2470559144,104673400,104673400,0.0,1.0,tiingo_historical_seed,
2010-01-12,QQQ,46.08,46.14,45.53,45.78,40.0039761979,40.0560647086,39.5264981834,39.7435336445,90673900,90673900,0.0,1.0,tiingo_historical_seed,
2010-01-13,QQQ,45.93,46.49,45.61,46.35,39.8737549212,40.3599143542,39.595949531,40.2383744959,100661000,100661000,0.0,1.0,tiingo_historical_seed,
2010-01-14,QQQ,46.26,46.52,46.22,46.39,40.1602417299,40.3859586095,40.1255160561,40.2731001697,75209000,75209000,0.0,1.0,tiingo_historical_seed,
2010-01-15,QQQ,46.46,46.55,45.65,45.85,40.3338700988,40.4120028648,39.6306752047,39.8043035736,126849300,126849300,0.0,1.0,tiingo_historical_seed,
2010-01-19,QQQ,45.96,46.64,45.95,46.59,39.8997991766,40.4901356309,39.8911177581,40.4467285386,84388200,84388200,0.0,1.0,tiingo_historical_seed,
2010-01-20,QQQ,46.27,46.604,45.43,45.92,40.1689231484,40.4588825245,39.4396839989,39.8650735028,145680000,145680000,0.0,1.0,tiingo_historical_seed,
2010-01-21,QQQ,46.06,46.35,45.3,45.49,39.986613361,40.2383744959,39.3268255591,39.4917725096,204939600,204939600,0.0,1.0,tiingo_historical_seed,
2010-01-22,QQQ,45.34,45.48,44.04,44.16,39.3615512329,39.4830910912,38.232966835,38.3371438563,171098700,171098700,0.0,1.0,tiingo_historical_seed,
2010-01-25,QQQ,44.39,44.6,44.12,44.31,38.5368164806,38.7191262679,38.3024181825,38.467365133,154218700,154218700,0.0,1.0,tiingo_historical_seed,
2010-01-26,QQQ,44.28,44.89,44.05,44.35,38.4413208777,38.9708874029,38.2416482534,38.5020908068,140816500,140816500,0.0,1.0,tiingo_historical_seed,
2010-01-27,QQQ,44.29,44.85,44.01,44.7,38.4500022961,38.9361617291,38.2069225796,38.8059404524,161632700,161632700,0.0,1.0,tiingo_historical_seed,
2010-01-28,QQQ,44.4,44.43,43.32,43.55,38.545497899,38.5715421544,37.6079047069,37.8075773311,221439800,221439800,0.0,1.0,tiingo_historical_seed,
2010-01-29,QQQ,43.9,44.02,42.63,42.79,38.1114269767,38.2156039981,37.0088868341,37.1477895293,212099600,212099600,0.0,1.0,tiingo_historical_seed,
2010-02-01,QQQ,42.91,43.2807,42.88,43.26,37.2519665506,37.5737867324,37.2259222953,37.5558161962,136827100,136827100,0.0,1.0,tiingo_historical_seed,
2010-02-02,QQQ,43.31,43.78,43.03,43.65,37.5992232884,38.0072499554,37.356143572,37.8943915156,110727700,110727700,0.0,1.0,tiingo_historical_seed,
2010-02-03,QQQ,43.45,43.97,43.42,43.89,37.7207631467,38.1721969059,37.6947188913,38.1027455583,93581600,93581600,0.0,1.0,tiingo_historical_seed,
2010-02-04,QQQ,43.58,43.66,42.62,42.62,37.8336215865,37.903072934,37.0002054157,37.0002054157,151652500,151652500,0.0,1.0,tiingo_historical_seed,
2010-02-05,QQQ,42.75,43.02,42.12,42.98,37.1130638555,37.3474621535,36.5661344934,37.3127364797,213618600,213618600,0.0,1.0,tiingo_historical_seed,
2010-02-08,QQQ,42.92,43.18,42.64,42.67,37.2606479691,37.4863648486,37.0175682526,37.0436125079,94354400,94354400,0.0,1.0,tiingo_historical_seed,
2010-02-09,QQQ,43.17,43.51,42.76,43.11,37.4776834302,37.7728516573,37.1217452739,37.4255949195,118956000,118956000,0.0,1.0,tiingo_historical_seed,
2010-02-10,QQQ,43.1,43.31,42.75,43.02,37.4169135011,37.5992232884,37.1130638555,37.3474621535,94102900,94102900,0.0,1.0,tiingo_historical_seed,
2010-02-11,QQQ,43.01,43.79,42.76,43.67,37.3387807351,38.0159313738,37.1217452739,37.9117543525,93050800,93050800,0.0,1.0,tiingo_historical_seed,
2010-02-12,QQQ,43.27,43.88,43.16,43.76,37.5644976147,38.0940641398,37.4690020117,37.9898871185,93938500,93938500,0.0,1.0,tiingo_historical_seed,
2010-02-16,QQQ,44.08,44.35,43.85,44.32,38.2676925088,38.5020908068,38.0680198845,38.4760465515,83861400,83861400,0.0,1.0,tiingo_historical_seed,
2010-02-17,QQQ,44.5,44.57,44.26,44.57,38.6323120835,38.6930820126,38.4239580408,38.6930820126,82691700,82691700,0.0,1.0,tiingo_historical_seed,
2010-02-18,QQQ,44.54,44.93,44.45,44.85,38.6670377573,39.0056130766,38.5889049912,38.9361617291,65752600,65752600,0.0,1.0,tiingo_historical_seed,
2010-02-19,QQQ,44.76,45.05,44.62,44.83,38.8580289631,39.109790098,38.7364891048,38.9187988922,80416500,80416500,0.0,1.0,tiingo_historical_seed,
2010-02-22,QQQ,45.01,45.03,44.56,44.74,39.0750644242,39.0924272611,38.6844005941,38.8406661262,72055000,72055000,0.0,1.0,tiingo_historical_seed,
2010-02-23,QQQ,44.69,44.74,43.95,44.16,38.7972590339,38.8406661262,38.154834069,38.3371438563,95814400,95814400,0.0,1.0,tiingo_historical_seed,
2010-02-24,QQQ,44.4099,44.79,44.32,44.61,38.5540925033,38.8840732184,38.4760465515,38.7278076864,86591000,86591000,0.0,1.0,tiingo_historical_seed,
2010-02-25,QQQ,44.11,44.7,43.83,44.6,38.2937367641,38.8059404524,38.0506570476,38.7191262679,97961300,97961300,0.0,1.0,tiingo_historical_seed,
2010-02-26,QQQ,44.6,44.86,44.4,44.76,38.7191262679,38.9448431475,38.545497899,38.8580289631,66222400,66222400,0.0,1.0,tiingo_historical_seed,
2010-03-01,QQQ,44.95,45.49,44.95,45.41,39.0229759135,39.4917725096,39.0229759135,39.422321162,77290100,77290100,0.0,1.0,tiingo_historical_seed,
2010-03-02,QQQ,45.54,45.85,45.45,45.55,39.5351796018,39.8043035736,39.4570468358,39.5438610203,76368500,76368500,0.0,1.0,tiingo_historical_seed,
2010-03-03,QQQ,45.67,45.82,45.43,45.6,39.6480380416,39.7782593183,39.4396839989,39.5872681125,65735500,65735500,0.0,1.0,tiingo_historical_seed,
