date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,RWX,35.52,35.82,35.47,35.64,15.7415869547,15.8745395472,15.7194281893,15.7947679917,293200,293200,0.0,1.0,tiingo_historical_seed,
2010-01-05,RWX,35.82,36.04,35.76,36.01,15.8745395472,15.9720381151,15.8479490287,15.9587428558,198400,198400,0.0,1.0,tiingo_historical_seed,
2010-01-06,RWX,35.88,35.98,35.64,35.82,15.9011300657,15.9454475966,15.7947679917,15.8745395472,187900,187900,0.0,1.0,tiingo_historical_seed,
2010-01-07,RWX,35.64,35.67,35.38,35.58,15.7947679917,15.8080632509,15.6795424115,15.7681774732,136300,136300,0.0,1.0,tiingo_historical_seed,
2010-01-08,RWX,35.62,35.78,35.465,35.77,15.7859044855,15.8568125349,15.7172123127,15.8523807818,188600,188600,0.0,1.0,tiingo_historical_seed,
2010-01-11,RWX,35.99,36.01,35.7801,35.92,15.9498793496,15.9587428558,15.8568568524,15.9188570781,298900,298900,0.0,1.0,tiingo_historical_seed,
2010-01-12,RWX,35.65,35.78,35.35,35.54,15.7991997448,15.8568125349,15.6662471523,15.7504504609,259800,259800,0.0,1.0,tiingo_historical_seed,
2010-01-13,RWX,35.7,35.9,35.44,35.83,15.8213585102,15.9099935719,15.70613293,15.8789713003,214100,214100,0.0,1.0,tiingo_historical_seed,
2010-01-14,RWX,35.68,35.85,35.585,35.82,15.812495004,15.8878348065,15.7703933497,15.8745395472,150600,150600,0.0,1.0,tiingo_historical_seed,
2010-01-15,RWX,35.7,35.81,35.29,35.4,15.8213585102,15.8701077941,15.6396566338,15.6884059177,193300,193300,0.0,1.0,tiingo_historical_seed,
2010-01-19,RWX,35.46,35.97,35.46,35.95,15.7149964362,15.9410158435,15.7149964362,15.9321523373,131900,131900,0.0,1.0,tiingo_historical_seed,
2010-01-20,RWX,35.33,35.55,34.9101,35.03,15.6573836461,15.7548822139,15.4712943341,15.5244310536,203400,203400,0.0,1.0,tiingo_historical_seed,
2010-01-21,RWX,35.0,35.06,34.28,34.36,15.5111357943,15.5377263128,15.1920495723,15.2275035969,190200,190200,0.0,1.0,tiingo_historical_seed,
2010-01-22,RWX,34.36,34.53,33.7,33.71,15.2275035969,15.3028433994,14.9350078934,14.9394396465,411100,411100,0.0,1.0,tiingo_historical_seed,
2010-01-25,RWX,34.19,34.4,34.09,34.39,15.1521637945,15.2452306093,15.1078462637,15.2407988562,207700,207700,0.0,1.0,tiingo_historical_seed,
2010-01-26,RWX,34.0,34.298,33.78,33.92,15.0679604859,15.2000267278,14.9704619181,15.0325064612,203200,203200,0.0,1.0,tiingo_historical_seed,
2010-01-27,RWX,33.79,33.85,33.46,33.8,14.9748936711,15.0014841896,14.8286458194,14.9793254242,323100,323100,0.0,1.0,tiingo_historical_seed,
2010-01-28,RWX,34.08,34.2885,33.51,33.61,15.1034145106,15.1958165624,14.8508045848,14.8951221156,175100,175100,0.0,1.0,tiingo_historical_seed,
2010-01-29,RWX,33.9,34.05,33.36,33.38,15.0236429551,15.0901192513,14.7843282885,14.7931917947,406200,406200,0.0,1.0,tiingo_historical_seed,
2010-02-01,RWX,33.65,33.93,33.53,33.92,14.912849128,15.0369382143,14.859668091,15.0325064612,609000,609000,0.0,1.0,tiingo_historical_seed,
2010-02-02,RWX,34.25,34.73,33.96,34.705,15.178754313,15.391478461,15.0502334736,15.3803990783,365200,365200,0.0,1.0,tiingo_historical_seed,
2010-02-03,RWX,34.2,34.4,34.1,34.1919,15.1565955476,15.2452306093,15.1122780167,15.1530058276,542600,542600,0.0,1.0,tiingo_historical_seed,
2010-02-04,RWX,33.79,34.02,33.25,33.28,14.9748936711,15.0768239921,14.7355790046,14.7488742639,478400,478400,0.0,1.0,tiingo_historical_seed,
2010-02-05,RWX,33.08,33.34,32.52,33.32,14.6602392022,14.7754647824,14.4120610295,14.7666012762,596500,596500,0.0,1.0,tiingo_historical_seed,
2010-02-08,RWX,32.89,33.13,32.53,32.53,14.5760358936,14.6823979676,14.4164927825,14.4164927825,191600,191600,0.0,1.0,tiingo_historical_seed,
2010-02-09,RWX,33.23,33.5244,32.78,33.28,14.7267154984,14.8571863092,14.5272866096,14.7488742639,137100,137100,0.0,1.0,tiingo_historical_seed,
2010-02-10,RWX,33.32,33.45,32.98,33.24,14.7666012762,14.8242140663,14.6159216713,14.7311472515,101400,101400,0.0,1.0,tiingo_historical_seed,
