date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2020-05-28,SGOV,100.02,100.02,100.01,100.01,84.3519473733,84.3519473733,84.3435138652,84.3435138652,366,366,0.0,1.0,tiingo_historical_seed,
2020-05-29,SGOV,100.02,100.02,100.01,100.01,84.3519473733,84.3519473733,84.3435138652,84.3435138652,9758,9758,0.0,1.0,tiingo_historical_seed,
2020-06-01,SGOV,100.02,100.02,100.01,100.01,84.3519473733,84.3519473733,84.3435138652,84.3435138652,1600,1600,0.0,1.0,tiingo_historical_seed,
2020-06-02,SGOV,100.02,100.02,100.013,100.013,84.3519473733,84.3519473733,84.3460439176,84.3460439176,3957,3957,0.0,1.0,tiingo_historical_seed,
2020-06-03,SGOV,100.015,100.015,100.015,100.015,84.3477306192,84.3477306192,84.3477306192,84.3477306192,57,57,0.0,1.0,tiingo_historical_seed,
2020-06-04,SGOV,100.0,100.021,100.0,100.015,84.3350803572,84.3527907241,84.3350803572,84.3477306192,2403,2403,0.0,1.0,tiingo_historical_seed,
2020-06-05,SGOV,100.02,100.02,100.01,100.01,84.3519473733,84.3519473733,84.3435138652,84.3435138652,370,370,0.0,1.0,tiingo_historical_seed,
2020-06-08,SGOV,100.01,100.01,100.01,100.01,84.3435138652,84.3435138652,84.3435138652,84.3435138652,1,1,0.0,1.0,tiingo_historical_seed,
2020-06-09,SGOV,100.01,100.01,100.01,100.01,84.3435138652,84.3435138652,84.3435138652,84.3435138652,110,110,0.0,1.0,tiingo_historical_seed,
2020-06-10,SGOV,100.02,100.02,100.015,100.015,84.3519473733,84.3519473733,84.3477306192,84.3477306192,12306,12306,0.0,1.0,tiingo_historical_seed,
2020-06-11,SGOV,100.02,100.03,100.015,100.015,84.3519473733,84.3603808813,84.3477306192,84.3477306192,7587104,7587104,0.0,1.0,tiingo_historical_seed,
2020-06-12,SGOV,100.01,100.02,100.01,100.015,84.3435138652,84.3519473733,84.3435138652,84.3477306192,4888,4888,0.0,1.0,tiingo_historical_seed,
2020-06-15,SGOV,100.02,100.02,100.015,100.015,84.3519473733,84.3519473733,84.3477306192,84.3477306192,8504,8504,0.0,1.0,tiingo_historical_seed,
2020-06-16,SGOV,100.015,100.015,100.015,100.015,84.3477306192,84.3477306192,84.3477306192,84.3477306192,36,36,0.0,1.0,tiingo_historical_seed,
2020-06-17,SGOV,100.03,100.03,100.015,100.02,84.3603808813,84.3603808813,84.3477306192,84.3519473733,4569,4569,0.0,1.0,tiingo_historical_seed,
2020-06-18,SGOV,100.03,100.03,100.02,100.024,84.3603808813,84.3603808813,84.3519473733,84.3553207765,19588,19588,0.0,1.0,tiingo_historical_seed,
2020-06-19,SGOV,100.025,100.029,100.02,100.025,84.3561641273,84.3595375305,84.3519473733,84.3561641273,5627,5627,0.0,1.0,tiingo_historical_seed,
2020-06-22,SGOV,100.03,100.03,100.01,100.02,84.3603808813,84.3603808813,84.3435138652,84.3519473733,22478,22478,0.0,1.0,tiingo_historical_seed,
2020-06-23,SGOV,100.03,100.03,100.02,100.02,84.3603808813,84.3603808813,84.3519473733,84.3519473733,1484,1484,0.0,1.0,tiingo_historical_seed,
2020-06-24,SGOV,100.01,100.03,100.01,100.02,84.3435138652,84.3603808813,84.3435138652,84.3519473733,17125,17125,0.0,1.0,tiingo_historical_seed,
2020-06-25,SGOV,100.02,100.02,100.01,100.02,84.3519473733,84.3519473733,84.3435138652,84.3519473733,10711,10711,0.0,1.0,tiingo_historical_seed,
2020-06-26,SGOV,100.03,100.03,100.01,100.015,84.3603808813,84.3603808813,84.3435138652,84.3477306192,51198,51198,0.0,1.0,tiingo_historical_seed,
2020-06-29,SGOV,100.025,100.025,100.0201,100.025,84.3561641273,84.3561641273,84.3520317083,84.3561641273,3741,3741,0.0,1.0,tiingo_historical_seed,
