date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,SHY,83.03,83.09,83.0001,83.07,65.5752308107,65.6226174643,65.5516164617,65.6068219131,1220600,1220600,0.0,1.0,tiingo_historical_seed,
2010-01-05,SHY,83.15,83.21,83.15,83.17,65.6700041179,65.7173907715,65.6700041179,65.6857996691,598200,598200,0.0,1.0,tiingo_historical_seed,
2010-01-06,SHY,83.19,83.23,83.12,83.18,65.7015952203,65.7331863227,65.6463107911,65.6936974447,1534900,1534900,0.0,1.0,tiingo_historical_seed,
2010-01-07,SHY,83.18,83.2,83.15,83.16,65.6936974447,65.7094929959,65.6700041179,65.6779018935,772000,772000,0.0,1.0,tiingo_historical_seed,
2010-01-08,SHY,83.26,83.28,83.2,83.2398,65.7568796495,65.7726752007,65.7094929959,65.7409261428,713200,713200,0.0,1.0,tiingo_historical_seed,
2010-01-11,SHY,83.27,83.31,83.27,83.28,65.7647774251,65.7963685275,65.7647774251,65.7726752007,756600,756600,0.0,1.0,tiingo_historical_seed,
2010-01-12,SHY,83.34,83.37,83.33,83.35,65.8200618543,65.8437551811,65.8121640787,65.8279596299,582900,582900,0.0,1.0,tiingo_historical_seed,
2010-01-13,SHY,83.31,83.36,83.28,83.28,65.7963685275,65.8358574055,65.7726752007,65.7726752007,590500,590500,0.0,1.0,tiingo_historical_seed,
2010-01-14,SHY,83.33,83.4,83.33,83.36,65.8121640787,65.8674485079,65.8121640787,65.8358574055,549900,549900,0.0,1.0,tiingo_historical_seed,
2010-01-15,SHY,83.41,83.46,83.41,83.43,65.8753462835,65.9148351615,65.8753462835,65.8911418347,648300,648300,0.0,1.0,tiingo_historical_seed,
2010-01-19,SHY,83.41,83.45,83.39,83.45,65.8753462835,65.9069373859,65.8595507323,65.9069373859,1154000,1154000,0.0,1.0,tiingo_historical_seed,
2010-01-20,SHY,83.46,83.5,83.44,83.45,65.9148351615,65.9464262639,65.8990396103,65.9069373859,1085600,1085600,0.0,1.0,tiingo_historical_seed,
2010-01-21,SHY,83.42,83.53,83.4,83.52,65.8832440591,65.9701195907,65.8674485079,65.9622218151,1281000,1281000,0.0,1.0,tiingo_historical_seed,
2010-01-22,SHY,83.52,83.59,83.5,83.59,65.9622218151,66.0175062443,65.9464262639,66.0175062443,725600,725600,0.0,1.0,tiingo_historical_seed,
2010-01-25,SHY,83.55,83.56,83.51,83.52,65.9859151419,65.9938129175,65.9543240395,65.9622218151,624600,624600,0.0,1.0,tiingo_historical_seed,
