date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,SLV,17.05,17.25,17.02,17.23,17.05,17.25,17.02,17.23,9685653,9685653,0.0,1.0,tiingo_historical_seed,
2010-01-05,SLV,17.24,17.55,17.18,17.51,17.24,17.55,17.18,17.51,13313563,13313563,0.0,1.0,tiingo_historical_seed,
2010-01-06,SLV,17.66,17.9,17.63,17.86,17.66,17.9,17.63,17.86,14028340,14028340,0.0,1.0,tiingo_historical_seed,
2010-01-07,SLV,17.86,18.02,17.8,17.89,17.86,18.02,17.8,17.89,12551460,12551460,0.0,1.0,tiingo_historical_seed,
2010-01-08,SLV,18.14,18.16,17.9301,18.15,18.14,18.16,17.9301,18.15,11735028,11735028,0.0,1.0,tiingo_historical_seed,
2010-01-11,SLV,18.44,18.45,18.2,18.21,18.44,18.45,18.2,18.21,19109383,19109383,0.0,1.0,tiingo_historical_seed,
2010-01-12,SLV,18.16,18.27,17.81,17.91,18.16,18.27,17.81,17.91,13601702,13601702,0.0,1.0,tiingo_historical_seed,
2010-01-13,SLV,18.05,18.27,17.85,18.27,18.05,18.27,17.85,18.27,15448620,15448620,0.0,1.0,tiingo_historical_seed,
2010-01-14,SLV,18.22,18.38,18.1,18.31,18.22,18.38,18.1,18.31,8812202,8812202,0.0,1.0,tiingo_historical_seed,
2010-01-15,SLV,18.19,18.2,18.04,18.05,18.19,18.2,18.04,18.05,9978110,9978110,0.0,1.0,tiingo_historical_seed,
2010-01-19,SLV,18.19,18.45,18.17,18.45,18.19,18.45,18.17,18.45,8637186,8637186,0.0,1.0,tiingo_historical_seed,
2010-01-20,SLV,17.97,17.98,17.46,17.57,17.97,17.98,17.46,17.57,18971515,18971515,0.0,1.0,tiingo_historical_seed,
2010-01-21,SLV,17.48,17.6,17.01,17.07,17.48,17.6,17.01,17.07,14709316,14709316,0.0,1.0,tiingo_historical_seed,
2010-01-22,SLV,16.83,16.86,16.55,16.78,16.83,16.86,16.55,16.78,17044178,17044178,0.0,1.0,tiingo_historical_seed,
2010-01-25,SLV,16.74,16.86,16.67,16.83,16.74,16.86,16.67,16.83,8176559,8176559,0.0,1.0,tiingo_historical_seed,
2010-01-26,SLV,16.18,16.61,16.14,16.43,16.18,16.61,16.14,16.43,20748187,20748187,0.0,1.0,tiingo_historical_seed,
2010-01-27,SLV,16.35,16.42,16.12,16.26,16.35,16.42,16.12,16.26,11295565,11295565,0.0,1.0,tiingo_historical_seed,
2010-01-28,SLV,16.38,16.38,15.7,15.92,16.38,16.38,15.7,15.92,20519396,20519396,0.0,1.0,tiingo_historical_seed,
2010-01-29,SLV,15.87,16.01,15.72,15.9,15.87,16.01,15.72,15.9,15405658,15405658,0.0,1.0,tiingo_historical_seed,
2010-02-01,SLV,16.02,16.39,15.94,16.36,16.02,16.39,15.94,16.36,12372992,12372992,0.0,1.0,tiingo_historical_seed,
2010-02-02,SLV,16.4699,16.47,16.28,16.35,16.4699,16.47,16.28,16.35,10819220,10819220,0.0,1.0,tiingo_historical_seed,
2010-02-03,SLV,16.23,16.32,15.97,16.07,16.23,16.32,15.97,16.07,10811557,10811557,0.0,1.0,tiingo_historical_seed,
2010-02-04,SLV,15.77,15.77,15.01,15.04,15.77,15.77,15.01,15.04,29768912,29768912,0.0,1.0,tiingo_historical_seed,
2010-02-05,SLV,14.87,14.94,14.37,14.9,14.87,14.94,14.37,14.9,31674359,31674359,0.0,1.0,tiingo_historical_seed,
2010-02-08,SLV,14.8,14.98,14.69,14.75,14.8,14.98,14.69,14.75,13164657,13164657,0.0,1.0,tiingo_historical_seed,
2010-02-09,SLV,14.97,15.3,14.87,15.12,14.97,15.3,14.87,15.12,14736242,14736242,0.0,1.0,tiingo_historical_seed,
2010-02-10,SLV,15.06,15.1,14.8,14.95,15.06,15.1,14.8,14.95,8795508,8795508,0.0,1.0,tiingo_historical_seed,
2010-02-11,SLV,15.0,15.46,14.9,15.37,15.0,15.46,14.9,15.37,12994607,12994607,0.0,1.0,tiingo_historical_seed,
2010-02-12,SLV,15.05,15.26,14.93,15.24,15.05,15.26,14.93,15.24,11327620,11327620,0.0,1.0,tiingo_historical_seed,
2010-02-16,SLV,15.55,15.91,15.49,15.82,15.55,15.91,15.49,15.82,15834687,15834687,0.0,1.0,tiingo_historical_seed,
2010-02-17,SLV,15.89,15.98,15.59,15.74,15.89,15.98,15.59,15.74,12163892,12163892,0.0,1.0,tiingo_historical_seed,
2010-02-18,SLV,15.9,15.96,15.66,15.88,15.9,15.96,15.66,15.88,9656758,9656758,0.0,1.0,tiingo_historical_seed,
2010-02-19,SLV,15.84,16.2,15.6901,15.97,15.84,16.2,15.6901,15.97,13879553,13879553,0.0,1.0,tiingo_historical_seed,
