date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,SPY,112.37,113.39,111.51,113.33,83.7948971928,84.555516532,83.1535906912,84.5107742179,118857369,118857369,0.0,1.0,tiingo_historical_seed,
2010-01-05,SPY,113.26,113.68,112.85,113.63,84.4585748515,84.7717710499,84.1528357054,84.7344857882,111519230,111519230,0.0,1.0,tiingo_historical_seed,
2010-01-06,SPY,113.52,113.99,113.43,113.71,84.6524582124,85.0029396726,84.5853447413,84.794142207,116017127,116017127,0.0,1.0,tiingo_historical_seed,
2010-01-07,SPY,113.5,114.33,113.18,114.19,84.6375441077,85.2564794523,84.3989184327,85.1520807195,130502017,130502017,0.0,1.0,tiingo_historical_seed,
2010-01-08,SPY,113.89,114.62,113.66,114.57,84.9283691492,85.4727339703,84.7568569453,85.4354487086,126357911,126357911,0.0,1.0,tiingo_historical_seed,
2010-01-11,SPY,115.08,115.13,114.24,114.73,85.8157583781,85.8530436399,85.1893659812,85.5547615461,105905179,105905179,0.0,1.0,tiingo_historical_seed,
2010-01-12,SPY,113.97,114.21,113.22,113.66,84.9880255679,85.1669948242,84.4287466421,84.7568569453,166498092,166498092,0.0,1.0,tiingo_historical_seed,
2010-01-13,SPY,113.95,114.94,113.37,114.62,84.9731114632,85.7113596453,84.5406024273,85.4727339703,161730350,161730350,0.0,1.0,tiingo_historical_seed,
2010-01-14,SPY,114.49,115.14,114.42,114.93,85.3757922898,85.8605006922,85.3235929234,85.703902593,115646960,115646960,0.0,1.0,tiingo_historical_seed,
2010-01-15,SPY,114.73,114.84,113.2,113.64,85.5547615461,85.6367891219,84.4138325374,84.7419428406,212252769,212252769,0.0,1.0,tiingo_historical_seed,
2010-01-19,SPY,113.62,115.13,113.59,115.06,84.7270287359,85.8530436399,84.7046575788,85.8008442735,138671890,138671890,0.0,1.0,tiingo_historical_seed,
2010-01-20,SPY,114.28,114.45,112.98,113.89,85.2191941906,85.3459640805,84.2497773858,84.9283691492,216330645,216330645,0.0,1.0,tiingo_historical_seed,
2010-01-21,SPY,113.92,114.27,111.56,111.7,84.9507403062,85.2117371383,83.190875953,83.2952746858,344747028,344747028,0.0,1.0,tiingo_historical_seed,
2010-01-22,SPY,111.2,111.74,109.09,109.21,82.9224220686,83.3251028951,81.3489840239,81.438468652,345627282,345627282,0.0,1.0,tiingo_historical_seed,
2010-01-25,SPY,110.21,110.41,109.41,109.77,82.1841738865,82.3333149334,81.5876096989,81.8560635833,186751367,186751367,0.0,1.0,tiingo_historical_seed,
2010-01-26,SPY,109.34,110.47,109.04,109.31,81.5354103325,82.3780572474,81.3116987622,81.5130391755,210788669,210788669,0.0,1.0,tiingo_historical_seed,
2010-01-27,SPY,109.17,110.08,108.33,109.83,81.4086404427,82.087232206,80.7822480457,81.9008058974,271482263,271482263,0.0,1.0,tiingo_historical_seed,
2010-01-28,SPY,110.19,110.25,107.91,108.57,82.1692597818,82.2140020958,80.4690518473,80.961217302,315523641,315523641,0.0,1.0,tiingo_historical_seed,
2010-01-29,SPY,109.04,109.8,107.22,107.39,81.3116987622,81.8784347404,79.9545152355,80.0812851254,310523229,310523229,0.0,1.0,tiingo_historical_seed,
2010-02-01,SPY,108.15,109.07,107.5,109.06,80.6480211035,81.3340699192,80.1633127012,81.3266128669,187376305,187376305,0.0,1.0,tiingo_historical_seed,
2010-02-02,SPY,109.26,110.59,108.88,110.38,81.4757539138,82.4675418756,81.1923859247,82.3109437763,216202000,216202000,0.0,1.0,tiingo_historical_seed,
2010-02-03,SPY,109.88,110.48,109.51,109.83,81.9380911591,82.3855142998,81.6621802224,81.9008058974,172541928,172541928,0.0,1.0,tiingo_historical_seed,
2010-02-04,SPY,108.98,109.03,106.42,106.44,81.2669564481,81.3042417098,79.357951048,79.3728651527,356204273,356204273,0.0,1.0,tiingo_historical_seed,
2010-02-05,SPY,106.56,106.88,104.58,106.66,79.4623497808,79.7009754558,77.9858534166,79.5369203042,493483874,493483874,0.0,1.0,tiingo_historical_seed,
2010-02-08,SPY,106.74,107.33,105.81,105.89,79.596576723,80.0365428113,78.903070855,78.9627272737,223943088,223943088,0.0,1.0,tiingo_historical_seed,
