date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,TLT,89.84,90.1,89.58,89.81,55.6073750675,55.7683046926,55.4464454424,55.5888062646,2829100,2829100,0.0,1.0,tiingo_historical_seed,
2010-01-05,TLT,90.05,90.63,90.0,90.39,55.7373566877,56.0963535437,55.7064086829,55.9478031205,2841600,2841600,0.0,1.0,tiingo_historical_seed,
2010-01-06,TLT,90.17,90.26,89.12,89.18,55.8116318993,55.867338308,55.161723798,55.1988614038,4099600,4099600,0.0,1.0,tiingo_historical_seed,
2010-01-07,TLT,89.22,89.64,89.12,89.33,55.2236198077,55.4835830482,55.161723798,55.2917054183,2793200,2793200,0.0,1.0,tiingo_historical_seed,
2010-01-08,TLT,89.51,89.56,88.76,89.29,55.4031182356,55.4340662405,54.9388981633,55.2669470144,2910700,2910700,0.0,1.0,tiingo_historical_seed,
2010-01-11,TLT,88.99,89.36,88.77,88.8,55.0812589855,55.3102742212,54.9450877642,54.9636565671,2181300,2181300,0.0,1.0,tiingo_historical_seed,
2010-01-12,TLT,90.16,90.39,89.84,90.32,55.8054422983,55.9478031205,55.6073750675,55.9044759138,4321200,4321200,0.0,1.0,tiingo_historical_seed,
2010-01-13,TLT,89.93,90.28,89.22,89.27,55.6630814762,55.8797175099,55.2236198077,55.2545678125,4755000,4755000,0.0,1.0,tiingo_historical_seed,
2010-01-14,TLT,89.69,90.52,89.54,90.52,55.514531053,56.0282679331,55.4216870385,56.0282679331,4188800,4188800,0.0,1.0,tiingo_historical_seed,
2010-01-15,TLT,91.03,91.33,90.98,91.08,56.3439375823,56.5296256112,56.3129895775,56.3748855871,4142800,4142800,0.0,1.0,tiingo_historical_seed,
2010-01-19,TLT,90.72,91.12,90.42,90.82,56.1520599524,56.399643991,55.9663719234,56.213955962,2496000,2496000,0.0,1.0,tiingo_historical_seed,
2010-01-20,TLT,91.32,91.77,91.27,91.74,56.5234360103,56.8019680537,56.4924880054,56.7833992508,2800500,2800500,0.0,1.0,tiingo_historical_seed,
2010-01-21,TLT,91.55,92.39,91.46,92.16,56.6657968324,57.1857233135,56.6100904238,57.0433624913,4363100,4363100,0.0,1.0,tiingo_historical_seed,
2010-01-22,TLT,92.09,92.31,91.77,92.0,57.0000352845,57.1362065058,56.8019680537,56.9443288759,3666900,3666900,0.0,1.0,tiingo_historical_seed,
2010-01-25,TLT,91.54,91.92,91.49,91.58,56.6596072315,56.8948120681,56.6286592267,56.6843656353,2419500,2419500,0.0,1.0,tiingo_historical_seed,
2010-01-26,TLT,92.02,92.11,91.31,91.61,56.9567080778,57.0124144865,56.5172464093,56.7029344382,3138100,3138100,0.0,1.0,tiingo_historical_seed,
2010-01-27,TLT,91.75,92.09,91.37,91.56,56.7895888517,57.0000352845,56.5543840151,56.6719864334,3325700,3325700,0.0,1.0,tiingo_historical_seed,
2010-01-28,TLT,91.13,91.7,91.06,91.51,56.4058335919,56.7586408469,56.3625063852,56.6410384286,3058200,3058200,0.0,1.0,tiingo_historical_seed,
2010-01-29,TLT,91.41,92.36,91.25,92.31,56.5791424189,57.1671545106,56.4801088035,57.1362065058,4930600,4930600,0.0,1.0,tiingo_historical_seed,
2010-02-01,TLT,91.71,91.73,91.05,91.15,56.9670963365,56.9795196484,56.5571270466,56.6192436057,3598500,3598500,0.324788,1.0,tiingo_historical_seed,
