date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2011-10-20,USMV,25.31,25.36,25.1,25.36,19.1908127691,19.2287242917,19.0315843739,19.2287242917,4200,4200,0.0,1.0,tiingo_historical_seed,
2011-10-21,USMV,25.67,25.67,25.67,25.67,19.4637757322,19.4637757322,19.4637757322,19.4637757322,100,100,0.0,1.0,tiingo_historical_seed,
2011-10-24,USMV,25.67,25.67,25.67,25.67,19.4637757322,19.4637757322,19.4637757322,19.4637757322,0,0,0.0,1.0,tiingo_historical_seed,
2011-10-25,USMV,25.8,25.8,25.58,25.58,19.5623456911,19.5623456911,19.3955349914,19.3955349914,4000,4000,0.0,1.0,tiingo_historical_seed,
2011-10-26,USMV,25.73,25.73,25.46,25.69,19.5092695594,19.5092695594,19.304547337,19.4789403413,4200,4200,0.0,1.0,tiingo_historical_seed,
2011-10-27,USMV,26.03,26.03,26.03,26.03,19.7367386953,19.7367386953,19.7367386953,19.7367386953,100,100,0.0,1.0,tiingo_historical_seed,
2011-10-28,USMV,26.07,26.07,26.02,26.02,19.7670679135,19.7670679135,19.7291563908,19.7291563908,400,400,0.0,1.0,tiingo_historical_seed,
2011-10-31,USMV,26.01,26.01,25.96,25.96,19.7215740863,19.7215740863,19.6836625636,19.6836625636,500,500,0.0,1.0,tiingo_historical_seed,
2011-11-01,USMV,25.96,25.96,25.96,25.96,19.6836625636,19.6836625636,19.6836625636,19.6836625636,0,0,0.0,1.0,tiingo_historical_seed,
2011-11-02,USMV,25.96,25.96,25.96,25.96,19.6836625636,19.6836625636,19.6836625636,19.6836625636,0,0,0.0,1.0,tiingo_historical_seed,
2011-11-03,USMV,25.96,25.96,25.96,25.96,19.6836625636,19.6836625636,19.6836625636,19.6836625636,0,0,0.0,1.0,tiingo_historical_seed,
2011-11-04,USMV,25.79,25.8,25.79,25.8,19.5547633866,19.5623456911,19.5547633866,19.5623456911,2000,2000,0.0,1.0,tiingo_historical_seed,
2011-11-07,USMV,25.7,25.7,25.7,25.7,19.4865226458,19.4865226458,19.4865226458,19.4865226458,100,100,0.0,1.0,tiingo_historical_seed,
2011-11-08,USMV,26.08,26.1,26.08,26.1,19.774650218,19.789814827,19.774650218,19.789814827,1300,1300,0.0,1.0,tiingo_historical_seed,
2011-11-09,USMV,25.77,25.83,25.6,25.61,19.5395987775,19.5850926047,19.4106996005,19.418281905,3200,3200,0.0,1.0,tiingo_historical_seed,
2011-11-10,USMV,26.49,26.49,25.6699,25.74,20.0855247038,20.0855247038,19.4636999092,19.5168518639,2900,2900,0.0,1.0,tiingo_historical_seed,
2011-11-11,USMV,26.13,26.25,26.13,26.2,19.8125617406,19.903549395,19.8125617406,19.8656378724,2400,2400,0.0,1.0,tiingo_historical_seed,
2011-11-14,USMV,26.03,26.03,26.03,26.03,19.7367386953,19.7367386953,19.7367386953,19.7367386953,100,100,0.0,1.0,tiingo_historical_seed,
2011-11-15,USMV,25.9,26.24,25.9,26.03,19.6381687364,19.8959670905,19.6381687364,19.7367386953,23600,23600,0.0,1.0,tiingo_historical_seed,
2011-11-16,USMV,25.9799,25.9948,25.84,25.84,19.6987513496,19.7100489834,19.5926749092,19.5926749092,1000,1000,0.0,1.0,tiingo_historical_seed,
2011-11-17,USMV,25.65,25.65,25.3845,25.3845,19.4486111231,19.4486111231,19.2473009378,19.2473009378,1300,1300,0.0,1.0,tiingo_historical_seed,
2011-11-18,USMV,25.5385,25.5385,25.5299,25.5299,19.3640684276,19.3640684276,19.3575476457,19.3575476457,1100,1100,0.0,1.0,tiingo_historical_seed,
2011-11-21,USMV,25.17,25.25,25.05,25.14,19.0846605056,19.1453189419,18.9936728512,19.061913592,5000,5000,0.0,1.0,tiingo_historical_seed,
2011-11-22,USMV,25.14,25.14,25.14,25.14,19.061913592,19.061913592,19.061913592,19.061913592,0,0,0.0,1.0,tiingo_historical_seed,
