date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,USO,40.0397,40.3,39.8701,40.27,320.3176,322.4,318.9608,322.16,1426025,11408203,0.0,1.0,tiingo_historical_seed,
2010-01-05,USO,40.25,40.45,39.93,40.41,322.0,323.6,319.44,323.28,1305599,10444793,0.0,1.0,tiingo_historical_seed,
2010-01-06,USO,40.32,41.19,39.89,40.97,322.56,329.52,319.12,327.76,2473591,19788732,0.0,1.0,tiingo_historical_seed,
2010-01-07,USO,40.87,41.08,40.68,40.72,326.96,328.64,325.44,325.76,1251287,10010303,0.0,1.0,tiingo_historical_seed,
2010-01-08,USO,40.63,41.17,40.45,40.93,325.04,329.36,323.6,327.44,1174182,9393457,0.0,1.0,tiingo_historical_seed,
2010-01-11,USO,41.09,41.19,40.46,40.54,328.72,329.52,323.68,324.32,1112732,8901859,0.0,1.0,tiingo_historical_seed,
2010-01-12,USO,40.07,40.36,39.53,39.63,320.56,322.88,316.24,317.04,1495004,11960038,0.0,1.0,tiingo_historical_seed,
2010-01-13,USO,39.4,39.71,38.63,39.21,315.2,317.68,309.04,313.68,1937824,15502597,0.0,1.0,tiingo_historical_seed,
2010-01-14,USO,39.3,39.44,38.88,39.06,314.4,315.52,311.04,312.48,1071977,8575821,0.0,1.0,tiingo_historical_seed,
2010-01-15,USO,38.97,39.02,38.28,38.4,311.76,312.16,306.24,307.2,1576912,12615299,0.0,1.0,tiingo_historical_seed,
2010-01-19,USO,38.07,38.9499,38.03,38.93,304.56,311.5992,304.24,311.44,1022519,8180157,0.0,1.0,tiingo_historical_seed,
2010-01-20,USO,38.23,38.35,37.88,37.89,305.84,306.8,303.04,303.12,1429835,11438685,0.0,1.0,tiingo_historical_seed,
2010-01-21,USO,38.22,38.41,37.09,37.24,305.76,307.28,296.72,297.92,1714570,13716561,0.0,1.0,tiingo_historical_seed,
2010-01-22,USO,37.07,37.09,36.32,36.34,296.56,296.72,290.56,290.72,2237670,17901363,0.0,1.0,tiingo_historical_seed,
2010-01-25,USO,36.5,36.99,36.41,36.81,292.0,295.92,291.28,294.48,1131547,9052380,0.0,1.0,tiingo_historical_seed,
2010-01-26,USO,36.37,36.83,36.25,36.5,290.96,294.64,290.0,292.0,1138109,9104873,0.0,1.0,tiingo_historical_seed,
2010-01-27,USO,36.54,36.74,35.61,36.08,292.32,293.92,284.88,288.64,1850303,14802425,0.0,1.0,tiingo_historical_seed,
2010-01-28,USO,36.31,36.35,35.74,36.16,290.48,290.8,285.92,289.28,1448602,11588819,0.0,1.0,tiingo_historical_seed,
2010-01-29,USO,36.38,36.5,35.5,35.64,291.04,292.0,284.0,285.12,1794850,14358801,0.0,1.0,tiingo_historical_seed,
2010-02-01,USO,36.02,36.73,35.77,36.72,288.16,293.84,286.16,293.76,1303840,10430722,0.0,1.0,tiingo_historical_seed,
2010-02-02,USO,36.84,37.93,36.7699,37.5284,294.72,303.44,294.1592,300.2272,1831326,14650614,0.0,1.0,tiingo_historical_seed,
2010-02-03,USO,37.85,38.17,37.5,37.65,302.8,305.36,300.0,301.2,2250380,18003047,0.0,1.0,tiingo_historical_seed,
2010-02-04,USO,37.12,37.14,35.5,35.8,296.96,297.12,284.0,286.4,2605937,20847501,0.0,1.0,tiingo_historical_seed,
2010-02-05,USO,35.97,36.05,34.07,35.21,287.76,288.4,272.56,281.68,3667934,29343474,0.0,1.0,tiingo_historical_seed,
2010-02-08,USO,35.08,35.37,34.69,35.09,280.64,282.96,277.52,280.72,1532312,12258496,0.0,1.0,tiingo_historical_seed,
2010-02-09,USO,35.54,37.718,35.33,36.21,284.32,301.744,282.64,289.68,1591743,12733950,0.0,1.0,tiingo_historical_seed,
2010-02-10,USO,36.09,36.7,35.55,36.51,288.72,293.6,284.4,292.08,1290272,10322183,0.0,1.0,tiingo_historical_seed,
2010-02-11,USO,36.58,37.08,35.95,36.78,292.64,296.64,287.6,294.24,1497445,11979564,0.0,1.0,tiingo_historical_seed,
