date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,VGK,49.69,50.1,49.69,49.96,28.1592577146,28.3916041759,28.1592577146,28.3122663598,798300,798300,0.0,1.0,tiingo_historical_seed,
2010-01-05,VGK,50.05,50.19,49.65,49.88,28.3632692416,28.4426070576,28.1365897671,28.2669304649,430500,430500,0.0,1.0,tiingo_historical_seed,
2010-01-06,VGK,49.8,50.18,49.69,50.18,28.22159457,28.4369400708,28.1592577146,28.4369400708,247800,247800,0.0,1.0,tiingo_historical_seed,
2010-01-07,VGK,49.81,49.94,49.5,49.86,28.2272615569,28.3009323861,28.0515849642,28.2555964912,937700,937700,0.0,1.0,tiingo_historical_seed,
2010-01-08,VGK,49.93,50.4,49.84,50.36,28.2952653992,28.5616137817,28.2442625175,28.5389458343,450500,450500,0.0,1.0,tiingo_historical_seed,
2010-01-11,VGK,50.89,50.92,50.48,50.76,28.8392961379,28.8562970985,28.6069496766,28.7656253087,503900,503900,0.0,1.0,tiingo_historical_seed,
2010-01-12,VGK,49.97,50.24,49.78,50.02,28.3179333467,28.470941992,28.2102605963,28.346268281,1347900,1347900,0.0,1.0,tiingo_historical_seed,
2010-01-13,VGK,50.24,50.7,49.97,50.7,28.470941992,28.7316233876,28.3179333467,28.7316233876,525000,525000,0.0,1.0,tiingo_historical_seed,
2010-01-14,VGK,50.41,50.77,50.31,50.6,28.5672807686,28.7712922956,28.5106109,28.674953519,896400,896400,0.0,1.0,tiingo_historical_seed,
2010-01-15,VGK,50.25,50.28,49.48,49.54,28.4766089788,28.4936099394,28.0402509905,28.0742529117,477700,477700,0.0,1.0,tiingo_historical_seed,
2010-01-19,VGK,49.62,50.57,49.52,50.57,28.1195888065,28.6579525584,28.0629189379,28.6579525584,525800,525800,0.0,1.0,tiingo_historical_seed,
2010-01-20,VGK,49.34,49.36,48.6165,49.0,27.9609131744,27.9722471481,27.550906675,27.7682356211,540800,540800,0.0,1.0,tiingo_historical_seed,
