date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2013-04-18,VLUE,49.34,49.34,49.34,49.34,35.649771309,35.649771309,35.649771309,35.649771309,100,100,0.0,1.0,tiingo_historical_seed,
2013-04-19,VLUE,49.34,49.34,49.34,49.34,35.649771309,35.649771309,35.649771309,35.649771309,0,0,0.0,1.0,tiingo_historical_seed,
2013-04-22,VLUE,49.34,49.34,49.34,49.34,35.649771309,35.649771309,35.649771309,35.649771309,0,0,0.0,1.0,tiingo_historical_seed,
2013-04-23,VLUE,49.34,49.34,49.34,49.34,35.649771309,35.649771309,35.649771309,35.649771309,0,0,0.0,1.0,tiingo_historical_seed,
2013-04-24,VLUE,50.05,50.05,50.05,50.05,36.1627696395,36.1627696395,36.1627696395,36.1627696395,600,600,0.0,1.0,tiingo_historical_seed,
2013-04-25,VLUE,51.01,51.01,51.01,51.01,36.8564011851,36.8564011851,36.8564011851,36.8564011851,100,100,0.0,1.0,tiingo_historical_seed,
2013-04-26,VLUE,50.79,50.79,50.79,50.79,36.6974439559,36.6974439559,36.6974439559,36.6974439559,400,400,0.0,1.0,tiingo_historical_seed,
2013-04-29,VLUE,50.79,50.79,50.79,50.79,36.6974439559,36.6974439559,36.6974439559,36.6974439559,0,0,0.0,1.0,tiingo_historical_seed,
2013-04-30,VLUE,49.97,49.97,49.97,49.97,36.1049670107,36.1049670107,36.1049670107,36.1049670107,900,900,0.0,1.0,tiingo_historical_seed,
2013-05-01,VLUE,49.97,49.97,49.97,49.97,36.1049670107,36.1049670107,36.1049670107,36.1049670107,0,0,0.0,1.0,tiingo_historical_seed,
2013-05-02,VLUE,51.12,51.19,51.12,51.1899,36.9358797997,36.9864570998,36.9358797997,36.9863848466,400,400,0.0,1.0,tiingo_historical_seed,
2013-05-03,VLUE,51.19,51.19,51.19,51.19,36.9864570998,36.9864570998,36.9864570998,36.9864570998,0,0,0.0,1.0,tiingo_historical_seed,
2013-05-06,VLUE,51.19,51.19,51.19,51.19,36.9864570998,36.9864570998,36.9864570998,36.9864570998,0,0,0.0,1.0,tiingo_historical_seed,
2013-05-07,VLUE,51.19,51.19,51.19,51.19,36.9864570998,36.9864570998,36.9864570998,36.9864570998,0,0,0.0,1.0,tiingo_historical_seed,
2013-05-08,VLUE,52.12,52.3,52.12,52.28,37.6584126596,37.7884685744,37.6584126596,37.7740179172,1800,1800,0.0,1.0,tiingo_historical_seed,
2013-05-09,VLUE,52.11,52.11,52.11,52.11,37.651187331,37.651187331,37.651187331,37.651187331,500,500,0.0,1.0,tiingo_historical_seed,
2013-05-10,VLUE,52.87,52.87,52.15,52.2543,38.2003123045,38.2003123045,37.6800886454,37.7554488227,1900,1900,0.0,1.0,tiingo_historical_seed,
2013-05-13,VLUE,52.93,52.93,52.178,52.32,38.2436642761,38.2436642761,37.7003195655,37.8029192316,500,500,0.0,1.0,tiingo_historical_seed,
2013-05-14,VLUE,52.87,52.87,52.87,52.87,38.2003123045,38.2003123045,38.2003123045,38.2003123045,400,400,0.0,1.0,tiingo_historical_seed,
2013-05-15,VLUE,52.9755,52.9755,52.9755,52.9755,38.2765395213,38.2765395213,38.2765395213,38.2765395213,200,200,0.0,1.0,tiingo_historical_seed,
2013-05-16,VLUE,53.3,53.3,53.29,53.29,38.5110014343,38.5110014343,38.5037761057,38.5037761057,1200,1200,0.0,1.0,tiingo_historical_seed,
2013-05-17,VLUE,53.314,53.314,53.3,53.3,38.5211168943,38.5211168943,38.5110014343,38.5110014343,600,600,0.0,1.0,tiingo_historical_seed,
2013-05-20,VLUE,53.3,53.3,53.3,53.3,38.5110014343,38.5110014343,38.5110014343,38.5110014343,0,0,0.0,1.0,tiingo_historical_seed,
2013-05-21,VLUE,53.78,53.83,53.7799,53.7799,38.8578172071,38.8939438501,38.8577449538,38.8577449538,1100,1100,0.0,1.0,tiingo_historical_seed,
2013-05-22,VLUE,53.75,53.75,53.29,53.29,38.8361412213,38.8361412213,38.5037761057,38.5037761057,600,600,0.0,1.0,tiingo_historical_seed,
2013-05-23,VLUE,52.65,52.74,52.65,52.74,38.0413550753,38.1063830327,38.0413550753,38.1063830327,300,300,0.0,1.0,tiingo_historical_seed,
2013-05-24,VLUE,52.93,52.93,52.93,52.93,38.2436642761,38.2436642761,38.2436642761,38.2436642761,100,100,0.0,1.0,tiingo_historical_seed,
2013-05-28,VLUE,53.86,53.86,53.7,53.7,38.9156198359,38.9156198359,38.8000145783,38.8000145783,1000,1000,0.0,1.0,tiingo_historical_seed,
2013-05-29,VLUE,53.4131,53.4131,53.4131,53.4131,38.5927199008,38.5927199008,38.5927199008,38.5927199008,100,100,0.0,1.0,tiingo_historical_seed,
2013-05-30,VLUE,53.63,53.63,53.63,53.63,38.7494372781,38.7494372781,38.7494372781,38.7494372781,1500,1500,0.0,1.0,tiingo_historical_seed,
2013-05-31,VLUE,53.62,53.62,53.62,53.62,38.7422119495,38.7422119495,38.7422119495,38.7422119495,1000,1000,0.0,1.0,tiingo_historical_seed,
2013-06-03,VLUE,53.62,53.62,53.62,53.62,38.7422119495,38.7422119495,38.7422119495,38.7422119495,0,0,0.0,1.0,tiingo_historical_seed,
2013-06-04,VLUE,53.11,53.26,53.11,53.26,38.3737201909,38.4821001199,38.3737201909,38.4821001199,1000,1000,0.0,1.0,tiingo_historical_seed,
2013-06-05,VLUE,52.1,52.1,52.1,52.1,37.6439620024,37.6439620024,37.6439620024,37.6439620024,100,100,0.0,1.0,tiingo_historical_seed,
2013-06-06,VLUE,52.1,52.1,52.1,52.1,37.6439620024,37.6439620024,37.6439620024,37.6439620024,0,0,0.0,1.0,tiingo_historical_seed,
2013-06-07,VLUE,52.1,52.1,52.1,52.1,37.6439620024,37.6439620024,37.6439620024,37.6439620024,0,0,0.0,1.0,tiingo_historical_seed,
2013-06-10,VLUE,53.13,53.25,53.13,53.25,38.3881708481,38.4748747913,38.3881708481,38.4748747913,3800,3800,0.0,1.0,tiingo_historical_seed,
2013-06-11,VLUE,53.18,53.18,53.18,53.18,38.4242974911,38.4242974911,38.4242974911,38.4242974911,500,500,0.0,1.0,tiingo_historical_seed,
2013-06-12,VLUE,52.61,52.61,52.61,52.61,38.0124537609,38.0124537609,38.0124537609,38.0124537609,500,500,0.0,1.0,tiingo_historical_seed,
2013-06-13,VLUE,52.61,52.61,52.61,52.61,38.0124537609,38.0124537609,38.0124537609,38.0124537609,0,0,0.0,1.0,tiingo_historical_seed,
2013-06-14,VLUE,52.96,52.96,52.6,52.6,38.2653402619,38.2653402619,38.0052284323,38.0052284323,1300,1300,0.0,1.0,tiingo_historical_seed,
2013-06-17,VLUE,52.95,52.95,52.95,52.95,38.2581149333,38.2581149333,38.2581149333,38.2581149333,500,500,0.0,1.0,tiingo_historical_seed,
2013-06-18,VLUE,52.95,52.95,52.95,52.95,38.2581149333,38.2581149333,38.2581149333,38.2581149333,0,0,0.0,1.0,tiingo_historical_seed,
2013-06-19,VLUE,53.392,53.404,53.36,53.36,38.5774744574,38.5861448517,38.5543534059,38.5543534059,800,800,0.0,1.0,tiingo_historical_seed,
2013-06-20,VLUE,51.8399,51.8399,51.73,51.73,37.4560312055,37.4560312055,37.3766248442,37.3766248442,700,700,0.0,1.0,tiingo_historical_seed,
2013-06-21,VLUE,51.792,51.792,51.1601,51.62,37.4214218815,37.4214218815,36.9648533673,37.2971462296,1200,1200,0.0,1.0,tiingo_historical_seed,
2013-06-24,VLUE,50.701,50.75,50.701,50.75,36.6331385313,36.6685426415,36.6331385313,36.6685426415,600,600,0.0,1.0,tiingo_historical_seed,
2013-06-25,VLUE,51.3799,51.38,51.3799,51.38,37.1236660899,37.1237383432,37.1236660899,37.1237383432,200,200,0.0,1.0,tiingo_historical_seed,
2013-06-26,VLUE,51.38,51.38,51.38,51.38,37.1237383432,37.1237383432,37.1237383432,37.1237383432,0,0,0.0,1.0,tiingo_historical_seed,
2013-06-27,VLUE,51.38,51.38,51.38,51.38,37.2769218123,37.2769218123,37.2769218123,37.2769218123,0,0,0.212009,1.0,tiingo_historical_seed,
2013-06-28,VLUE,52.05,52.05,52.05,52.05,37.7630163552,37.7630163552,37.7630163552,37.7630163552,100,100,0.0,1.0,tiingo_historical_seed,
2013-07-01,VLUE,52.39,52.4,52.35,52.35,38.0096911979,38.0169463403,37.9806706282,37.9806706282,1600,1600,0.0,1.0,tiingo_historical_seed,
2013-07-02,VLUE,52.35,52.35,52.35,52.35,37.9806706282,37.9806706282,37.9806706282,37.9806706282,0,0,0.0,1.0,tiingo_historical_seed,
2013-07-03,VLUE,52.35,52.35,52.35,52.35,37.9806706282,37.9806706282,37.9806706282,37.9806706282,0,0,0.0,1.0,tiingo_historical_seed,
2013-07-05,VLUE,52.43,52.43,52.17,52.17,38.0387117676,38.0387117676,37.8500780644,37.8500780644,1500,1500,0.0,1.0,tiingo_historical_seed,
2013-07-08,VLUE,53.02,53.02,53.02,53.02,38.4667651711,38.4667651711,38.4667651711,38.4667651711,200,200,0.0,1.0,tiingo_historical_seed,
2013-07-09,VLUE,53.44,53.44,53.44,53.44,38.7714811532,38.7714811532,38.7714811532,38.7714811532,600,600,0.0,1.0,tiingo_historical_seed,
2013-07-10,VLUE,53.44,53.44,53.44,53.44,38.7714811532,38.7714811532,38.7714811532,38.7714811532,0,0,0.0,1.0,tiingo_historical_seed,
2013-07-11,VLUE,53.44,53.44,53.44,53.44,38.7714811532,38.7714811532,38.7714811532,38.7714811532,0,0,0.0,1.0,tiingo_historical_seed,
2013-07-12,VLUE,54.08,54.09,54.07,54.07,39.2358102688,39.2430654112,39.2285551264,39.2285551264,1600,1600,0.0,1.0,tiingo_historical_seed,
2013-07-15,VLUE,54.32,54.32,54.32,54.32,39.4099336872,39.4099336872,39.4099336872,39.4099336872,700,700,0.0,1.0,tiingo_historical_seed,
