date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,VNQ,45.22,45.42,44.2,44.55,23.9481347943,24.0540531259,23.4079513027,23.5933083831,2408400,2408400,0.0,1.0,tiingo_historical_seed,
2010-01-05,VNQ,44.5,44.5782,43.93,44.5,23.5668288002,23.6082428679,23.2649615549,23.5668288002,2054200,2054200,0.0,1.0,tiingo_historical_seed,
2010-01-06,VNQ,44.5201,44.84,44.3,44.42,23.5774735925,23.7468899641,23.4609104685,23.5244614675,2471200,2471200,0.0,1.0,tiingo_historical_seed,
2010-01-07,VNQ,44.46,45.096,43.95,44.9,23.5456451339,23.8824654286,23.2755533881,23.7786654636,2091700,2091700,0.0,1.0,tiingo_historical_seed,
2010-01-08,VNQ,44.81,44.85,44.18,44.57,23.7310022143,23.7521858806,23.3973594695,23.6039002163,2682000,2682000,0.0,1.0,tiingo_historical_seed,
2010-01-11,VNQ,44.87,45.06,44.58,44.83,23.7627777138,23.8634001289,23.6091961329,23.7415940475,1924800,1924800,0.0,1.0,tiingo_historical_seed,
2010-01-12,VNQ,44.43,44.77,43.86,44.08,23.5297573841,23.709818548,23.2278901388,23.3444003037,3124500,3124500,0.0,1.0,tiingo_historical_seed,
2010-01-13,VNQ,44.18,45.0751,44.13,44.97,23.3973594695,23.871396963,23.3708798866,23.8157368797,2133000,2133000,0.0,1.0,tiingo_historical_seed,
2010-01-14,VNQ,44.91,45.055,44.59,44.93,23.7839613801,23.8607521706,23.6144920495,23.7945532133,1594700,1594700,0.0,1.0,tiingo_historical_seed,
2010-01-15,VNQ,44.75,44.8519,44.3981,44.59,23.6992267148,23.7531921048,23.5128634102,23.6144920495,5577000,5577000,0.0,1.0,tiingo_historical_seed,
2010-01-19,VNQ,44.54,45.63,44.46,45.5,23.5880124665,24.1652673742,23.5456451339,24.0964204586,2454200,2454200,0.0,1.0,tiingo_historical_seed,
2010-01-20,VNQ,45.16,45.16,44.55,44.99,23.9163592948,23.9163592948,23.5933083831,23.8263287128,3339900,3339900,0.0,1.0,tiingo_historical_seed,
2010-01-21,VNQ,44.98,45.27,43.62,43.7,23.8210327962,23.9746143772,23.1007881408,23.1431554734,4233400,4233400,0.0,1.0,tiingo_historical_seed,
2010-01-22,VNQ,43.55,44.01,42.47,42.6,23.0637167247,23.3073288876,22.4917577336,22.5606046492,5039500,5039500,0.0,1.0,tiingo_historical_seed,
2010-01-25,VNQ,43.14,43.14,42.1,42.9,22.8465841447,22.8465841447,22.29580882,22.7194821467,3749000,3749000,0.0,1.0,tiingo_historical_seed,
2010-01-26,VNQ,42.47,43.1782,42.42,42.5,22.4917577336,22.8668145461,22.4652781507,22.5076454833,3352900,3352900,0.0,1.0,tiingo_historical_seed,
2010-01-27,VNQ,42.63,42.94,41.86,42.88,22.5764923989,22.740665813,22.1687068219,22.7088903135,3714400,3714400,0.0,1.0,tiingo_historical_seed,
2010-01-28,VNQ,43.21,43.23,42.1,42.51,22.8836555608,22.894247394,22.29580882,22.5129413999,3750000,3750000,0.0,1.0,tiingo_historical_seed,
2010-01-29,VNQ,42.82,43.18,41.98,42.27,22.677114814,22.8677678111,22.2322578209,22.3858394019,4096200,4096200,0.0,1.0,tiingo_historical_seed,
2010-02-01,VNQ,42.59,43.1,42.49,43.04,22.5553087326,22.8254004784,22.5023495667,22.7936249789,2839200,2839200,0.0,1.0,tiingo_historical_seed,
2010-02-02,VNQ,43.17,43.84,42.68,43.63,22.8624718945,23.2172983056,22.6029719818,23.1060840574,3270000,3270000,0.0,1.0,tiingo_historical_seed,
2010-02-03,VNQ,43.48,43.49,42.67,42.92,23.0266453086,23.0319412252,22.5976760653,22.7300739799,3079200,3079200,0.0,1.0,tiingo_historical_seed,
2010-02-04,VNQ,42.56,42.61,41.33,41.33,22.5394209828,22.5659005658,21.888023243,21.888023243,3942800,3942800,0.0,1.0,tiingo_historical_seed,
2010-02-05,VNQ,41.49,42.28,40.86,42.09,21.9727579083,22.3911353185,21.6391151635,22.2905129034,5100500,5100500,0.0,1.0,tiingo_historical_seed,
