date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-11-01,VNQI,50.3899,50.436,49.92,50.23,27.0511179612,27.075866106,26.7988586726,26.9652778671,19200,19200,0.0,1.0,tiingo_historical_seed,
2010-11-02,VNQI,50.83,50.86,50.6452,50.83,27.2873795338,27.3034846171,27.1881722204,27.2873795338,41200,41200,0.0,1.0,tiingo_historical_seed,
2010-11-03,VNQI,51.01,51.36,50.66,51.36,27.3840100338,27.5719026727,27.1961173949,27.5719026727,76500,76500,0.0,1.0,tiingo_historical_seed,
2010-11-04,VNQI,52.53,54.18,51.6,52.34,28.2000009229,29.0857805064,27.7007433394,28.0980020618,90700,90700,0.0,1.0,tiingo_historical_seed,
2010-11-05,VNQI,52.14,52.27,52.0,52.21,27.9906348395,28.060423534,27.9154777839,28.0282133673,89500,89500,0.0,1.0,tiingo_historical_seed,
2010-11-08,VNQI,52.08,52.51,51.67,51.9199,27.9584246728,28.1892642007,27.7383218672,27.8724772114,92600,92600,0.0,1.0,tiingo_historical_seed,
2010-11-09,VNQI,52.09,52.09,51.0,51.0,27.9637930339,27.9637930339,27.3786416727,27.3786416727,70100,70100,0.0,1.0,tiingo_historical_seed,
2010-11-10,VNQI,51.18,51.24,50.61,51.174,27.4752721727,27.5074823394,27.1692755893,27.4720511561,66500,66500,0.0,1.0,tiingo_historical_seed,
2010-11-11,VNQI,50.68,50.68,50.31,50.53,27.2068541171,27.2068541171,27.008224756,27.1263287004,26500,26500,0.0,1.0,tiingo_historical_seed,
2010-11-12,VNQI,50.47,50.47,49.75,49.96,27.0941185338,27.0941185338,26.7075965337,26.820332117,44200,44200,0.0,1.0,tiingo_historical_seed,
2010-11-15,VNQI,50.21,50.25,49.75,49.75,26.9545411448,26.9760145893,26.7075965337,26.7075965337,29000,29000,0.0,1.0,tiingo_historical_seed,
2010-11-16,VNQI,49.52,49.52,48.5,48.77,26.5841242281,26.5841242281,26.0365513946,26.1814971447,78400,78400,0.0,1.0,tiingo_historical_seed,
2010-11-17,VNQI,48.9,49.09,48.81,48.881,26.2512858391,26.3532847003,26.2029705891,26.241085953,37500,37500,0.0,1.0,tiingo_historical_seed,
2010-11-18,VNQI,49.56,49.72,49.45,49.64,26.6055976725,26.6914914503,26.5465457003,26.6485445614,25000,25000,0.0,1.0,tiingo_historical_seed,
2010-11-19,VNQI,49.1,49.21,48.774,49.2,26.3586530614,26.4177050336,26.1836444891,26.4123366725,20200,20200,0.0,1.0,tiingo_historical_seed,
2010-11-22,VNQI,48.8,48.989,48.254,48.81,26.197602228,26.299064253,25.9044897113,26.2029705891,32800,32800,0.0,1.0,tiingo_historical_seed,
2010-11-23,VNQI,48.03,48.03,47.4799,47.66,25.7842384224,25.7842384224,25.4889248776,25.5856090612,44600,44600,0.0,1.0,tiingo_historical_seed,
2010-11-24,VNQI,48.36,48.42,48.146,48.41,25.9613943391,25.9936045057,25.8465114113,25.9882361446,39300,39300,0.0,1.0,tiingo_historical_seed,
2010-11-26,VNQI,47.73,47.85,47.629,47.71,25.623187589,25.6876079223,25.5689671417,25.6124508668,14400,14400,0.0,1.0,tiingo_historical_seed,
2010-11-29,VNQI,47.62,47.83,47.2834,47.81,25.5641356167,25.6768712001,25.3834365817,25.6661344779,40400,40400,0.0,1.0,tiingo_historical_seed,
2010-11-30,VNQI,47.27,47.702,47.17,47.46,25.3762429778,25.6081561779,25.3225593667,25.478241839,18200,18200,0.0,1.0,tiingo_historical_seed,
2010-12-01,VNQI,48.53,48.74,48.28,48.67,26.052656478,26.1653920613,25.9184474502,26.1278135335,19100,19100,0.0,1.0,tiingo_historical_seed,
2010-12-02,VNQI,48.73,49.46,48.73,49.45,26.1600237002,26.5519140614,26.1600237002,26.5465457003,25900,25900,0.0,1.0,tiingo_historical_seed,
2010-12-03,VNQI,49.24,49.659,49.1531,49.61,26.4338101169,26.6587444475,26.3871590589,26.6324394781,10700,10700,0.0,1.0,tiingo_historical_seed,
2010-12-06,VNQI,49.26,49.5,49.15,49.4799,26.4445468392,26.5733875059,26.3854948669,26.5625971,29900,29900,0.0,1.0,tiingo_historical_seed,
2010-12-07,VNQI,49.99,49.99,49.28,49.28,26.8364372004,26.8364372004,26.4552835614,26.4552835614,35000,35000,0.0,1.0,tiingo_historical_seed,
2010-12-08,VNQI,49.29,49.41,48.97,49.25,26.4606519225,26.5250722558,26.2888643669,26.4391784781,20600,20600,0.0,1.0,tiingo_historical_seed,
2010-12-09,VNQI,49.39,49.39,49.01,49.216,26.5143355336,26.5143355336,26.3103378114,26.4209260503,16400,16400,0.0,1.0,tiingo_historical_seed,
2010-12-10,VNQI,49.26,49.42,49.115,49.42,26.4445468392,26.530440617,26.366705603,26.530440617,44700,44700,0.0,1.0,tiingo_historical_seed,
2010-12-13,VNQI,49.71,49.97,49.54,49.66,26.6861230892,26.8257004781,26.5948609503,26.6592812837,74600,74600,0.0,1.0,tiingo_historical_seed,
2010-12-14,VNQI,50.39,50.52,49.82,49.9,27.0511716449,27.1209603393,26.7451750615,26.7881219504,30300,30300,0.0,1.0,tiingo_historical_seed,
2010-12-15,VNQI,49.79,49.86,49.25,49.33,26.7290699781,26.7666485059,26.4391784781,26.4821253669,27300,27300,0.0,1.0,tiingo_historical_seed,
2010-12-16,VNQI,49.46,49.46,49.075,49.42,26.5519140614,26.5519140614,26.3452321586,26.530440617,15100,15100,0.0,1.0,tiingo_historical_seed,
2010-12-17,VNQI,49.32,49.32,48.968,49.03,26.4767570058,26.4767570058,26.2877906947,26.3210745336,10300,10300,0.0,1.0,tiingo_historical_seed,
2010-12-20,VNQI,49.42,49.42,48.98,49.2,26.530440617,26.530440617,26.294232728,26.4123366725,134400,134400,0.0,1.0,tiingo_historical_seed,
2010-12-21,VNQI,49.82,49.82,49.53,49.62,26.7451750615,26.7451750615,26.5894925892,26.6378078392,16000,16000,0.0,1.0,tiingo_historical_seed,
2010-12-22,VNQI,49.58,49.62,49.5,49.62,26.8561066937,26.8777735809,26.8127729193,26.8777735809,11000,11000,0.447,1.0,tiingo_historical_seed,
2010-12-23,VNQI,50.17,50.17,49.54,49.69,27.17569328,27.17569328,26.8344398065,26.9156906335,270200,270200,0.0,1.0,tiingo_historical_seed,
2010-12-27,VNQI,49.69,49.7999,49.47,49.79,26.9156906335,26.9752204061,26.7965227539,26.9698578516,40200,40200,0.0,1.0,tiingo_historical_seed,
2010-12-28,VNQI,49.94,49.94,49.6399,49.7,27.0511086786,27.0511086786,26.8885528573,26.9211073553,22500,22500,0.0,1.0,tiingo_historical_seed,
2010-12-29,VNQI,50.36,50.36,50.1,50.2399,27.2786109943,27.2786109943,27.1377762274,27.2135561654,30200,30200,0.0,1.0,tiingo_historical_seed,
2010-12-30,VNQI,50.26,50.28,50.1,50.28,27.2244437762,27.2352772198,27.1377762274,27.2352772198,20400,20400,0.0,1.0,tiingo_historical_seed,
2010-12-31,VNQI,50.28,50.61,50.18,50.6,27.2352772198,27.4140290393,27.1811100018,27.4086123175,14900,14900,0.0,1.0,tiingo_historical_seed,
2011-01-03,VNQI,51.23,51.23,50.76,50.91,27.749865791,27.749865791,27.4952798663,27.5765306934,73100,73100,0.0,1.0,tiingo_historical_seed,
2011-01-04,VNQI,51.36,51.36,50.75,51.08,27.8202831745,27.8202831745,27.4898631445,27.668614964,37200,37200,0.0,1.0,tiingo_historical_seed,
2011-01-05,VNQI,51.04,51.34,51.0,51.3,27.6469480768,27.8094497308,27.6252811896,27.7877828436,24200,24200,0.0,1.0,tiingo_historical_seed,
2011-01-06,VNQI,51.27,51.27,50.58,50.76,27.7715326782,27.7715326782,27.3977788739,27.4952798663,25300,25300,0.0,1.0,tiingo_historical_seed,
2011-01-07,VNQI,51.05,51.05,50.2501,50.59,27.6523647986,27.6523647986,27.2190812217,27.4031955957,24300,24300,0.0,1.0,tiingo_historical_seed,
2011-01-10,VNQI,50.44,50.44,50.0,50.38,27.3219447687,27.3219447687,27.0836090094,27.2894444379,33900,33900,0.0,1.0,tiingo_historical_seed,
2011-01-11,VNQI,50.77,50.77,50.46,50.56,27.5006965881,27.5006965881,27.3327782123,27.3869454303,25200,25200,0.0,1.0,tiingo_historical_seed,
2011-01-12,VNQI,51.29,51.37,51.0,51.34,27.7823661218,27.8256998963,27.6252811896,27.8094497308,26200,26200,0.0,1.0,tiingo_historical_seed,
2011-01-13,VNQI,52.04,52.04,51.28,51.35,28.188620257,28.188620257,27.7769494,27.8148664527,23300,23300,0.0,1.0,tiingo_historical_seed,
2011-01-14,VNQI,51.25,51.5,51.14,51.45,27.7606992346,27.8961172797,27.7011152948,27.8690336707,25000,25000,0.0,1.0,tiingo_historical_seed,
2011-01-18,VNQI,51.68,51.68,51.242,51.42,27.9936182721,27.9936182721,27.7563658572,27.8527835053,40800,40800,0.0,1.0,tiingo_historical_seed,
2011-01-19,VNQI,51.82,51.82,51.0207,51.2,28.0694523773,28.0694523773,27.6364938037,27.7336156256,56000,56000,0.0,1.0,tiingo_historical_seed,
2011-01-20,VNQI,51.0,51.0,50.34,50.65,27.6252811896,27.6252811896,27.2677775507,27.4356959265,20700,20700,0.0,1.0,tiingo_historical_seed,
2011-01-21,VNQI,51.04,51.04,50.5,50.59,27.6469480768,27.6469480768,27.3544450995,27.4031955957,16400,16400,0.0,1.0,tiingo_historical_seed,
2011-01-24,VNQI,50.76,51.009,50.5,50.92,27.4952798663,27.6301562392,27.3544450995,27.5819474152,36400,36400,0.0,1.0,tiingo_historical_seed,
