date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,VTI,56.86,57.3799,56.84,57.31,42.7467054876,43.1375604328,42.7316697136,43.0850104027,2251500,2251500,0.0,1.0,tiingo_historical_seed,
2010-01-05,VTI,57.34,57.54,57.11,57.53,43.1075640637,43.2579218037,42.9346526627,43.2504039167,1597700,1597700,0.0,1.0,tiingo_historical_seed,
2010-01-06,VTI,57.5,57.715,57.41,57.61,43.2278502557,43.3894848262,43.1601892727,43.3105470127,2120300,2120300,0.0,1.0,tiingo_historical_seed,
2010-01-07,VTI,57.55,57.889,57.29,57.85,43.2654396907,43.52029606,43.0699746287,43.4909763007,1656700,1656700,0.0,1.0,tiingo_historical_seed,
2010-01-08,VTI,57.7,58.0461,57.56,58.04,43.3782079957,43.6384020648,43.2729575777,43.6338161538,1650000,1650000,0.0,1.0,tiingo_historical_seed,
2010-01-11,VTI,58.3,58.35,57.85,58.12,43.8292812158,43.8668706508,43.4909763007,43.6939592498,1883100,1883100,0.0,1.0,tiingo_historical_seed,
2010-01-12,VTI,57.75,57.82,57.3,57.52,43.4157974307,43.4684226397,43.0774925157,43.2428860297,1730100,1730100,0.0,1.0,tiingo_historical_seed,
2010-01-13,VTI,57.71,58.18,57.36,58.06,43.3857258827,43.7390665718,43.1225998377,43.6488519278,1825200,1825200,0.0,1.0,tiingo_historical_seed,
2010-01-14,VTI,58.02,58.275,57.94,58.16,43.6187803798,43.8104864983,43.5586372837,43.7240307978,1667100,1667100,0.0,1.0,tiingo_historical_seed,
2010-01-15,VTI,58.1,58.15,57.3016,57.5,43.6789234758,43.7165129108,43.0786953776,43.2278502557,2785900,2785900,0.0,1.0,tiingo_historical_seed,
2010-01-19,VTI,57.55,58.29,57.52,58.26,43.2654396907,43.8217633288,43.2428860297,43.7992096678,2546700,2546700,0.0,1.0,tiingo_historical_seed,
2010-01-20,VTI,57.9,57.9,57.21,57.72,43.5285657357,43.5285657357,43.0098315327,43.3932437697,2755100,2755100,0.0,1.0,tiingo_historical_seed,
2010-01-21,VTI,57.72,57.91,56.57,56.66,43.3932437697,43.5360836227,42.5286867646,42.5963477476,4350700,4350700,0.0,1.0,tiingo_historical_seed,
2010-01-22,VTI,56.4,56.6,55.31,55.41,42.4008826856,42.5512404256,41.5814330025,41.6566118725,4423000,4423000,0.0,1.0,tiingo_historical_seed,
2010-01-25,VTI,55.88,55.965,55.4601,55.65,42.0099525615,42.073854601,41.6942764864,41.8370411605,2781100,2781100,0.0,1.0,tiingo_historical_seed,
2010-01-26,VTI,55.45,55.9899,55.2701,55.4,41.6866834205,42.0925741397,41.5514366333,41.6490939855,1704300,1704300,0.0,1.0,tiingo_historical_seed,
2010-01-27,VTI,55.3,55.75,54.87,55.67,41.5739151155,41.9122200305,41.2506459744,41.8520769345,2077900,2077900,0.0,1.0,tiingo_historical_seed,
2010-01-28,VTI,55.89,55.89,54.65,55.01,42.0174704485,42.0174704485,41.0852524604,41.3558963925,2235100,2235100,0.0,1.0,tiingo_historical_seed,
2010-01-29,VTI,55.24,55.65,54.28,54.36,41.5288077935,41.8370411605,40.8070906414,40.8672337374,2421800,2421800,0.0,1.0,tiingo_historical_seed,
2010-02-01,VTI,54.72,55.238,54.7,55.19,41.1378776694,41.5273042161,41.1228418954,41.4912183585,2132800,2132800,0.0,1.0,tiingo_historical_seed,
2010-02-02,VTI,55.34,56.03,55.13,55.9,41.6039866635,42.1227208666,41.4461110365,42.0249883355,2565500,2565500,0.0,1.0,tiingo_historical_seed,
2010-02-03,VTI,55.67,55.92,55.43,55.62,41.8520769345,42.0400241095,41.6716476465,41.8144874995,1352600,1352600,0.0,1.0,tiingo_historical_seed,
2010-02-04,VTI,55.17,55.18,53.86,53.89,41.4761825845,41.4837004715,40.4913393873,40.5138930483,3029700,3029700,0.0,1.0,tiingo_historical_seed,
2010-02-05,VTI,53.88,54.07,52.82,53.98,40.5063751613,40.6492150144,39.7094791392,40.5815540314,5416200,5416200,0.0,1.0,tiingo_historical_seed,
2010-02-08,VTI,54.02,54.3,53.54,53.56,40.6116255794,40.8221264154,40.2507670033,40.2658027773,1494300,1494300,0.0,1.0,tiingo_historical_seed,
2010-02-09,VTI,54.16,54.7,53.75,54.27,40.7168759974,41.1228418954,40.4086426303,40.7995727544,2191500,2191500,0.0,1.0,tiingo_historical_seed,
2010-02-10,VTI,54.2,54.46,53.696,54.19,40.7469475454,40.9424126074,40.3680460405,40.7394296584,1340800,1340800,0.0,1.0,tiingo_historical_seed,
2010-02-11,VTI,54.07,54.8399,53.7626,54.77,40.6492150144,41.2280171346,40.4181151679,41.1754671044,1302300,1302300,0.0,1.0,tiingo_historical_seed,
2010-02-12,VTI,54.22,54.81,54.0,54.77,40.7619833194,41.2055386524,40.5965898054,41.1754671044,2189100,2189100,0.0,1.0,tiingo_historical_seed,
2010-02-16,VTI,55.24,55.7687,55.04,55.69,41.5288077935,41.9262784792,41.3784500535,41.8671127085,1186500,1186500,0.0,1.0,tiingo_historical_seed,
2010-02-17,VTI,55.99,56.08,55.7399,56.0,42.0926493186,42.1603103016,41.9046269647,42.1001672056,1936000,1936000,0.0,1.0,tiingo_historical_seed,
2010-02-18,VTI,55.94,56.435,55.87,56.32,42.0550598835,42.4271952901,42.0024346745,42.3407395896,1537400,1537400,0.0,1.0,tiingo_historical_seed,
2010-02-19,VTI,56.15,56.67,56.065,56.52,42.2129355106,42.6038656346,42.1490334711,42.4910973296,1863000,1863000,0.0,1.0,tiingo_historical_seed,
2010-02-22,VTI,56.71,56.72,56.32,56.43,42.6339371826,42.6414550696,42.3407395896,42.4234363466,3049500,3049500,0.0,1.0,tiingo_historical_seed,
2010-02-23,VTI,56.31,56.48,55.61,55.75,42.3332217026,42.4610257816,41.8069696125,41.9122200305,2144700,2144700,0.0,1.0,tiingo_historical_seed,
2010-02-24,VTI,55.93,56.34,55.79,56.25,42.0475419965,42.3557753636,41.9422915785,42.2881143806,1689100,1689100,0.0,1.0,tiingo_historical_seed,
2010-02-25,VTI,55.46,56.24,55.29,56.23,41.6942013075,42.2805964936,41.5663972285,42.2730786066,2956100,2956100,0.0,1.0,tiingo_historical_seed,
2010-02-26,VTI,56.22,56.41,55.91,56.23,42.2655607196,42.4084005726,42.0325062225,42.2730786066,1272600,1272600,0.0,1.0,tiingo_historical_seed,
