date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,XLB,33.58,34.02,33.45,34.02,11.8135560482,11.9683495164,11.7678216144,11.9683495164,15135000,7567500,0.0,1.0,tiingo_historical_seed,
2010-01-05,XLB,34.08,34.18,33.81,34.13,11.9894577166,12.0246380503,11.8944708157,12.0070478834,17678400,8839200,0.0,1.0,tiingo_historical_seed,
2010-01-06,XLB,34.14,34.83,34.08,34.71,12.0105659168,12.2533102191,11.9894577166,12.2110938187,16184000,8092000,0.0,1.0,tiingo_historical_seed,
2010-01-07,XLB,34.54,34.58,34.16,34.44,12.1512872515,12.165359385,12.0176019835,12.1161069178,11514600,5757300,0.0,1.0,tiingo_historical_seed,
2010-01-08,XLB,34.36,34.92,34.28,34.92,12.0879626509,12.2849725195,12.0598183839,12.2849725195,9284800,4642400,0.0,1.0,tiingo_historical_seed,
2010-01-11,XLB,35.36,35.38,34.575,34.73,12.4397659876,12.4468020544,12.1636003683,12.2181298855,18217000,9108500,0.0,1.0,tiingo_historical_seed,
2010-01-12,XLB,34.23,34.41,33.73,34.07,12.0422282171,12.1055528177,11.8663265487,11.9859396832,26324000,13162000,0.0,1.0,tiingo_historical_seed,
2010-01-13,XLB,34.16,34.5,33.75,34.47,12.0176019835,12.137215118,11.8733626155,12.1266610179,23886200,11943100,0.0,1.0,tiingo_historical_seed,
2010-01-14,XLB,34.45,34.52,34.0,34.05,12.1196249512,12.1442511848,11.9613134496,11.9789036165,19231000,9615500,0.0,1.0,tiingo_historical_seed,
2010-01-15,XLB,34.01,34.14,33.63,33.8,11.964831483,12.0105659168,11.831146215,11.8909527823,15210600,7605300,0.0,1.0,tiingo_historical_seed,
2010-01-19,XLB,33.85,34.35,33.7,34.34,11.9085429491,12.0844446175,11.8557724486,12.0809265841,13603400,6801700,0.0,1.0,tiingo_historical_seed,
2010-01-20,XLB,33.9,34.0,33.42,33.73,11.926133116,11.9613134496,11.7572675143,11.8663265487,23007600,11503800,0.0,1.0,tiingo_historical_seed,
2010-01-21,XLB,33.77,33.77,32.26,32.27,11.8803986822,11.8803986822,11.3491756437,11.3526936771,39632400,19816200,0.0,1.0,tiingo_historical_seed,
2010-01-22,XLB,32.18,32.57,31.55,31.63,11.3210313767,11.4582346781,11.0993952746,11.1275395415,40093800,20046900,0.0,1.0,tiingo_historical_seed,
2010-01-25,XLB,31.9601,32.24,31.795,31.91,11.243669823,11.342139577,11.1855870921,11.2260444758,20610200,10305100,0.0,1.0,tiingo_historical_seed,
2010-01-26,XLB,31.56,31.99,31.36,31.46,11.102913308,11.2541887428,11.0325526406,11.0677329743,33567800,16783900,0.0,1.0,tiingo_historical_seed,
2010-01-27,XLB,31.31,31.54,30.65,31.19,11.0149624738,11.0958772412,10.7827722715,10.9727460734,39417600,19708800,0.0,1.0,tiingo_historical_seed,
2010-01-28,XLB,31.39,31.48,30.48,30.63,11.0431067407,11.074769041,10.7229657043,10.7757362048,32740800,16370400,0.0,1.0,tiingo_historical_seed,
2010-01-29,XLB,30.87,31.315,30.12,30.14,10.8601690056,11.0167214905,10.596316503,10.6033525698,32241400,16120700,0.0,1.0,tiingo_historical_seed,
2010-02-01,XLB,30.46,31.34,30.46,31.34,10.7159296375,11.0255165739,10.7159296375,11.0255165739,34546000,17273000,0.0,1.0,tiingo_historical_seed,
2010-02-02,XLB,31.48,31.6,31.02,31.44,11.074769041,11.1169854414,10.9129395061,11.0606969076,32079400,16039700,0.0,1.0,tiingo_historical_seed,
2010-02-03,XLB,31.32,31.62,30.98,31.08,11.0184805071,11.1240215082,10.8988673726,10.9340477063,36213600,18106800,0.0,1.0,tiingo_historical_seed,
2010-02-04,XLB,30.66,30.75,29.9,29.92,10.7862903049,10.8179526052,10.518919769,10.5259558357,45618000,22809000,0.0,1.0,tiingo_historical_seed,
2010-02-05,XLB,30.01,30.49,29.48,30.48,10.557618136,10.7264837376,10.3711623675,10.7229657043,64498000,32249000,0.0,1.0,tiingo_historical_seed,
2010-02-08,XLB,30.54,30.72,29.96,29.99,10.7440739045,10.8073985051,10.5400279692,10.5505820693,40944600,20472300,0.0,1.0,tiingo_historical_seed,
2010-02-09,XLB,30.45,31.04,30.25,30.72,10.7124116042,10.9199755728,10.6420509368,10.8073985051,57488000,28744000,0.0,1.0,tiingo_historical_seed,
2010-02-10,XLB,30.76,30.82,30.13,30.51,10.8214706386,10.8425788388,10.5998345364,10.7335198044,43105200,21552600,0.0,1.0,tiingo_historical_seed,
2010-02-11,XLB,30.49,31.07,30.34,31.03,10.7264837376,10.930529673,10.6737132371,10.9164575395,38944200,19472100,0.0,1.0,tiingo_historical_seed,
2010-02-12,XLB,30.48,31.14,30.34,30.97,10.7229657043,10.9551559065,10.6737132371,10.8953493393,39246600,19623300,0.0,1.0,tiingo_historical_seed,
2010-02-16,XLB,31.36,31.8025,31.34,31.75,11.0325526406,11.1882256171,11.0255165739,11.1697559419,21028400,10514200,0.0,1.0,tiingo_historical_seed,
2010-02-17,XLB,31.95,32.09,31.55,31.77,11.2401166093,11.2893690764,11.0993952746,11.1767920087,58790800,29395400,0.0,1.0,tiingo_historical_seed,
2010-02-18,XLB,31.63,32.22,31.6,32.11,11.1275395415,11.3351035102,11.1169854414,11.2964051432,39257200,19628600,0.0,1.0,tiingo_historical_seed,
2010-02-19,XLB,31.87,32.46,31.85,32.29,11.2119723424,11.419536311,11.2049362756,11.3597297438,30427000,15213500,0.0,1.0,tiingo_historical_seed,
2010-02-22,XLB,32.41,32.58,32.03,32.15,11.4019461442,11.4617527115,11.2682608762,11.3104772766,22993800,11496900,0.0,1.0,tiingo_historical_seed,
2010-02-23,XLB,32.05,32.22,31.45,31.64,11.275296943,11.3351035102,11.0642149409,11.1310575749,40160400,20080200,0.0,1.0,tiingo_historical_seed,
2010-02-24,XLB,31.69,31.955,31.39,31.56,11.1486477417,11.241875626,11.0431067407,11.102913308,31930800,15965400,0.0,1.0,tiingo_historical_seed,
2010-02-25,XLB,31.09,31.54,30.79,31.49,10.9375657397,11.0958772412,10.8320247387,11.0782870744,40918000,20459000,0.0,1.0,tiingo_historical_seed,
2010-02-26,XLB,31.65,31.65,31.21,31.5,11.1345756083,11.1345756083,10.9797821401,11.0818051078,30666800,15333400,0.0,1.0,tiingo_historical_seed,
2010-03-01,XLB,31.67,32.01,31.5,31.98,11.141611675,11.2612248095,11.0818051078,11.2506707094,39502800,19751400,0.0,1.0,tiingo_historical_seed,
2010-03-02,XLB,32.23,32.51,32.16,32.25,11.3386215436,11.4371264779,11.31399531,11.3456576103,38859000,19429500,0.0,1.0,tiingo_historical_seed,
2010-03-03,XLB,32.45,33.01,32.41,32.53,11.4160182777,11.6130281463,11.4019461442,11.4441625446,28216400,14108200,0.0,1.0,tiingo_historical_seed,
2010-03-04,XLB,32.63,32.87,32.49,32.75,11.4793428783,11.5637756791,11.4300904111,11.5215592787,26748000,13374000,0.0,1.0,tiingo_historical_seed,
2010-03-05,XLB,33.05,33.3833,32.93,33.17,11.6271002797,11.7443563319,11.5848838793,11.6693166801,23340600,11670300,0.0,1.0,tiingo_historical_seed,
2010-03-08,XLB,33.3,33.41,32.99,33.17,11.7150511139,11.753749481,11.6059920795,11.6693166801,28925800,14462900,0.0,1.0,tiingo_historical_seed,
2010-03-09,XLB,32.97,33.29,32.84,32.96,11.5989560128,11.7115330805,11.553221579,11.5954379794,30916800,15458400,0.0,1.0,tiingo_historical_seed,
2010-03-10,XLB,32.97,33.25,32.7301,32.97,11.5989560128,11.6974609471,11.5145583923,11.5989560128,41650200,20825100,0.0,1.0,tiingo_historical_seed,
2010-03-11,XLB,32.85,33.16,32.58,33.16,11.5567396124,11.6657986468,11.4617527115,11.6657986468,29034600,14517300,0.0,1.0,tiingo_historical_seed,
2010-03-12,XLB,33.33,33.53,33.22,33.29,11.725605214,11.7959658814,11.686906847,11.7115330805,23063600,11531800,0.0,1.0,tiingo_historical_seed,
2010-03-15,XLB,33.27,33.32,33.0,33.28,11.7044970138,11.7220871806,11.6095101129,11.7080150472,18990800,9495400,0.0,1.0,tiingo_historical_seed,
2010-03-16,XLB,33.39,33.77,33.38,33.77,11.7467134142,11.8803986822,11.7431953809,11.8803986822,27171600,13585800,0.0,1.0,tiingo_historical_seed,
2010-03-17,XLB,33.88,34.19,33.85,33.96,11.9190970492,12.0281560836,11.9085429491,11.9472413162,17654600,8827300,0.0,1.0,tiingo_historical_seed,
2010-03-18,XLB,33.97,34.19,33.67,33.72,11.9507593495,12.0281560836,11.8452183485,11.8628085154,24248200,12124100,0.0,1.0,tiingo_historical_seed,
2010-03-19,XLB,33.7,33.92,33.24,33.28,11.8817568249,11.9593231899,11.7195726071,11.7336755826,21252800,10626400,0.07294,1.0,tiingo_historical_seed,
2010-03-22,XLB,33.01,33.805,32.85,33.77,11.6384804982,11.9187771355,11.5820685964,11.9064370319,22534400,11267200,0.0,1.0,tiingo_historical_seed,
2010-03-23,XLB,33.8,34.21,33.61,34.21,11.9170142635,12.061569762,11.8500251301,12.061569762,29462600,14731300,0.0,1.0,tiingo_historical_seed,
2010-03-24,XLB,33.99,34.33,33.89,34.11,11.984003397,12.1038786884,11.9487459583,12.0263123234,16904800,8452400,0.0,1.0,tiingo_historical_seed,
