date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,XLE,57.92,58.81,57.79,58.81,16.8691965798,17.1284090272,16.8313340875,17.1284090272,33856800,16928400,0.0,1.0,tiingo_historical_seed,
2010-01-05,XLE,58.89,59.41,58.62,59.29,17.1517090225,17.3031589918,17.0730715385,17.2682089989,34736200,17368100,0.0,1.0,tiingo_historical_seed,
2010-01-06,XLE,59.32,60.18,59.1899,60.0,17.2769464971,17.5274214463,17.2390548798,17.474996457,48703800,24351900,0.0,1.0,tiingo_historical_seed,
2010-01-07,XLE,59.74,60.01,59.3,59.91,17.3992714723,17.4779089564,17.2711214983,17.4487839623,34899000,17449500,0.0,1.0,tiingo_historical_seed,
2010-01-08,XLE,59.7,60.35,59.49,60.3,17.3876214747,17.5769339363,17.3264589871,17.5623714393,26688600,13344300,0.0,1.0,tiingo_historical_seed,
2010-01-11,XLE,60.69,60.87,59.73,60.22,17.6759589162,17.7283839056,17.3963589729,17.539071444,38919800,19459900,0.0,1.0,tiingo_historical_seed,
2010-01-12,XLE,59.3,59.7099,59.04,59.35,17.2711214983,17.3905048491,17.1953965137,17.2856839954,43021200,21510600,0.0,1.0,tiingo_historical_seed,
2010-01-13,XLE,59.32,59.8,58.52,59.57,17.2769464971,17.4167464688,17.0439465444,17.3497589824,44275000,22137500,0.0,1.0,tiingo_historical_seed,
2010-01-14,XLE,59.56,59.89,59.33,59.74,17.346846483,17.4429589635,17.2798589965,17.3992714723,31090800,15545400,0.0,1.0,tiingo_historical_seed,
2010-01-15,XLE,59.67,59.8,58.85,59.26,17.3788839765,17.4167464688,17.1400590249,17.2594715007,38110400,19055200,0.0,1.0,tiingo_historical_seed,
2010-01-19,XLE,59.1,59.9,58.99,59.8,17.2128715101,17.4458714629,17.1808340166,17.4167464688,29226200,14613100,0.0,1.0,tiingo_historical_seed,
2010-01-20,XLE,59.16,59.16,58.42,58.87,17.2303465066,17.2303465066,17.0148215503,17.1458840237,31283400,15641700,0.0,1.0,tiingo_historical_seed,
2010-01-21,XLE,58.92,59.1,57.53,57.67,17.1604465208,17.2128715101,16.7556091028,16.7963840946,50413200,25206600,0.0,1.0,tiingo_historical_seed,
2010-01-22,XLE,57.39,57.72,56.14,56.3,16.7148341111,16.8109465916,16.3507716849,16.3973716755,46057200,23028600,0.0,1.0,tiingo_historical_seed,
2010-01-25,XLE,56.68,57.22,56.49,56.67,16.508046653,16.6653216211,16.4527091642,16.5051341536,31802400,15901200,0.0,1.0,tiingo_historical_seed,
2010-01-26,XLE,56.2,57.3,55.92,56.31,16.3682466814,16.6886216164,16.2866966979,16.4002841749,43030600,21515300,0.0,1.0,tiingo_historical_seed,
2010-01-27,XLE,56.15,56.65,55.18,56.09,16.3536841843,16.4993091548,16.0711717416,16.3362091879,53233400,26616700,0.0,1.0,tiingo_historical_seed,
2010-01-28,XLE,56.5,56.62,54.8,55.5,16.4556216637,16.4905716566,15.960496764,16.1643717227,68861400,34430700,0.0,1.0,tiingo_historical_seed,
2010-01-29,XLE,55.91,56.46,54.22,54.5,16.2837841985,16.443971666,15.7915717983,15.8731217818,65605400,32802700,0.0,1.0,tiingo_historical_seed,
2010-02-01,XLE,55.15,56.31,55.11,56.3,16.0624342434,16.4002841749,16.0507842457,16.3973716755,43626600,21813300,0.0,1.0,tiingo_historical_seed,
2010-02-02,XLE,56.51,57.14,56.05,57.04,16.4585341631,16.6420216259,16.3245591902,16.6128966318,44501600,22250800,0.0,1.0,tiingo_historical_seed,
2010-02-03,XLE,56.88,57.351,56.42,56.55,16.5662966412,16.7034753634,16.4323216684,16.4701841607,39498600,19749300,0.0,1.0,tiingo_historical_seed,
2010-02-04,XLE,56.1,56.115,54.2,54.23,16.3391216873,16.3434904364,15.7857467995,15.7944842977,74346400,37173200,0.0,1.0,tiingo_historical_seed,
2010-02-05,XLE,54.22,54.48,52.67,54.24,15.7915717983,15.8672967829,15.3401343898,15.7973967971,92756800,46378400,0.0,1.0,tiingo_historical_seed,
2010-02-08,XLE,54.25,54.89,53.73,53.74,15.8003092965,15.9867092587,15.6488593272,15.6517718266,48230200,24115100,0.0,1.0,tiingo_historical_seed,
2010-02-09,XLE,54.48,55.56,54.31,54.87,15.8672967829,16.1818467192,15.817784293,15.9808842599,67116200,33558100,0.0,1.0,tiingo_historical_seed,
2010-02-10,XLE,54.89,54.979,53.78,54.64,15.9867092587,16.0126305035,15.6634218243,15.9138967735,48364600,24182300,0.0,1.0,tiingo_historical_seed,
2010-02-11,XLE,54.53,55.685,54.29,55.57,15.88185928,16.2182529618,15.8119592942,16.1847592186,45889000,22944500,0.0,1.0,tiingo_historical_seed,
2010-02-12,XLE,54.9,55.62,54.54,55.59,15.9896217581,16.1993217156,15.8847717794,16.1905842174,39667800,19833900,0.0,1.0,tiingo_historical_seed,
2010-02-16,XLE,56.3,57.1,56.2399,56.9,16.3973716755,16.6303716282,16.379867554,16.57212164,39669800,19834900,0.0,1.0,tiingo_historical_seed,
2010-02-17,XLE,57.06,57.18,56.44,56.82,16.6187216306,16.6536716235,16.4381466672,16.5488216448,36275600,18137800,0.0,1.0,tiingo_historical_seed,
2010-02-18,XLE,56.76,57.28,56.48,57.14,16.5313466483,16.6827966176,16.4497966648,16.6420216259,33145400,16572700,0.0,1.0,tiingo_historical_seed,
2010-02-19,XLE,56.93,57.565,56.66,57.36,16.5808591383,16.7658028508,16.5022216542,16.7060966129,32996600,16498300,0.0,1.0,tiingo_historical_seed,
2010-02-22,XLE,57.5,57.51,56.45,56.57,16.7468716046,16.749784104,16.4410591666,16.4760091595,34699400,17349700,0.0,1.0,tiingo_historical_seed,
2010-02-23,XLE,56.3,56.44,55.37,55.63,16.3973716755,16.4381466672,16.1265092304,16.202234215,42202400,21101200,0.0,1.0,tiingo_historical_seed,
2010-02-24,XLE,55.61,56.19,55.44,55.98,16.1964092162,16.365334182,16.1468967262,16.3041716944,35260600,17630300,0.0,1.0,tiingo_historical_seed,
2010-02-25,XLE,55.18,56.04,54.72,56.01,16.0711717416,16.3216466908,15.9371967688,16.3129091926,41896200,20948100,0.0,1.0,tiingo_historical_seed,
2010-02-26,XLE,56.14,56.34,55.65,56.14,16.3507716849,16.4090216731,16.2080592138,16.3507716849,34493600,17246800,0.0,1.0,tiingo_historical_seed,
2010-03-01,XLE,56.4,56.8,56.35,56.66,16.4264966696,16.5429966459,16.4119341725,16.5022216542,27932000,13966000,0.0,1.0,tiingo_historical_seed,
2010-03-02,XLE,57.03,57.56,56.91,57.13,16.6099841324,16.7643466011,16.5750341394,16.6391091265,33492600,16746300,0.0,1.0,tiingo_historical_seed,
2010-03-03,XLE,57.35,57.88,57.35,57.38,16.7031841135,16.8575465822,16.7031841135,16.7119216117,33534600,16767300,0.0,1.0,tiingo_historical_seed,
2010-03-04,XLE,57.47,57.65,56.84,57.08,16.7381341064,16.7905590957,16.5546466436,16.6245466294,32662000,16331000,0.0,1.0,tiingo_historical_seed,
2010-03-05,XLE,57.64,58.28,57.58,58.15,16.7876465963,16.9740465585,16.7701715999,16.9361840662,30670400,15335200,0.0,1.0,tiingo_historical_seed,
2010-03-08,XLE,58.31,58.51,57.815,58.06,16.9827840568,17.041034045,16.838615336,16.9099715715,25224000,12612000,0.0,1.0,tiingo_historical_seed,
2010-03-09,XLE,57.75,58.38,57.67,58.06,16.8196840898,17.0031715526,16.7963840946,16.9099715715,33407600,16703800,0.0,1.0,tiingo_historical_seed,
2010-03-10,XLE,58.12,58.65,57.85,58.57,16.927446568,17.0818090367,16.8488090839,17.0585090414,34744400,17372200,0.0,1.0,tiingo_historical_seed,
2010-03-11,XLE,58.35,58.58,58.17,58.47,16.9944340544,17.0614215408,16.942009065,17.0293840473,26066600,13033300,0.0,1.0,tiingo_historical_seed,
2010-03-12,XLE,58.85,58.85,58.25,58.5,17.1400590249,17.1400590249,16.9653090603,17.0381215456,27319600,13659800,0.0,1.0,tiingo_historical_seed,
2010-03-15,XLE,58.28,58.36,57.29,57.9,16.9740465585,16.9973465538,16.685709117,16.863371581,36747200,18373600,0.0,1.0,tiingo_historical_seed,
2010-03-16,XLE,58.19,58.48,57.73,58.42,16.9478340639,17.0322965467,16.813859091,17.0148215503,38322600,19161300,0.0,1.0,tiingo_historical_seed,
2010-03-17,XLE,58.71,59.42,58.63,59.06,17.0992840332,17.3060714912,17.0759840379,17.2012215125,43343600,21671800,0.0,1.0,tiingo_historical_seed,
2010-03-18,XLE,59.06,59.15,57.86,58.18,17.2012215125,17.2274340072,16.8517215833,16.9449215645,39453800,19726900,0.0,1.0,tiingo_historical_seed,
2010-03-19,XLE,58.09,58.25,56.7575,57.28,16.978745676,17.0255110282,16.5892779774,16.7419960806,44824800,22412400,0.20326,1.0,tiingo_historical_seed,
2010-03-22,XLE,56.56,57.39,56.33,57.13,16.5315519958,16.7741472602,16.464326802,16.6981535629,39713000,19856500,0.0,1.0,tiingo_historical_seed,
2010-03-23,XLE,57.26,57.44,56.89,57.35,16.7361504116,16.7887614328,16.6280055347,16.7624559222,34841400,17420700,0.0,1.0,tiingo_historical_seed,
2010-03-24,XLE,56.97,57.52,56.84,57.02,16.6513882107,16.8121441089,16.6133913621,16.6660023833,41494000,20747000,0.0,1.0,tiingo_historical_seed,
2010-03-25,XLE,57.43,57.57,55.97,56.06,16.7858385983,16.8267582814,16.3591047596,16.3854102702,44246000,22123000,0.0,1.0,tiingo_historical_seed,
2010-03-26,XLE,56.25,56.44,55.72,56.08,16.4409441259,16.4964779816,16.2860338968,16.3912559392,42987800,21493900,0.0,1.0,tiingo_historical_seed,
2010-03-29,XLE,56.44,57.28,56.4,57.17,16.4964779816,16.7419960806,16.4847866436,16.709844901,38952000,19476000,0.0,1.0,tiingo_historical_seed,
2010-03-30,XLE,57.3,57.37,56.91,57.26,16.7478417496,16.7683015912,16.6338512037,16.7361504116,26115600,13057800,0.0,1.0,tiingo_historical_seed,
