date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,XLF,14.52,14.73,14.49,14.69,8.8003686154,8.9276466739,8.7821860356,8.9034032342,92862344,75501500,0.0,1.0,tiingo_historical_seed,
2010-01-05,XLF,14.67,14.96,14.65,14.96,8.8912815144,9.0670464523,8.8791597945,9.0670464523,96686720,78610900,0.0,1.0,tiingo_historical_seed,
2010-01-06,XLF,14.95,15.05,14.84,14.99,9.0609855923,9.1215941916,8.9943161331,9.085229032,75427816,61326400,0.0,1.0,tiingo_historical_seed,
2010-01-07,XLF,15.02,15.4,14.99,15.31,9.1034116118,9.3337242891,9.085229032,9.2791765497,117767652,95750700,0.0,1.0,tiingo_historical_seed,
2010-01-08,XLF,15.23,15.31,15.1,15.22,9.2306896703,9.2791765497,9.1518984913,9.2246288104,111769848,90874200,0.0,1.0,tiingo_historical_seed,
2010-01-11,XLF,15.37,15.38,15.14,15.23,9.3155417093,9.3216025692,9.176141931,9.2306896703,72684680,59096100,0.0,1.0,tiingo_historical_seed,
2010-01-12,XLF,15.11,15.18,14.91,15.01,9.1579593512,9.2003853707,9.0367421526,9.0973507519,137495281,111790200,0.0,1.0,tiingo_historical_seed,
2010-01-13,XLF,15.01,15.23,14.89,15.18,9.0973507519,9.2306896703,9.0246204328,9.2003853707,100752657,81916700,0.0,1.0,tiingo_historical_seed,
2010-01-14,XLF,15.13,15.3,15.09,15.25,9.170081071,9.2731156898,9.1458376313,9.2428113902,70783561,57550400,0.0,1.0,tiingo_historical_seed,
2010-01-15,XLF,15.16,15.17,14.92,14.94,9.1882636508,9.1943245108,9.0428030126,9.0549247324,117957678,95905200,0.0,1.0,tiingo_historical_seed,
2010-01-19,XLF,14.88,15.14,14.8,15.13,9.0185595728,9.176141931,8.9700726934,9.170081071,100351328,81590400,0.0,1.0,tiingo_historical_seed,
2010-01-20,XLF,15.03,15.19,14.93,15.09,9.1094724718,9.2064462306,9.0488638725,9.1458376313,99273900,80714400,0.0,1.0,tiingo_historical_seed,
2010-01-21,XLF,15.08,15.18,14.5,14.66,9.1397767714,9.2003853707,8.7882468956,8.8852206544,309740684,251833900,0.0,1.0,tiingo_historical_seed,
2010-01-22,XLF,14.61,14.68,14.1,14.182,8.8549163548,8.8973423743,8.5458124985,8.5955115499,260707634,211967700,0.0,1.0,tiingo_historical_seed,
2010-01-25,XLF,14.38,14.44,14.12,14.26,8.7155165764,8.751881736,8.5579342183,8.6427862573,179241795,145732100,0.0,1.0,tiingo_historical_seed,
2010-01-26,XLF,14.17,14.4,13.99,14.01,8.588238518,8.7276382963,8.4791430393,8.4912647591,151669114,123314200,0.0,1.0,tiingo_historical_seed,
2010-01-27,XLF,14.05,14.38,13.99,14.35,8.5155081988,8.7155165764,8.4791430393,8.6973339967,254455478,206884400,0.0,1.0,tiingo_historical_seed,
2010-01-28,XLF,14.46,14.53,14.1,14.28,8.7640034559,8.8064294754,8.5458124985,8.6549079772,275214904,223762800,0.0,1.0,tiingo_historical_seed,
2010-01-29,XLF,14.38,14.5743,14.14,14.18,8.7155165764,8.8332790848,8.5700559382,8.5942993779,222648113,181023500,0.0,1.0,tiingo_historical_seed,
2010-02-01,XLF,14.27,14.46,14.27,14.42,8.6488471172,8.7640034559,8.6488471172,8.7397600162,155054156,126066400,0.0,1.0,tiingo_historical_seed,
2010-02-02,XLF,14.43,14.6,14.3722,14.558,8.7458208761,8.8488554949,8.7107891057,8.8233998832,135038967,109793100,0.0,1.0,tiingo_historical_seed,
2010-02-03,XLF,14.48,14.58,14.36,14.4,8.7761251757,8.836733775,8.7033948566,8.7276382963,131275596,106733300,0.0,1.0,tiingo_historical_seed,
2010-02-04,XLF,14.27,14.29,13.77,13.78,8.6488471172,8.6609688371,8.3458041208,8.3518649808,266661284,216808300,0.0,1.0,tiingo_historical_seed,
2010-02-05,XLF,13.86,13.98,13.51,13.94,8.4003518602,8.4730821793,8.1882217627,8.4488387396,314944685,256065000,0.0,1.0,tiingo_historical_seed,
2010-02-08,XLF,13.97,13.97,13.64,13.66,8.4670213194,8.4670213194,8.2670129418,8.2791346616,132085388,107391700,0.0,1.0,tiingo_historical_seed,
2010-02-09,XLF,13.83,13.9,13.6,13.8,8.3821692804,8.4245952999,8.2427695021,8.3639867006,190008693,154486100,0.0,1.0,tiingo_historical_seed,
2010-02-10,XLF,13.82,14.06,13.7307,13.91,8.3761084205,8.5215690587,8.3219849413,8.4306561598,155087119,126093200,0.0,1.0,tiingo_historical_seed,
2010-02-11,XLF,13.91,14.01,13.5767,13.94,8.4306561598,8.4912647591,8.2286476984,8.4488387396,92132866,74908400,0.0,1.0,tiingo_historical_seed,
2010-02-12,XLF,13.78,13.95,13.69,13.95,8.3518649808,8.4548995995,8.2973172414,8.4548995995,125282834,101860900,0.0,1.0,tiingo_historical_seed,
2010-02-16,XLF,14.05,14.26,13.96,14.24,8.5155081988,8.6427862573,8.4609604595,8.6306645375,134684867,109505200,0.0,1.0,tiingo_historical_seed,
2010-02-17,XLF,14.35,14.35,14.22,14.29,8.6973339967,8.6973339967,8.6185428176,8.6609688371,80997970,65855200,0.0,1.0,tiingo_historical_seed,
2010-02-18,XLF,14.23,14.42,14.22,14.38,8.6246036775,8.7397600162,8.6185428176,8.7155165764,73554001,59802900,0.0,1.0,tiingo_historical_seed,
2010-02-19,XLF,14.29,14.51,14.28,14.46,8.6609688371,8.7943077555,8.6549079772,8.7640034559,72571033,59003700,0.0,1.0,tiingo_historical_seed,
2010-02-22,XLF,14.51,14.73,14.49,14.65,8.7943077555,8.9276466739,8.7821860356,8.8791597945,86036543,69951800,0.0,1.0,tiingo_historical_seed,
2010-02-23,XLF,14.58,14.69,14.33,14.38,8.836733775,8.9034032342,8.6852122768,8.7155165764,144394632,117399700,0.0,1.0,tiingo_historical_seed,
2010-02-24,XLF,14.39,14.65,14.39,14.63,8.7215774364,8.8791597945,8.7215774364,8.8670380746,87222329,70915900,0.0,1.0,tiingo_historical_seed,
2010-02-25,XLF,14.43,14.61,14.34,14.59,8.7458208761,8.8549163548,8.6912731367,8.8427946349,130295333,105936300,0.0,1.0,tiingo_historical_seed,
2010-02-26,XLF,14.59,14.73,14.51,14.68,8.8427946349,8.9276466739,8.7943077555,8.8973423743,129746042,105489700,0.0,1.0,tiingo_historical_seed,
2010-03-01,XLF,14.73,14.76,14.6286,14.72,8.9276466739,8.9458292537,8.8661895543,8.921585814,65408967,53180600,0.0,1.0,tiingo_historical_seed,
2010-03-02,XLF,14.76,14.91,14.75,14.77,8.9458292537,9.0367421526,8.9397683938,8.9518901136,71090308,57799800,0.0,1.0,tiingo_historical_seed,
2010-03-03,XLF,14.79,14.89,14.74,14.78,8.9640118335,9.0246204328,8.9337075338,8.9579509736,69650909,56629500,0.0,1.0,tiingo_historical_seed,
2010-03-04,XLF,14.82,14.94,14.8,14.93,8.9821944133,9.0549247324,8.9700726934,9.0488638725,65036664,52877900,0.0,1.0,tiingo_historical_seed,
2010-03-05,XLF,15.01,15.25,14.99,15.22,9.0973507519,9.2428113902,9.085229032,9.2246288104,99549898,80938800,0.0,1.0,tiingo_historical_seed,
2010-03-08,XLF,15.25,15.31,15.22,15.25,9.2428113902,9.2791765497,9.2246288104,9.2428113902,66104990,53746500,0.0,1.0,tiingo_historical_seed,
2010-03-09,XLF,15.17,15.4,15.12,15.3,9.1943245108,9.3337242891,9.1640202111,9.2731156898,110512849,89852200,0.0,1.0,tiingo_historical_seed,
2010-03-10,XLF,15.4,15.56,15.37,15.47,9.3337242891,9.4306980479,9.3155417093,9.3761503086,123727452,100596300,0.0,1.0,tiingo_historical_seed,
2010-03-11,XLF,15.43,15.61,15.41,15.6,9.3519068689,9.4610023476,9.339785149,9.4549414877,75221186,61158400,0.0,1.0,tiingo_historical_seed,
2010-03-12,XLF,15.73,15.73,15.47,15.54,9.5337326667,9.5337326667,9.3761503086,9.4185763281,125075712,101692500,0.0,1.0,tiingo_historical_seed,
2010-03-15,XLF,15.45,15.57,15.37,15.54,9.3640285887,9.4367589079,9.3155417093,9.4185763281,86401467,70248500,0.0,1.0,tiingo_historical_seed,
2010-03-16,XLF,15.59,15.74,15.55,15.729,9.4488806277,9.5397935266,9.424637188,9.5331265807,92748451,75408900,0.0,1.0,tiingo_historical_seed,
2010-03-17,XLF,15.8196,15.97,15.8,15.92,9.5880379717,9.679193305,9.5761586862,9.6488890054,113570973,92338600,0.0,1.0,tiingo_historical_seed,
2010-03-18,XLF,15.89,15.91,15.73,15.83,9.6307064256,9.6428281454,9.5337326667,9.594341266,91899669,74718800,0.0,1.0,tiingo_historical_seed,
2010-03-19,XLF,15.84,15.8683,15.63,15.69,9.6226500941,9.6398420763,9.4950770815,9.5315265137,110047809,89474100,0.03636,1.0,tiingo_historical_seed,
2010-03-22,XLF,15.53,15.78,15.52,15.77,9.4343280279,9.586200662,9.4282531225,9.5801257566,78841269,64101700,0.0,1.0,tiingo_historical_seed,
2010-03-23,XLF,15.81,15.91,15.7205,15.9,9.6044253781,9.6651744317,9.5500549751,9.6590995263,79923371,64981500,0.0,1.0,tiingo_historical_seed,
2010-03-24,XLF,15.8,15.99,15.8,15.91,9.5983504727,9.7137736746,9.5983504727,9.6651744317,86271954,70143200,0.0,1.0,tiingo_historical_seed,
2010-03-25,XLF,16.02,16.32,15.96,15.98,9.7319983907,9.9142455515,9.6955489585,9.7076987692,150776916,122588800,0.0,1.0,tiingo_historical_seed,
2010-03-26,XLF,16.045,16.2,15.91,16.0,9.7471856541,9.8413466872,9.6651744317,9.7198485799,218782041,177880200,0.0,1.0,tiingo_historical_seed,
2010-03-29,XLF,16.09,16.14,15.92,16.02,9.7745227282,9.804897255,9.671249337,9.7319983907,76011422,61800900,0.0,1.0,tiingo_historical_seed,
2010-03-30,XLF,16.03,16.08,15.88,15.92,9.738073296,9.7684478228,9.6469497156,9.671249337,59132089,48077200,0.0,1.0,tiingo_historical_seed,
2010-03-31,XLF,15.82,16.01,15.81,15.95,9.6105002834,9.7259234853,9.6044253781,9.6894740531,72405606,58869200,0.0,1.0,tiingo_historical_seed,
2010-04-01,XLF,16.08,16.13,15.971,16.08,9.7684478228,9.7988223497,9.7022313544,9.7684478228,59437115,48325200,0.0,1.0,tiingo_historical_seed,
2010-04-05,XLF,16.17,16.26,16.125,16.24,9.8231219711,9.8777961194,9.795784897,9.8656463086,55252980,44923300,0.0,1.0,tiingo_historical_seed,
2010-04-06,XLF,16.23,16.45,16.2,16.41,9.8595714033,9.9932193213,9.8413466872,9.9689196998,63309582,51473700,0.0,1.0,tiingo_historical_seed,
2010-04-07,XLF,16.45,16.51,16.25,16.35,9.9932193213,10.0296687534,9.871721214,9.9324702676,91465500,74365800,0.0,1.0,tiingo_historical_seed,
2010-04-08,XLF,16.29,16.53,16.22,16.48,9.8960208355,10.0418185642,9.8534964979,10.0114440373,86373178,70225500,0.0,1.0,tiingo_historical_seed,
2010-04-09,XLF,16.54,16.58,16.44,16.541,10.0478934695,10.072193091,9.9871444159,10.0485009601,64911702,52776300,0.0,1.0,tiingo_historical_seed,
2010-04-12,XLF,16.59,16.6785,16.57,16.61,10.0782679963,10.1320309088,10.0661181856,10.0904178071,56669503,46075000,0.0,1.0,tiingo_historical_seed,
2010-04-13,XLF,16.59,16.7129,16.51,16.62,10.0782679963,10.1529285832,10.0296687534,10.0964927124,85207072,69277400,0.0,1.0,tiingo_historical_seed,
2010-04-14,XLF,16.83,17.06,16.81,17.05,10.224065725,10.3637885484,10.2119159143,10.357713643,155236187,126214400,0.0,1.0,tiingo_historical_seed,
2010-04-15,XLF,17.09,17.12,16.93,16.98,10.3820132645,10.4002379805,10.2848147787,10.3151893055,101539204,82556200,0.0,1.0,tiingo_historical_seed,
2010-04-16,XLF,16.9098,16.93,16.07,16.36,10.2725434698,10.2848147787,9.7623729175,9.938545173,468130070,380612000,0.0,1.0,tiingo_historical_seed,
2010-04-19,XLF,16.17,16.55,16.15,16.52,9.8231219711,10.0539683749,9.8109721604,10.0357436588,319424373,259707200,0.0,1.0,tiingo_historical_seed,
2010-04-20,XLF,16.65,16.74,16.55,16.74,10.1147174285,10.1693915768,10.0539683749,10.1693915768,151046764,122808200,0.0,1.0,tiingo_historical_seed,
2010-04-21,XLF,16.75,16.9,16.45,16.64,10.1754664821,10.2665900626,9.9932193213,10.1086425231,209951069,170700200,0.0,1.0,tiingo_historical_seed,
2010-04-22,XLF,16.46,16.78,16.39,16.73,9.9992942266,10.1936911982,9.9567698891,10.1633166714,123627088,100514700,0.0,1.0,tiingo_historical_seed,
2010-04-23,XLF,16.76,16.8496,16.67,16.78,10.1815413875,10.2359725395,10.1268672392,10.1936911982,108961033,88590500,0.0,1.0,tiingo_historical_seed,
2010-04-26,XLF,16.77,16.77,16.48,16.5175,10.1876162929,10.1876162929,10.0114440373,10.0342249324,128799480,104720100,0.0,1.0,tiingo_historical_seed,
2010-04-27,XLF,16.335,16.52,15.92,15.959,9.9233579096,10.0357436588,9.671249337,9.694941468,289633618,235485900,0.0,1.0,tiingo_historical_seed,
2010-04-28,XLF,16.18,16.3,16.04,16.19,9.8291968765,9.9020957408,9.7441482014,9.8352717818,194749252,158340400,0.0,1.0,tiingo_historical_seed,
2010-04-29,XLF,16.4,16.65,16.32,16.56,9.9628447944,10.1147174285,9.9142455515,10.0600432802,153045664,124433400,0.0,1.0,tiingo_historical_seed,
2010-04-30,XLF,16.48,16.53,16.13,16.16,10.0114440373,10.0418185642,9.7988223497,9.8170470657,205969260,167462800,0.0,1.0,tiingo_historical_seed,
2010-05-03,XLF,16.3,16.51,16.25,16.47,9.9020957408,10.0296687534,9.871721214,10.005369132,110722554,90022700,0.0,1.0,tiingo_historical_seed,
2010-05-04,XLF,16.23,16.28,15.92,16.02,9.8595714033,9.8899459301,9.671249337,9.7319983907,195014304,158555900,0.0,1.0,tiingo_historical_seed,
2010-05-05,XLF,15.76,16.2,15.7,15.9325,9.5740508512,9.8413466872,9.5376014191,9.6788429687,227005792,184566500,0.0,1.0,tiingo_historical_seed,
2010-05-06,XLF,15.86,16.04,14.56,15.26,9.6347999049,9.7441482014,8.8450622077,9.2703055831,384739251,312811300,0.0,1.0,tiingo_historical_seed,
2010-05-07,XLF,15.27,15.5375,14.87,15.09,9.2763804885,9.4388842069,9.033384274,9.167032192,433709204,352626200,0.0,1.0,tiingo_historical_seed,
2010-05-10,XLF,15.87,16.02,15.67,15.931,9.6408748102,9.7319983907,9.519376703,9.6779317329,219983324,178856900,0.0,1.0,tiingo_historical_seed,
2010-05-11,XLF,15.69,16.13,15.68,15.87,9.5315265137,9.7988223497,9.5254516083,9.6408748102,149808952,121801800,0.0,1.0,tiingo_historical_seed,
2010-05-12,XLF,15.97,16.06,15.84,16.05,9.7016238639,9.7562980121,9.6226500941,9.7502231068,107952851,87770800,0.0,1.0,tiingo_historical_seed,
2010-05-13,XLF,16.0,16.04,15.76,15.76,9.7198485799,9.7441482014,9.5740508512,9.5740508512,117396702,95449100,0.0,1.0,tiingo_historical_seed,
2010-05-14,XLF,15.58,15.59,15.1904,15.35,9.4647025547,9.4707774601,9.2280242418,9.3249797314,185452379,150781600,0.0,1.0,tiingo_historical_seed,
2010-05-17,XLF,15.35,15.4899,14.99,15.36,9.3249797314,9.4099676574,9.1062831383,9.3310546367,214979435,174788500,0.0,1.0,tiingo_historical_seed,
2010-05-18,XLF,15.54,15.55,14.81,14.92,9.4404029333,9.4464778386,8.9969348418,9.0637588008,245087145,199267500,0.0,1.0,tiingo_historical_seed,
