date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,XLI,28.09,28.32,27.96,28.32,20.6985323671,20.8680112722,20.6027399425,20.8680112722,7471500,7471500,0.0,1.0,tiingo_historical_seed,
2010-01-05,XLI,28.28,28.45,28.18,28.42,20.83853668,20.9638036968,20.7648501995,20.9416977527,8256700,8256700,0.0,1.0,tiingo_historical_seed,
2010-01-06,XLI,28.35,28.51,28.34,28.48,20.8901172164,21.0080155851,20.8827485683,20.985909641,5356700,5356700,0.0,1.0,tiingo_historical_seed,
2010-01-07,XLI,28.43,28.83,28.33,28.79,20.9490664007,21.2438123227,20.8753799203,21.2143377305,12118200,12118200,0.0,1.0,tiingo_historical_seed,
2010-01-08,XLI,28.8,29.26,28.78,29.25,21.2217063785,21.5606641887,21.2069690824,21.5532955407,8065000,8065000,0.0,1.0,tiingo_historical_seed,
2010-01-11,XLI,29.45,29.61,29.301,29.57,21.7006685016,21.8185668704,21.5908756457,21.7890922782,11895500,11895500,0.0,1.0,tiingo_historical_seed,
2010-01-12,XLI,29.32,29.41,29.12,29.33,21.604876077,21.6711939094,21.4575031161,21.6122447251,12020700,12020700,0.0,1.0,tiingo_historical_seed,
2010-01-13,XLI,29.28,29.505,29.17,29.45,21.5754014848,21.7411960659,21.4943463563,21.7006685016,10978200,10978200,0.0,1.0,tiingo_historical_seed,
2010-01-14,XLI,29.41,29.47,29.33,29.45,21.6711939094,21.7154057977,21.6122447251,21.7006685016,4762700,4762700,0.0,1.0,tiingo_historical_seed,
2010-01-15,XLI,29.35,29.44,28.99,29.07,21.6269820212,21.6932998536,21.3617106914,21.4206598758,7251000,7251000,0.0,1.0,tiingo_historical_seed,
2010-01-19,XLI,29.17,29.425,29.035,29.39,21.4943463563,21.6822468815,21.3948696076,21.6564566134,11941300,11941300,0.0,1.0,tiingo_historical_seed,
2010-01-20,XLI,29.07,29.13,28.67,28.94,21.4206598758,21.4648717641,21.1259139539,21.3248674512,9810400,9810400,0.0,1.0,tiingo_historical_seed,
2010-01-21,XLI,28.92,29.05,28.25,28.27,21.3101301551,21.4059225797,20.8164307359,20.831168032,17492900,17492900,0.0,1.0,tiingo_historical_seed,
2010-01-22,XLI,28.3,28.46,27.83,27.84,20.8532739761,20.9711723449,20.5069475178,20.5143161659,16216200,16216200,0.0,1.0,tiingo_historical_seed,
2010-01-25,XLI,28.17,28.21,27.855,28.02,20.7574815515,20.7869561437,20.525369138,20.6469518308,12695500,12695500,0.0,1.0,tiingo_historical_seed,
2010-01-26,XLI,27.86,28.18,27.75,27.9,20.529053462,20.7648501995,20.4479983335,20.5585280542,12708200,12708200,0.0,1.0,tiingo_historical_seed,
2010-01-27,XLI,27.8,28.04,27.52,27.98,20.4848415737,20.6616891269,20.2785194284,20.6174772386,22437800,22437800,0.0,1.0,tiingo_historical_seed,
2010-01-28,XLI,28.02,28.15,27.401,27.66,20.6469518308,20.7427442554,20.1908325166,20.381680501,21371000,21371000,0.0,1.0,tiingo_historical_seed,
2010-01-29,XLI,27.71,27.975,27.31,27.38,20.4185237413,20.6137929145,20.1237778193,20.1753583557,17136200,17136200,0.0,1.0,tiingo_historical_seed,
2010-02-01,XLI,27.69,27.8,27.5,27.79,20.4037864452,20.4848415737,20.2637821323,20.4774729257,16144100,16144100,0.0,1.0,tiingo_historical_seed,
2010-02-02,XLI,27.95,28.37,27.89,28.32,20.5953712944,20.9048545124,20.5511594061,20.8680112722,20403200,20403200,0.0,1.0,tiingo_historical_seed,
2010-02-03,XLI,28.24,28.41,28.08,28.15,20.8090620878,20.9343291046,20.6911637191,20.7427442554,13675400,13675400,0.0,1.0,tiingo_historical_seed,
2010-02-04,XLI,27.96,28.01,27.32,27.32,20.6027399425,20.6395831827,20.1311464674,20.1311464674,20628100,20628100,0.0,1.0,tiingo_historical_seed,
2010-02-05,XLI,27.38,27.5295,26.66,27.2,20.1753583557,20.285519644,19.6448156962,20.0427226908,30821300,30821300,0.0,1.0,tiingo_historical_seed,
2010-02-08,XLI,27.27,27.32,26.9,26.9,20.0943032272,20.1311464674,19.8216632494,19.8216632494,17888900,17888900,0.0,1.0,tiingo_historical_seed,
2010-02-09,XLI,27.2,27.67,27.11,27.42,20.0427226908,20.3890491491,19.9764048584,20.2048329479,22723500,22723500,0.0,1.0,tiingo_historical_seed,
2010-02-10,XLI,27.44,27.51,27.125,27.38,20.219570244,20.2711507803,19.9874578305,20.1753583557,12709800,12709800,0.0,1.0,tiingo_historical_seed,
2010-02-11,XLI,27.35,27.82,27.2,27.79,20.1532524115,20.4995788698,20.0427226908,20.4774729257,11507900,11507900,0.0,1.0,tiingo_historical_seed,
2010-02-12,XLI,27.42,27.67,27.28,27.57,20.2048329479,20.3890491491,20.1016718752,20.3153626686,16638900,16638900,0.0,1.0,tiingo_historical_seed,
2010-02-16,XLI,27.86,28.25,27.785,28.22,20.529053462,20.8164307359,20.4737886016,20.7943247917,10497000,10497000,0.0,1.0,tiingo_historical_seed,
2010-02-17,XLI,28.43,28.49,28.25,28.46,20.9490664007,20.993278289,20.8164307359,20.9711723449,14974300,14974300,0.0,1.0,tiingo_historical_seed,
2010-02-18,XLI,28.29,28.77,28.29,28.72,20.8459053281,21.1996004344,20.8459053281,21.1627571941,7602300,7602300,0.0,1.0,tiingo_historical_seed,
2010-02-19,XLI,28.68,29.0,28.59,28.86,21.1332826019,21.3690793395,21.0669647695,21.2659182668,12076500,12076500,0.0,1.0,tiingo_historical_seed,
