date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,XLK,23.14,23.29,23.1,23.27,9.3131560933,9.3735265952,9.2970572928,9.3654771949,16898800,8449400,0.0,1.0,tiingo_historical_seed,
2010-01-05,XLK,23.3,23.3,23.1,23.24,9.3775512953,9.3775512953,9.2970572928,9.3534030945,39976400,19988200,0.0,1.0,tiingo_historical_seed,
2010-01-06,XLK,23.24,23.25,22.96,22.98,9.3534030945,9.3574277947,9.240711491,9.2487608912,20048200,10024100,0.0,1.0,tiingo_historical_seed,
2010-01-07,XLK,23.0,23.0,22.81,22.89,9.2568102915,9.2568102915,9.1803409891,9.2125385901,14584800,7292400,0.0,1.0,tiingo_historical_seed,
2010-01-08,XLK,22.86,23.06,22.7801,23.04,9.2004644897,9.2809584923,9.1683071357,9.272909092,23772400,11886200,0.0,1.0,tiingo_historical_seed,
2010-01-11,XLK,23.14,23.15,22.84,22.95,9.3131560933,9.3171807934,9.1924150895,9.2366867909,30477800,15238900,0.0,1.0,tiingo_historical_seed,
2010-01-12,XLK,22.82,22.85,22.61,22.7,9.1843656892,9.1964397896,9.0998469866,9.1360692877,19485600,9742800,0.0,1.0,tiingo_historical_seed,
2010-01-13,XLK,22.8,22.95,22.6,22.92,9.176316289,9.2366867909,9.0958222864,9.2246126905,20107400,10053700,0.0,1.0,tiingo_historical_seed,
2010-01-14,XLK,22.9,23.058,22.87,22.98,9.2165632902,9.2801535522,9.2044891899,9.2487608912,15013200,7506600,0.0,1.0,tiingo_historical_seed,
2010-01-15,XLK,23.02,23.04,22.59,22.66,9.2648596918,9.272909092,9.0917975863,9.1199704872,27066600,13533300,0.0,1.0,tiingo_historical_seed,
2010-01-19,XLK,22.71,23.05,22.71,23.05,9.1400939878,9.2769337921,9.1400939878,9.2769337921,14965600,7482800,0.0,1.0,tiingo_historical_seed,
2010-01-20,XLK,22.87,22.87,22.47,22.68,9.2044891899,9.2044891899,9.0435011848,9.1280198874,29398000,14699000,0.0,1.0,tiingo_historical_seed,
2010-01-21,XLK,22.75,22.86,22.37,22.44,9.1561927883,9.2004644897,9.0032541835,9.0314270844,25606800,12803400,0.0,1.0,tiingo_historical_seed,
2010-01-22,XLK,22.4,22.4,21.63,21.66,9.0153282839,9.0153282839,8.7054263741,8.7175004745,67402400,33701200,0.0,1.0,tiingo_historical_seed,
2010-01-25,XLK,21.86,21.98,21.72,21.84,8.7979944771,8.8462908786,8.7416486753,8.7899450768,66680200,33340100,0.0,1.0,tiingo_historical_seed,
2010-01-26,XLK,21.8,22.05,21.68,21.78,8.7738462763,8.8744637795,8.7255498748,8.765796876,32250600,16125300,0.0,1.0,tiingo_historical_seed,
2010-01-27,XLK,21.79,22.01,21.63,21.96,8.7698215762,8.858364979,8.7054263741,8.8382414783,35370000,17685000,0.0,1.0,tiingo_historical_seed,
2010-01-28,XLK,21.85,21.88,21.24,21.33,8.7939697769,8.8060438773,8.5484630692,8.5846853703,46278600,23139300,0.0,1.0,tiingo_historical_seed,
2010-01-29,XLK,21.53,21.56,20.86,20.959,8.6651793729,8.6772534732,8.3955244644,8.4353689956,53794800,26897400,0.0,1.0,tiingo_historical_seed,
2010-02-01,XLK,21.06,21.25,21.05,21.2,8.4760184669,8.5524877693,8.4719937668,8.5323642687,38415000,19207500,0.0,1.0,tiingo_historical_seed,
2010-02-02,XLK,21.27,21.47,21.15,21.41,8.5605371696,8.6410311721,8.5122407681,8.6168829713,27391200,13695600,0.0,1.0,tiingo_historical_seed,
2010-02-03,XLK,21.33,21.51,21.3084,21.46,8.5846853703,8.6571299726,8.5759920181,8.637006472,29566400,14783200,0.0,1.0,tiingo_historical_seed,
2010-02-04,XLK,21.33,21.37,20.84,20.86,8.5846853703,8.6007841708,8.3874750641,8.3955244644,32978200,16489100,0.0,1.0,tiingo_historical_seed,
2010-02-05,XLK,20.89,21.11,20.71,21.07,8.4075985648,8.4961419675,8.3351539625,8.480043167,46507400,23253700,0.0,1.0,tiingo_historical_seed,
2010-02-08,XLK,21.1,21.22,20.95,20.98,8.4921172674,8.5404136689,8.4317467655,8.4438208659,45887600,22943800,0.0,1.0,tiingo_historical_seed,
2010-02-09,XLK,21.21,21.36,21.02,21.16,8.5363889688,8.5967594707,8.4599196664,8.5162654682,31774800,15887400,0.0,1.0,tiingo_historical_seed,
2010-02-10,XLK,21.21,21.24,20.97,21.1,8.5363889688,8.5484630692,8.4397961658,8.4921172674,20846800,10423400,0.0,1.0,tiingo_historical_seed,
2010-02-11,XLK,21.1,21.4,20.95,21.32,8.4921172674,8.6128582712,8.4317467655,8.5806606702,30349600,15174800,0.0,1.0,tiingo_historical_seed,
2010-02-12,XLK,21.17,21.3985,21.04,21.36,8.5202901683,8.6122545662,8.4679690667,8.5967594707,30286000,15143000,0.0,1.0,tiingo_historical_seed,
2010-02-16,XLK,21.49,21.68,21.43,21.68,8.6490805724,8.7255498748,8.6249323716,8.7255498748,20466600,10233300,0.0,1.0,tiingo_historical_seed,
2010-02-17,XLK,21.78,21.78,21.63,21.74,8.765796876,8.765796876,8.7054263741,8.7496980755,17806600,8903300,0.0,1.0,tiingo_historical_seed,
2010-02-18,XLK,21.73,21.92,21.68,21.88,8.7456733754,8.8221426778,8.7255498748,8.8060438773,11527600,5763800,0.0,1.0,tiingo_historical_seed,
2010-02-19,XLK,21.76,21.93,21.73,21.82,8.7577474758,8.8261673779,8.7456733754,8.7818956765,13535600,6767800,0.0,1.0,tiingo_historical_seed,
2010-02-22,XLK,21.93,21.94,21.74,21.78,8.8261673779,8.8301920781,8.7496980755,8.765796876,14074600,7037300,0.0,1.0,tiingo_historical_seed,
2010-02-23,XLK,21.76,21.77,21.42,21.51,8.7577474758,8.7617721759,8.6209076715,8.6571299726,20971400,10485700,0.0,1.0,tiingo_historical_seed,
2010-02-24,XLK,21.61,21.79,21.588,21.72,8.6973769739,8.7698215762,8.6885226336,8.7416486753,15078000,7539000,0.0,1.0,tiingo_historical_seed,
2010-02-25,XLK,21.44,21.7,21.3,21.66,8.6289570717,8.733599275,8.57261127,8.7175004745,23315000,11657500,0.0,1.0,tiingo_historical_seed,
2010-02-26,XLK,21.66,21.75,21.56,21.69,8.7175004745,8.7537227757,8.6772534732,8.7295745749,19404000,9702000,0.0,1.0,tiingo_historical_seed,
2010-03-01,XLK,21.8,21.99,21.76,21.97,8.7738462763,8.8503155787,8.7577474758,8.8422661784,12843600,6421800,0.0,1.0,tiingo_historical_seed,
2010-03-02,XLK,22.07,22.11,21.87,21.94,8.8825131797,8.8986119802,8.8020191772,8.8301920781,14023800,7011900,0.0,1.0,tiingo_historical_seed,
2010-03-03,XLK,22.0,22.06,21.8899,21.95,8.8543402788,8.8784884796,8.8100283304,8.8342167782,16663600,8331800,0.0,1.0,tiingo_historical_seed,
2010-03-04,XLK,21.98,22.0599,21.8219,22.04,8.8462908786,8.8784482326,8.7826603696,8.8704390793,7247600,3623800,0.0,1.0,tiingo_historical_seed,
2010-03-05,XLK,22.2,22.34,22.12,22.31,8.9348342814,8.9911800831,8.9026366803,8.9791059828,14095800,7047900,0.0,1.0,tiingo_historical_seed,
2010-03-08,XLK,22.35,22.47,22.32,22.43,8.9952047833,9.0435011848,8.9831306829,9.0274023843,11718800,5859400,0.0,1.0,tiingo_historical_seed,
2010-03-09,XLK,22.4,22.67,22.36,22.53,9.0153282839,9.1239951873,8.9992294834,9.0676493855,24003800,12001900,0.0,1.0,tiingo_historical_seed,
