date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,XLP,26.45,26.78,26.45,26.67,16.992224754,17.2042260458,16.992224754,17.1335589485,8465900,8465900,0.0,1.0,tiingo_historical_seed,
2010-01-05,XLP,26.69,26.72,26.54,26.68,17.1464075117,17.1656803564,17.0500432881,17.1399832301,11805400,11805400,0.0,1.0,tiingo_historical_seed,
2010-01-06,XLP,26.65,26.69,26.54,26.66,17.1207103854,17.1464075117,17.0500432881,17.127134667,9267000,9267000,0.0,1.0,tiingo_historical_seed,
2010-01-07,XLP,26.74,26.74,26.51,26.66,17.1785289195,17.1785289195,17.0307704434,17.127134667,6951500,6951500,0.0,1.0,tiingo_historical_seed,
2010-01-08,XLP,26.6,26.6,26.42,26.57,17.0885889775,17.0885889775,16.9729519093,17.0693161328,5437400,5437400,0.0,1.0,tiingo_historical_seed,
2010-01-11,XLP,26.56,26.68,26.38,26.64,17.0628918513,17.1399832301,16.947254783,17.1142861038,6140200,6140200,0.0,1.0,tiingo_historical_seed,
2010-01-12,XLP,26.54,26.79,26.54,26.79,17.0500432881,17.2106503274,17.0500432881,17.2106503274,6822400,6822400,0.0,1.0,tiingo_historical_seed,
2010-01-13,XLP,26.8,27.04,26.79,26.98,17.2170746089,17.3712573666,17.2106503274,17.3327116772,7926700,7926700,0.0,1.0,tiingo_historical_seed,
2010-01-14,XLP,26.94,27.0,26.87,26.9,17.3070145509,17.3455602404,17.2620445799,17.2813174247,5258900,5258900,0.0,1.0,tiingo_historical_seed,
2010-01-15,XLP,26.94,26.98,26.67,26.77,17.3070145509,17.3327116772,17.1335589485,17.1978017642,11968800,11968800,0.0,1.0,tiingo_historical_seed,
2010-01-19,XLP,26.84,26.97,26.72,26.93,17.2427717352,17.3262873956,17.1656803564,17.3005902694,10974200,10974200,0.0,1.0,tiingo_historical_seed,
2010-01-20,XLP,26.88,26.88,26.53,26.73,17.2684688615,17.2684688615,17.0436190065,17.172104638,8670500,8670500,0.0,1.0,tiingo_historical_seed,
2010-01-21,XLP,26.71,26.84,26.29,26.35,17.1592560748,17.2427717352,16.8894362489,16.9279819383,9044700,9044700,0.0,1.0,tiingo_historical_seed,
2010-01-22,XLP,26.25,26.49,26.2,26.29,16.8637391226,17.0179218803,16.8316177147,16.8894362489,9082400,9082400,0.0,1.0,tiingo_historical_seed,
2010-01-25,XLP,26.48,26.49,26.205,26.34,17.0114975987,17.0179218803,16.8348298555,16.9215576567,6078200,6078200,0.0,1.0,tiingo_historical_seed,
2010-01-26,XLP,26.21,26.41,26.16,26.31,16.8380419963,16.9665276277,16.8059205884,16.902284812,8116700,8116700,0.0,1.0,tiingo_historical_seed,
2010-01-27,XLP,26.28,26.4,26.17,26.37,16.8830119673,16.9601033461,16.81234487,16.9408305014,12558400,12558400,0.0,1.0,tiingo_historical_seed,
2010-01-28,XLP,26.41,26.61,26.29,26.3,16.9665276277,17.0950132591,16.8894362489,16.8958605304,14181700,14181700,0.0,1.0,tiingo_historical_seed,
2010-01-29,XLP,26.42,26.57,26.2,26.2,16.9729519093,17.0693161328,16.8316177147,16.8316177147,8930500,8930500,0.0,1.0,tiingo_historical_seed,
2010-02-01,XLP,26.36,26.45,26.25,26.4,16.9344062198,16.992224754,16.8637391226,16.9601033461,9016100,9016100,0.0,1.0,tiingo_historical_seed,
2010-02-02,XLP,26.45,26.81,26.39,26.78,16.992224754,17.2234988905,16.9536790646,17.2042260458,7433200,7433200,0.0,1.0,tiingo_historical_seed,
