date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2015-10-08,XLRE,30.01,30.21,30.01,30.21,20.7201977054,20.8582863272,20.7201977054,20.8582863272,2000,2000,0.0,1.0,tiingo_historical_seed,
2015-10-09,XLRE,30.2,30.2,30.06,30.16,20.8513818961,20.8513818961,20.7547198608,20.8237641717,4335,4335,0.0,1.0,tiingo_historical_seed,
2015-10-12,XLRE,30.4199,30.42,30.27,30.3499,21.0032103358,21.0032793801,20.8997129137,20.9548793182,2250,2250,0.0,1.0,tiingo_historical_seed,
2015-10-13,XLRE,30.16,30.16,30.16,30.16,20.8237641717,20.8237641717,20.8237641717,20.8237641717,508,508,0.0,1.0,tiingo_historical_seed,
2015-10-14,XLRE,30.16,30.16,30.16,30.16,20.8237641717,20.8237641717,20.8237641717,20.8237641717,0,0,0.0,1.0,tiingo_historical_seed,
2015-10-15,XLRE,30.03,30.07,30.03,30.07,20.7340065675,20.7616242919,20.7340065675,20.7616242919,2515,2515,0.0,1.0,tiingo_historical_seed,
2015-10-16,XLRE,30.5958,30.66,30.5958,30.642,21.1246592787,21.1689857263,21.1246592787,21.1565577503,400,400,0.0,1.0,tiingo_historical_seed,
2015-10-19,XLRE,30.7,31.01,30.7,30.9999,21.1966034507,21.4106408145,21.1966034507,21.4036673391,2001,2001,0.0,1.0,tiingo_historical_seed,
2015-10-20,XLRE,31.36,31.36,30.99,31.03,21.6522959027,21.6522959027,21.3968319523,21.4244496767,3240,3240,0.0,1.0,tiingo_historical_seed,
2015-10-21,XLRE,31.055,31.055,31.055,31.055,21.4417107544,21.4417107544,21.4417107544,21.4417107544,400,400,0.0,1.0,tiingo_historical_seed,
2015-10-22,XLRE,31.18,31.4625,31.177,31.4475,21.5280161431,21.7230663214,21.5259448137,21.7127096747,2180,2180,0.0,1.0,tiingo_historical_seed,
2015-10-23,XLRE,31.0526,31.07,30.94,31.07,21.4400536909,21.452067401,21.3623097969,21.452067401,3548,3548,0.0,1.0,tiingo_historical_seed,
2015-10-26,XLRE,31.028,31.12,31.028,31.11,21.4230687905,21.4865895565,21.4230687905,21.4796851254,576,576,0.0,1.0,tiingo_historical_seed,
2015-10-27,XLRE,31.06,31.12,31.0,31.1183,21.44516297,21.4865895565,21.4037363834,21.4854158032,3350,3350,0.0,1.0,tiingo_historical_seed,
2015-10-28,XLRE,31.24,31.33,31.005,31.005,21.5694427296,21.6315826094,21.407188599,21.407188599,3210,3210,0.0,1.0,tiingo_historical_seed,
2015-10-29,XLRE,31.03,31.146,31.01,31.146,21.4244496767,21.5045410773,21.4106408145,21.5045410773,3906,3906,0.0,1.0,tiingo_historical_seed,
2015-10-30,XLRE,30.95,30.95,30.95,30.95,21.369214228,21.369214228,21.369214228,21.369214228,211,211,0.0,1.0,tiingo_historical_seed,
2015-11-02,XLRE,30.95,30.95,30.95,30.95,21.369214228,21.369214228,21.369214228,21.369214228,35,35,0.0,1.0,tiingo_historical_seed,
2015-11-03,XLRE,31.6,31.6,31.32,31.35,21.8180022489,21.8180022489,21.6246781783,21.6453914716,520,520,0.0,1.0,tiingo_historical_seed,
2015-11-04,XLRE,31.52,31.52,31.22,31.22,21.7627668002,21.7627668002,21.5556338674,21.5556338674,1850,1850,0.0,1.0,tiingo_historical_seed,
2015-11-05,XLRE,31.28,31.28,30.95,31.1,21.597060454,21.597060454,21.369214228,21.4727806943,23810,23810,0.0,1.0,tiingo_historical_seed,
2015-11-06,XLRE,30.38,30.38,29.95,29.95,20.9756616557,20.9756616557,20.6787711188,20.6787711188,9031,9031,0.0,1.0,tiingo_historical_seed,
2015-11-09,XLRE,30.0601,30.1036,29.6,29.71,20.7547889051,20.7848231804,20.4371160306,20.5130647726,45453,45453,0.0,1.0,tiingo_historical_seed,
2015-11-10,XLRE,30.11,30.11,29.85,30.03,20.7892420163,20.7892420163,20.6097268079,20.7340065675,27240,27240,0.0,1.0,tiingo_historical_seed,
2015-11-11,XLRE,30.105,30.26,29.99,30.1339,20.7857898007,20.8928084826,20.7063888432,20.8057436066,27147,27147,0.0,1.0,tiingo_historical_seed,
2015-11-12,XLRE,29.86,30.08,29.86,29.95,20.616631239,20.768528723,20.616631239,20.6787711188,63887,63887,0.0,1.0,tiingo_historical_seed,
2015-11-13,XLRE,29.82,29.87,29.556,29.56,20.5890135146,20.6235356701,20.4067365338,20.4094983062,47674,47674,0.0,1.0,tiingo_historical_seed,
2015-11-16,XLRE,29.53,29.62,29.53,29.53,20.388785013,20.4509248928,20.388785013,20.388785013,4200,4200,0.0,1.0,tiingo_historical_seed,
2015-11-17,XLRE,30.0,30.18,29.93,29.99,20.7132932743,20.8375730339,20.6649622566,20.7063888432,25680,25680,0.0,1.0,tiingo_historical_seed,
2015-11-18,XLRE,29.64,30.3448,26.7,30.3448,20.464733755,20.9513580583,18.4348310141,20.9513580583,28556,28556,0.0,1.0,tiingo_historical_seed,
2015-11-19,XLRE,30.41,30.55,30.41,30.51,20.996374949,21.0930369843,20.996374949,21.0654192599,3517,3517,0.0,1.0,tiingo_historical_seed,
2015-11-20,XLRE,30.71,30.77,30.71,30.76,21.2035078818,21.2449344683,21.2035078818,21.2380300372,597,597,0.0,1.0,tiingo_historical_seed,
2015-11-23,XLRE,30.97,31.012,30.92,30.92,21.3830230901,21.4120217007,21.3485009347,21.3485009347,2392,2392,0.0,1.0,tiingo_historical_seed,
2015-11-24,XLRE,31.02,31.02,30.45,30.45,21.4175452456,21.4175452456,21.0239926734,21.0239926734,2524,2524,0.0,1.0,tiingo_historical_seed,
2015-11-25,XLRE,30.45,30.45,30.45,30.45,21.0239926734,21.0239926734,21.0239926734,21.0239926734,33,33,0.0,1.0,tiingo_historical_seed,
2015-11-27,XLRE,30.45,30.45,30.45,30.45,21.0239926734,21.0239926734,21.0239926734,21.0239926734,0,0,0.0,1.0,tiingo_historical_seed,
2015-11-30,XLRE,31.0,31.0,30.7223,30.75,21.4037363834,21.4037363834,21.212000332,21.2311256061,1627,1627,0.0,1.0,tiingo_historical_seed,
2015-12-01,XLRE,30.98,31.2586,30.98,31.2586,21.3899275212,21.5822849714,21.3899275212,21.5822849714,5557,5557,0.0,1.0,tiingo_historical_seed,
2015-12-02,XLRE,31.11,31.22,30.62,30.62,21.4796851254,21.5556338674,21.1413680019,21.1413680019,4397,4397,0.0,1.0,tiingo_historical_seed,
2015-12-03,XLRE,30.37,30.37,30.01,30.01,20.9687572246,20.9687572246,20.7201977054,20.7201977054,776,776,0.0,1.0,tiingo_historical_seed,
2015-12-04,XLRE,30.31,30.83,30.31,30.62,20.9273306381,21.2863610549,20.9273306381,21.1413680019,4378,4378,0.0,1.0,tiingo_historical_seed,
2015-12-07,XLRE,30.62,30.62,30.62,30.62,21.1413680019,21.1413680019,21.1413680019,21.1413680019,25,25,0.0,1.0,tiingo_historical_seed,
2015-12-08,XLRE,30.28,30.76,29.92,30.72,20.9066173448,21.2380300372,20.6580578255,21.2104123128,4645,4645,0.0,1.0,tiingo_historical_seed,
2015-12-09,XLRE,30.51,30.55,30.51,30.55,21.0654192599,21.0930369843,21.0654192599,21.0930369843,643,643,0.0,1.0,tiingo_historical_seed,
2015-12-10,XLRE,30.3,30.3,30.3,30.3,20.920426207,20.920426207,20.920426207,20.920426207,660,660,0.0,1.0,tiingo_historical_seed,
2015-12-11,XLRE,30.18,30.18,30.1382,30.1382,20.8375730339,20.8375730339,20.8087125119,20.8087125119,330,330,0.0,1.0,tiingo_historical_seed,
