date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,XLU,31.28,31.36,31.01,31.08,8.8960309214,8.9187829186,8.8192429307,8.8391509283,16435200,8217600,0.0,1.0,tiingo_historical_seed,
2010-01-05,XLU,30.99,31.17,30.56,30.71,8.8135549314,8.8647469252,8.6912629462,8.733922941,36047400,18023700,0.0,1.0,tiingo_historical_seed,
2010-01-06,XLU,30.69,31.0,30.69,30.89,8.7282349417,8.816398931,8.7282349417,8.7851149348,25490200,12745100,0.0,1.0,tiingo_historical_seed,
2010-01-07,XLU,30.85,30.87,30.6366,30.75,8.7737389362,8.7794269355,8.7130479836,8.7452989397,13126200,6563100,0.0,1.0,tiingo_historical_seed,
2010-01-08,XLU,30.71,30.79,30.52,30.72,8.733922941,8.7566749383,8.6798869476,8.7367669407,12535200,6267600,0.0,1.0,tiingo_historical_seed,
2010-01-11,XLU,30.8,31.1,30.75,31.04,8.7595189379,8.8448389276,8.7452989397,8.8277749297,17749000,8874500,0.0,1.0,tiingo_historical_seed,
2010-01-12,XLU,30.95,31.16,30.79,30.91,8.8021789328,8.8619029255,8.7566749383,8.7908029342,16655000,8327500,0.0,1.0,tiingo_historical_seed,
2010-01-13,XLU,30.99,31.26,30.86,31.25,8.8135549314,8.8903429221,8.7765829359,8.8874989224,15719000,7859500,0.0,1.0,tiingo_historical_seed,
2010-01-14,XLU,31.21,31.29,30.97,31.11,8.8761229238,8.898874921,8.8078669321,8.8476829273,9633200,4816600,0.0,1.0,tiingo_historical_seed,
2010-01-15,XLU,30.89,31.04,30.58,30.91,8.7851149348,8.8277749297,8.6969509455,8.7908029342,25421400,12710700,0.0,1.0,tiingo_historical_seed,
2010-01-19,XLU,30.92,31.3,30.84,31.27,8.7936469338,8.9017189207,8.7708949366,8.8931869217,11792800,5896400,0.0,1.0,tiingo_historical_seed,
2010-01-20,XLU,31.16,31.16,30.655,30.94,8.8619029255,8.8619029255,8.7182809429,8.7993349331,19039400,9519700,0.0,1.0,tiingo_historical_seed,
2010-01-21,XLU,30.98,31.16,30.395,30.49,8.8107109317,8.8619029255,8.6443369519,8.6713549486,25810600,12905300,0.0,1.0,tiingo_historical_seed,
2010-01-22,XLU,30.5,30.5,29.82,29.82,8.6741989483,8.6741989483,8.4808069717,8.4808069717,25406200,12703100,0.0,1.0,tiingo_historical_seed,
2010-01-25,XLU,30.1,30.135,29.75,30.02,8.5604389621,8.5703929609,8.4608989742,8.5376869648,14953600,7476800,0.0,1.0,tiingo_historical_seed,
2010-01-26,XLU,30.0,30.26,29.84,30.14,8.5319989655,8.6059429566,8.486494971,8.5718149607,15081800,7540900,0.0,1.0,tiingo_historical_seed,
2010-01-27,XLU,30.15,30.15,29.57,29.94,8.5746589604,8.5746589604,8.4097069804,8.5149349676,28596200,14298100,0.0,1.0,tiingo_historical_seed,
2010-01-28,XLU,29.9,30.12,29.55,29.71,8.503558969,8.5661269614,8.404018981,8.4495229755,28124400,14062200,0.0,1.0,tiingo_historical_seed,
2010-01-29,XLU,29.71,29.8881,29.48,29.53,8.4495229755,8.5001746094,8.3841109835,8.3983309817,19145600,9572800,0.0,1.0,tiingo_historical_seed,
2010-02-01,XLU,29.56,29.74,29.35,29.72,8.4068629807,8.4580549745,8.3471389879,8.4523669752,13365800,6682900,0.0,1.0,tiingo_historical_seed,
2010-02-02,XLU,29.79,29.98,29.47,29.96,8.4722749728,8.5263109662,8.3812669838,8.5206229669,13107200,6553600,0.0,1.0,tiingo_historical_seed,
2010-02-03,XLU,29.7999,29.91,29.655,29.75,8.4750905324,8.5064029686,8.4338809774,8.4608989742,7964800,3982400,0.0,1.0,tiingo_historical_seed,
2010-02-04,XLU,29.61,29.67,28.97,28.97,8.421082979,8.4381469769,8.239067001,8.239067001,14481600,7240800,0.0,1.0,tiingo_historical_seed,
2010-02-05,XLU,29.03,29.03,28.46,28.92,8.256130999,8.256130999,8.0940230186,8.2248470028,19976600,9988300,0.0,1.0,tiingo_historical_seed,
2010-02-08,XLU,28.95,29.12,28.58,28.59,8.2333790017,8.2817269959,8.1281510145,8.1309950142,10247000,5123500,0.0,1.0,tiingo_historical_seed,
2010-02-09,XLU,28.84,29.21,28.74,28.88,8.2020950055,8.3073229928,8.173655009,8.2134710042,17430600,8715300,0.0,1.0,tiingo_historical_seed,
2010-02-10,XLU,28.94,28.94,28.5,28.75,8.2305350021,8.2305350021,8.1053990173,8.1764990086,13144400,6572200,0.0,1.0,tiingo_historical_seed,
2010-02-11,XLU,28.78,28.96,28.45,28.92,8.1850310076,8.2362230014,8.091179019,8.2248470028,16220000,8110000,0.0,1.0,tiingo_historical_seed,
2010-02-12,XLU,28.75,28.83,28.55,28.81,8.1764990086,8.1992510059,8.1196190155,8.1935630066,20124600,10062300,0.0,1.0,tiingo_historical_seed,
2010-02-16,XLU,28.85,29.32,28.85,29.31,8.2049390052,8.338606989,8.2049390052,8.3357629893,12028800,6014400,0.0,1.0,tiingo_historical_seed,
2010-02-17,XLU,29.45,29.49,29.13,29.19,8.3755789845,8.3869549831,8.2845709955,8.3016349935,12895200,6447600,0.0,1.0,tiingo_historical_seed,
2010-02-18,XLU,29.03,29.44,29.0,29.35,8.256130999,8.3727349848,8.247599,8.3471389879,11053800,5526900,0.0,1.0,tiingo_historical_seed,
2010-02-19,XLU,29.31,29.88,29.19,29.76,8.3357629893,8.4978709697,8.3016349935,8.4637429738,11193200,5596600,0.0,1.0,tiingo_historical_seed,
2010-02-22,XLU,29.99,30.06,29.58,29.6,8.5291549659,8.5490629635,8.41255098,8.4182389793,11315400,5657700,0.0,1.0,tiingo_historical_seed,
2010-02-23,XLU,29.51,29.65,29.3199,29.4,8.3926429824,8.4324589776,8.338578549,8.3613589862,11088600,5544300,0.0,1.0,tiingo_historical_seed,
2010-02-24,XLU,29.48,29.53,29.11,29.43,8.3841109835,8.3983309817,8.2788829962,8.3698909852,9981600,4990800,0.0,1.0,tiingo_historical_seed,
2010-02-25,XLU,29.06,29.38,28.9,29.37,8.2646629979,8.3556709869,8.2191590035,8.3528269873,14762800,7381400,0.0,1.0,tiingo_historical_seed,
2010-02-26,XLU,29.3,29.435,29.1082,29.14,8.3329189897,8.371312985,8.2783710763,8.2874149952,16631400,8315700,0.0,1.0,tiingo_historical_seed,
2010-03-01,XLU,29.24,29.61,29.23,29.56,8.3158549917,8.421082979,8.3130109921,8.4068629807,9867200,4933600,0.0,1.0,tiingo_historical_seed,
2010-03-02,XLU,29.58,29.78,29.58,29.65,8.41255098,8.4694309731,8.41255098,8.4324589776,9431000,4715500,0.0,1.0,tiingo_historical_seed,
2010-03-03,XLU,29.71,29.84,29.55,29.6,8.4495229755,8.486494971,8.404018981,8.4182389793,7253400,3626700,0.0,1.0,tiingo_historical_seed,
2010-03-04,XLU,29.66,29.68,29.46,29.66,8.4353029773,8.4409909766,8.3784229842,8.4353029773,10821600,5410800,0.0,1.0,tiingo_historical_seed,
2010-03-05,XLU,29.79,30.01,29.68,29.96,8.4722749728,8.5348429652,8.4409909766,8.5206229669,10381000,5190500,0.0,1.0,tiingo_historical_seed,
2010-03-08,XLU,30.075,30.075,29.945,29.96,8.5533289629,8.5533289629,8.5163569674,8.5206229669,6968800,3484400,0.0,1.0,tiingo_historical_seed,
2010-03-09,XLU,29.93,30.0,29.86,29.92,8.5120909679,8.5319989655,8.4921829704,8.5092469683,7874400,3937200,0.0,1.0,tiingo_historical_seed,
2010-03-10,XLU,29.97,30.0,29.79,29.93,8.5234669666,8.5319989655,8.4722749728,8.5120909679,7696400,3848200,0.0,1.0,tiingo_historical_seed,
2010-03-11,XLU,29.9,30.04,29.79,30.03,8.503558969,8.5433749642,8.4722749728,8.5405309645,7329600,3664800,0.0,1.0,tiingo_historical_seed,
2010-03-12,XLU,30.07,30.13,29.77,29.84,8.5519069631,8.568970961,8.4665869735,8.486494971,11438600,5719300,0.0,1.0,tiingo_historical_seed,
2010-03-15,XLU,29.83,29.9693,29.75,29.95,8.4836509714,8.5232678866,8.4608989742,8.5177789673,7583800,3791900,0.0,1.0,tiingo_historical_seed,
2010-03-16,XLU,29.91,30.32,29.89,30.3,8.5064029686,8.6230069545,8.5007149693,8.6173189552,11058400,5529200,0.0,1.0,tiingo_historical_seed,
2010-03-17,XLU,30.38,30.45,30.24,30.4,8.6400709524,8.65997895,8.6002549573,8.6457589517,11782200,5891100,0.0,1.0,tiingo_historical_seed,
2010-03-18,XLU,30.34,30.5,30.18,30.26,8.6286949538,8.6741989483,8.5831909593,8.6059429566,8634200,4317100,0.0,1.0,tiingo_historical_seed,
2010-03-19,XLU,30.08,30.17,29.75,29.96,8.6308671164,8.6566908545,8.5361800769,8.5964354657,11532000,5766000,0.26657,1.0,tiingo_historical_seed,
2010-03-22,XLU,29.84,29.885,29.66,29.76,8.562003815,8.574915684,8.5103563389,8.5390493812,10220400,5110200,0.0,1.0,tiingo_historical_seed,
2010-03-23,XLU,29.83,29.88,29.68,29.88,8.5591345108,8.5734810319,8.5160949473,8.5734810319,11646600,5823300,0.0,1.0,tiingo_historical_seed,
2010-03-24,XLU,29.78,29.88,29.53,29.57,8.5447879896,8.5734810319,8.4730553839,8.4845326008,13198800,6599400,0.0,1.0,tiingo_historical_seed,
2010-03-25,XLU,29.62,29.71,29.35,29.38,8.498879122,8.52470286,8.4214079078,8.4300158205,20968200,10484100,0.0,1.0,tiingo_historical_seed,
