date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,XLV,31.47,31.62,31.27,31.61,23.7707878703,23.8840900051,23.6197183573,23.8765365294,5580900,5580900,0.0,1.0,tiingo_historical_seed,
2010-01-05,XLV,31.56,31.67,31.3,31.3,23.8387691512,23.9218573833,23.6423787843,23.6423787843,5428600,5428600,0.0,1.0,tiingo_historical_seed,
2010-01-06,XLV,31.3,31.62,31.3,31.62,23.6423787843,23.8840900051,23.6423787843,23.8840900051,4883600,4883600,0.0,1.0,tiingo_historical_seed,
2010-01-07,XLV,31.5,31.73,31.43,31.73,23.7934482973,23.9671782372,23.7405739677,23.9671782372,6114600,6114600,0.0,1.0,tiingo_historical_seed,
2010-01-08,XLV,31.79,31.81,31.56,31.78,24.0124990911,24.0276060424,23.8387691512,24.0049456155,4284800,4284800,0.0,1.0,tiingo_historical_seed,
2010-01-11,XLV,31.95,32.0,31.8199,31.96,24.1333547015,24.1711220798,24.0350839833,24.1409081772,4177700,4177700,0.0,1.0,tiingo_historical_seed,
2010-01-12,XLV,31.82,31.91,31.61,31.73,24.0351595181,24.1031407989,23.8765365294,23.9671782372,5791400,5791400,0.0,1.0,tiingo_historical_seed,
2010-01-13,XLV,31.81,32.25,31.8,32.15,24.0276060424,24.359958971,24.0200525668,24.2844242145,8056100,8056100,0.0,1.0,tiingo_historical_seed,
2010-01-14,XLV,32.21,32.45,32.09,32.44,24.3297450684,24.511028484,24.2391033606,24.5034750084,7801400,7801400,0.0,1.0,tiingo_historical_seed,
2010-01-15,XLV,32.32,32.5,32.03,32.22,24.4128333006,24.5487958623,24.1937825067,24.3372985441,9691800,9691800,0.0,1.0,tiingo_historical_seed,
2010-01-19,XLV,32.33,33.005,32.33,33.0,24.4203867762,24.9302463826,24.4203867762,24.9264696448,17749900,17749900,0.0,1.0,tiingo_historical_seed,
2010-01-20,XLV,33.11,33.16,32.47,32.72,25.0095578769,25.0473252552,24.5261354353,24.7149723266,16706200,16706200,0.0,1.0,tiingo_historical_seed,
2010-01-21,XLV,32.71,32.87,31.98,32.01,24.7074188509,24.8282744613,24.1560151285,24.1786755554,15057200,15057200,0.0,1.0,tiingo_historical_seed,
2010-01-22,XLV,31.91,32.225,31.6,31.66,24.1031407989,24.3410752819,23.8689830538,23.9143039077,13221000,13221000,0.0,1.0,tiingo_historical_seed,
2010-01-25,XLV,31.98,31.98,31.63,31.66,24.1560151285,24.1560151285,23.8916434807,23.9143039077,7485600,7485600,0.0,1.0,tiingo_historical_seed,
2010-01-26,XLV,31.54,31.64,31.31,31.48,23.8236621999,23.8991969564,23.6499322599,23.778341346,9292600,9292600,0.0,1.0,tiingo_historical_seed,
2010-01-27,XLV,31.37,31.75,31.33,31.7,23.6952531138,23.9822851885,23.6650392112,23.9445178103,13238800,13238800,0.0,1.0,tiingo_historical_seed,
2010-01-28,XLV,31.8,31.84,31.41,31.5,24.0200525668,24.0502664694,23.7254670164,23.7934482973,12890200,12890200,0.0,1.0,tiingo_historical_seed,
2010-01-29,XLV,31.6,31.69,31.28,31.28,23.8689830538,23.9369643346,23.627271833,23.627271833,11902000,11902000,0.0,1.0,tiingo_historical_seed,
2010-02-01,XLV,31.33,31.545,31.2,31.46,23.6650392112,23.8274389377,23.5668440278,23.7632343947,6463000,6463000,0.0,1.0,tiingo_historical_seed,
2010-02-02,XLV,31.55,32.12,31.38,32.11,23.8312156755,24.2617637876,23.7028065895,24.2542103119,9894100,9894100,0.0,1.0,tiingo_historical_seed,
2010-02-03,XLV,32.0,32.03,31.58,31.68,24.1711220798,24.1937825067,23.8538761025,23.929410859,5967400,5967400,0.0,1.0,tiingo_historical_seed,
2010-02-04,XLV,31.42,31.53,30.86,30.88,23.7330204921,23.8161087242,23.3100258557,23.325132807,10027700,10027700,0.0,1.0,tiingo_historical_seed,
2010-02-05,XLV,30.79,30.98,30.27,30.83,23.2571515261,23.4006675635,22.8643707923,23.2873654287,14325900,14325900,0.0,1.0,tiingo_historical_seed,
2010-02-08,XLV,30.85,30.945,30.59,30.68,23.30247238,23.3742303987,23.1060820131,23.174063294,6971500,6971500,0.0,1.0,tiingo_historical_seed,
2010-02-09,XLV,31.07,31.2,30.68,30.92,23.4686488443,23.5668440278,23.174063294,23.3553467096,8632900,8632900,0.0,1.0,tiingo_historical_seed,
2010-02-10,XLV,30.95,30.95,30.49,30.73,23.3780071365,23.3780071365,23.0305472566,23.2118306722,7047300,7047300,0.0,1.0,tiingo_historical_seed,
2010-02-11,XLV,30.53,31.04,30.49,30.94,23.0607611592,23.4459884174,23.0305472566,23.3704536609,4335600,4335600,0.0,1.0,tiingo_historical_seed,
