date,ticker,open,high,low,close,adjOpen,adjHigh,adjLow,adjClose,adjVolume,volume,divCash,splitFactor,source,fetch_timestamp
2010-01-04,XLY,29.9,30.11,29.9,30.0,12.2428676963,12.3288543925,12.2428676963,12.2838137421,10887800,5443900,0.0,1.0,tiingo_historical_seed,
2010-01-05,XLY,30.01,30.14,29.82,30.11,12.2879083467,12.3411382062,12.2101108596,12.3288543925,12324400,6162200,0.0,1.0,tiingo_historical_seed,
2010-01-06,XLY,30.09,30.215,30.02,30.15,12.3206651833,12.3718477406,12.2920029512,12.3452328108,8493800,4246900,0.0,1.0,tiingo_historical_seed,
2010-01-07,XLY,30.34,30.41,30.135,30.4,12.4230302978,12.4516925299,12.3390909039,12.4475979253,11473400,5736700,0.0,1.0,tiingo_historical_seed,
2010-01-08,XLY,30.29,30.41,30.12,30.39,12.4025572749,12.4516925299,12.3329489971,12.4435033207,12876000,6438000,0.0,1.0,tiingo_historical_seed,
2010-01-11,XLY,30.45,30.54,30.17,30.33,12.4680709482,12.5049223894,12.35342202,12.4189356933,8347000,4173500,0.0,1.0,tiingo_historical_seed,
2010-01-12,XLY,30.15,30.22,29.815,29.94,12.3452328108,12.3738950429,12.2080635573,12.2592461146,10946800,5473400,0.0,1.0,tiingo_historical_seed,
2010-01-13,XLY,30.06,30.33,29.96,30.28,12.3083813696,12.4189356933,12.2674353238,12.3984626703,9231600,4615800,0.0,1.0,tiingo_historical_seed,
2010-01-14,XLY,30.19,30.32,30.13,30.28,12.3616112291,12.4148410887,12.3370436016,12.3984626703,11280600,5640300,0.0,1.0,tiingo_historical_seed,
2010-01-15,XLY,30.22,30.34,29.88,29.98,12.3738950429,12.4230302978,12.2346784871,12.2756245329,11779000,5889500,0.0,1.0,tiingo_historical_seed,
2010-01-19,XLY,30.13,30.38,29.86,30.38,12.3370436016,12.4394087162,12.226489278,12.4394087162,8837000,4418500,0.0,1.0,tiingo_historical_seed,
2010-01-20,XLY,30.14,30.18,29.81,29.97,12.3411382062,12.3575166245,12.2060162551,12.2715299283,10056200,5028100,0.0,1.0,tiingo_historical_seed,
2010-01-21,XLY,29.98,30.25,29.54,29.59,12.2756245329,12.3861788566,12.0954619314,12.1159349543,13573200,6786600,0.0,1.0,tiingo_historical_seed,
2010-01-22,XLY,29.47,29.7,29.0,29.02,12.0667996993,12.1609756047,11.874353284,11.8825424932,20184200,10092100,0.0,1.0,tiingo_historical_seed,
2010-01-25,XLY,29.21,29.3,28.98,29.17,11.9603399802,11.9971914214,11.8661640749,11.9439615619,10623200,5311600,0.0,1.0,tiingo_historical_seed,
2010-01-26,XLY,29.02,29.41,28.96,29.21,11.8825424932,12.0422320718,11.8579748657,11.9603399802,11013800,5506900,0.0,1.0,tiingo_historical_seed,
2010-01-27,XLY,29.22,29.3599,28.96,29.26,11.9644345848,12.0217181029,11.8579748657,11.9808130031,14083600,7041800,0.0,1.0,tiingo_historical_seed,
2010-01-28,XLY,29.39,29.53,28.92,29.09,12.0340428627,12.0913673268,11.8415964474,11.9112047252,12583200,6291600,0.0,1.0,tiingo_historical_seed,
2010-01-29,XLY,29.16,29.49,28.89,28.91,11.9398669573,12.0749889085,11.8293126336,11.8375018428,14724400,7362200,0.0,1.0,tiingo_historical_seed,
2010-02-01,XLY,28.97,29.28,28.94,29.28,11.8620694703,11.9890022123,11.8497856565,11.9890022123,17754200,8877100,0.0,1.0,tiingo_historical_seed,
2010-02-02,XLY,29.35,29.7,29.18,29.69,12.0176644443,12.1609756047,11.9480561665,12.1568810001,10987400,5493700,0.0,1.0,tiingo_historical_seed,
2010-02-03,XLY,29.61,29.78,29.53,29.71,12.1241241634,12.1937324413,12.0913673268,12.1650702092,9726800,4863400,0.0,1.0,tiingo_historical_seed,
2010-02-04,XLY,29.47,29.54,28.84,28.85,12.0667996993,12.0954619314,11.8088396107,11.8129342153,20252400,10126200,0.0,1.0,tiingo_historical_seed,
2010-02-05,XLY,28.84,28.97,28.21,28.77,11.8088396107,11.8620694703,11.5508795221,11.7801773787,16607800,8303900,0.0,1.0,tiingo_historical_seed,
2010-02-08,XLY,28.83,29.06,28.59,28.59,11.8047450061,11.8989209115,11.7064744962,11.7064744962,12753800,6376900,0.0,1.0,tiingo_historical_seed,
2010-02-09,XLY,28.84,29.21,28.74,29.03,11.8088396107,11.9603399802,11.7678935649,11.8866370978,13809800,6904900,0.0,1.0,tiingo_historical_seed,
2010-02-10,XLY,29.06,29.07,28.66,28.91,11.8989209115,11.9030155161,11.7351367283,11.8375018428,11132600,5566300,0.0,1.0,tiingo_historical_seed,
2010-02-11,XLY,28.83,29.25,28.65,29.25,11.8047450061,11.9767183985,11.7310421237,11.9767183985,11655200,5827600,0.0,1.0,tiingo_historical_seed,
2010-02-12,XLY,28.91,29.25,28.85,29.25,11.8375018428,11.9767183985,11.8129342153,11.9767183985,12668800,6334400,0.0,1.0,tiingo_historical_seed,
2010-02-16,XLY,29.56,29.72,29.28,29.72,12.1036511405,12.1691648138,11.9890022123,12.1691648138,9041800,4520900,0.0,1.0,tiingo_historical_seed,
2010-02-17,XLY,29.85,29.96,29.675,29.96,12.2223946734,12.2674353238,12.1507390932,12.2674353238,9261600,4630800,0.0,1.0,tiingo_historical_seed,
2010-02-18,XLY,29.89,30.16,29.8,30.15,12.2387730917,12.3493274154,12.2019216505,12.3452328108,11835200,5917600,0.0,1.0,tiingo_historical_seed,
2010-02-19,XLY,30.17,30.32,30.0099,30.22,12.35342202,12.4148410887,12.2878674006,12.3738950429,11500000,5750000,0.0,1.0,tiingo_historical_seed,
