Date,Close,High,Low,Open,Volume,Spread,SwapLong,SwapShort
2016-06-03,497.25,498.25,482.25,484.25,113652,0.7458750000000001,0.0,0.0
2016-06-06,507.5,514.75,496.0,496.0,116771,0.76125,0.0,0.0
2016-06-07,509.0,513.5,500.75,507.0,113852,0.7635000000000001,0.0,0.0
2016-06-08,519.5,524.0,506.0,507.25,138771,0.77925,0.0,0.0
2016-06-09,510.25,519.0,506.0,518.75,105867,0.765375,0.0,0.0
2016-06-10,495.0,512.5,494.25,510.25,127494,0.7425,0.0,0.0
2016-06-13,491.25,503.25,490.75,495.5,107395,0.7368750000000001,0.0,0.0
2016-06-14,485.0,493.5,481.25,491.5,105522,0.7275,0.0,0.0
2016-06-15,477.5,489.75,477.0,485.0,74692,0.71625,0.0,0.0
2016-06-16,472.5,479.5,471.0,477.5,67811,0.70875,0.0,0.0
2016-06-17,481.25,482.5,472.5,473.75,62549,0.721875,0.0,0.0
2016-06-20,473.0,480.75,472.25,480.5,58397,0.7095,0.0,0.0
2016-06-21,458.5,476.5,457.25,473.0,65922,0.68775,0.0,0.0
2016-06-22,458.75,465.25,458.25,460.0,49107,0.688125,0.0,0.0
2016-06-23,454.25,461.5,453.25,458.25,42623,0.6813750000000001,0.0,0.0
2016-06-24,454.75,456.0,441.75,454.5,44990,0.682125,0.0,0.0
2016-06-27,446.75,460.0,446.0,454.75,20891,0.670125,0.0,0.0
2016-06-28,443.75,454.75,442.75,446.25,20654,0.665625,0.0,0.0
2016-06-29,429.5,447.25,428.5,443.75,16274,0.64425,0.0,0.0
2016-06-30,431.25,438.75,423.0,429.75,2435,0.646875,0.0,0.0
2016-07-01,416.25,431.0,414.25,430.25,735,0.624375,0.0,0.0
2016-07-05,419.5,419.5,405.0,416.25,308,0.62925,0.0,0.0
2016-07-06,415.75,418.75,408.0,415.25,355,0.623625,0.0,0.0
2016-07-07,412.0,421.25,410.75,417.25,169,0.618,0.0,0.0
2016-07-08,420.75,424.0,420.75,421.0,84,0.631125,0.0,0.0
2016-07-11,416.25,423.75,416.25,423.5,118,0.624375,0.0,0.0
2016-07-12,424.0,424.0,415.5,416.25,56,0.636,0.0,0.0
2016-07-13,426.25,434.0,426.25,430.0,56,0.639375,0.0,0.0
2016-07-14,421.75,431.25,421.75,431.25,72305,0.632625,0.0,0.0
2016-07-15,424.75,439.75,424.0,434.0,76867,0.637125,0.0,0.0
2016-07-18,429.5,431.75,420.25,425.0,62265,0.64425,0.0,0.0
2016-07-19,418.0,428.25,416.25,427.75,53844,0.627,0.0,0.0
2016-07-20,413.0,423.75,406.5,419.25,78390,0.6195,0.0,0.0
2016-07-21,417.75,419.75,408.75,414.0,67833,0.626625,0.0,0.0
2016-07-22,425.25,427.0,407.0,417.25,82418,0.637875,0.0,0.0
2016-07-25,429.0,435.25,421.0,425.75,89270,0.6435,0.0,0.0
2016-07-26,415.0,429.25,414.0,427.5,64182,0.6225,0.0,0.0
2016-07-27,414.75,421.0,414.0,416.75,46739,0.622125,0.0,0.0
2016-07-28,410.25,420.0,408.25,414.5,56838,0.615375,0.0,0.0
2016-07-29,407.75,412.75,403.5,411.5,61173,0.611625,0.0,0.0
2016-08-01,406.0,415.5,404.75,410.75,68357,0.609,0.0,0.0
2016-08-02,401.25,410.5,399.25,406.0,60901,0.601875,0.0,0.0
2016-08-03,410.25,415.0,401.0,402.0,66098,0.615375,0.0,0.0
2016-08-04,403.25,416.0,402.5,410.5,54088,0.604875,0.0,0.0
2016-08-05,416.0,418.5,403.0,403.25,114185,0.624,0.0,0.0
2016-08-08,417.0,423.5,411.5,418.5,129025,0.6255000000000001,0.0,0.0
2016-08-09,417.0,419.25,411.5,415.0,88193,0.6255000000000001,0.0,0.0
2016-08-10,421.75,427.5,414.5,416.5,90634,0.632625,0.0,0.0
2016-08-11,416.25,424.0,413.5,420.0,98818,0.624375,0.0,0.0
2016-08-12,422.5,423.25,406.0,416.0,79674,0.63375,0.0,0.0
2016-08-15,422.0,430.0,417.25,421.25,82009,0.633,0.0,0.0
2016-08-16,423.5,428.0,414.5,420.0,69172,0.63525,0.0,0.0
2016-08-17,426.0,428.5,419.5,423.0,44740,0.639,0.0,0.0
2016-08-18,427.0,428.0,420.0,424.5,38516,0.6405,0.0,0.0
2016-08-19,427.0,432.5,422.5,426.25,38691,0.6405,0.0,0.0
2016-08-22,415.25,429.25,414.0,427.0,39066,0.6228750000000001,0.0,0.0
2016-08-23,407.75,415.0,406.75,415.0,38969,0.611625,0.0,0.0
2016-08-24,404.0,409.25,402.5,407.75,25597,0.606,0.0,0.0
2016-08-25,401.25,407.75,400.75,404.5,17860,0.601875,0.0,0.0
2016-08-26,383.5,402.25,381.0,401.25,35451,0.57525,0.0,0.0
2016-08-29,370.5,384.0,369.5,383.5,29038,0.55575,0.0,0.0
2016-08-30,363.25,374.25,361.5,370.0,27620,0.544875,0.0,0.0
2016-08-31,361.0,367.0,359.5,363.5,2335,0.5415,0.0,0.0
2016-09-01,368.25,369.0,362.5,363.0,712,0.5523750000000001,0.0,0.0
2016-09-02,373.25,374.25,367.25,368.25,245,0.559875,0.0,0.0
2016-09-06,371.0,376.5,369.75,371.0,55,0.5565,0.0,0.0
2016-09-07,375.25,376.75,371.75,371.75,64,0.562875,0.0,0.0
2016-09-08,377.0,377.0,375.5,375.5,18,0.5655,0.0,0.0
2016-09-09,376.0,376.75,376.0,376.75,36,0.5640000000000001,0.0,0.0
2016-09-12,383.25,384.5,381.5,382.0,29,0.574875,0.0,0.0
2016-09-13,374.75,383.0,374.75,383.0,6,0.562125,0.0,0.0
2016-09-14,376.75,376.75,376.75,376.75,57171,0.565125,0.0,0.0
2016-09-15,399.5,406.75,398.0,401.0,42993,0.5992500000000001,0.0,0.0
2016-09-16,403.25,404.75,393.75,398.0,49762,0.604875,0.0,0.0
2016-09-19,404.0,409.0,399.75,404.0,45558,0.606,0.0,0.0
2016-09-20,406.0,410.0,401.5,402.25,43011,0.609,0.0,0.0
2016-09-21,407.75,409.0,402.25,405.0,37396,0.611625,0.0,0.0
