Date,Close,High,Low,Open,Volume,Spread,SwapLong,SwapShort
2016-06-03,130.953125,131.015625,129.875,129.9375,70085,0.052381250000000004,-0.03,0.01
2016-06-06,130.859375,131.0,130.640625,131.0,40491,0.05234375,-0.03,0.01
2016-06-07,130.9375,131.03125,130.671875,130.78125,35285,0.052375000000000005,-0.03,0.01
2016-06-08,130.890625,131.046875,130.859375,130.921875,9256,0.05235625,-0.03,0.01
2016-06-09,131.078125,131.25,130.890625,130.921875,13583,0.052431250000000006,-0.03,0.01
2016-06-10,131.453125,131.53125,131.046875,131.046875,14408,0.05258125,-0.03,0.01
2016-06-13,131.6875,131.78125,131.484375,131.59375,16567,0.052675,-0.03,0.01
2016-06-14,131.71875,132.125,131.625,131.71875,36549,0.052687500000000005,-0.03,0.01
2016-06-15,131.984375,132.140625,131.515625,131.671875,26636,0.05279375,-0.03,0.01
2016-06-16,132.15625,132.546875,131.984375,132.15625,9065,0.0528625,-0.03,0.01
2016-06-17,131.765625,132.078125,131.75,132.078125,13688,0.05270625,-0.03,0.01
2016-06-20,131.390625,131.53125,131.140625,131.390625,17324,0.052556250000000006,-0.03,0.01
2016-06-21,131.34375,131.484375,131.28125,131.421875,981927,0.0525375,-0.03,0.01
2016-06-22,131.34375,131.421875,131.15625,131.203125,916892,0.0525375,-0.03,0.01
2016-06-23,130.8125,131.28125,130.734375,131.28125,1096165,0.052325,-0.03,0.01
2016-06-24,132.375,134.21875,130.671875,130.703125,3126839,0.052950000000000004,-0.03,0.01
2016-06-27,133.28125,133.46875,132.703125,132.75,1316532,0.053312500000000006,-0.03,0.01
2016-06-28,133.25,133.5625,133.03125,133.4375,1136545,0.0533,-0.03,0.01
2016-06-29,133.0625,133.3125,132.6875,133.1875,1098012,0.053225,-0.03,0.01
2016-06-30,132.984375,133.234375,132.4375,132.703125,1943875,0.053193750000000005,-0.03,0.01
2016-07-01,133.078125,133.921875,132.984375,133.03125,1346226,0.05323125,-0.03,0.01
2016-07-05,133.890625,133.984375,133.0,133.296875,1121073,0.05355625,-0.03,0.01
2016-07-06,133.671875,134.234375,133.578125,133.84375,1433749,0.05346875,-0.03,0.01
2016-07-07,133.6875,133.9375,133.34375,133.84375,1171819,0.053475,-0.03,0.01
2016-07-08,133.796875,134.015625,133.046875,133.6875,1455703,0.053518750000000004,-0.03,0.01
2016-07-11,133.15625,133.890625,133.140625,133.859375,932748,0.053262500000000004,-0.03,0.01
2016-07-12,132.515625,133.25,132.359375,133.15625,1431378,0.053006250000000005,-0.03,0.01
2016-07-13,132.828125,132.9375,132.46875,132.484375,1201572,0.053131250000000005,-0.03,0.01
2016-07-14,132.390625,132.90625,132.1875,132.734375,1366292,0.05295625,-0.03,0.01
2016-07-15,131.875,132.515625,131.78125,132.34375,1236322,0.052750000000000005,-0.03,0.01
2016-07-18,132.03125,132.25,131.734375,131.9375,854813,0.052812500000000005,-0.03,0.01
2016-07-19,132.234375,132.40625,132.0,132.046875,887408,0.05289375,-0.03,0.01
2016-07-20,131.984375,132.328125,131.859375,132.296875,838211,0.05279375,-0.03,0.01
2016-07-21,132.234375,132.34375,131.609375,131.96875,1282566,0.05289375,-0.03,0.01
2016-07-22,132.125,132.515625,131.90625,132.296875,993882,0.05285,-0.03,0.01
2016-07-25,132.0625,132.265625,131.890625,132.125,732638,0.052825000000000004,-0.03,0.01
2016-07-26,132.125,132.34375,131.859375,132.03125,1023027,0.05285,-0.03,0.01
2016-07-27,132.546875,132.671875,131.828125,132.140625,1171110,0.05301875,-0.03,0.01
2016-07-28,132.5625,132.75,132.34375,132.640625,1109267,0.053025,-0.03,0.01
2016-07-29,133.046875,133.140625,132.109375,132.65625,1584235,0.05321875,-0.03,0.01
2016-08-01,132.796875,133.125,132.5625,133.125,1025550,0.05311875,-0.03,0.01
2016-08-02,132.546875,132.71875,132.203125,132.59375,1420550,0.05301875,-0.03,0.01
2016-08-03,132.578125,132.640625,132.265625,132.40625,1022489,0.05303125,-0.03,0.01
2016-08-04,132.953125,133.09375,132.453125,132.578125,1115628,0.05318125,-0.03,0.01
2016-08-05,132.140625,133.0625,132.046875,133.015625,1315208,0.05285625,-0.03,0.01
2016-08-08,132.046875,132.203125,131.796875,132.046875,978792,0.052818750000000005,-0.03,0.01
2016-08-09,132.34375,132.421875,131.921875,131.984375,924123,0.052937500000000005,-0.03,0.01
2016-08-10,132.734375,132.78125,132.3125,132.3125,1027376,0.05309375,-0.03,0.01
2016-08-11,132.046875,132.78125,132.0,132.703125,1001879,0.052818750000000005,-0.03,0.01
2016-08-12,132.53125,132.90625,132.03125,132.09375,1188034,0.053012500000000004,-0.03,0.01
2016-08-15,132.25,132.703125,132.171875,132.546875,779593,0.0529,-0.03,0.01
2016-08-16,132.0,132.640625,131.875,132.21875,1459939,0.0528,-0.03,0.01
2016-08-17,132.109375,132.390625,131.828125,132.0,1112006,0.05284375,-0.03,0.01
2016-08-18,132.375,132.484375,132.078125,132.21875,884807,0.052950000000000004,-0.03,0.01
2016-08-19,131.953125,132.4375,131.828125,132.421875,987238,0.05278125,-0.03,0.01
2016-08-22,132.28125,132.3125,131.6875,131.890625,946754,0.0529125,-0.03,0.01
2016-08-23,132.21875,132.421875,132.046875,132.265625,1052529,0.052887500000000004,-0.03,0.01
2016-08-24,132.21875,132.359375,132.109375,132.28125,1300976,0.052887500000000004,-0.03,0.01
2016-08-25,132.0625,132.296875,132.0,132.1875,2063603,0.052825000000000004,-0.03,0.01
2016-08-26,131.375,132.4375,131.359375,132.046875,2759059,0.05255,-0.03,0.01
2016-08-29,131.953125,132.0,131.296875,131.375,1642229,0.05278125,-0.03,0.01
2016-08-30,131.890625,132.03125,131.6875,131.96875,986143,0.052756250000000005,-0.03,0.01
2016-08-31,131.875,132.078125,131.71875,131.921875,256770,0.052750000000000005,-0.03,0.01
2016-09-01,131.890625,132.015625,131.390625,131.734375,191897,0.052756250000000005,-0.03,0.01
2016-09-02,131.71875,132.25,131.46875,131.828125,51220,0.052687500000000005,-0.03,0.01
2016-09-06,132.296875,132.359375,131.5625,131.671875,46677,0.05291875,-0.03,0.01
2016-09-07,132.296875,132.484375,132.21875,132.328125,57778,0.05291875,-0.03,0.01
2016-09-08,131.671875,132.359375,131.625,132.28125,23808,0.05266875,-0.03,0.01
2016-09-09,131.3125,131.828125,131.265625,131.765625,25620,0.052525,-0.03,0.01
2016-09-12,131.453125,131.578125,131.15625,131.25,7411,0.05258125,-0.03,0.01
2016-09-13,130.96875,131.734375,130.8125,131.5,31255,0.052387500000000004,-0.03,0.01
2016-09-14,131.4375,131.46875,131.03125,131.03125,38703,0.052575000000000004,-0.03,0.01
2016-09-15,131.453125,131.71875,131.171875,131.375,12250,0.05258125,-0.03,0.01
2016-09-16,131.40625,131.796875,131.390625,131.578125,3162,0.052562500000000005,-0.03,0.01
2016-09-19,131.421875,131.5625,131.3125,131.53125,6928,0.052568750000000004,-0.03,0.01
2016-09-20,131.484375,131.65625,131.328125,131.328125,12474,0.05259375,-0.03,0.01
2016-09-21,131.375,131.5625,131.1875,131.421875,1115107,0.05255,-0.03,0.01
2016-09-22,130.859375,131.09375,130.65625,130.703125,1077100,0.05234375,-0.03,0.01
2016-09-23,131.03125,131.078125,130.859375,130.921875,719773,0.0524125,-0.03,0.01
2016-09-26,131.3125,131.453125,131.0,131.0625,828179,0.052525,-0.03,0.01
2016-09-27,131.53125,131.671875,131.140625,131.359375,1172225,0.0526125,-0.03,0.01
2016-09-28,131.4375,131.625,131.328125,131.515625,1073897,0.052575000000000004,-0.03,0.01
2016-09-29,131.546875,131.671875,131.171875,131.375,1165988,0.052618750000000006,-0.03,0.01
2016-09-30,131.125,131.734375,131.0625,131.5,1671048,0.052450000000000004,-0.03,0.01
2016-10-03,130.953125,131.234375,130.90625,131.21875,775029,0.052381250000000004,-0.03,0.01
2016-10-04,130.5,131.03125,130.4375,130.921875,1402205,0.0522,-0.03,0.01
2016-10-05,130.21875,130.609375,130.09375,130.46875,1209515,0.0520875,-0.03,0.01
2016-10-06,129.953125,130.390625,129.9375,130.234375,1299055,0.05198125,-0.03,0.01
2016-10-07,130.0625,130.21875,129.71875,130.0,1494095,0.052025,-0.03,0.01
2016-10-11,129.890625,130.03125,129.6875,129.8125,1116008,0.05195625,-0.03,0.01
2016-10-12,129.8125,129.90625,129.53125,129.84375,1217196,0.051925000000000006,-0.03,0.01
2016-10-13,130.1875,130.265625,129.875,129.890625,1124596,0.052075,-0.03,0.01
2016-10-14,129.859375,130.21875,129.765625,130.140625,1219283,0.051943750000000004,-0.03,0.01
2016-10-17,130.125,130.203125,129.703125,129.796875,838456,0.05205,-0.03,0.01
2016-10-18,130.296875,130.359375,129.984375,130.140625,1116022,0.052118750000000005,-0.03,0.01
2016-10-19,130.265625,130.453125,130.125,130.359375,970174,0.05210625,-0.03,0.01
2016-10-20,130.28125,130.484375,130.125,130.3125,1068248,0.0521125,-0.03,0.01
2016-10-21,130.34375,130.40625,130.140625,130.1875,746958,0.0521375,-0.03,0.01
2016-10-24,130.171875,130.484375,130.078125,130.359375,807829,0.052068750000000004,-0.03,0.01
2016-10-25,130.171875,130.3125,129.9375,130.140625,1041362,0.052068750000000004,-0.03,0.01
